BOR;AN;FI;RS;FI_EJ;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A24;ORG_B24;ORG_C24;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23;ORG_A12;GCS_PM;GHT_PM;AUT_PM;GCS_PARA;GHT_PARA;AUT_PARA;GCS_ADMTECLOG;GHT_ADMTECLOG;AUT_ADMTECLOG
ORG;2020;010010171;CLINIQUE DE CHATILLON;010011559;;;;;;;;;;;;;;;;;;;;;;4;C;D;;;;1;1;GENEVOIS ANNECY ALBANAIS;;;;;;;;;;;;;;
ORG;2020;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;010780195;CLINIQUE CONVERT;010000156;;;;;;;;;;;;;;;;2;A;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;;;;;;;;;;;;;;;;1;A;;;;;;;;;;;1;1;BRESSE HAUT-BUGEY;;;;;0.2;;;;;;;;;
ORG;2020;010780252;CRF L'ORCET;010783009;1;C;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;010780278;CTRE DE RÉÉDUCATION MANGINI;010783009;1;C;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;010780294;NEPHROCARE CH BELLEY;690000278;;;;;;;;;;;;;;;;;;;;;;4;C;;;;;0;;;;;;;0.16;;;;;;;;;
ORG;2020;010780310;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;010000222;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;010780328;CENTRE MEDICAL LE MODERN;010000222;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;;;;;;;;;;;;;;;;;;;;;;6;C;;1;E;;0;;;;;;;;;;;;;;;;
ORG;2020;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;RHÔNE NORD BEAUJOLAIS DOMBES;;;;;0;;;;;;;;;
ORG;2020;010789006;UNITE DE DIALYSE BOURG EN BRESSE;210012290;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;;;;1;;;;;;
ORG;2020;020000089;CH GUISE;020000022;;;;;;;;;;;;;;;;;;;;;;150;C;;;;;1;1;AISNE NORD;;;;;0;;;0.9;;;0;;;0.3
ORG;2020;020000097;CH LA FÈRE;020000048;;;;;;;;;;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2020;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;;;;;;;;;;;;;;;;;;;;;;103;;;;;;1;1;AISNE NORD;;;;;0.05;;;;0.76;;;2.7;;
ORG;2020;020000162;CH SAINT-QUENTIN;020000063;;;;1;D;;;;;;;;;;;;;;1;C;;164;C;A;;;;;;;;;;;1;1.3;10.65;12.26;6.25;5.1;;17.02;3.13;
ORG;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;;;;2;A;D;;;;;;;2;A;B;;;;;;;70;C;A;8;C;A;0;;;;;;;0.5;;;0.2;;;4.12;12.55;;6.18
ORG;2020;020000386;CLINIQUE DE LA ROSERAIE;020000600;;;;;;;;;;;;;;;;1;A;;;;;;;;;;;1;1;AISNE SUD- SAPHIR;;;;;0;;;;;;;1;;
ORG;2020;020000394;CH LAON;020000253;;;;;;;;;;;;;;;;1;D;;;;;;;;;;;;;;;;;;;;0.91;0.83;;0.45;4.5;;2.84;3.48
ORG;2020;020000519;CH SOISSONS;020000261;;;;1;D;;;;;;;;;;;2;D;;;;;159;;;;;;0;;;;;;;0.5;;;2.44;3.2;;;3;2;
ORG;2020;020000535;CH CHAUNY;020000287;1;D;D;2;B;D;;;;1;A;A;1;D;;2;D;;1;C;;;;;;;;1;1;AISNE NORD;;;;;;1.4;;2;;;3;;;1.1
ORG;2020;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;;;;1;B;;;;;1;E;;2;B;B;;;;;;;1;D;;;;;;;;;;;;;;;0.2;;;2;;;
ORG;2020;020001061;CH CHÂTEAU-THIERRY;020004404;;;;2;A;;;;;;;;1;B;;;;;;;;;;;;;;;;;;;;;0.05;;;;;;;;;
ORG;2020;020004297;HAD AMSAM SOISSONS;020005179;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;AISNE SUD- SAPHIR;AISNE NORD;;;;0;;0;;;0;;;0;
ORG;2020;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;;;;1;B;;;;;;;;1;B;;;;;1;;;24;;;;;;0;;;;;;;0;;;;;;;;;
ORG;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;;;;1;D;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;2.81;;
ORG;2020;020016341;SSR RENAISSANCE SOISSONS;750814030;;;;;;;;;;;;;;;;;;;;;;2;A;C;;;;0;;;;;;;0;;;;;;;;;
ORG;2020;030000012;CH DE NERIS LES BAINS;030180020;;;;1;A;;;;;;;;1;B;;;;;;;;3;C;D;;;;;;;;;;;1;;;0.1;;;0.5;;;0.1
ORG;2020;030000061;CH DE MOULINS;030780092;1;C;;4;A;C;0;;;0;;;;;;2;D;B;1;C;;166;A;C;;;;;;;;;;;1;;;3.2;;;8.74;41;;2.78
ORG;2020;030000079;CH DE MONTLUCON;030780100;;;;;;;;;;;;;;;;;;;;;;22;C;D;;;;;;;;;;;0.5;;;;;;;;;
ORG;2020;030000087;CH JACQUES LACARIN VICHY;030780118;;;;3;D;G;;;;;;;1;A;;;;;1;C;;;;;;;;1;1;TERRITOIRES D'AUVERGNE;;;;;1;;;7.4;;;17.63;;1.3;43.09
ORG;2020;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;;;;5;A;C;;;;;;;2;A;;1;A;;;;;20;A;C;3;A;C;1;1;TERRITOIRES D'AUVERGNE;;;;;0.1;;;0;;;0;;;0.3
ORG;2020;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;;;;;;;;0.1;
ORG;2020;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;;;;;;;;;;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2020;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;;;;;;;;;;;;;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORG;2020;030780548;POLYCLINIQUE LA PERGOLA;030000194;;;;;;;;;;;;;;;;;;;;;;14;C;D;;;;0;;;;;;;;;;;;;;;;
ORG;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;0;;;0;;;0;;;0;;;0;;;0;;;0;;;63;C;E;;;;0;;;;;;;0.2;0;0;0.5;0;0;2.5;0;0;0.5
ORG;2020;030785430;POLYCLINIQUE SAINT-ODILON;030785422;;;;1;D;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;;;6.58;;;6.89;;
ORG;2020;040000069;CHI MANOSQUE SITE FORCALQUIER;040780215;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;;0;;;;;;;;;
ORG;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;;;;2;A;C;;;;;;;;;;2;D;;;;;72;A;C;;;;;;;;;;;0;;0.4;1.1;;;0.35;;4.4;2.47
ORG;2020;040000119;EPS LUMIERE DE RIEZ;040780231;;;;;;;;;;;;;;;;;;;;;;29;;;;;;0;;;;;;;0;;0.1;;;;;;0.3;
ORG;2020;040000127;EPS VALLEE DE LA BLANCHE SEYNE ALPES;040780249;;;;1;A;A;;;;;;;1;A;A;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;1
ORG;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;;;;;;;;;;;;;;;;;;;;;;31;C;D;;;;0;;;;;;;;;;;;;;;;
ORG;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;;;;1;A;;;;;;;;;;;2;D;;;;;37;C;D;;;;0;;;;;;;2.99;0.54;0.97;1.41;2;5.98;11.05;27;8.18;4.12
ORG;2020;040780405;CENTRE DES CARMES;040000168;;;;;;;;;;;;;;;;;;;;;;2;C;C;;;;0;;;;;;;;;;;;;;;;
ORG;2020;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;;;;;;;;;;;;;;;;;;;;;;10;C;;;;;0;;;;;;;0.03;;;0.14;;;;;;
ORG;2020;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;;;;1;A;;;;;;;;;;;;;;;;;47;C;A;;;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;;0.1;0;0;0.5;;;;;;
ORG;2020;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;;;;;;;;;;;;;;;;1;A;B;;;;5;D;;;;;0;;;;;;;3;;;;;;;;;3
ORG;2020;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;;;;1;D;;1;A;;;;;;;;;;;;;;10;C;;;;;1;1;ALPES DU SUD;;;;;0.07;;;;;;;;;
ORG;2020;050000058;CENTRE MEDICAL RIO VERT;050000033;;;;1;D;;;;;;;;;;;;;;;;;3;A;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;0;;;0;;;0;;;0;;;0;;;0;;;0;;;2;C;C;0;;;0;;;;;;;0;0;0;0;0;0;0;0;0;0
ORG;2020;050000132;CH BUECH DURANCE;050007145;;;;;;;;;;;;;;;;;;;;;;86;;;;;;;;;;;;;;;;;;;;;;
ORG;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;;;;3;A;D;;;;;;;;;;3;D;B;1;C;;151;;;;;;;;;;;;;0.2;;;;;;;;;
ORG;2020;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;;;;1;D;;;;;;;;;;;;;;1;C;;84;A;C;;;;;;;;;;;;;1.6;0.3;;0.5;0.2;;0.7;
ORG;2020;050000298;LA GUISANE;050000496;;;;;;;;;;;;;;;;;;;;;;3;C;C;;;;0;;;;;;;0;;;;;;;;;
ORG;2020;050000330;CHABRE COURT SEJOUR SSR;050007145;;;;;;;;;;;;;;;;;;;;;;86;;;;;;;;;;;;;;;;;;;;;;
ORG;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;;;;3;C;D;;;;;;;1;A;;1;D;;3;C;;270;C;D;;;;;;;;;;;;;0.2;;0.75;0.5;;20.07;5.22;
ORG;2020;050000488;LES ACACIAS CTRE MALADIES RESP ALLERG;050000678;;;;1;A;;;;;;;;;;;;;;;;;4;C;B;;;;0;;;;;;;0.2;0.2;0.1;;0.2;0.3;;0.2;0.2;
ORG;2020;050000991;CENTRE MEDICAL CHANT'OURS;050000546;1;D;;;;;;;;;;;;;;1;B;;;;;5;A;C;;;;0;;;;;;;;;;0.05;;;0.05;;;0.9
ORG;2020;050001064;CENTRE MEDICAL LA DURANCE;050000561;;;;1;D;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.05;;;;;;;;;
ORG;2020;050002351;CENTRE RHONE AZUR GAP;130037815;;;;1;A;;;;;;;;;;;;;;;;;3;C;;;;;1;1;ALPES DU SUD;;;;;0.03;;;;;;;;;
ORG;2020;050003359;AGDUC UNITE DE DIALYSE MED BRIANCON;380793802;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;050006022;AGDUC UNITE D'AUTODIALYSE GAP;380793802;;;;;;;;;;;;;;;;;;;;;;4;C;A;;;;0;;;;;;;;;;;;;;;;
ORG;2020;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;060780657;;;;;;;;;;;;;;;;;;;;;;1;A;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;060000411;CH DU PAYS DE LA ROUDOULE PUGET;060780780;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0.1;
ORG;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;;;;;;;;;;1;A;;;;;1;D;;;;;90;C;;;;;;;;;;;;0.15;;;;;;;54.93;;
ORG;2020;060000486;CH SAINT ELOI DE SOSPEL;060780905;;;;;;;;;;;;;;;;;;;;;;10;A;;;;;;;;;;;;0;;;;;;;;0.1;
ORG;2020;060000494;CH SAINT LAZARE DE TENDE;060780921;;;;;;;;;;;;;;;;;;;;;;3;C;A;;;;1;1;ALPES MARITIMES;;;;;;;;;;;;;0.1;1.3
ORG;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;;;;1;A;;;;;;;;;;;1;D;;;;;10;C;;3;C;;;;;;;;;;;;3.5;;;;6.1;1.1;
ORG;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;;;;1;C;;;;;4;A;E;1;E;;;;;1;D;;210;C;E;1;E;;1;1;ALPES MARITIMES;;;;;1.5;12.12;;2.1;88.82;;8.3;10.4;;1
ORG;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;;;;2;A;D;;;;;;;;;;2;D;;1;D;;54;C;D;;;;;;;;;;;1.5;;0.4;6.22;1.23;;14.27;108.69;0.54;6.58
ORG;2020;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;0;;;0;;;0;;;0;;;0;;;0;;;0;;;1;C;;1;A;;1;1;ALPES MARITIMES;;;;;0;0;0;0;0;0;0;0;0.1;0
ORG;2020;060001625;CENTRE JEAN CHANTON ROQUEBILLIERE;060006889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;
ORG;2020;060002102;CH LA PALMOSA DE MENTON;060791761;;;;2;A;D;;;;;;;;;;;;;;;;16;C;D;;;;0;;;;;;;;;;;;;;;0.1;0.4
ORG;2020;060005469;L'OLIVERAIE DES CAYRONS;920030269;;;;;;;;;;;;;;;;;;;;;;31;;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;060006558;HAD ARNAULT TZANCK;060798865;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;ALPES MARITIMES;;;;;;;;;;;;;;
ORG;2020;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;;;;;
ORG;2020;060010949;AGAHTIR UDM ANTIBES;060790540;;;;;;;;;;;;;;;;1;;;;;;0;;;;;;0;;;;;;;3;;;;;;;;;3
ORG;2020;060019213;USLD DOLCE FARNIENTE;060005188;;;;;;;;;;;;;;;;;;;;;;1;D;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;060021094;CLINIQUE VILLA ROMAINE;060024619;;;;1;D;;;;;;;;;;;;;;;;;26;C;D;;;;0;;;;;;;0.1;;;0.25;;;0.3;;;0.25
ORG;2020;060021201;CENTRE DE CONVALESCENCE ATLANTIS;060000155;;;;;;;;;;;;;;;;;;;;;;25;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;0;;;1;D;;;;;;;;;;;2;D;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;060780186;LES LAURIERS ROSES CHAINES DE VIE 06;060006939;;;;1;A;B;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.1;;;;;;;;;
ORG;2020;060780343;E3S SAINT JEAN;060000171;;;;;;;;;;;;;;;;;;;;;;9;C;D;;;;0;;;;;;;0.14;0;0;0;0;0;0;0;0;0
ORG;2020;060780392;POLE ANTIBES SAINT JEAN;060000205;;;;;;;;;;;;;;;;;;;;;;11;C;D;;;;0;;;;;;;0.3;0;0;0;0;0;0;0;0;0
ORG;2020;060780459;CRF ORSAC MONT FLEURI;010783009;;;;;;;;;;;;;;;;;;;;;;4;C;D;;;;0;;;;;;;0;;;;;;;;;
ORG;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;;;;;;;;;;;;;1;B;;4;D;;;;;31;C;D;5;G;;0;;;;;;;;;;;;;;;;
ORG;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;;;;;;;;;;;;;;;;;;;;;;19;C;;;;;0;;;;;;;0.25;0;0;0;0;0;0;0;0;0
ORG;2020;060780541;CLINIQUE LA GRANGEA;060000262;;;;;;;;;;;;;;;;;;;;;;6;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;060780558;CLINIQUE LES CADRANS SOLAIRES;750720575;;;;;;;;;;;;;;;;;;;;;;22;A;C;;;;0;;;;;;;0.1;;;;;;;;;
ORG;2020;060780590;CLINIQUE DU PALAIS;060000270;;;;1;A;;;;;;;;;;;5;D;;;;;4;C;;;;;0;;;;;;;0;;;;;;;;;
ORG;2020;060780665;CLINIQUE DU MERIDIEN;060000312;;;;;;;;;;;;;;;;;;;;;;2;A;;;;;0;;;;;;;;;;;;;0.6;;;
ORG;2020;060780715;CLINIQUE SAINT GEORGE;060000361;;;;;;;;;;;;;1;B;;;;;;;;;;;24;C;;0;;;;;;;;;;;;;;;;
ORG;2020;060780723;CLINIQUE DU PARC IMPERIAL;060004959;;;;1;D;;;;;;;;;;;1;A;;;;;27;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;060780749;CLINIQUE SAINT LUC;060000395;;;;;;;;;;;;;;;;1;A;;;;;;;;;;;0;;;;;;;0.1;;;0.25;;;0.87;;;0.25
ORG;2020;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;;;;;;;1;C;;;;;;;;1;A;;;;;;;;;;;0;;;;;;;;57.48;;;73.94;;;;;
ORG;2020;060780996;CHS SAINTE MARIE NICE;630786754;;;;1;E;;;;;;;;;;;;;;;;;75;C;D;;;;1;1;ALPES MARITIMES;;;;;;;;;;;;;;
ORG;2020;060781200;CLINIQUE SAINT ANTOINE;060000635;;;;;;;;;;;;;1;B;;;;;;;;44;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;060781374;INSTITUT POLYCLINIQUE DE CANNES;060000718;;;;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;060781929;CLINIQUE DE LA COSTIERE;060000858;;;;;;;;;;;;;;;;1;;;;;;;;;;;;0;;;;;;;0.25;;;0.5;;;1.68;;;0.8
ORG;2020;060785243;HAD NICE & REGION;060001484;2;C;;;;;;;;;;;;;;;;;;;;19;C;;;;;1;1;ALPES DU SUD;;;;;;0.04;;;0.4;;;0.9;;
ORG;2020;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;;;;;
ORG;2020;060789674;CENTRE HELIO MARIN;130037815;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;;;;;;1;;
ORG;2020;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;;;;;;;;;;;;;;;;;;;;;;90;C;D;;;;0;;;;;;;0.1;;;;;;;;;0.1
ORG;2020;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;060790797;;;;;;;;;;;;;;;;;;;;;;2;C;A;;;;0;;;;;;;0;0;0;0;0;0;0;0;0;0
ORG;2020;060792090;AGAHTIR DIALYSE A DOMICILE NICE;060790540;;;;;;;;;;;;;;;;;;;;;;5;C;A;;;;0;;;;;;;;;;;;;;;;
ORG;2020;060792926;CENTRE D'HEMDIALYSE DE LA RIVIERA;920033636;;;;;;;;;;;;;;;;1;A;B;;;;3;C;;;;;0;;;;;;;3;;;;;;;;;3
ORG;2020;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;;;;;;;;;;;;;1;B;;1;D;;;;;22;C;D;2;G;;1;1;ALPES MARITIMES;;;;;;;;;;;;;;
ORG;2020;060798881;MAISON DE CONVALESCENCE LA SERENA;060798873;;;;;;;;;;;;;;;;;;;;;;25;C;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;;;;;;;;;;;;;;;;4;D;B;;;;1;A;;;;;0;;;;;;;1;;;;;;;;;6
ORG;2020;060800174;FONDATION LENVAL;060800174;;;;1;C;;;;;;;;;;;1;A;;;;;;;;;;;0;;;;;;;;;;;;;;;;
ORG;2020;070000021;CH DE JOYEUSE;070007927;;;;1;A;;;;;;;;;;;1;A;;;;;2;C;;;;;1;1;SUD DRÔME ARDÈCHE;;;;;;;;;;;;0.1;;
ORG;2020;070000039;CH DE VALLON PONT D'ARC;070780119;;;;1;A;B;;;;;;;;;;1;A;;;;;1;A;;;;;;;;;;;;0.25;;0.01;;1.23;;;;0.12;0.5
ORG;2020;070000047;CH DE VILLENEUVE DE BERG;070780127;;;;1;A;B;;;;;;;;;;1;A;;;;;1;A;;;;;0;;;;;;;0.2;;;;;0.01;;0;0.02;
ORG;2020;070000062;CH DE BOURG SAINT ANDEOL;070005558;;;;2;A;;;;;;;;1;A;;;;;;;;20;C;B;;;;0;;;;;;;0.1;;;;;;;;;
ORG;2020;070000070;CH DU CHEYLARD;070780150;;;;2;B;A;;;;;;;;;;;;;;;;5;D;C;;;;;;;;;;;;;0.01;;;;;;0.06;
ORG;2020;070000096;HOPITAL DE MOZE;070780184;;;;2;A;C;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0.1;;;;;;;;;
ORG;2020;070000112;CH LEOPOLD OLLIER;070007927;;;;1;A;;;;;;;;;;;1;A;;;;;2;C;;;;;1;1;SUD DRÔME ARDÈCHE;;;;;;;;;;;;0.1;;
ORG;2020;070000187;CH DE LAMASTRE;070780366;0;;;0;;;0;;;0;;;1;B;;0;;;0;;;66;C;A;0;;;1;1;RHÔNE VERCORS VIVARAIS;;;;;0;0;0;0.07;0;0;0.5;0;0;0
ORG;2020;070000195;CH DE TOURNON SUR RHONE;070780374;;;;1;B;;;;;;;;2;A;B;1;B;;;;;28;C;E;6;A;;;;;;;;;0.01;;;;;;1.45;;0.1;2.78
ORG;2020;070000203;CH DE SAINT FELICIEN;070780382;;;;1;B;;;;;;;;;;;;;;;;;8;C;A;;;;;;;;;;;0.03;0;0;0.2;0;0;0.83;0;0.1;0.59
ORG;2020;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;380793802;;;;;;;;;;;;;;;;;;;;;;6;C;A;;;;0;;;;;;;;;;;;;;;;
ORG;2020;070005046;CH DROME-VIVARAIS - HDJ/CMP ADU GUIL.;260003264;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;1;1;RHÔNE VERCORS VIVARAIS;;;;;0.5;;;;;;;;;
ORG;2020;070780226;SSR FILIERIS DES VANS;750050759;;;;1;B;C;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;0;0;0;0;0;0;0;0
ORG;2020;070780234;CENTRE SSR LE CHATEAU;750721300;;;;1;A;;;;;;;;;;;;;;;;;3;A;C;;;;1;1;SUD DRÔME ARDÈCHE;;;;;0;;;;;;;;;
ORG;2020;070780242;MAISON DE CONVALESCENCE CONDAMINE;070000120;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;SUD DRÔME ARDÈCHE;;;;;;;;;;0.2;;;;
ORG;2020;070780317;CHS SAINTE-MARIE PRIVAS;630786754;;;;;;;;;;;;;1;B;;;;;;;;130;C;A;;;;0;;;;;;;;;;0.19;;;2.74;;;
ORG;2020;070780390;CH DE SERRIERES;070000211;;;;1;B;;;;;;;;;;;;;;;;;15;C;A;;;;1;1;LOIRE;;;;;0.1;0;;;0;;0.4;0.05;0.07;
ORG;2020;070780424;CLINIQUE PASTEUR;070000245;;;;;;;;;;;;;;;;;;;;;;56;C;D;0;;;0;;;;;;;0.05;;;1.24;;;;;;
ORG;2020;070784897;CENTRE DE POST-CURE CROIX BLEUE VIRAC;750820680;;;;1;A;B;;;;;;;;;;1;A;;;;;26;D;C;;;;1;1;SUD DRÔME ARDÈCHE;;;;;;;;;;;;;;
ORG;2020;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;;;;1;A;;;;;;;;1;B;;;;;;;;61;A;C;;;;;;;;;;;;;;;;1;;2;;
ORG;2020;080000250;CRF POUR ADULTES;540019726;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;;;;;;;;;;;
ORG;2020;080000268;SOINS DE SUITE SAINT JULIEN;540019726;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;NORD ARDENNES;;;;;;;;;;;;;;
