BOR;AN;FI;RS;FI_EJ;PERSO;EFFPL;EFFPAS;ETP;GAR;AST
BLOCS_P;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;NAUT;2;0;1.98;;
BLOCS_P;2020;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M100H;;3;0.6;0;0
BLOCS_P;2020;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M1030;;4;0.53;0;0
BLOCS_P;2020;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;M200H;;8;0.44;0;0
BLOCS_P;2020;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;N2200;;4;3.2;0;0
BLOCS_P;2020;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;N2310;;1;0.7;0;0
BLOCS_P;2020;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;N4160;1;;1;0;0
BLOCS_P;2020;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;NAUT;;2;1.6;0;0
BLOCS_P;2020;010780195;CLINIQUE CONVERT;010000156;M100H;39;;32;0;1
BLOCS_P;2020;010780195;CLINIQUE CONVERT;010000156;M1030;12;;11.5;1;1
BLOCS_P;2020;010780195;CLINIQUE CONVERT;010000156;M200H;47;;47;1;1
BLOCS_P;2020;010780195;CLINIQUE CONVERT;010000156;N2200;21;4;24.24;0;1
BLOCS_P;2020;010780195;CLINIQUE CONVERT;010000156;N2310;1;1;1.96;0;1
BLOCS_P;2020;010780195;CLINIQUE CONVERT;010000156;N2320;2;0;2.4;0;1
BLOCS_P;2020;010780195;CLINIQUE CONVERT;010000156;N2510;11;2;6.91;0;1
BLOCS_P;2020;010780195;CLINIQUE CONVERT;010000156;N4130;0;0;0;0;1
BLOCS_P;2020;010780195;CLINIQUE CONVERT;010000156;N4160;2;0;2;0;1
BLOCS_P;2020;010780195;CLINIQUE CONVERT;010000156;NAUT;7;0;6.4;0;1
BLOCS_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M100H;;2;1;0;1
BLOCS_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M1030;5;;5;0;1
BLOCS_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;M200H;12;14;20;0;1
BLOCS_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2200;8;5;11.35;0;
BLOCS_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2310;2;2;3.5;0;
BLOCS_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2320;3;;3.16;0;
BLOCS_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N2510;2;;2.63;0;
BLOCS_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;N4160;1;;1;0;
BLOCS_P;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;NAUT;4;4;5.48;0;
BLOCS_P;2020;020000162;CH SAINT-QUENTIN;020000063;M100H;0;3;0.5;0;0
BLOCS_P;2020;020000162;CH SAINT-QUENTIN;020000063;M1030;4;64;8.9;1;
BLOCS_P;2020;020000162;CH SAINT-QUENTIN;020000063;M200H;13;19;24.95;0;1
BLOCS_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2200;21;7;23.91;1;
BLOCS_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2310;19;9;24.29;1;
BLOCS_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2320;11;4;14.08;1;
BLOCS_P;2020;020000162;CH SAINT-QUENTIN;020000063;N2510;12;1;11.22;0;0
BLOCS_P;2020;020000162;CH SAINT-QUENTIN;020000063;NAUT;40;25;51.4;0;0
BLOCS_P;2020;020000360;CLINIQUE COURLANCY SOISSONS;020014742;M100H;1;;1;;
BLOCS_P;2020;020000360;CLINIQUE COURLANCY SOISSONS;020014742;M1030;3;;3;;
BLOCS_P;2020;020000360;CLINIQUE COURLANCY SOISSONS;020014742;M200H;2;21;;;
BLOCS_P;2020;020000360;CLINIQUE COURLANCY SOISSONS;020014742;N2200;13;1;8.68;;
BLOCS_P;2020;020000360;CLINIQUE COURLANCY SOISSONS;020014742;N2320;2;;0.1;;
BLOCS_P;2020;020000360;CLINIQUE COURLANCY SOISSONS;020014742;N2510;3;;1.81;;
BLOCS_P;2020;020000360;CLINIQUE COURLANCY SOISSONS;020014742;N4160;1;;0.94;;
BLOCS_P;2020;020000360;CLINIQUE COURLANCY SOISSONS;020014742;NAUT;2;;0.87;;
BLOCS_P;2020;020000394;CH LAON;020000253;M1030;7;0;6.45;1;0
BLOCS_P;2020;020000394;CH LAON;020000253;N2200;13;6;15.69;1;1
BLOCS_P;2020;020000394;CH LAON;020000253;N2310;10;0;10.08;1;1
BLOCS_P;2020;020000394;CH LAON;020000253;N2320;6;1;5.72;1;1
BLOCS_P;2020;020000394;CH LAON;020000253;N2510;7;2;7.77;0;0
BLOCS_P;2020;020000394;CH LAON;020000253;NAUT;6;1;6.62;0;0
BLOCS_P;2020;020000519;CH SOISSONS;020000261;M1030;6;1;6.4;1;0
BLOCS_P;2020;020000519;CH SOISSONS;020000261;M200H;21;8;26.2;;0
BLOCS_P;2020;020000519;CH SOISSONS;020000261;N2200;14;3;14.4;0;0
BLOCS_P;2020;020000519;CH SOISSONS;020000261;N2310;6;5;9.9;1;1
BLOCS_P;2020;020000519;CH SOISSONS;020000261;N2320;6;4;9.29;1;1
BLOCS_P;2020;020000519;CH SOISSONS;020000261;N2510;10;0;10;0;0
BLOCS_P;2020;020000519;CH SOISSONS;020000261;N4160;1;;1;1;1
BLOCS_P;2020;020000519;CH SOISSONS;020000261;NAUT;5;0;6.5;0;0
BLOCS_P;2020;020000535;CH CHAUNY;020000287;M100H;;3;0.2;0;1
BLOCS_P;2020;020000535;CH CHAUNY;020000287;M1030;;2;5.98;1;0
BLOCS_P;2020;020000535;CH CHAUNY;020000287;M200H;;8;0.86;0;1
BLOCS_P;2020;020000535;CH CHAUNY;020000287;N2200;4;;3.14;;
BLOCS_P;2020;020000535;CH CHAUNY;020000287;N2310;1;1;1.8;;1
BLOCS_P;2020;020000535;CH CHAUNY;020000287;N2320;5;;5;;1
BLOCS_P;2020;020000535;CH CHAUNY;020000287;N2510;4;;3.44;;
BLOCS_P;2020;020000535;CH CHAUNY;020000287;NAUT;2;2;2.32;;
BLOCS_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;M1030;;;;1;0
BLOCS_P;2020;020001061;CH CHÂTEAU-THIERRY;020004404;M200H;;;;0;1
BLOCS_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M100H;21;10;23.2;;
BLOCS_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M1030;7;;7;;
BLOCS_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M200H;14;10;16.6;0;1
BLOCS_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2200;14;1;14.8;0;1
BLOCS_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2320;4;;4;0;1
BLOCS_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2510;9;1;9.5;0;0
BLOCS_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N4160;3;;3;0;0
BLOCS_P;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;NAUT;10;;10;0;0
BLOCS_P;2020;030000061;CH DE MOULINS;030780092;M100H;0;5;1.4;0;1
BLOCS_P;2020;030000061;CH DE MOULINS;030780092;M1030;0;9;5.93;1;0
BLOCS_P;2020;030000061;CH DE MOULINS;030780092;M200H;0;18;5.34;0;1
BLOCS_P;2020;030000061;CH DE MOULINS;030780092;N2200;11;0;10.33;1;1
BLOCS_P;2020;030000061;CH DE MOULINS;030780092;N2310;13;0;13.37;1;0
BLOCS_P;2020;030000061;CH DE MOULINS;030780092;N2320;10;0;9.92;1;1
BLOCS_P;2020;030000061;CH DE MOULINS;030780092;N2510;11;2;9.63;0;1
BLOCS_P;2020;030000061;CH DE MOULINS;030780092;N4160;1;0;0.95;0;0
BLOCS_P;2020;030000061;CH DE MOULINS;030780092;NAUT;4;4;4.49;0;0
BLOCS_P;2020;030000079;CH DE MONTLUCON;030780100;M1030;5;1;5.13;1;0
BLOCS_P;2020;030000079;CH DE MONTLUCON;030780100;N2200;7;;5.3;0;1
BLOCS_P;2020;030000079;CH DE MONTLUCON;030780100;N2310;9;1;8.04;0;1
BLOCS_P;2020;030000079;CH DE MONTLUCON;030780100;N2320;7;;7.34;0;1
BLOCS_P;2020;030000079;CH DE MONTLUCON;030780100;N2510;7;1;7.25;0;0
BLOCS_P;2020;030000079;CH DE MONTLUCON;030780100;NAUT;1;;0.81;0;0
BLOCS_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;M1030;5;3;7.04;1;0
BLOCS_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;M200H;25;4;22.41;0;1
BLOCS_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N2200;25;7;31.08;;
BLOCS_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N2310;15;4;18.2;;
BLOCS_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N2320;10;1;8.6;;
BLOCS_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N2510;9;1;10.6;;
BLOCS_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N4130;3;2;4.73;;
BLOCS_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;N4160;2;0;2.05;;
BLOCS_P;2020;030000087;CH JACQUES LACARIN VICHY;030780118;NAUT;11;1;10.81;;
BLOCS_P;2020;030780548;POLYCLINIQUE LA PERGOLA;030000194;M100H;6;9;9.11;0;1
BLOCS_P;2020;030780548;POLYCLINIQUE LA PERGOLA;030000194;M1030;3;;3;0;1
BLOCS_P;2020;030780548;POLYCLINIQUE LA PERGOLA;030000194;M200H;17;9;18.03;0;1
BLOCS_P;2020;030780548;POLYCLINIQUE LA PERGOLA;030000194;N2200;15;2;18.39;;1
BLOCS_P;2020;030780548;POLYCLINIQUE LA PERGOLA;030000194;N2320;1;;1.22;;1
BLOCS_P;2020;030780548;POLYCLINIQUE LA PERGOLA;030000194;N2510;6;;6;;0
BLOCS_P;2020;030780548;POLYCLINIQUE LA PERGOLA;030000194;N4160;1;;1;;1
BLOCS_P;2020;030780548;POLYCLINIQUE LA PERGOLA;030000194;NAUT;5;1;4.95;;0
BLOCS_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M100H;10;2;11;0;1
BLOCS_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M1030;5;;5;0;1
BLOCS_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;M200H;13;;12;0;1
BLOCS_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2200;19;3;20.94;0;
BLOCS_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2320;4;;3.5;0;
BLOCS_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N2510;8;;8;0;
BLOCS_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N4130;;;;0;1
BLOCS_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;N4160;2;;2;0;
BLOCS_P;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;NAUT;7;;7;0;
BLOCS_P;2020;030785430;POLYCLINIQUE SAINT-ODILON;030785422;M100H;13;9;15.6;0;0
BLOCS_P;2020;030785430;POLYCLINIQUE SAINT-ODILON;030785422;M1030;4;;4;0;1
BLOCS_P;2020;030785430;POLYCLINIQUE SAINT-ODILON;030785422;M200H;11;5;13.2;0;1
BLOCS_P;2020;030785430;POLYCLINIQUE SAINT-ODILON;030785422;N2200;5;0;4.24;0;1
BLOCS_P;2020;030785430;POLYCLINIQUE SAINT-ODILON;030785422;N2320;11;0;10.22;0;1
BLOCS_P;2020;030785430;POLYCLINIQUE SAINT-ODILON;030785422;N2510;3;0;2.85;0;1
BLOCS_P;2020;030785430;POLYCLINIQUE SAINT-ODILON;030785422;N4160;1;;1;0;0
BLOCS_P;2020;030785430;POLYCLINIQUE SAINT-ODILON;030785422;NAUT;1;;1;0;0
BLOCS_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M100H;1;0;0.26;0;
BLOCS_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M1030;0;0;0;1;
BLOCS_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M200H;9;4;1.97;0;1
BLOCS_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2200;6;9;12.81;0;1
BLOCS_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2310;9;3;11.32;0;1
BLOCS_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2320;3;1;4.53;0;1
BLOCS_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2510;2;0;1.31;0;0
BLOCS_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N4160;1;0;1;0;0
BLOCS_P;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;NAUT;6;1;6.67;0;0
BLOCS_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M100H;;2;0.2;0;1
BLOCS_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M1030;;21;2.66;0;1
BLOCS_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M200H;;8;2.34;0;1
BLOCS_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2200;11;1;11.35;0;1
BLOCS_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2310;6;1;6.8;0;1
BLOCS_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2320;3;;3;0;1
BLOCS_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2510;6;6;11.22;0;1
BLOCS_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N4130;;;;0;1
BLOCS_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N4160;;;;0;1
BLOCS_P;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;NAUT;1;12;6.9;0;1
BLOCS_P;2020;040780470;CLINIQUE TOUTES AURES;040000192;M100H;1;;1;0;0
BLOCS_P;2020;040780470;CLINIQUE TOUTES AURES;040000192;M1030;3;;3;0;1
BLOCS_P;2020;040780470;CLINIQUE TOUTES AURES;040000192;M200H;5;15;8;0;1
BLOCS_P;2020;040780470;CLINIQUE TOUTES AURES;040000192;N2200;9;;9;;
BLOCS_P;2020;040780470;CLINIQUE TOUTES AURES;040000192;N2310;2;;2;;
BLOCS_P;2020;040780470;CLINIQUE TOUTES AURES;040000192;N2320;1;;1;;
BLOCS_P;2020;040780470;CLINIQUE TOUTES AURES;040000192;N4160;1;;1;;
BLOCS_P;2020;040780470;CLINIQUE TOUTES AURES;040000192;NAUT;2;1;2.25;;
BLOCS_P;2020;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;M100H;4;;4;0;1
BLOCS_P;2020;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;M1030;5;2;6;1;1
BLOCS_P;2020;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;M200H;23;;23;0;1
BLOCS_P;2020;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;N2200;16;1;16.8;;0
BLOCS_P;2020;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;N2310;5;1;5.5;0;0
BLOCS_P;2020;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;N2320;6;10;11;0;0
BLOCS_P;2020;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;N4160;2;;2;0;1
BLOCS_P;2020;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;NAUT;9;1;9.8;;0
BLOCS_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;M100H;0;1;0.3;;
BLOCS_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;M1030;3;6;6.38;;
BLOCS_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;M200H;0;18;4.6;;
BLOCS_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2200;7;2;8.88;;
BLOCS_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2310;9;0;7.89;;
BLOCS_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2320;6;3;8.28;;
BLOCS_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2510;4;2;5.1;;
BLOCS_P;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;NAUT;2;0;2.3;;
BLOCS_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M1030;0;11;7.21;;
BLOCS_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2200;8;2;8.68;;
BLOCS_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2310;15;9;19.83;;
BLOCS_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2320;9;7;13.9;;
BLOCS_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2510;9;5;11.58;;
BLOCS_P;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NAUT;4;3;5.31;;
BLOCS_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M100H;1;0;0.81;0;1
BLOCS_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M1030;6;1;4.96;1;
BLOCS_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M200H;13;7;4.36;1;0
BLOCS_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2200;11;1;11.61;;
BLOCS_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2310;17;2;13.38;;
BLOCS_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2320;11;2;11.72;;
BLOCS_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2510;1;0;1;;
BLOCS_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N4160;3;0;0.6;;
BLOCS_P;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NAUT;11;0;7.11;;
BLOCS_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M1030;5;2;5.85;1;0
BLOCS_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M200H;18;22;16.48;0;1
BLOCS_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2200;14;4;16.2;0;0
BLOCS_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2310;11;3;12.89;0;1
BLOCS_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2320;11;;9.43;0;1
BLOCS_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2510;7;1;7.98;0;0
BLOCS_P;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;NAUT;11;1;12.53;0;0
BLOCS_P;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;M100H;6;2;1.38;;
BLOCS_P;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;M1030;7;1;4.29;;
BLOCS_P;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;M200H;9;3;4.5;;
BLOCS_P;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N2200;13;;13.25;;
BLOCS_P;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N2310;11;1;10.42;;
BLOCS_P;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N2320;3;1;3.47;;
BLOCS_P;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N2510;10;;7.86;;
BLOCS_P;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;N4160;1;;1;;
BLOCS_P;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;NAUT;8;;4.62;;
BLOCS_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;M100H;9;1;3.21;;
BLOCS_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;M1030;11;4;10.89;1;0
BLOCS_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;M200H;32;11;9.78;;
BLOCS_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N2200;14;13;23.35;0;1
BLOCS_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N2310;13;11;19.06;0;1
BLOCS_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N2320;4;4;6.57;0;1
BLOCS_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;N2510;6;6;11.95;0;0
BLOCS_P;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;NAUT;9;5;12.31;0;0
BLOCS_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;M1030;3;2;4;0;1
BLOCS_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;M200H;5;13;7.3;0;1
BLOCS_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;N2200;8;3;10.1;0;1
BLOCS_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;N2310;3;1;3.8;0;1
BLOCS_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;N2320;3;1;3.8;0;1
BLOCS_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;N2510;6;;6;0;1
BLOCS_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;N4160;1;;1;0;0
BLOCS_P;2020;060002102;CH LA PALMOSA DE MENTON;060791761;NAUT;3;;3;0;0
BLOCS_P;2020;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;M100H;0;1;0.19;0;1
BLOCS_P;2020;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;M1030;0;3;2.4;0;0
BLOCS_P;2020;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;M200H;0;11;2.88;0;1
BLOCS_P;2020;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;N2200;7;1;7.05;;
BLOCS_P;2020;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;N2310;3;1;4;;
BLOCS_P;2020;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;N2320;1;;1;;
BLOCS_P;2020;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;N2510;4;0;3.88;;
BLOCS_P;2020;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;NAUT;0;2;2;;
BLOCS_P;2020;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;M100H;3;4;5.3;0;1
BLOCS_P;2020;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;M1030;9;;9;;1
BLOCS_P;2020;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;M200H;74;;74;;1
BLOCS_P;2020;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;N2200;23;9;28.9;;1
BLOCS_P;2020;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;N2310;;6;4.8;0;0
BLOCS_P;2020;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;N2320;;1;0.57;0;0
BLOCS_P;2020;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;N2510;4;1;4.5;0;0
BLOCS_P;2020;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;N4160;2;1;2.57;0;1
BLOCS_P;2020;060780442;CLINIQUE SAINT FRANCOIS;060000213;M1030;4;;4;0;1
BLOCS_P;2020;060780442;CLINIQUE SAINT FRANCOIS;060000213;M200H;6;;6;0;1
BLOCS_P;2020;060780442;CLINIQUE SAINT FRANCOIS;060000213;N2200;9;;9;0;1
BLOCS_P;2020;060780442;CLINIQUE SAINT FRANCOIS;060000213;N2310;1;;1;0;0
BLOCS_P;2020;060780442;CLINIQUE SAINT FRANCOIS;060000213;N2510;1;;1;0;0
BLOCS_P;2020;060780442;CLINIQUE SAINT FRANCOIS;060000213;N4130;1;;1;0;0
BLOCS_P;2020;060780442;CLINIQUE SAINT FRANCOIS;060000213;N4160;1;;1;0;0
BLOCS_P;2020;060780442;CLINIQUE SAINT FRANCOIS;060000213;NAUT;5;;5;0;0
BLOCS_P;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;M100H;;16;7.14;0;1
BLOCS_P;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;M1030;;12;6;1;1
BLOCS_P;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;M200H;;26;13;0;1
BLOCS_P;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;N2200;28;1;26.14;0;1
BLOCS_P;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;N2320;1;;0.98;0;1
BLOCS_P;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;N2510;6;;5.79;0;1
BLOCS_P;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;N4160;2;;1.5;0;1
BLOCS_P;2020;060780491;INSTITUT ARNAULT TZANCK;060790797;NAUT;4;;5.25;0;1
BLOCS_P;2020;060780517;POLYCLINIQUE SAINT JEAN;060000239;M100H;;3;0;0;0
