BOR;AN;FI;RS;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;JLI_HTP;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;JOU_ST;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_SEUL_PA;NB_CMP_SEUL_PL;NB_CONSULT_SEUL;NB_CATTP;ACT_CMP_SEUL;ACT_CONSULT_SEUL;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;FIL_TOT;FIL_AMB;FIL_TPL;FIL_PLA;EFFPL_PKT;EFFPA_PKT;ETP_PKT;EFFPL_MED;EFFPA_MED;ETP_MED;GAR_SEN;AST_SEN;EFFPL_PNM;EFFPA_PNM;ETP_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_ASS;ETP_REE;ETP_EDU;HPLEFFPL_PKT;HPLEFFPA_PKT;HPLETP_PKT;HPLEFFPL_MED;HPLEFFPA_MED;HPLETP_MED;HPLEFFPL_PNM;HPLEFFPA_PNM;HPLETP_PNM;HPLETP_INF;HPLETP_AID;HPLETP_PSY;HPLETP_ASS;HPLETP_REE;HPLETP_EDU
PSY;2020;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;PEN;;;;;;;;;;;0;0;;0;;;;;;;;;;;;0;2;;1;0;;756;0;;;;776;719;0;0;2;0;2;1;1;1.2;;;42;3;44.51;32.49;3;3.17;;0;186;2;0;2;6;1;0.5;30;2;31.01;23.61;3;0.4;;0;0
PSY;2020;020000543;;020000295;TOT;1;;5;1;313;87;0;0;0;0;112500;160;4;0;2444;92200;28227;0;0;0;0;0;8556;0;;2;16;43;3;82736;6469;8420;59865;2074;2171;212;10912;9052;450;157;26;3;26.6;15;3;5.3;;;716;79;791.16;505.89;71.36;51.22;;13.75;233.15;15;2;16;6;1;6.5;508;55;496.64;332.11;66.79;6.94;;2.08;13.27
PSY;2020;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;GEN;;;;;60;;;;;;21960;12;;;556;18302;;;;;;;2243;;;;;;;;;;;;;;410;;335;1;5;;5;;;;0;0;62;7;70.92;29.4;18.88;1;;;;;;;;;;;;;;;;;;
PSY;2020;020004156;;590805065;TOT;0;;;0;60;;;;;;21960;12;;;556;18302;;;;;;;2243;;;;;;;;;;;;;;410;;335;1;5;;5;;;;;;62;7;70.92;29.4;18.88;1;;;;;;;;;;;;;;;;;;
PSY;2020;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;GEN;;2;;;69;1;0;0;2;0;25254;36;4;0;831;20014;343;0;0;151;0;90;8366;13;0;2;1;0;4;23409;10979;520;801;119;1910;0;3145;2600;448;;7;1;7.8;0;2;1;1;;96;27;112.14;92.85;0.33;3.94;;0;3.2;;;;;;;;;;;;;;;
PSY;2020;020006664;;020000063;TOT;1;;0;0;69;1;0;0;2;0;25254;36;4;0;831;20014;343;0;0;151;0;90;8366;13;0;2;1;0;4;23409;10979;520;801;119;1910;0;3145;2600;448;;7;1;7.8;0;2;1;;;96;27;112.14;92.85;0.33;3.94;;0;3.2;;;;;;;;;;;;;;;
PSY;2020;030000061;CH DE MOULINS;030780092;GEN;;2;;;116;15;0;15;0;0;42456;30;1;4;805;34326;4745;;4328;;;;4976;109;1050;0;7;0;1;25757;;151;7304;1670;113;5;3506;2828;550;44;4;3;4.56;7;0;5.94;0;1;217;30;238.13;144.65;24.14;6;;2.65;5.14;2;4;3.19;5;1;4.77;117;34;172.1;104.37;17.83;2.1;;0;2.51
PSY;2020;030000061;CH DE MOULINS;030780092;INF;;1;;;19;26;;;0;0;6294;28;0;0;359;5007;4432;;;;;;3487;;;0;3;0;2;10297;;1223;549;109;67;31;1019;851;62;5;1;3;2.22;2;0;1.16;0;0;91;11;100.79;44.04;10.34;4.05;;2.75;10.78;0;4;1.18;1;1;0.56;37;12;60.29;26.08;5.89;1.55;;0.32;3.63
PSY;2020;030000061;CH DE MOULINS;030780092;PEN;;;;;0;;;;;;0;0;;0;;;;;;;;;;;;0;0;;0;;;;1;;;;1;1;;;0;2;1;0;0;0;;;0;0;0;0;0;0;;0;0;;;;;;;;;;;;;;;
PSY;2020;030000061;;030780092;TOT;1;;1;1;135;41;0;15;0;0;48750;58;1;4;1164;39333;9177;;4328;;;;8463;109;1050;0;10;0;3;36054;;1374;7854;1779;180;36;4492;3659;608;49;5;7;7.78;9;0;7.1;;;308;41;338.92;188.69;34.48;10.05;;5.4;15.92;2;8;4.37;6;2;5.33;154;46;232.39;130.45;23.72;3.65;;0.32;6.14
PSY;2020;030000087;CH JACQUES LACARIN VICHY;030780118;GEN;;2;;;85;4;;16;;;31044;35;;;699;22614;1050;0;4192;0;0;0;1647;8;;3;3;;1;28881;0;377;9662;4149;479;0;2376;1770;533;11;6;3;5.99;1;;1;0;1;142;20;155.72;98.67;18.77;7.22;;0;3.72;4;1;3.34;1;;1;101;11;110.19;69.2;18.77;0.81;;0;2.72
PSY;2020;030000087;CH JACQUES LACARIN VICHY;030780118;INF;;1;;;;4;;;;;;10;;;0;0;86;;;0;0;;584;0;;3;2;;1;13125;0;1200;315;20;247;27;704;664;2;;2;2;2.37;;;;0;0;24;10;29.76;5.8;0;5.45;;2.72;9;;;;;;;;;;;;;;;
PSY;2020;030000087;;030780118;TOT;1;;1;0;85;8;;16;;;31044;45;;;699;22614;1136;0;4192;0;0;0;2231;8;;6;5;;2;42006;0;1577;9977;4169;726;27;3073;2430;535;11;8;5;8.36;1;;1;;;166;30;185.48;104.47;18.77;12.67;;2.72;12.72;4;1;3.34;1;;1;101;11;110.19;69.2;18.77;0.81;;0;2.72
PSY;2020;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;GEN;;1;;;59;337;0;0;0;0;20765;0;0;0;354;14891;108204;0;0;0;0;36;0;0;0;1;0;1;1;499;18265;127;878;0;0;0;838;422;416;303;2;2;3.4;4;2;4.31;0;1;69;16;84.95;54.47;20.17;2.87;;1.86;5.58;0;4;0.65;0;5;2.27;40;17;53.64;30.78;20.18;1.44;;0.43;0.82
PSY;2020;030000160;;030780282;TOT;1;;0;0;59;337;0;0;0;0;20765;0;0;0;354;14891;108204;0;0;0;0;36;0;0;0;1;0;1;1;499;18265;127;878;0;0;0;838;422;416;303;2;2;3.4;4;2;4.31;;;69;16;84.95;54.47;20.17;2.87;;1.86;5.58;0;4;0.65;0;5;2.27;40;17;53.64;30.78;20.18;1.44;;0.43;0.82
PSY;2020;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;GEN;;2;;;38;;;;;;13908;25;;;308;11609;;;;;;;4094;;;1;;1;2;27518;0;7635;8278;4;537;;1229;940;249;8;5;;4.05;1;;0.5;0;1;103;6;98.51;60.88;9.64;2.8;;0.5;2.39;4;;3.05;1;;0.5;75;4;68.15;40.93;9.64;0.7;;0.5;1.24
PSY;2020;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;INF;;1;;;;4;;;;;;12;;;3;;407;;;;;;1509;;;2;;1;1;6136;2315;506;;56;58;;1336;1305;3;2;2;1;2.12;;;0;0;1;23;4;24.44;6.05;;5.08;;3.5;5.74;;;;;;;;;;;;;;;
PSY;2020;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;415;;;;74;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2020;030781637;;030780100;TOT;1;;;1;38;4;;;;;13908;37;;;311;11609;407;;;;;;5603;;;3;;2;3;33654;2315;8141;8693;60;595;;2740;2417;259;10;7;1;6.17;1;;0.5;;;126;10;122.95;66.93;9.64;7.88;;4;8.13;4;;3.05;1;;0.5;75;4;68.15;40.93;9.64;0.7;;0.5;1.24
PSY;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;GEN;;2;;;110;10;0;0;0;0;32157;84;0;0;753;32157;1156;0;0;0;0;0;16142;0;0;0;10;1;0;49279;2656;0;2853;1254;2883;198;5369;4726;620;23;12;4;13.92;0;1;0.35;1;0;208;35;221.19;132.13;44.18;11.52;;0;6.5;10;3;10.94;0;1;0.38;156;20;163.33;77.11;44.18;8.69;;0;6.5
PSY;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;INF;;1;;;0;2;;;0;0;;37;0;0;0;0;0;;;0;0;0;3438;0;0;0;7;1;0;23680;14;0;8;148;83;1;1718;1608;110;0;3;1;3.1;0;1;0.12;0;0;62;14;62.71;28.58;0;17.96;;8.33;7.84;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
PSY;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;PEN;;;;;0;;;;;;0;0;;0;0;0;;;;;;;0;;0;0;0;;0;0;;0;0;;;;0;0;0;0;0;1;0.05;0;1;0.03;;;0;2;1.3;0.9;0;0.4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
PSY;2020;040000911;;040788879;TOT;1;;3;1;110;12;0;0;0;0;32157;121;0;0;753;32157;1156;0;0;0;0;0;19580;0;0;0;17;2;0;72959;2670;0;2861;1402;2966;199;7087;6334;730;23;15;6;17.07;0;3;0.5;;;270;51;285.2;161.61;44.18;29.88;;8.33;14.34;10;3;10.94;0;1;0.38;156;20;163.33;77.11;44.18;8.69;;0;6.5
PSY;2020;050000132;CH BUECH DURANCE;050007145;GEN;;1;;;62;12;18;;;;22692;18;1;1;884;17660;914;1384;;;;4;2694;0;344;;5;0;2;28534;;12637;3852;114;4014;0;3159;2650;505;2;9;2;8.55;3;3;3.83;;;143;47;180.81;101.12;17.41;6.19;;3.89;10.83;6;3;4.81;3;2;3.29;82;28;100.14;55.58;14.63;2.52;;1.65;2.46
PSY;2020;050000132;CH BUECH DURANCE;050007145;INF;;1;;;8;4;;;;;1728;21;;;403;1169;0;;;;;0;3766;0;0;;4;0;6;13048;;4981;3187;0;456;174;1221;964;114;0;2;2;3.73;;1;0.14;;;50;23;63.68;29.56;3.04;7.13;;4.46;5.17;1;2;2.73;;1;0.14;16;7;14.88;8.63;2.57;0.5;;0.4;0.33
PSY;2020;050000132;;050007145;TOT;1;;0;1;70;16;18;;;;24420;39;1;1;1287;18829;914;1384;;;;4;6460;0;344;;9;0;8;41582;;17618;7039;114;4470;174;4380;3614;630;2;11;4;12.28;3;4;3.97;;;193;70;244.49;130.68;20.45;13.32;;8.35;16;7;5;7.54;3;3;3.43;98;35;115.02;64.21;17.2;3.02;;2.05;2.79
PSY;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;GEN;;1;;;19;;4;;;;6954;12;2;;230;3369;;546;;;;;1150;7;;;1;;1;5782;;3115;;;;;826;655;76;1;2;2;3.18;0;2;0.54;0;0;24;25;43.28;35.76;0.04;2.38;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
PSY;2020;050000231;;050000116;TOT;1;;;0;19;;4;;;;6954;12;2;;230;3369;;546;;;;;1150;7;;;1;;1;5782;;3115;;;;;826;655;76;1;2;2;3.18;0;2;0.54;;;24;25;43.28;35.76;0.04;2.38;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
PSY;2020;050000454;LE FUTUR ANTERIEUR;050000645;INF;;;;;30;;;;;;10980;;;;106;8110;;;;;;;;;;;;;;;;;;;;;67;;;;1;1;0.8;;2;0.4;0;0;17;14;23.54;8.9;0.88;1.98;;0.22;8.86;;;;;;;;;;;;;;;
PSY;2020;050000454;;050000645;TOT;0;;;0;30;;;;;;10980;;;;106;8110;;;;;;;;;;;;;;;;;;;;;67;;;;1;1;0.8;;2;0.4;;;17;14;23.54;8.9;0.88;1.98;;0.22;8.86;;;;;;;;;;;;;;;
PSY;2020;050000991;CENTRE MEDICAL CHANT'OURS;050000546;GEN;;;;;40;;;;;;14600;;;;247;10450;;;;;;;;;;;;;;;;;;;;;247;;;;;6;1.37;0;5;1.35;0;0;14;36;24.34;11.85;1.28;0.82;;1.53;0.97;;;;;;;;;;;;;;;
PSY;2020;050000991;;050000546;TOT;0;;;0;40;;;;;;14600;;;;247;10450;;;;;;;;;;;;;;;;;;;;;247;;;;;6;1.37;0;5;1.35;;;14;36;24.34;11.85;1.28;0.82;;1.53;0.97;;;;;;;;;;;;;;;
PSY;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;GEN;;1;;;33;;;;;;12045;10;2;;460;10150;;;;;;0;1265;3;;;1;3;1;10828;1628;3583;2368;1028;1721;;1536;1304;203;10;10;1;7.6;0;1;0.2;;;57;13;60.88;42.63;5.8;3.35;;1.79;1.47;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
PSY;2020;060000478;;060780897;TOT;1;;;1;33;;;;;;12045;10;2;;460;10150;;;;;;0;1265;3;;;1;3;1;10828;1628;3583;2368;1028;1721;;1536;1304;203;10;10;1;7.6;0;1;0.2;;;57;13;60.88;42.63;5.8;3.35;;1.79;1.47;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
PSY;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;GEN;;2;;;80;;;;;;29280;25;2;;606;22015;;;;;;;2432;;;1;3;2;;13884;7378;75;1369;113;2219;0;3701;3271;430;71;13;1;11.67;;;;1;0;115;17;124.5;69.68;19.57;11.25;;;3.88;;;;;;;79;8;80.57;40.03;16.12;5;;;2.3
PSY;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;INF;;1;;;0;;;;;;;10;0;;;;;;;;;;532;;;3;5;1;1;15425;2034;2635;0;10;1456;54;1781;1781;;;6;3;6.5;;;;1;0;25;20;36.22;6.26;;13.32;;4.59;10.24;;;;;;;;;;;;;;;
PSY;2020;060000510;;060780954;TOT;1;;4;0;80;;;;;;29280;35;2;;606;22015;;;;;;;2964;;;4;8;3;1;29309;9412;2710;1369;123;3675;54;5435;5005;430;71;19;4;18.17;;;;;;140;37;160.72;75.94;19.57;24.57;;4.59;14.12;;;;;;;79;8;80.57;40.03;16.12;5;;;2.3
PSY;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;GEN;;2;;;58;;;;8;;21203;25;;;481;17404;;;;1482;;;1323;;;;2;1;;22506;1995;;1126;835;2169;17;2509;1887;357;13;8;2;8.4;;;;1;0;92;74;125.16;62.19;23.84;6.33;;0.17;5.89;0;7;4.9;;;;56;46;83.38;43.75;16.84;2.7;;0.17;2.37
PSY;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;INF;;1;;;;;;;;;;10;;;;;;;;;;7;980;;;;3;1;3;11638;21;3762;85;337;889;292;1412;1385;2;;5;3;7.2;;;;0;0;34;37;46.7;10.91;;8.37;;9.47;9.64;;;;;;;;;;;;;;;
PSY;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98;;;;64;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSY;2020;060000544;;060780988;TOT;1;;2;1;58;;;;8;;21203;35;;;481;17404;;;;1482;;7;2303;;;;5;2;3;34144;2016;3762;1309;1172;3058;309;3985;3336;359;13;13;5;15.6;;;;;;126;111;171.86;73.1;23.84;14.7;;9.64;15.53;0;7;4.9;;;;56;46;83.38;43.75;16.84;2.7;;0.17;2.37
PSY;2020;060780442;CLINIQUE SAINT FRANCOIS;060000213;GEN;;;;;61;;;;;;22326;20;;;609;20910;;;;;;;3820;;;;;;;;;;;;;;489;;;;2;3;3.5;;;;0;1;31;2;;16;14;1.2;;;1;2;3;2.5;;;;29;1;;14;14;0.4;;;1
PSY;2020;060780442;;060000213;TOT;0;;;0;61;;;;;;22326;20;;;609;20910;;;;;;;3820;;;;;;;;;;;;;;489;;;;2;3;3.5;;;;;;31;2;;16;14;1.2;;;1;2;3;2.5;;;;29;1;;14;14;0.4;;;1
PSY;2020;060780525;CLINIQUE LE VAL D'ESTREILLES;060000247;GEN;;;;;64;;;;;;23424;;;;587;20425;;;;;;;;;;;;;;;;;;;;;587;;;;3;;3;;1;0.4;0;0;16;12;;12.5;5;0.94;;;1.42;;;;;;;;;;;;;;;
PSY;2020;060780525;;060000247;TOT;0;;;0;64;;;;;;23424;;;;587;20425;;;;;;;;;;;;;;;;;;;;;587;;;;3;;3;;1;0.4;;;16;12;;12.5;5;0.94;;;1.42;;;;;;;;;;;;;;;
PSY;2020;060780541;CLINIQUE LA GRANGEA;060000262;GEN;;;;;67;;;;;;24522;;;;787;21356;;;;;;;;;;;;;;;;;;;;;647;;647;;;3;2;;3;1.28;0;1;21;19;28.71;14.94;11;0.83;;0.34;1.6;;3;2;;3;1.28;21;19;;;;;;;
PSY;2020;060780541;;060000262;TOT;0;;;0;67;;;;;;24522;;;;787;21356;;;;;;;;;;;;;;;;;;;;;647;;647;;;3;2;;3;1.28;;;21;19;28.71;14.94;11;0.83;;0.34;1.6;;3;2;;3;1.28;21;19;;;;;;;
PSY;2020;060780749;CLINIQUE SAINT LUC;060000395;GEN;;;;;36;;;;;;13140;;;;330;12754;;;;;;;;;;;;;;;;;;;;;303;;;;;6;;;4;;0;0;24;;;9;2;0.2;;0.26;;;6;;;4;;;;;;;;;;
PSY;2020;060780749;;060000395;TOT;0;;;0;36;;;;;;13140;;;;330;12754;;;;;;;;;;;;;;;;;;;;;303;;;;;6;;;4;;;;24;;;9;2;0.2;;0.26;;;6;;;4;;;;;;;;;;
PSY;2020;060780996;CHS SAINTE MARIE NICE;630786754;GEN;;7;;;295;28;34;;;30;107970;154;;;1605;103803;4367;7660;;;5666;;10488;;;6;10;0;9;85287;;23578;17134;560;1554;;8328;6749;1277;47;29;12;33.64;10;2;9.59;0;1;509;47;554;291.3;178.47;26.1;;3;41.1;16;1;16.8;9;;7.12;362;29;343.03;190.55;165.37;7.56;;;18.51
PSY;2020;060780996;CHS SAINTE MARIE NICE;630786754;INF;;0;;;0;;;;;;;;;;29;1226;;;;;;;;;;;;;;;;;;;;;28;;28;;;;0.9;;;0.36;0;1;;;16.72;;;;;;;;;0.9;;;0.36;;;16.72;;;;;;
PSY;2020;060780996;CHS SAINTE MARIE NICE;630786754;PEN;;;;;;;;;;;;12;;;;;;;;;;;1083;;;;1;;3;11316;;953;;;;;1324;;;;2;;2;;;;;;13;3;14.7;9.35;;2.5;;;2.5;;;;;;;;;;;;;;;
PSY;2020;060780996;;630786754;TOT;1;;5;1;295;28;34;;;30;107970;166;;;1634;105029;4367;7660;;;5666;;11571;;;6;11;0;12;96603;;24531;17134;560;1554;;9587;6749;1303;47;31;12;36.54;10;2;9.95;;;522;50;585.42;300.65;178.47;28.6;;3;43.6;16;1;17.7;9;;7.48;362;29;359.75;190.55;165.37;7.56;;;18.51
PSY;2020;060781929;CLINIQUE DE LA COSTIERE;060000858;GEN;;;;;75;;;;;;27375;15;;;706;26827;;;;;;;5468;;;;;;;;;;;;;;622;0;560;0;;10;;;1;0.5;0;0;35;7;44.02;18.83;10.7;0.9;;1;1.34;;10;;;1;0.5;;;;;;;;;
PSY;2020;060781929;;060000858;TOT;0;;;0;75;;;;;;27375;15;;;706;26827;;;;;;;5468;;;;;;;;;;;;;;622;;560;;;10;;;1;0.5;;;35;7;44.02;18.83;10.7;0.9;;1;1.34;;10;;;1;0.5;;;;;;;;;
PSY;2020;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;GEN;;1;;;70;;;;;;22741;25;;;563;19725;;;;;;;2424;;;1;;1;;14691;3450;;1749;51;3956;;3343;2822;486;35;8;6;8.4;0;1;0.1;0;1;67;9;65.78;34.68;24.81;1.5;;;;2;5;4.83;;;;54;6;54.49;25.58;23.99;1;;;
PSY;2020;060785003;;060785011;TOT;1;;0;0;70;;;;;;22741;25;;;563;19725;;;;;;;2424;;;1;;1;;14691;3450;;1749;51;3956;;3343;2822;486;35;8;6;8.4;0;1;0.1;;;67;9;65.78;34.68;24.81;1.5;;;;2;5;4.83;;;;54;6;54.49;25.58;23.99;1;;;
PSY;2020;060800174;FONDATION LENVAL;060800174;INF;;3;;;20;;;;;;6642;82;;;360;5521;;;;;;;9324;;;2;12;2;;35719;1989;;;0;1;68;4741;4040;134;;16;13;20.34;;;;;;58;154;150.84;54.22;12.57;28.32;;17.13;23.92;5;5;5.51;;;;25;21;39.28;22.48;12.55;2.35;;0;1.9
PSY;2020;060800174;;060800174;TOT;1;;;0;20;;;;;;6642;82;;;360;5521;;;;;;;9324;;;2;12;2;;35719;1989;;;0;1;68;4741;4040;134;;16;13;20.34;;;;;;58;154;150.84;54.22;12.57;28.32;;17.13;23.92;5;5;5.51;;;;25;21;39.28;22.48;12.55;2.35;;0;1.9
PSY;2020;070005046;CH DROME-VIVARAIS - HDJ/CMP ADU GUIL.;260003264;GEN;;2;;;0;0;;;;;;15;;;;;;;;;;;1900;;;0;2;0;1;10839;;445;245;6;3;0;1474;1262;;;;;0.1;;;;;;15;6;19.66;12.48;1;3.1;;1;1.08;;;;;;;;;;;;;;;
PSY;2020;070005046;CH DROME-VIVARAIS - HDJ/CMP ADU GUIL.;260003264;INF;;1;;;0;;;;;;;0;;;;;;;;;;;;;;;1;;;2396;0;0;2;0;0;3;181;179;;;;;0.4;;;;;;3;1;4;0.85;;1;;1.5;0.2;;;;;;;;;;;;;;;
PSY;2020;070005046;;260003264;TOT;1;;0;0;0;0;;;;;;15;;;;;;;;;;;1900;;;0;3;0;1;13235;0;445;247;6;3;3;1651;1438;;;;;0.5;;;;;;18;7;23.66;13.33;1;4.1;;2.5;1.28;;;;;;;;;;;;;;;
PSY;2020;070780317;CHS SAINTE-MARIE PRIVAS;630786754;GEN;;5;;;236;15;;;;;86376;77;5;;2575;71800;3464;;;;;;8955;14;;;6;11;3;38010;6242;3167;2633;1710;1356;;7263;5668;1427;68;8;13;18.29;5;7;8.64;0;1;382;77;433.05;248.05;95.66;16.03;;2.5;13.38;3;13;11.04;4;5;6.72;297;47;327.67;175.95;91.68;5.32;;0.9;6.92
PSY;2020;070780317;CHS SAINTE-MARIE PRIVAS;630786754;INF;;3;;;;;;;;;;28;;;;;;;;;;;3075;;;;7;;4;18227;;3804;23;164;286;11;1945;1879;;;2;3;4.3;1;;1;0;0;29;39;55.49;29.75;;17.05;;4.7;3.99;;;;;;;;;;;;;;;
PSY;2020;070780317;CHS SAINTE-MARIE PRIVAS;630786754;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1089;;;;234;228;;;;4;0.49;;;;;;1;7;3.9;1.83;;2.07;;;;;;;;;;;;;;;;;;
PSY;2020;070780317;;630786754;TOT;1;;2;1;236;15;;;;;86376;105;5;;2575;71800;3464;;;;;;12030;14;;;13;11;7;56237;6242;6971;3745;1874;1642;11;9442;7775;1427;68;10;17;23.08;6;7;9.64;;;412;116;492.44;279.63;95.66;35.15;;7.2;17.37;3;13;11.04;4;5;6.72;297;47;327.67;175.95;91.68;5.32;;0.9;6.92
