BOR;AN;FI;RS;FI_EJ;PN_A1;PN_A2;PN_A3;PN_A4;PN_A5;PN_A6;PN_A7;PN_A73;PN_A8;PN_A9;PN_A74;PN_A10;PN_A11;PN_A12;PN_A13;PN_A75;PN_A14;PN_A15;PN_A16;PN_A17;PN_A18;PN_A19;PN_A20;PN_A21;PN_A22;PN_A23;PN_A24;PN_A25;PN_B25;PN_A26;PN_A27;PN_A28;PN_A29;PN_A30;PN_A31;PN_A32;PN_A33;PN_A34;PN_B30;PN_B31;PN_B32;PN_B33;PN_B34;PN_C30;PN_C31;PN_C32;PN_C33;PN_C34;PN_A35;PN_A36;PN_A37;PN_A38;PN_A39;PN_A40;PN_A41;PN_A42;PN_A43;PN_A44;PN_A45;PN_A46;PN_A47;PN_A48;PN_A49;PN_A50;PN_A51;PN_A53;PN_A54;PN_A55;PN_A56;PN_A57;PN_A58;PN_A59;PN_A60;PN_A61;PN_A62;PN_A63;PN_A64;PN_A65;PN_A66
PN;2020;010000495;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;0.1;0.28;725;1;1.27;91;0;1;1;0;;;;;;;;;;0;;;0;;;1;1;1;12/12/2006;441;117;0;120;0;0;;2;1;3;1;;6;2;0.83;0.4;;3.24;1.62;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010002129;CLINIQUE DE READAPTATION LES ARBELLES;750056335;0.2;0.1;10;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010005239;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;0.2;48;1;1.2;102;;;;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010005379;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;;0.6;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010007300;CLINIQUE AMBULATOIRE CENDANEG;010007292;1;0.01;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;0.02;0.02;;0;;;;;;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010009314;SSR HOTEL DIEU DE FLEYRIAT;010780054;;;;0;;;;;;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;1;10;86;3126;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010009702;USLD EMILE PELICAND;010780054;;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;1;15;9;5108;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010010171;CLINIQUE DE CHATILLON;010011559;0.1;0.1;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010011641;CLINIQUE DU SOUFFLE LE PONTET;010000222;0.08;0.1;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780195;CLINIQUE CONVERT;010000156;0.5;0;1687;0;;;;;0;0;;;;;;;;;0;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780203;HOPITAL PRIVE D'AMBERIEU;010010718;0.1;0.3;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780252;CRF L'ORCET;010783009;0.16;0.2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780278;CTRE DE RÉÉDUCATION MANGINI;010783009;0.22;0.28;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780294;NEPHROCARE CH BELLEY;690000278;0.02;0.11;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780310;CENTRE DE PNEUMOLOGIE CLAIR SOLEIL;010000222;0.04;0.05;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780328;CENTRE MEDICAL LE MODERN;010000222;0.04;0.05;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;750005068;0.53;0.19;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780492;CRF ROMANS-FERRARI;360000707;0.2;0.2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010780708;CLINIQUE SSR CHATEAU DE GLETEINS;310021381;0.1;0.1;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;010789576;USLD;010780096;0.05;;;0;;;;;;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000089;CH GUISE;020000022;0;0;16;1;1;16;0;0;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000097;CH LA FÈRE;020000048;0.8;0.1;147;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000105;CH LE NOUVION-EN-THIÉRACHE;020000055;0.33;0;28;0;;;;;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/07/2009;37;22;0;31;;;;1;1;2;;;;;0.12;;;0.05;0.05;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000162;CH SAINT-QUENTIN;020000063;6.2;1;5668;1;0.5;148;0;1;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/01/2002;509;191;0;121;0;0;0;8;1;2;2;0;7;2;0.4;0.4;0;9.75;2.38;0;;;;1;14;9;4823;0;;;;1;14;945;1;2.1;0;;;;1;446;179;;0.8;0;;;;
PN;2020;020000246;CH VERVINS;020000071;0.33;;;0;;;;;;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;1.27;0.5;0;0;;;;;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/01/2007;130;45;1;180;2;2;;1;1;;;;;;0.06;0.06;;0.04;0.04;1;15;96;4014;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000360;CLINIQUE COURLANCY SOISSONS;020014742;0.16;0.07;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000386;CLINIQUE DE LA ROSERAIE;020000600;0.16;0.04;5;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000394;CH LAON;020000253;1.8;0.5;1774;1;2;116;0;0;0;1;;389;2773;591;903;;768;593;1;0;;;0;;;1;1;1;01/01/2005;0;0;0;;;;;;;1;;;2;2;0;;;0;0;0;;;;0;;;;0;;;;1;19;668;1;2.41;1;3.66;822;85;1;26;822;2;0.7;0;;;;
PN;2020;020000519;CH SOISSONS;020000261;1;0.5;97;1;1.4;112;0;0;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/06/2003;550;450;0;30;;0;;;;4;1;3;;;1;0.2;0.8;;;0;;;;0;;;;0;;;;1;39;762;1;0.4;1;1;121;;1;1703;469;5;2;0;;;;
PN;2020;020000535;CH CHAUNY;020000287;0.1;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;1;1;0;;0;0;0;;0;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;2;1;3.2;230;13;1;3194;487;24;2;0;;;;
PN;2020;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;0.4;0;;1;1.1;157;0;1;1;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;1.2;0.2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020001061;CH CHÂTEAU-THIERRY;020004404;1;0.11;923;1;0.6;;1;;0;1;020000295;;492;1;1030;;187;92;1;0;;;0;;;1;1;1;01/01/2017;102;66;0;30;;;;;;3;1;2;4;1;0.6;0.2;0.4;0.4;0.1;0;;;;0;;;;0;;;;1;;;0;;1;2.8;145;137;1;;137;15;2.25;0;;;;
PN;2020;020001087;CH HIRSON;020004495;0;0.2;;1;1.25;;0;0;0;0;;;;;;;;;;0;;;0;;;1;1;0;;98;55;0;70;;;;1;1;1;;;;;0.3;;;0.5;0.5;0;;;;0;;;;0;;;;0;;;0;;1;0.7;65;58;1;1019;224;18;0.9;0;;;;
PN;2020;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;0.25;0.15;62;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020004297;HAD AMSAM SOISSONS;020005179;0.1;0.03;15;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;0;0;0;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;1331;614;;4.7;0;;;;
PN;2020;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;1.9;0.25;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;3;1;0.01;1;;1;1;;;;0;;;;
PN;2020;020010310;SSR AURORE BUCY-LE-LONG;750719361;0.2;0.15;29;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;590805065;0.1;0;0;0;;;;;0;0;;;;;;;;;0;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;020016341;SSR RENAISSANCE SOISSONS;750814030;1.27;0.5;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;030000012;CH DE NERIS LES BAINS;030180020;0.5;0.1;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;030000061;CH DE MOULINS;030780092;2.75;0.5;2117;1;0.9;188;1;0;0;1;;272;2089;331;1248;1395;517;442;2;0;;;0;;;1;1;1;16/12/2005;415;183;1;90;0;0;0;2;1;2;2;0;0;0;0.64;0.64;0;1.47;0.95;0;;;;1;15;20;4074;0;;;;1;19;1798;1;3.35;1;2.55;397;0;1;1568;158;10;2.55;1;23;0;0;0
PN;2020;030000079;CH DE MONTLUCON;030780100;3;0.9;1894;1;0.75;188;0;1;0;1;;26;501;153;62;62;0;67;1;0;;;0;;;1;1;1;14/04/2011;225;95;0;60;1;1;;3;2;1;;1;;;0.4;0.2;0.2;1.5;1;0;;;;0;;;;0;;;;1;13;1106;1;1.75;1;1.4;136;24;1;1208;309;14;3.1;0;;;;
PN;2020;030000087;CH JACQUES LACARIN VICHY;030780118;3;1.7;3670;1;1;451;0;0;1;0;;;;;;;;;;0;;;0;;;1;2;1;31/12/2010;808;609;0;90;4;3;1;3;1;;;;1;1;0.58;0.48;0.1;2.42;0.91;1;10;62;3449;0;;;;0;;;;1;6;969;1;0.3;0;;;;1;4986;1233;44;1;0;;;;
PN;2020;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;0.4;0.1;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;0.85;0.2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;;;;0.2;0;;;;
PN;2020;030001689;CENTRE DE RADIOTHERAPIE JOSEPH BELOT;030005821;;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;0.2;0;;;;0;;;;;0;;;;
PN;2020;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;1;12;3;5335;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;030002158;;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;1;12;3;5364;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;030780548;POLYCLINIQUE LA PERGOLA;030000194;0.6;0.13;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;1;0.1;1464;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;1;0;;;;0;;;;;0;;;;
PN;2020;030785430;POLYCLINIQUE SAINT-ODILON;030785422;1;0.2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;0.5;0;;;;0;;;;;0;;;;
PN;2020;040000069;CHI MANOSQUE SITE FORCALQUIER;040780215;0;0;25;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;3.51;0.2;837;1;0.7;179;0;0;0;0;;;;;;;;;;0;;;0;;;1;1;0;;122;54;1;180;1;;;;;;;;;;0.1;;;;;0;;;;0;;;;0;;;;0;;;1;0.8;0;;;;0;;;;;0;;;;
PN;2020;040000119;EPS LUMIERE DE RIEZ;040780231;0;0.2;3;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;;;;;0;;;;
PN;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;;;176;1;2;15;1;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;0.2;949;1;1.1;500;0;0;1;1;;35;243;285;180;;50;77;1;0;;;0;;;1;1;1;05/07/2012;491;196;0;120;;;;;;2;1;0;5;2;0.5;0.4;0;2.05;1;0;;;;0;;;;0;;;;0;;;1;0.8;1;3.93;502;94;1;1302;353;3;1.82;0;;;;
PN;2020;040780389;CLINIQUE MEDICALE JEAN GIONO;040000192;0.4;0.11;20;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;040780405;CENTRE DES CARMES;040000168;0;0;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;1;14;10;11663;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;040780470;CLINIQUE TOUTES AURES;040000192;0.5;0.1;251;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;0.14;0.12;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;040780520;KORIAN LE VERDON;750056335;0.35;0.05;18;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;0.1;0.05;35;0;;;;;0;0;;;;;;;;;0;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;1;10;43;2511;0;;;;1;4;1;1;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;0.1;0.1;0;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;0.2;0.08;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;32;14;;;0;;;;
PN;2020;050000058;CENTRE MEDICAL RIO VERT;050000033;0.2;0.1;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;050000066;CENTRE MEDICAL LA SOURCE;050000082;0.01;0.3;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;0.2;0.2;;0;;;;;0;0;;;;;;;;;;0;;;0;;;1;1;1;01/01/2007;1300;40;1;20;4;;4;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;1;0.1;0;;;;0;;;;;0;;;;
PN;2020;050000132;CH BUECH DURANCE;050007145;0.7;0.7;427;1;2.4;104;0;1;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;855;295;;;0;;;;
PN;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;0.8;0.2;219;1;2.65;;1;0;0;0;;;;;;;;;;0;;;0;;;1;1;1;;105;20;1;;1;;;;;;;;;;0.2;;;;;0;;;;0;;;;0;;;;1;7;181;1;0.2;1;1.5;;;1;;;;0.5;0;;;;
PN;2020;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;0.5;;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;64;22;17;;0;;;;
PN;2020;050000298;LA GUISANE;050000496;0.55;0.05;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;050000330;CHABRE COURT SEJOUR SSR;050007145;;;2;1;2.4;104;0;1;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;1;855;;;2;0;;;;
PN;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1.96;0.78;1470;1;2.25;450;1;;0;1;;;763;32;57;217;83;125;1;0;;;1;1117;552;1;1;1;10/02/2008;349;173;1;;0;0;0;1;1;2;1;1;6;3;0.6;0.4;0.2;3.5;2.5;1;10;83;2462;1;12;6;3996;0;;;;1;20;1414;1;2.51;1;0.6;670;199;1;1657;462;30;1.96;0;;;;
PN;2020;050000371;LES JEUNES POUSSES;050003508;0.22;0.15;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;050000454;LE FUTUR ANTERIEUR;050000645;0.13;0.04;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;050000488;LES ACACIAS CTRE MALADIES RESP ALLERG;050000678;0.22;0.11;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
PN;2020;050000637;CLINIQUE MONTJOY;050001163;0.2;0.1;;0;;;;;0;0;;;;;;;;;;0;;;0;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;0;;;;0;;;;0;;;0;;0;;;;0;;;;;0;;;;
