BOR;AN;FI;RS;FI_EJ;PHARMA_A1;PHARMA_A2;PHARMA_A3;PHARMA_A4;PHARMA_A5;PHARMA_A6;PHARMA_A7;PHARMA_B7;PHARMA_C7;PHARMA_D7;PHARMA_E7;PHARMA_A36;PHARMA_A8;PHARMA_B8;PHARMA_C8;PHARMA_D8;PHARMA_E8;PHARMA_A9;PHARMA_B9;PHARMA_C9;PHARMA_D9;PHARMA_E9;PHARMA_A10;PHARMA_A11;PHARMA_A12;PHARMA_A13;PHARMA_A14;PHARMA_A16;PHARMA_A17;PHARMA_A18;PHARMA_A19;PHARMA_A20;PHARMA_A21;PHARMA_A22;PHARMA_A23;PHARMA_A24;PHARMA_A25;PHARMA_A26;PHARMA_A27;PHARMA_A28;PHARMA_A29;PHARMA_A30;PHARMA_A31;PHARMA_A32;PHARMA_A33;PHARMA_A34;PHARMA_A35;PHARMA_B29;PHARMA_B30;PHARMA_B31;PHARMA_B32;PHARMA_B33;PHARMA_B34;PHARMA_B35;PHARMA_C29;PHARMA_C30;PHARMA_C31;PHARMA_C32;PHARMA_C33;PHARMA_C34;PHARMA_C35;PHARMA_D29;PHARMA_E29
PHARMA;2020;010780492;CRF ROMANS-FERRARI;360000707;0;;;;;;;;67;;;0;;;;;;;;;;;84435;;67;67;67;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.5;;;;0.38;;;0;0
PHARMA;2020;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;750721334;0;;;;0;0;;;30;;50;0;;;;;;;;;;;28238;1;30;30;30;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;0;1;;;0.5;;;0;0.5;0;0;0;0
PHARMA;2020;020000089;CH GUISE;020000022;1;4;0;;1;;58;0;42;30;115;0;;;;;;;;;;;259905;1;245;245;245;0;0;0;0;1;1;1;30;0;0;0;0;0;2;0;0;0;3;0;0;0;0;0;0;3;0;0;2;0;0;0;3.83;0;0;0;0
PHARMA;2020;020000097;CH LA FÈRE;020000048;1;4;0;;;;38;0;31;0;108;0;;;;;;;;;;;180000;1;177;177;69;0;0;0;0;1;1;0;;;0;0;0;0;1;;;;1;;;;;;;1;;;1.14;;;;1.86;;;0;0
PHARMA;2020;020000162;CH SAINT-QUENTIN;020000063;0;;;;1;;414;71;49;60;179;0;;;;;;;;;;;20540158;1;773;550;125;1;0;0;1;1;1;0;;;0;0;0;0;7;0;0;1;15;38;2;3;1;2;1;8;5;1;8.3;0.8;1.2;1.15;20.78;38.98;2.28;0;1
PHARMA;2020;020000303;HOPITAL VILLIERS SAINT DENIS;750814030;0;;;;0;1;;;307;;;0;;;;;;;;;;;436903;1;307;307;307;0;0;0;0;1;0;0;;;0;0;0;0;3;;;;4;;;2;;;;2;;1;1.66;;;;4.45;;0.5;0;0
PHARMA;2020;020000360;CLINIQUE COURLANCY SOISSONS;020014742;0;;;;;;30;;;;;0;;;;;;;;;;;65920;1;30;30;;0;0;0;1;1;0;0;;;0;0;0;;1;;;;3;;;;;;;;;;1.21;;;;1.18;;;0;0
PHARMA;2020;020000386;CLINIQUE DE LA ROSERAIE;020000600;0;;;;;;;86;;;;0;;;;;;;;;;;49391;1;86;86;86;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;;;;1;;;;;;1;1.07;;;;;;0.1;0;0
PHARMA;2020;020000394;CH LAON;020000253;1;4;0;8;0;0;265;0;73;40;179;1;0;1;1;1;1;1;1;1;1;1;2096100;1;535;535;74;1;0;0;1;1;1;0;;;1;0;0;0;2;0;0;0;5;7;1;2;0;0;0;1;2;3;4.03;0;0;0;7.28;7.41;2.41;0;1
PHARMA;2020;020000519;CH SOISSONS;020000261;0;;;;;;272;;60;50;290;0;;;;;;;;;;;5553000;1;660;656;184;1;0;0;1;1;1;0;;;1;0;0;1;4;1;2;1;9;4;2;1;;;0;1;1;0;4.8;0.5;0.6;1.5;9.18;4.5;2;0;1
PHARMA;2020;020000535;CH CHAUNY;020000287;0;;;;0;0;148;;40;44;166;0;;;;;;;;;;;2020000;1;297;275;270;0;0;0;1;1;1;0;0;;0;0;0;;2;;;;7;3;3;;;;1;1;;;3;;;0.2;7.4;2.97;2.95;0;1
PHARMA;2020;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;0;;;;;;;312;;;;0;;;;;;;;;;;367572;1;312;312;312;0;0;0;0;1;0;0;;;0;0;0;0;3;;;;8;;1;;;;1;;;1;3;;;0.6;7.32;;1.5;0;0
PHARMA;2020;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;020003620;0;;;;0;;;;184;;;0;;;;;;;;;;;146716;1;184;184;184;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;2;;;;;;;;;;1;;;;2;;;0;1
PHARMA;2020;020001061;CH CHÂTEAU-THIERRY;020004404;0;;;;1;;190;;;;285;0;;;;;;;;;;;1834114;1;190;149;;0;0;0;1;1;1;0;;;1;1;0;1;3;1;1;2;5;7;2;;;;;1;;;2.9;0.2;0.6;1.5;6.1;4.46;1.5;0;1
PHARMA;2020;020001087;CH HIRSON;020004495;0;;;;1;1;60;0;30;0;86;0;;;;;;;;;;;179375;0;176;176;101;0;0;0;0;1;0;1;15;1;0;0;0;0;1;0;0;0;3;1;1;1;0;0;0;0;0;0;1.8;0;0;0;3;1;1;0;1
PHARMA;2020;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;0;;;;0;0;;60;;;;0;;;;;;;;;;;60300;1;60;60;60;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;;;;0.24;;;;0.36;;;0;0
PHARMA;2020;020004297;HAD AMSAM SOISSONS;020005179;0;;;;0;0;;;;;;0;;;;;;;;;;;;0;;;;0;0;0;0;0;0;0;;;0;0;0;0;1;;;;;;;;;;;;;;0.09;;;;;;;0;0
PHARMA;2020;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;020002085;1;1;0;;1;0;;;;30;122;0;;;;;;;;;;;17113;1;30;30;30;0;0;0;0;1;0;0;;;0;0;0;0;;;;;1;;1;;;;;;;;0;;;;0.18;;0.5;0;0
PHARMA;2020;030000012;CH DE NERIS LES BAINS;030180020;1;4;0;;1;0;;;59;;100;0;;;;;;;;;;;96019;1;159;159;159;0;0;0;0;1;0;0;;;0;0;0;0;;;;;1;;;1;;;;1;;;0.5;0;0;0;1.8;0;0;0;0
PHARMA;2020;030000061;CH DE MOULINS;030780092;1;4;0;15;1;0;311;135;40;80;196;0;;;;;;;;;;;7287600;1;762;261;0;1;0;0;1;1;1;1;12;0;1;1;0;2;5;1;0;2;10;12;2;1;0;1;0;3;1;1;5.5;0.2;0.8;2;10.84;10.46;2.8;0;1
PHARMA;2020;030000079;CH DE MONTLUCON;030780100;1;4;0;;1;;327;38;30;60;293;0;;;;;;;;;;;5708092;1;732;107;30;1;0;0;1;1;1;1;30;;1;1;1;2;6;1;1;1;12;16;2;1;;;;;;;5.6;0.5;0.5;1;11.32;14.7;1.96;0;0
PHARMA;2020;030000087;CH JACQUES LACARIN VICHY;030780118;1;4;0;15;;;386;109;70;115;;0;;;;;;;;;;;9112580;1;657;657;30;1;0;0;1;1;1;1;30;;1;1;0;2;6;;1;1;11;19;2;1;1;;0;1;1;0;5.15;0.9;1;1;10.96;18.49;2;0;1
PHARMA;2020;030000095;CH DE BOURBON L'ARCHAMBAULT;030780126;1;4;;;;;8;0;40;0;181;0;;;;;;;;;;;147177;1;229;229;229;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;2;;;;;;;1;;;1;;;;2.96;;;0;0
PHARMA;2020;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;1;4;0;;;;;356;;40;;0;;;;;;;;;;;495162;1;396;396;396;0;;;0;1;1;0;;;0;0;0;0;2;;;1;4;1;1;0;;;1;3;0;0;2;;;1.05;6.38;0.98;1;0;0
PHARMA;2020;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;030002158;0;;;;;;10;;130;;299;0;;;;;;;;;;;249149;1;434;434;434;0;0;0;0;1;1;0;;;0;0;0;;1;;;;3;;;;;;;;1;;1.06;;;;3.07;0.71;;0;0
PHARMA;2020;030780548;POLYCLINIQUE LA PERGOLA;030000194;0;;;;;;74;;73;;;0;;;;;;;;;;;334861;1;147;147;147;0;0;0;1;1;0;0;;;1;1;1;1;1;;;;4;;;;;;;;;;1;;;;4;;;0;1
PHARMA;2020;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;0;;;;1;0;173;;67;;;0;;;;;;;;;;;8928950;1;240;200;90;1;0;0;1;1;0;1;10;0;1;1;1;1;2;1;1;;8;1;;;;;;2;;;2;1;1;;9.3;1;;0;0
PHARMA;2020;030785430;POLYCLINIQUE SAINT-ODILON;030785422;0;;;;;;92;;;;;0;;;;;;;;;;;304288;1;92;92;30;1;0;0;1;1;1;0;0;0;1;1;1;0;;;;;2;;;2;;;;0;;;0.88;;;;2.48;;;0;0
PHARMA;2020;040000036;EPS PIERRE GROUES DE BARCELONNETTE;040780132;0;;;;1;1;5;;10;;;0;;;;;;;;;;;30788;1;15;15;15;0;0;0;0;0;0;0;;;0;0;0;;0;;;;;;;1;;;;;;;0.5;;;;;;;0;0
PHARMA;2020;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;1;4;0;2;1;1;207;;56;30;130;0;;;;;;;;;;;5745554;1;423;423;135;1;0;1;1;1;1;0;;;0;0;0;0;2;0;0;1;7;4;2;2;0;0;0;2;5;0;3.68;0;0;0.5;7.29;6.94;2;0;1
PHARMA;2020;040000119;EPS LUMIERE DE RIEZ;040780231;0;;;;0;0;4;;15;;63;0;;;;;;;;;;;58181;1;82;82;82;0;0;0;0;1;0;0;;;0;0;0;0;;;;;1;;;1;;;;;;;0.6;;;;1;;;0;0
PHARMA;2020;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;1;3;0;5;1;0;34;;10;;53;0;;;;;;;;;;;;1;97;97;53;1;0;1;1;1;1;0;;;1;0;1;0;0;0;0;0;0;0;0;3;3;0;0;5;2;0;0.95;0.75;0;0;2.38;1.17;0;0;1
PHARMA;2020;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;4;0;;1;0;162;117;66;0;0;1;0;1;0;0;0;0;0;0;0;0;1609000;1;220;279;220;0;0;0;1;1;1;0;;;0;0;0;0;2;1;;2;4;8;1;2;1;;;2;6;2;3.3;0.54;;2;5.75;9.16;2.47;0;0
PHARMA;2020;040780389;CLINIQUE MEDICALE JEAN GIONO;040000192;0;;;;;;;;85;;;0;;;;;;;;;;;63000;1;85;85;85;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;1;;;1;;;;;;;1.14;;;;1;;;0;0
PHARMA;2020;040780405;CENTRE DES CARMES;040000168;0;;;;;;;;70;41;59;0;;;;;;;;;;;13921;1;170;170;170;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;1;;;;;;;2;;;0.8;;;;2;;;0;0
PHARMA;2020;040780470;CLINIQUE TOUTES AURES;040000192;0;;;;;;47;;;;;0;;;;;;;;;;;67080;1;47;47;47;0;0;0;1;1;0;0;;;1;0;0;1;;;;;1;;;2;1;;;;;;0.8;0.1;;;1;;;0;0
PHARMA;2020;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;040000200;0;;;;;;;;80;;;0;;;;;;;;;;;176404;1;80;80;80;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;1.14;;;;0.72;;;0;0
PHARMA;2020;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;0;;;;0;0;;;66;;;1;1;1;1;1;0;0;0;0;0;0;36000;1;66;66;66;0;0;0;0;0;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.5;;;;0.8;;;0;1
PHARMA;2020;040784860;CENTRE D'HEMODIALYSE DES ALPES;920033503;0;;;;1;0;;;;;;1;1;1;1;1;1;0;0;0;0;0;153828;1;48;48;48;1;0;0;1;1;0;1;;1;0;0;0;1;;;;;1;;;1;;;;;;;0.8;;;;1;;;0;0
PHARMA;2020;050000066;CENTRE MEDICAL LA SOURCE;050000082;0;;;;;;;;60;;;0;;;;;;;;;;;32410;1;60;60;60;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;;;;;;;;;;;1;;;;;;;0;0
PHARMA;2020;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;0;;;;;;86;;;;;0;;;;;;;;;;;94107;1;86;29;29;0;0;0;1;1;0;0;;;1;1;0;0;1;;;;2;;;;;;;2;;;1;;;;3.2;;;0;1
PHARMA;2020;050000132;CH BUECH DURANCE;050007145;1;4;0;6;1;0;5;85;12;25;115;0;;;;;;;;;;;149613;1;225;225;225;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;2;;;1;;;;2;;;1.15;;;;3.47;;;0;0
PHARMA;2020;050000223;CENTRE HOSPITALIER AIGUILLES QUEYRAS;050000108;0;;;;0;0;4;;;;;0;;;;;;;;;;;82817;1;4;4;4;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;;;;0.6;;;;;;;0;0
PHARMA;2020;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1;1;0;1;;;75;19;90;30;;0;;;;;;;;;;;1909876;1;80;214;34;;;;1;1;1;1;8;;1;1;0;;0;0;0;0;6;3;2;4;2;0;1;4;2;0;2.3;0.44;0;0.3;8.71;2.01;2.06;0;1
PHARMA;2020;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;1;4;0;4;;;28;0;34;30;146;0;;;;;;;;;;;221013;1;236;236;93;0;0;0;0;0;1;0;;;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;2.8;0;0;0;0
PHARMA;2020;050000330;CHABRE COURT SEJOUR SSR;050007145;1;4;0;6;1;0;5;85;12;25;115;0;;;;;;;;;;;149613;1;225;225;225;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;2;;;1;;;;2;;;1.15;;;;3.47;;;0;0
PHARMA;2020;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;3;0;4;1;;288;0;120;50;67;1;1;1;1;1;1;1;1;1;1;1;9255364;1;490;490;0;1;0;1;1;1;1;1;40;;1;0;1;;3;3;0;1;6;6;3;9;8;0;1;14;9;5;7.3;3.67;0;1.11;15.88;11.63;5.81;0;1
PHARMA;2020;050000488;LES ACACIAS CTRE MALADIES RESP ALLERG;050000678;0;;;;1;0;;;72;;;0;;;;;;;;;;;72000;0;72;72;72;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;1;1;;1;0.6;;;0.15;0.5;;0.1;0;0
PHARMA;2020;050000637;CLINIQUE MONTJOY;050001163;0;;;;;;;;66;;;0;;;;;;;;;;;41329;1;66;66;66;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;2;;;0.5;;;;0.59;;;0;0
PHARMA;2020;050000991;CENTRE MEDICAL CHANT'OURS;050000546;0;;;;;;;40;185;;12;0;;;;;;;;;;;82759;1;183;183;183;0;0;0;0;1;0;0;;;0;0;0;0;;;;;1;;;1;;;;4;;;0.72;;;;3.51;;;0;0
PHARMA;2020;050001064;CENTRE MEDICAL LA DURANCE;050000561;1;1;0;;0;0;;;90;;65;0;;;;;;;;;;;68457;1;155;155;155;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;1;;;;;;;;;;0.9;;;;0.6;;;0;0
PHARMA;2020;060000296;LA MAISON DU MINEUR;060780640;0;;;;;;;;84;;;0;;;;;;;;;;;67000;1;84;84;84;0;0;0;0;1;0;0;;;0;0;0;1;;;;;;;;1;;;;2;;;0.5;;;;1.08;;;0;0
PHARMA;2020;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;060780657;0;;;;0;0;5;0;10;0;115;0;;;;;;;;;;;62244;1;130;130;130;0;0;0;0;1;0;0;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0
PHARMA;2020;060000411;CH DU PAYS DE LA ROUDOULE PUGET;060780780;0;;;;1;1;6;;10;;164;0;;;;;;;;;;;;1;180;;;0;0;;0;1;0;0;;;0;0;0;0;1;;;;;;;;;;;;;;0.07;;;;;;;0;0
PHARMA;2020;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;4;;14;1;0;273;33;30;30;120;0;;;;;;;;;;;5655615;1;486;513;205;1;0;0;1;1;1;1;15;0;0;0;0;0;3;;;3;9;1;3;2;;;;4;2;;4.6;;;1.16;11.16;0.9;3;0;1
PHARMA;2020;060000486;CH SAINT ELOI DE SOSPEL;060780905;0;;;;;;12;;13;;185;0;;;;;;;;;;;62271;1;210;210;210;0;0;0;0;1;0;0;;;0;0;0;0;;;;;3;;;1;;;;;;;0.5;;;;2.9;;;0;0
PHARMA;2020;060000494;CH SAINT LAZARE DE TENDE;060780921;0;;;;;;5;;;;73;0;;;;;;;;;;;0;1;78;78;78;0;0;0;0;0;0;0;;;0;0;0;0;1;;;;1;;;;;;;;;;0.26;;;;0.6;;;0;0
PHARMA;2020;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;4;0;8;1;0;318;80;25;20;182;0;;;;;;;;;;;6379700;1;688;689;649;1;0;0;1;1;1;0;;;1;1;0;0;7;;;1;9;18;2;0;2;;;6;1;;6.25;0.4;;0.67;11.36;17.48;2.92;0;1
PHARMA;2020;060000528;CENTRE ANTOINE LACASSAGNE;060780962;0;;;;1;1;130;;;;;1;0;1;1;1;1;1;1;1;1;1;27541596;1;130;130;130;1;0;0;1;1;1;0;;;0;0;0;0;5;;1;1;16;3;1;;;;;1;;1;3.82;;1;0.95;14.88;3;1;0;1
PHARMA;2020;060000544;CH DE CANNES SIMONE VEIL;060780988;0;;;;1;;340;66;20;54;225;0;;;;;;;;;;;7086159;1;663;663;642;1;0;0;1;1;1;1;25;;0;0;0;;6;;;;10;3;2;3;;4;2;4;2;1;9.34;;0.78;1;13;4.76;2.79;0;1
PHARMA;2020;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;060781010;0;;;;;;;;;41;205;0;;;;;;;;;;;20852;1;41;41;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;3;0;0;0.1;;;;0.52;0;0;0;0
PHARMA;2020;060001625;CENTRE JEAN CHANTON ROQUEBILLIERE;060006889;0;;;;1;0;8;;19;;165;0;;;;;;;;;;;19654;1;27;27;27;0;0;0;0;1;0;0;;;0;0;0;0;;;;;2;;;4;;;;;;;0.33;;;;0.34;;;0;0
PHARMA;2020;060002102;CH LA PALMOSA DE MENTON;060791761;0;;;;0;0;95;0;82;30;0;0;;;;;;;;;;;373579;1;267;267;267;0;0;0;1;1;1;0;;;1;1;1;1;3;;;;6;2;;;;;;;;;1.9;;;;6;2;;0;0
PHARMA;2020;060005469;L'OLIVERAIE DES CAYRONS;920030269;0;;;;;;;;;;;0;;;;;;;;;;;121009;1;117;117;117;0;0;0;0;1;0;0;;;0;0;0;0;1;;;;2;;;;;;;;;;1.08;;;;1.88;;;0;0
PHARMA;2020;060010949;AGAHTIR UDM ANTIBES;060790540;0;;;;;;;;;;;0;;;;;;;;;;;;1;;;;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;1;;;0.21;;;;0.33;;;0;0
PHARMA;2020;060021094;CLINIQUE VILLA ROMAINE;060024619;1;1;1;;;;;;82;;;0;;;;;;;;;;;44621;1;82;82;82;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;;;;0.25;;;;;;;0;0
PHARMA;2020;060021201;CENTRE DE CONVALESCENCE ATLANTIS;060000155;0;;;;;;;;50;;;0;;;;;;;;;;;103784;1;50;50;50;1;0;0;0;0;0;0;;;0;0;0;;;;;;;;;1;;;;;1;;0.6;;;;;0.2;;0;0
PHARMA;2020;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;0;;;;0;0;76;;;;;0;;;;;;;;;;;401074;1;76;76;76;0;0;0;1;1;0;0;;;0;0;0;0;1;;;;2;1;1;1;;;;1;;;1.6;;;;2.57;1;1;0;0
