BOR;AN;FI;RS;ORG_A1;ORG_B1;ORG_C1;ORG_A2;ORG_B2;ORG_C2;ORG_A3;ORG_B3;ORG_C3;ORG_A6;ORG_B6;ORG_C6;ORG_A7;ORG_B7;ORG_C7;ORG_A8;ORG_B8;ORG_C8;ORG_A10;ORG_B10;ORG_C10;ORG_A11;ORG_B11;ORG_C11;ORG_A17;ORG_A18;ORG_A19;ORG_A20;ORG_A21;ORG_A22;ORG_A23;ORG_A24;ORG_B24;ORG_C24;ORG_A25;ORG_A26;ORG_A27;FI_EJ;vide
ORG;2023;010002129;SSR LES ARBELLES;3;C;D;;;;;;;;;;;;;;;;10;C;D;;;;0;;;;;;;;;;0;0;;310025010;0
ORG;2023;010006526;AURAL UNITE DIALYSE CH HAUT BUGEY;;;;;;;;;;;;;;;;;;;5;C;A;;;;0;;;;;;;;;;0;0;;690796552;0
ORG;2023;010007300;CLINIQUE AMBULATOIRE CENDANEG;;;;;;;;;;;;;;;;;;;4;C;;;;;0;;;;;;;;;;0;0;;010007292;0
ORG;2023;010008852;CRF L'ORCET SITE DU CH DE FLEYRIAT;;;;1;C;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;0;;010783009;0
ORG;2023;010010171;CLINIQUE DE CHATILLON;4;C;D;;;;;;;;;;;;;2;C;;8;C;;;;;1;3;GENEVOIS ANNECY ALBANAIS;SAVOIE BELLEY;BRESSE HAUT-BUGEY;;;;;;1;1;2;010011559;0
ORG;2023;010011641;CLINIQUE DU SOUFFLE LE PONTET;;;;1;A;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;0;;010000222;0
ORG;2023;010780195;CLINIQUE CONVERT;;;;;;;;;;;;;2;A;;;;;;;;;;;0;;;;;;;;;;0;1;2;010000156;0
ORG;2023;010780203;HOPITAL PRIVE D'AMBERIEU;;;;;;;;;;;;;1;A;B;;;;;;;;;;1;1;BRESSE HAUT-BUGEY;;;;;;;;0;1;1;010010718;0
ORG;2023;010780278;CENTRE DE REEDUCATION MANGINI;;;;1;C;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;0;;010783009;0
ORG;2023;010780294;NEPHROCARE CH BELLEY;;;;;;;;;;;;;;;;;;;4;;;;;;0;;;;;;;;;;0;0;;690000278;0
ORG;2023;010780476;CENTRE SSR READAPT ADOLESCENTS CHANAY;;;;;;;;;;;;;;;;;;;10;C;D;;;;0;;;;;;;;;;0;0;;750005068;0
ORG;2023;010780799;CTRE DE MPR CHATEAU D'ANGEVILLE;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;;;;;1;C;;0;1;2;010783009;0
ORG;2023;010789006;UNITE DE DIALYSE BOURG EN BRESSE;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;;;;0;0;;210012290;0
ORG;2023;010789576;USLD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;010780096;0
ORG;2023;020000089;CH GUISE;;;;1;C;D;;;;;;;;;;;;;;;;;;;1;1;AISNE NORD;;;;;;;;0;1;2;020000022;0
ORG;2023;020000097;CH LA FÈRE;;;;;;;;;;1;A;;;;;;;;;;;;;;;;;;;;;;;;;;;020000048;0
ORG;2023;020000105;CH LE NOUVION-EN-THIÉRACHE;;;;2;D;A;;;;2;A;;;;;;;;26;C;A;;;;0;;;;;;;;;;;;;020000055;0
ORG;2023;020000162;CH SAINT-QUENTIN;;;;3;D;;;;;;;;;;;1;C;;263;C;A;;;;;;;;;;;;;;0;0;;020000063;0
ORG;2023;020000246;CH VERVINS;;;;;;;;;;1;B;;;;;;;;1;D;;;;;;;;;;;;;;;;;;020000071;0
ORG;2023;020000303;HOPITAL VILLIERS SAINT DENIS;;;;1;A;;;;;3;A;B;;;;;;;88;C;A;6;C;A;0;;;;;;;;;;0;1;1;750814030;0
ORG;2023;020000386;CLINIQUE DE LA ROSERAIE;0;;;0;;;0;;;0;;;1;A;;0;;;2;C;D;;;;1;1;AISNE SUD- SAPHIR;;;;;0;;;0;1;1;020000600;0
ORG;2023;020000394;CH LAON;;;;;;;;;;;;;1;D;;;;;;;;;;;;;;;;;;;;;;;;020000253;0
ORG;2023;020000519;CH SOISSONS;;;;2;D;;;;;;;;10;D;;;;;163;A;;;;;;;;;;;;;;;0;1;1;020000261;0
ORG;2023;020000535;CH CHAUNY;;;;5;D;A;;;;2;B;A;2;D;A;;;;;;;;;;;;;;;;;;;;0;1;1;020000287;0
ORG;2023;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;;;;1;B;;1;E;;2;B;B;;;;;;;1;D;;;;;0;;;;;;;;;;0;1;1;020000295;0
ORG;2023;020000915;SSR JACQUES FICHEUX SAINT-GOBAIN;1;A;;;;;;;;;;;;;;;;;;;;;;;1;1;AISNE NORD;;;;;;;;0;1;1;020003620;0
ORG;2023;020001061;CH CHÂTEAU-THIERRY;;;;;;;;;;1;B;;1;D;;;;;17;A;C;;;;;;;;;;;;;;0;1;2;020004404;0
ORG;2023;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;1;1;590805065;0
ORG;2023;020004297;HAD AMSAM SOISSONS;;;;;;;;;;;;;;;;;;;;;;;;;1;2;AISNE NORD;AISNE SUD- SAPHIR;;;;;;;0;0;;020005179;0
ORG;2023;020004677;USLD CH SOISSONS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;020000261;0
ORG;2023;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;;;;1;B;;;;;1;B;;;;;;;;36;C;A;;;;0;;;;;;;;;;0;0;;020002085;0
ORG;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;;;;1;D;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;1;1;1;020001632;0
ORG;2023;020010310;SSR AURORE BUCY-LE-LONG;;;;;;;;;;;;;;;;;;;23;C;D;;;;0;;;;;;;;;;0;1;1;750719361;0
ORG;2023;020016341;SSR RENAISSANCE SOISSONS;;;;1;A;;;;;;;;;;;;;;4;C;A;;;;0;;;;;;;;;;0;1;1;750814030;0
ORG;2023;030000012;CH DE NERIS LES BAINS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;2;030780100;0
ORG;2023;030000061;CH DE MOULINS;1;C;;4;A;C;;;;;;;2;D;B;1;C;;;;;;;;;;;;;;;;;;0;1;1;030780092;0
ORG;2023;030000079;CH DE MONTLUCON;;;;1;A;;;;;;;;;;;;;;40;C;D;;;;;;;;;;;;;;1;1;2;030780100;0
ORG;2023;030000087;CH JACQUES LACARIN VICHY;;;;3;D;E;;;;1;A;;;;;1;C;;;;;;;;;;;;;;;;;;1;1;2;030780118;0
ORG;2023;030000095;CH DE BOURBON L'ARCHAMBAULT;;;;54;A;C;;;;4;A;;1;A;;;;;26;A;C;6;A;B;;;;;;;;;;;;;;030780126;0
ORG;2023;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;;;;2;A;;;;;2;B;;;;;;;;38;C;A;;;;;;;;;;;;;;0;0;;030780282;0
ORG;2023;030002208;CH DPT COEUR DU BOURBONNAIS TRONGET;;;;;;;;;;1;A;;;;;;;;;;;;;;1;1;ALLIER PUY-DE-DÔME;;;;;;;;0;0;;030002158;0
ORG;2023;030007942;CH DPT COEUR BOURBONNAIS ST POURCAIN;;;;;;;;;;1;A;;;;;;;;;;;;;;1;1;ALLIER PUY-DE-DÔME;;;;;;;;0;0;;030002158;0
ORG;2023;030008726;CTRE ONCO ST JEAN SITE MOULINS;;;;1;C;;;;;;;;;;;;;;2;;;;;;0;;;;;;;;;;0;0;;180006496;0
ORG;2023;030780548;POLYCLINIQUE LA PERGOLA;;;;;;;;;;;;;;;;;;;9;C;D;;;;0;;;;;;;;;;1;1;1;030000194;0
ORG;2023;030781116;HOPITAL PRIVE SAINT-FRANCOIS;;;;;;;;;;;;;;;;;;;41;C;D;;;;0;;;;;;;;;;0;1;1;030000426;0
ORG;2023;030781637;SERVICE DE PSYCHIATRIE CHATELARD;;;;;;;;;;;;;;;;;;;3;C;;;;;;;;;;;;;;;1;1;1;030780100;0
ORG;2023;030785430;POLYCLINIQUE SAINT-ODILON;1;D;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;1;1;1;030009088;0
ORG;2023;040000036;EPS PIERRE GROUES DE BARCELONNETTE;;;;;;;;;;;;;;;;;;;;;;;;;1;1;ALPES DU SUD;;;;;;;;0;1;1;040780132;0
ORG;2023;040000044;EPS DUCELIA DE CASTELLANE;;;;;;;;;;;;;;;;;;;;;;;;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;;;;;0;1;2;040780140;0
ORG;2023;040000069;CHI MANOSQUE SITE FORCALQUIER;;;;1;A;;;;;;;;;;;;;;;;;;;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;;;;;0;1;1;040780215;0
ORG;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;;;;2;A;C;;;;;;;2;D;;;;;90;A;C;;;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;;;;;0;1;2;040780215;0
ORG;2023;040000119;EPS LUMIERE DE RIEZ;;;;1;;;;;;;;;;;;;;;29;C;;;;;;;;;;;;;;;1;1;1;040780231;0
ORG;2023;040000127;EPS VALLEE DE LA BLANCHE SEYNE ALPES;;;;1;A;;;;;1;A;;;;;;;;;;;;;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;;;;;;1;2;040780249;0
ORG;2023;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;;;;;;;;;;;;;;;;;;;31;C;D;;;;;;;;;;;;;;0;1;2;050002948;0
ORG;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;;;;1;A;;;;;;;;2;D;;;;;135;C;D;;;;;;;;;;;;;;1;1;2;040788879;0
ORG;2023;040003113;HEMOD DES ALPES AUTODIALYSE SISTERON;;;;;;;;;;;;;1;A;B;;;;5;C;D;;;;0;;;;;;;;;;1;0;;920033503;0
ORG;2023;040780389;CLINIQUE JEAN GIONO;;;;;;;;;;;;;1;A;;;;;;;;;;;1;2;ALPES-DE-HAUTE-PROVENCE;BOUCHES-DU-RHÔNE;;;;;;;1;1;1;040000150;0
ORG;2023;040780488;CRF DE HAUTE PROVENCE L'EAU VIVE;;;;;;;;;;;;;;;;;;;11;C;D;;;;0;;;;;;;;;;0;0;;040000200;0
ORG;2023;040780520;CLINIQUE LE VERDON;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;0;;;;;;;0;;;1;1;2;310025010;0
ORG;2023;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;1;C;;1;A;;;;;;;;;;;;;;52;C;;;;;1;1;ALPES-DE-HAUTE-PROVENCE;;;;;;;;0;1;1;130037815;0
ORG;2023;040784860;CENTRE D'HEMODIALYSE DES ALPES;;;;;;;;;;;;;1;A;B;;;;5;C;D;;;;0;;;;;;;;;;1;0;;920033503;0
ORG;2023;040787541;HEMOD DES ALPES AUTODIALYSE DE DIGNE;;;;;;;;;;;;;1;A;B;;;;5;C;D;;;;0;;;;;;;;;;1;0;;920033503;0
ORG;2023;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;;;;1;D;;;;;;;;;;;;;;10;;;;;;1;1;ALPES DU SUD;;;;;1;A;;1;0;;130037815;0
ORG;2023;050000058;CENTRE MEDICAL SSR RIO VERT;;;;1;D;;;;;;;;;;;;;;2;A;;;;;0;;;;;;;;;;0;1;2;050000033;0
ORG;2023;050000066;CENTRE MEDICAL LA SOURCE;;;;;;;;;;;;;;;;;;;12;;;;;;1;1;ALPES DU SUD;;;;;;;;1;1;2;050000082;0
ORG;2023;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;;;;;;;;;;;;;;;;;;;2;C;A;;;;1;1;ALPES DU SUD;;;;;;;;0;1;1;050006931;0
ORG;2023;050000132;CH BUECH DURANCE;;;;;;;;;;;;;;;;;;;120;A;C;;;;1;1;ALPES DU SUD;;;;;;;;1;0;;050007145;0
ORG;2023;050000223;CENTRE HOSPITALIER AIGUILLES QUEYRAS;;;;;;;;;;;;;;;;;;;3;A;;;;;;;;;;;;;;;0;;;050000108;0
ORG;2023;050000231;CH DES ESCARTONS DE BRIANCON;;;;4;A;B;;;;1;B;;3;D;B;1;C;;155;;;;;;;;;;;;;;;;0;1;2;050000116;0
ORG;2023;050000256;CENTRE HOSPITALIER D'EMBRUN;;;;1;D;;;;;;;;;;;1;C;;85;A;C;;;;;;;;;;;;;;;;;050000124;0
ORG;2023;050000298;SSR LA GUISANE;;;;;;;;;;;;;;;;;;;3;;;;;;1;2;ALPES DU SUD;ALPES MARITIMES;;;;;;;0;0;;050009067;0
ORG;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;;;;3;C;D;;;;1;A;;1;D;;3;C;;270;C;D;;;;;;;;;;;;;;0;1;2;050002948;0
ORG;2023;050000488;CLINIQUE DU SOUFFLE LES ACACIAS;;;;1;;;;;;;;;;;;;;;4;;;;;;0;;;;;;;;;;0;1;1;050000678;0
ORG;2023;050000991;CENTRE MEDICAL CHANTOURS;1;D;;;;;;;;;;;1;B;;;;;5;A;C;;;;0;;;;;;;;;;0;0;;050000546;0
ORG;2023;050001064;CENTRE MEDICAL LA DURANCE;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;1;D;;0;1;1;050000561;0
ORG;2023;050002351;CENTRE RHONE AZUR GAP;;;;;;;;;;;;;;;;;;;;;;;;;1;1;ALPES DU SUD;;;;;;;;0;0;;130037815;0
ORG;2023;050006022;AGDUC UNITE D'AUTODIALYSE GAP;;;;;;;;;;;;;;;;;;;4;C;A;;;;0;;;;;;;;;;0;0;;380793802;0
ORG;2023;050008630;HJ L'ESCALE BRIANCON;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;050000116;0
ORG;2023;060000163;CH SAINT MAUR SAINT ETIENNE TINEE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;060780327;0
ORG;2023;060000296;LA MAISON DU MINEUR;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;;;;0;1;2;060780640;0
ORG;2023;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;;;;;;;;;;;;;;;;;;;4;D;A;;;;;;;;;;;;;;1;0;;060780657;0
ORG;2023;060000411;CH DU PAYS DE LA ROUDOULE PUGET;;;;;;;;;;;;;;;;;;;15;C;A;;;;;;;;;;;;;;1;1;1;060780780;0
ORG;2023;060000478;CENTRE HOSPITALIER DE GRASSE;;;;;;;3;A;D;;;;1;D;;;;;47;C;;;;;0;;;;;;;;;;0;1;2;060780897;0
ORG;2023;060000486;CH SAINT ELOI DE SOSPEL;;;;;;;;;;;;;;;;;;;10;D;C;;;;0;;;;;;;;;;1;0;;060780905;0
ORG;2023;060000494;CH SAINT LAZARE DE TENDE;;;;;;;;;;;;;;;;;;;3;C;A;;;;;;;;;;;;;;0;0;;060780921;0
ORG;2023;060000510;CH D'ANTIBES JUAN LES PINS;;;;1;A;;;;;;;;1;D;;;;;21;C;C;;;;;;;;;;;;;;;1;1;060780954;0
ORG;2023;060000528;CENTRE ANTOINE LACASSAGNE;;;;1;C;;4;A;E;1;E;;;;;;;;187;C;E;1;E;;0;;;;;;;;;;0;1;2;060780962;0
ORG;2023;060000544;CH DE CANNES SIMONE VEIL;;;;2;A;D;;;;;;;3;D;B;1;D;;74;C;D;;;;;;;;;;;;;;1;1;2;060780988;0
ORG;2023;060000551;USLD POLE SANTE VALLAURIS GOLFE JUAN;;;;;;;;;;;;;;;;;;;2;C;D;;;;;;;;;;;;;;0;1;1;060781010;0
ORG;2023;060001625;CENTRE JEAN CHANTON ROQUEBILLIERE;;;;;;;;;;;;;;;;;;;;;;;;;1;1;ALPES MARITIMES;;;;;;;;0;0;;060006889;0
ORG;2023;060002102;CH LA PALMOSA DE MENTON;;;;2;D;A;;;;;;;;;;;;;28;C;D;;;;;;;;;;;;;;1;0;;060791761;0
ORG;2023;060005469;L'OLIVERAIE DES CAYRONS;;;;;;;;;;;;;;;;;;;62;D;;;;;0;;;;;;;;;;0;;;920030269;0
ORG;2023;060006558;HAD ARNAULT TZANCK;1;;;;;;;;;;;;;;;;;;2;;;;;;1;1;ALPES MARITIMES;;;;;;;;0;0;;060798865;0
ORG;2023;060010949;AGAHTIR UDM ANTIBES;;;;;;;;;;;;;1;A;B;;;;3;C;;;;;0;;;;;;;;;;0;0;;060790540;0
ORG;2023;060019213;USLD DOLCE FARNIENTE;;;;;;;;;;;;;;;;;;;12;C;;;;;0;;;;;;;;;;1;1;1;060005188;0
ORG;2023;060021094;CLINIQUE VILLA ROMAINE;;;;1;D;C;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;0;;060024619;0
ORG;2023;060021201;CENTRE DE CONVALESCENCE ATLANTIS;;;;;;;;;;;;;;;;;;;25;C;;;;;0;;;;;;;;;;0;1;1;060000155;0
ORG;2023;060021417;HOPITAL PRIVE CANNES OXFORD;0;;;1;;;;;;;;;3;D;;;;;9;;;;;;0;;;;;;;;;;1;1;2;060000221;0
ORG;2023;060025285;UAD VALLEE DE LA VESUBIE;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;1;0;;750060402;0
ORG;2023;060025681;CTRE NEPHRO CAGNES POLE SANTE ST JEAN;;;;;;;;;;;;;1;A;B;;;;4;C;;;;;0;;;;;;;;;;0;0;;920033636;0
ORG;2023;060030079;VAL DES MIMOSAS;;;;;;;;;;;;;;;;;;;1;C;;;;;0;;;;;;;;;;0;0;;060030061;0
ORG;2023;060780145;CLINIQUE SAINT DOMINIQUE;;;;;;;;;;;;;;;;;;;5;;;;;;0;;;;;;;;;;0;1;2;060000049;0
ORG;2023;060780186;LES LAURIERS ROSES CHAINES DE VIE 06;;;;1;A;B;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;1;1;2;060006939;0
ORG;2023;060780277;CLINIQUE SAINTE BRIGITTE;;;;;;;;;;;;;;;;;;;67;D;C;;;;0;;;;;;;;;;1;1;1;920030269;0
ORG;2023;060780343;E3S SAINT JEAN;;;;;;;;;;;;;;;;;;;9;C;D;;;;0;;;;;;;;;;;;;060000171;0
ORG;2023;060780350;CLINIQUE LES HELLENIDES;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;1;1;2;310025010;0
ORG;2023;060780392;POLE ANTIBES SAINT JEAN;;;;;;;;;;;;;;;;;;;11;C;D;;;;0;;;;;;;;;;0;1;2;060000205;0
ORG;2023;060780442;CLINIQUE SAINT FRANCOIS;;;;;;;;;;;;;;;;;;;6;C;;;;;0;;;;;;;;;;0;0;;060000213;0
ORG;2023;060780459;CLINIQUE ORSAC MONTFLEURI;;;;;;;;;;;;;;;;;;;6;C;D;;;;0;;;;;;;;;;0;0;;010783009;0
ORG;2023;060780491;INSTITUT ARNAULT TZANCK;;;;;;;;;;1;B;;4;D;;;;;37;C;D;9;G;;0;;;;;;;;;;0;1;2;060790797;0
ORG;2023;060780517;POLYCLINIQUE SAINT JEAN;;;;;;;;;;;;;;;;;;;19;C;;;;;0;;;;;;;;;;0;1;1;060000239;0
ORG;2023;060780541;CLINIQUE LA GRANGEA;;;;;;;;;;;;;;;;;;;7;C;D;;;;0;;;;;;;;;;0;1;1;060000262;0
ORG;2023;060780558;CLINIQUE FSEF VENCE;;;;;;;;;;;;;;;;;;;27;A;C;;;;0;;;;;;;;;;1;0;;750720575;0
ORG;2023;060780590;CLINIQUE DU PALAIS;;;;1;A;;;;;;;;5;D;;;;;16;C;;;;;1;1;ALPES MARITIMES;;;;;;;;0;1;2;060000270;0
ORG;2023;060780665;CLINIQUE LE MERIDIEN;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;1;1;060000312;0
ORG;2023;060780715;CLINIQUE SAINT GEORGE;;;;;;;;;;;;;1;A;;;;;;;;24;C;;0;;;;;;;;;;1;1;1;060000361;0
ORG;2023;060780723;CLINIQUE DU PARC IMPERIAL;;;;1;C;;;;;;;;1;A;;;;;28;C;;;;;0;;;;;;;;;;0;0;;060004959;0
ORG;2023;060780749;CLINIQUE SAINT LUC;;;;1;D;C;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;0;;060000395;0
ORG;2023;060780756;POLYCLINIQUE SANTA MARIA;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;1;1;060000403;0
ORG;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;;;;;;;;;;;;;1;A;;;;;;;;;;;1;1;ALPES MARITIMES;;;;;1;C;;;1;1;060800174;0
ORG;2023;060780996;CHS SAINTE MARIE NICE;;;;1;D;;;;;;;;;;;;;;84;C;E;;;;1;1;ALPES MARITIMES;;;;;;;;1;1;1;630786754;0
ORG;2023;060781200;CLINIQUE SAINT ANTOINE KANTYS CENTRE;;;;;;;;;;;;;1;B;;;;;44;C;;;;;0;;;;;;;;;;1;1;1;060000635;0
ORG;2023;060781374;INSTITUT POLYCLINIQUE DE CANNES;;;;;;;;;;;;;;;;;;;10;;;;;;0;;;;;;;;;;0;1;1;060000718;0
ORG;2023;060781929;CLINIQUE DE LA COSTIERE;;;;1;C;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;0;;060000858;0
ORG;2023;060785243;HAD NICE & REGION;;;;;;;;;;;;;;;;;;;16;C;;;;;1;1;ALPES MARITIMES;;;;;;;;;;;060001484;0
ORG;2023;060789674;CENTRE HELIO MARIN;;;;1;A;;;;;;;;;;;;;;;;;;;;1;1;ALPES MARITIMES;;;;;;;;;;;130037815;0
ORG;2023;060790862;C.A.L.M.E.;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;1;2;060001997;0
ORG;2023;060791746;CLINIQUE DE L'ESTAGNOL;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;1;2;060024627;0
ORG;2023;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;;;;;;;;;;;;;;;;;;;107;C;D;;;;0;;;;;;;;;;0;1;1;060010808;0
ORG;2023;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;;;;;;;;;;;;;;;;;;;2;C;A;;;;0;;;;;;;;;;0;1;1;060790797;0
ORG;2023;060792090;AGAHTIR DIALYSE A DOMICILE NICE;;;;;;;;;;;;;;;;;;;2;C;;;;;0;;;;;;;;;;0;0;;060790540;0
ORG;2023;060792900;AUTODIAL INST ARNAULT TZANCK MOUGINS;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;1;1;060790797;0
ORG;2023;060792926;CENTRE D'HEMDIALYSE DE LA RIVIERA;;;;;;;;;;;;;1;A;B;;;;4;C;D;;;;0;;;;;;;;;;0;0;;920033636;0
ORG;2023;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;;;;;;;;;;1;B;;1;D;;;;;24;C;D;5;G;;1;1;ALPES MARITIMES;;;;;;;;0;1;2;060790797;0
ORG;2023;060794021;SSR ISOLA BELLA CH CANNES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;060780988;0
ORG;2023;060798881;MAISON DE CONVALESCENCE LA SERENA;;;;;;;;;;;;;;;;;;;25;C;;;;;0;;;;;;;;;;0;1;1;060798873;0
ORG;2023;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;;;;;;;;;;;;;4;D;B;;;;1;A;;;;;0;;;;;;;;;;1;1;1;060780608;0
ORG;2023;060800174;FONDATION LENVAL;;;;1;C;;;;;;;;1;A;;;;;;;;;;;0;;;;;;;;;;0;0;;060800174;0
ORG;2023;060800182;UNITE DE DIETETIQUE SOMEDI;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;1;1;060002912;0
ORG;2023;070000013;CH DE PRIVAS ARDECHE;;;;;;;;;;;;;;;;;;;;;;;;;1;1;DRÔME-ARDÈCHE-VERCORS;;;;;;;;0;1;1;070002878;0
ORG;2023;070000021;CH DE JOYEUSE;;;;1;A;;;;;;;;1;A;;;;;6;C;;;;;1;1;DRÔME-ARDÈCHE-VERCORS;;;;;;;;1;0;;070007927;0
ORG;2023;070000039;CH DE VALLON PONT D'ARC;;;;1;A;B;;;;;;;1;A;;;;;1;A;;;;;;;;;;;;;;;0;1;2;070780119;0
ORG;2023;070000047;CH DE VILLENEUVE DE BERG;;;;1;B;C;;;;;;;1;A;;;;;1;C;;;;;1;1;DRÔME-ARDÈCHE-VERCORS;;;;;;;;;;;070780127;0
ORG;2023;070000062;CH DE BOURG SAINT ANDEOL;;;;1;A;;;;;1;A;;;;;;;;20;C;B;;;;;;;;;;;;;;1;1;1;070005558;0
ORG;2023;070000070;CH DU CHEYLARD;;;;2;B;A;;;;;;;;;;1;C;;32;C;A;;;;;;;;;;;;;;1;1;2;070780150;0
ORG;2023;070000096;HOPITAL PRIVE DE SAINT AGREVE;;;;2;A;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;0;;070780184;0
ORG;2023;070000112;CH LEOPOLD OLLIER;;;;1;A;;;;;;;;1;A;;;;;6;C;;;;;1;1;DRÔME-ARDÈCHE-VERCORS;;;;;;;;1;0;;070007927;0
ORG;2023;070000146;CH DE LARGENTIERE;;;;1;C;B;;;;;;;1;A;;;;;3;A;D;;;;;;;;;;;;;;;;;070004742;0
ORG;2023;070000187;CH DE LAMASTRE;0;;;0;;;0;;;1;B;;0;;;0;;;64;A;C;0;;;;;;;;;;0;;;0;0;;070780366;0
