BOR;AN;FI;RS;FI_EJ;AUTSU;AUTGEN;AUTSAIS;AUTPED;EMG
URGENCES;2023;070000013;CH DE PRIVAS ARDECHE;070002878;1;1;0;0;1
URGENCES;2023;070000179;CH ARDECHE NORD;070780358;1;1;0;0;1
URGENCES;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;1;1;0;0;1
URGENCES;2023;070780424;CLINIQUE PASTEUR;070000245;1;1;0;0;0
URGENCES;2023;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;1;1;0;0;0
URGENCES;2023;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;1;1;0;0;0
URGENCES;2023;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;1;1;0;0;0
URGENCES;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;1;0;0;1
URGENCES;2023;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;1;1;0;0;1
URGENCES;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;1;1;0;0;0
URGENCES;2023;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;1;0;0;0
URGENCES;2023;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;1;1;0;0;0
URGENCES;2023;110000023;CH CARCASSONNE;110780061;1;1;0;0;1
URGENCES;2023;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;1;1;0;0;0
URGENCES;2023;110000056;CH NARBONNE;110780137;1;1;0;0;1
URGENCES;2023;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;1;1;0;0;0
URGENCES;2023;110780483;POLYCL MONTREAL CARCASSONNE;110000155;1;1;0;0;
URGENCES;2023;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;1;0;0;
URGENCES;2023;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;1;1;0;0;1
URGENCES;2023;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;1;1;0;0;
URGENCES;2023;120004569;CH MILLAU;120004528;1;1;0;0;0
URGENCES;2023;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;1;1;0;0;0
URGENCES;2023;130000409;CHI SITE D'AIX EN PROVENCE;130041916;1;1;0;0;1
URGENCES;2023;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;1;1;0;0;1
URGENCES;2023;130001225;HOPITAL DU PAYS SALONAIS;130782634;1;1;0;0;
URGENCES;2023;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;1;1;0;0;0
URGENCES;2023;130002827;CH JOSEPH IMBERT D'ARLES;130789274;1;1;0;0;
URGENCES;2023;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;1;1;0;0;1
URGENCES;2023;130008253;CLINIQUE DE VITROLLES;130001084;1;0;0;0;0
URGENCES;2023;130043664;HOPITAL EUROPEEN;130002157;1;1;0;0;1
URGENCES;2023;130780521;APHM HOPITAL NORD;130786049;1;1;0;1;
URGENCES;2023;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;1;1;0;0;0
URGENCES;2023;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;1;1;0;0;0
URGENCES;2023;130782147;CLINIQUE GENERALE DE MARIGNANE;130000979;1;1;0;0;0
URGENCES;2023;130783293;APHM HOPITAL LA TIMONE;130786049;1;1;0;0;1
URGENCES;2023;130784713;HP MARSEILLE BEAUREGARD VERT COTEAU;130038847;1;1;0;0;
URGENCES;2023;130785652;HOPITAL SAINT JOSEPH;130014228;1;1;0;0;
URGENCES;2023;130786361;POLYCLIN PARC RAMBOT HOP PRIV PROVENCE;130002447;1;1;0;0;0
URGENCES;2023;130786742;HIA LAVERAN;750821092;1;1;0;0;1
URGENCES;2023;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;1;0;0;1;0
URGENCES;2023;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;1;1;0;0;1
URGENCES;2023;140000209;CHU COTE DE NACRE - CAEN;140000100;1;1;0;1;
URGENCES;2023;140000233;CENTRE HOSPITALIER DE FALAISE;140000118;1;1;0;0;
URGENCES;2023;140000373;CENTRE HOSPITALIER DE VIRE;140000159;1;1;0;0;0
URGENCES;2023;140016759;POLYCLINIQUE DU PARC - CAEN;140003146;1;1;0;0;0
URGENCES;2023;140017237;HOPITAL PRIVE ST MARTIN-CAEN;140003278;1;1;0;0;0
URGENCES;2023;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;1;1;0;0;0
URGENCES;2023;140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;140026279;1;1;0;0;0
URGENCES;2023;150000032;CH DE SAINT-FLOUR;150780088;1;1;0;0;0
URGENCES;2023;150000040;CH HENRI MONDOR;150780096;1;1;0;0;1
URGENCES;2023;150000164;CH DE MAURIAC;150780468;1;1;0;0;
URGENCES;2023;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;1;1;0;0;1
URGENCES;2023;160000303;CH HOPITAUX SUD-CHARENTE;160006037;1;1;0;0;1
URGENCES;2023;160000311;CENTRE HOSPITALIER CONFOLENS;160000485;1;1;0;0;1
URGENCES;2023;160000337;CENTRE HOSPITALIER DE RUFFEC;160000493;1;1;0;0;0
URGENCES;2023;160015368;HOPITAUX DU GRAND COGNAC;160014411;1;1;0;0;1
URGENCES;2023;170000038;CENTRE HOSPITALIER JONZAC;170780050;1;1;0;0;1
URGENCES;2023;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;1;1;0;0;
URGENCES;2023;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;1;1;0;0;
URGENCES;2023;170000103;CH DE SAINTONGE - SAINTES;170780175;1;1;0;0;1
URGENCES;2023;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;1;1;0;0;1
URGENCES;2023;170022065;GCS URGENCES PAYS ROYANNAIS - ROYAN;170022057;1;1;0;0;0
URGENCES;2023;170022818;GCS URGENCES PAYS ROYANNAIS -STGEORGES;170022057;1;1;0;0;0
URGENCES;2023;170022826;GCS URGENCES PAYS ROYANNAIS - PASTEUR;170022057;1;1;0;0;0
URGENCES;2023;180000010;CH BOURGES - JACQUES COEUR;180000028;1;1;0;0;1
URGENCES;2023;180000200;CH DE VIERZON;180000051;1;1;0;0;
URGENCES;2023;180000283;CH SAINT AMAND-MONTROND;180000069;1;1;0;0;0
URGENCES;2023;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;1;1;0;0;1
URGENCES;2023;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;1;1;0;0;1
URGENCES;2023;190000091;CENTRE HOSPITALIER D'USSEL;190000075;1;1;0;0;1
URGENCES;2023;210012670;HOPITAL PRIVE DIJON BOURGOGNE;210011367;1;1;0;0;0
URGENCES;2023;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;1;1;0;1;0
URGENCES;2023;210987657;HOSPICES CIVILS DE BEAUNE;210012175;1;1;0;0;1
URGENCES;2023;210987665;CH HCO SITE DE CHATILLON SUR SEINE;210012142;1;1;0;0;0
URGENCES;2023;210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;210780706;1;1;0;0;0
URGENCES;2023;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;1;1;0;0;1
URGENCES;2023;220000095;CTRE HOSPITALIER DINAN;220000046;1;1;0;0;1
URGENCES;2023;220000343;CENTRE HOSPITALIER GUINGAMP;220000079;1;1;0;0;1
URGENCES;2023;220000368;CENTRE HOSPITALIER LANNION;220000103;1;1;0;0;
URGENCES;2023;220000541;CENTRE HOSPITALIER PAIMPOL;220000152;1;1;0;0;1
URGENCES;2023;230000820;CENTRE HOSPITALIER GUERET;230780041;1;1;0;0;1
URGENCES;2023;230004657;SITE CROIX BLANCHE;230780058;1;1;0;0;0
URGENCES;2023;240000190;POLYCLINIQUE FRANCHEVILLE;240000596;1;1;0;0;0
URGENCES;2023;240000372;C.H DE BERGERAC;240000059;1;1;0;0;1
URGENCES;2023;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;1;1;0;0;1
URGENCES;2023;240000687;CENTRE HOSPITALIER SARLAT;240000448;1;1;0;0;
URGENCES;2023;250000700;CHI HC SITE RIVES DU DOUBS PONTARLIER;250000452;1;1;0;0;
URGENCES;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;1;1;0;1;0
URGENCES;2023;260000013;CH DE VALENCE;260000021;1;1;0;0;1
URGENCES;2023;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;260016910;1;1;0;0;
URGENCES;2023;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;1;1;0;0;1
URGENCES;2023;260000146;CH DE CREST;260000054;1;1;0;0;0
URGENCES;2023;260000203;HOPITAUX DROME NORD - SAINT-VALLIER;260016910;1;1;0;0;
URGENCES;2023;260000286;CH DE DIE;260000104;1;1;0;0;0
URGENCES;2023;270000045;CH BERNAY;270000060;1;1;0;0;1
URGENCES;2023;270000326;HOPITAL PRIVE PASTEUR EVREUX;270000680;1;1;0;0;0
URGENCES;2023;270000359;CH EVREUX CH EURE-SEINE;270023724;1;1;0;0;1
URGENCES;2023;270000367;CH GISORS;270000086;1;1;0;0;0
URGENCES;2023;270000391;CH LOUVIERS CHI ELBEUF;760024042;1;1;0;0;1
URGENCES;2023;270000425;CH PONT-AUDEMER;270000102;1;1;0;0;0
URGENCES;2023;270000441;CH VERNEUIL-SUR-AVRE;270000110;1;1;0;0;0
URGENCES;2023;270000458;CH VERNON CH EURE-SEINE;270023724;1;1;0;0;1
URGENCES;2023;280000084;CH DREUX;280000183;1;1;0;0;
URGENCES;2023;280000662;CH CHATEAUDUN;280500075;1;1;0;0;0
URGENCES;2023;280502998;CH NOGENT LE ROTROU - NOUVEL HÔPITAL;280000589;1;1;0;0;0
URGENCES;2023;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;1;1;0;0;1
URGENCES;2023;280505777;HOPITAL PRIVE D'EURE ET LOIR;280001199;1;1;0;0;0
URGENCES;2023;290000025;CHIC QUIMPER;290020700;1;1;0;0;
URGENCES;2023;290000033;C.H. DES PAYS DE MORLAIX;290021542;1;1;0;0;
URGENCES;2023;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;1;0;0;1;0
URGENCES;2023;290000066;CHIC SITE DE CONCARNEAU;290020700;1;1;0;0;
URGENCES;2023;290000173;CH FERDINAND GRALL LANDERNEAU;290000041;1;1;0;0;0
URGENCES;2023;290000181;CENTRE HOSPITALIER DOUARNENEZ;290000074;1;1;0;0;1
URGENCES;2023;290000256;CHRU BREST SITE HOPITAL DE CARHAIX;290000017;1;1;0;0;1
URGENCES;2023;290000728;HOPITAL INSTRUCTION DES ARMEES;750821092;1;1;0;0;0
URGENCES;2023;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;1;1;0;0;1
URGENCES;2023;290000934;GHBS - HOPITAL LA VILLENEUVE;560005746;1;1;0;0;1
URGENCES;2023;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;1;1;0;0;0
URGENCES;2023;290019777;POLYCLINIQUE DE KERAUDREN;290022508;1;1;0;0;
URGENCES;2023;2A0000154;CLINIQUE DU SUD DE LA CORSE;2A0000204;1;1;0;0;
URGENCES;2023;2A0004842;CH ND LA MISERICORDE;2A0000014;1;1;0;0;1
URGENCES;2023;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;1;1;0;0;1
URGENCES;2023;2B0005359;CH CALVI;2B0005342;1;1;0;0;0
URGENCES;2023;300000023;CH ALES CEVENNES;300780046;1;1;0;0;1
URGENCES;2023;300000031;CH LOUIS PASTEUR BAGNOLS SUR CEZE;300780053;1;1;0;0;1
URGENCES;2023;300780137;NOUVELLE CL BONNEFON ALES;920028396;1;1;0;0;0
URGENCES;2023;300782117;CHU NIMES CAREMEAU;300780038;1;1;0;1;1
URGENCES;2023;300788502;POLYCLINIQUE GRAND SUD NIMES;300017985;1;1;0;0;0
URGENCES;2023;310000310;CH COMMINGES PYRENEES SITE ST PLANCARD;310780671;1;1;0;0;1
URGENCES;2023;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;1;0;0;1;0
URGENCES;2023;310026927;CL CAPIO LA CROIX DU SUD QUINT FONSEGR;310026794;1;1;0;0;1
URGENCES;2023;310780283;CL DE L'UNION SAINT JEAN;310000112;1;1;0;0;1
URGENCES;2023;310780382;CL AMBROISE PARE TOULOUSE;310000179;1;1;0;0;0
URGENCES;2023;310781000;CL DES CEDRES CORNEBARRIEU;310788880;1;1;0;0;1
URGENCES;2023;310781067;HOPITAL JOSEPH DUCUING TOULOUSE;310788898;1;1;0;0;0
URGENCES;2023;310781505;CL D'OCCITANIE MURET;310000492;1;1;0;0;1
URGENCES;2023;310783048;HOPITAL PURPAN CHU TOULOUSE;310781406;1;1;0;0;1
URGENCES;2023;310783055;HOPITAL DE RANGUEIL CHU TOULOUSE;310781406;1;1;0;0;1
URGENCES;2023;320000086;CH AUCH EN GASCOGNE;320780117;1;1;0;0;1
URGENCES;2023;320000102;CH CONDOM;320780133;1;1;0;0;0
URGENCES;2023;330000340;MSP BORDEAUX BAGATELLE;330780552;1;1;0;0;0
URGENCES;2023;330000555;CENTRE HOSPITALIER D'ARCACHON;330781204;1;1;0;0;1
URGENCES;2023;330000571;CH DE LA HAUTE GIRONDE;330781220;1;1;0;0;
URGENCES;2023;330000589;CH SUD GIRONDE - SITE LANGON;330027509;1;1;0;0;0
URGENCES;2023;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;1;1;0;0;1
URGENCES;2023;330058355;CH LIBOURNE- ANTENNE STE-FOY-LA-GRANDE;330781253;1;1;0;0;0
URGENCES;2023;330780263;POLYCLINIQUE BORDEAUX RIVE DROITE;330000134;1;1;0;0;0
URGENCES;2023;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;330000274;1;1;0;0;0
URGENCES;2023;330780495;CLINIQUE MUTUALISTE DU MEDOC;330796392;1;1;0;0;
URGENCES;2023;330780529;CLINIQUE MUTUALISTE DE PESSAC;330796392;1;1;0;0;0
URGENCES;2023;330780537;HOPITAL PRIVE WALLERSTEIN;330000324;1;1;0;0;0
URGENCES;2023;330781303;HIA ROBERT PICQUE;750821092;1;1;0;0;
URGENCES;2023;330781352;HOPITAL SAINT-ANDRE - CHU;330781196;1;1;0;0;1
URGENCES;2023;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;1;1;0;1;1
URGENCES;2023;330781402;NOUVELLE CLINIQUE BORDEAUX TONDU;330000670;1;1;0;0;0
URGENCES;2023;330783648;HOPITAL HAUT-LEVEQUE - CHU;330781196;1;1;0;0;1
URGENCES;2023;340000033;CH BEZIERS;340780055;1;1;0;0;0
URGENCES;2023;340000223;HOPITAL ST CLAIR HBT SETE;340011295;1;1;0;0;1
URGENCES;2023;340015502;CL DU MILLENAIRE MONTPELLIER;340000512;1;1;0;0;0
URGENCES;2023;340015965;POLYCL ST PRIVAT BOUJAN SUR LIBRON;340000074;1;1;0;0;0
URGENCES;2023;340022979;POLYCL ST ROCH MONTPELLIER;340000306;1;1;0;0;0
URGENCES;2023;340024314;CL ST JEAN SUD DE FRANCE;340000272;1;1;0;0;1
URGENCES;2023;340780147;POLYCL DES TROIS VALLEES BEDARIEUX;340000108;1;1;0;0;0
URGENCES;2023;340780154;POLYCL PASTEUR PEZENAS;340000116;1;1;0;0;0
URGENCES;2023;340780642;CL BEAU SOLEIL MONTPELLIER;340785856;1;1;0;0;0
URGENCES;2023;340780667;CL DU PARC CASTELNAU LE LEZ;340000280;1;1;0;0;0
URGENCES;2023;340780717;CL ST LOUIS GANGES;340023225;1;1;0;0;0
URGENCES;2023;340780725;CL VIA DOMITIA POLE SANTE DE LUNEL;340000330;1;1;0;0;0
URGENCES;2023;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;1;1;0;1;1
URGENCES;2023;350000121;CHP SAINT GREGOIRE;350000303;1;1;0;0;0
URGENCES;2023;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;1;1;0;0;1
URGENCES;2023;350000154;C.H FOUGERES;350000030;1;1;0;0;1
URGENCES;2023;350000162;CHIRC SITE REDON;350000048;1;1;0;0;1
URGENCES;2023;350000188;CENTRE HOSPITALIER VITRE;350000055;1;1;0;0;1
URGENCES;2023;350000741;CHRU RENNES SITE PONTCHAILLOU;350005179;1;1;0;0;1
URGENCES;2023;350005146;HOPITAL PRIVE SEVIGNE;350000733;1;1;0;0;0
URGENCES;2023;350007084;CHRU RENNES SITE HOPITAL SUD;350005179;1;0;0;1;0
URGENCES;2023;360000038;CH LA TOUR BLANCHE - ISSOUDUN;360000046;1;1;0;0;
URGENCES;2023;360000137;CH CHATEAUROUX;360000053;1;1;0;0;
URGENCES;2023;360000160;CH DU BLANC;360000053;1;1;0;0;0
URGENCES;2023;370000093;SAS NOUVELLE CLINIQUE DE TOURS +;370013468;1;1;0;0;0
URGENCES;2023;370000499;CHRU CLOCHEVILLE - TOURS;370000481;1;0;0;1;0
URGENCES;2023;370000531;CH DU CHINONAIS;370000606;1;1;0;0;
URGENCES;2023;370000879;CHIC - AMBOISE- HÔPITAL ROBERT DEBRÉ;370000564;1;1;0;0;0
URGENCES;2023;370000903;CH PAUL MARTINAIS - LOCHES;370000614;1;1;0;0;0
URGENCES;2023;370004467;CHRU TROUSSEAU - CHAMBRAY;370000481;1;1;0;0;
URGENCES;2023;370007569;PÔLE SANTÉ LÉONARD DE VINCI;370007528;1;1;0;0;0
URGENCES;2023;380000026;CH FABRICE MARCHIOL LA MURE;380780031;1;1;0;0;0
URGENCES;2023;380000034;CH PIERRE OUDOT BOURGOIN JALLIEU;380780049;1;1;0;0;1
URGENCES;2023;380000042;CH YVES TOURAINE;380780056;1;1;0;0;
URGENCES;2023;380000067;HOPITAL NORD - CHU38;380780080;1;1;0;1;1
URGENCES;2023;380000174;CH LUCIEN HUSSEL DE VIENNE;380781435;1;1;0;0;1
URGENCES;2023;380000406;HOPITAL DE VOIRON - CHU38;380780080;1;1;0;0;0
URGENCES;2023;380012658;GROUPE HOSPIT. MUTUALISTE DE GRENOBLE;380012609;1;1;0;0;1
URGENCES;2023;380020123;CLINIQUE DES COTES DU RHONE;380021139;1;1;0;0;
URGENCES;2023;380782722;HOPITAL SUD - CHU38;380780080;1;1;0;0;0
URGENCES;2023;380785956;CLINIQUE DES CEDRES;380795211;1;1;0;0;0
URGENCES;2023;390000040;CH LONS;390780146;1;1;0;0;1
URGENCES;2023;390000065;CH LOUIS JAILLON SAINT CLAUDE;390780161;1;1;0;0;0
URGENCES;2023;390000222;CH LOUIS PASTEUR DOLE;390780609;1;1;0;0;1
URGENCES;2023;400000105;CENTRE HOSPITALIER DAX;400780193;1;1;0;0;1
URGENCES;2023;400000139;CHI MONT DE MARSAN ET PAYS DES SOURCES;400011177;1;1;0;0;1
URGENCES;2023;400015103;GCS PAYS DE L'ADOUR;400015095;1;1;0;0;0
URGENCES;2023;410000020;CH BLOIS SIMONE VEIL;410000087;1;1;0;0;1
URGENCES;2023;410000038;CH VENDOME - MONTOIRE;410000095;1;1;0;0;0
URGENCES;2023;410000046;CH ROMORANTIN-LANTHENAY;410000103;1;1;0;0;0
URGENCES;2023;420000010;CH DE ROANNE;420780033;1;1;0;0;1
URGENCES;2023;420000226;CH DU FOREZ SITE DE MONTBRISON;420013831;1;1;0;0;1
URGENCES;2023;420000234;CH DE FIRMINY;420780652;1;1;0;0;1
URGENCES;2023;420000267;CH DU FOREZ SITE DE FEURS;420013831;1;1;0;0;1
URGENCES;2023;420011413;HOPITAL PRIVE DE LA LOIRE;420011405;1;1;0;0;0
URGENCES;2023;420780504;CLINIQUE DU PARC ST PRIEST EN JAREZ;420000135;1;1;0;0;0
URGENCES;2023;420780637;CH DU GIER - MCO;420002495;1;1;0;0;1
URGENCES;2023;420782310;CLINIQUE DU RENAISON;420000853;1;1;0;0;0
URGENCES;2023;420785354;HOPITAL NORD - CHU42;420784878;1;1;0;1;1
URGENCES;2023;430000117;CH EMILE ROUX LE PUY;430000018;1;1;0;0;0
URGENCES;2023;430000190;CH DE BRIOUDE;430000034;1;1;0;0;1
URGENCES;2023;440000016;CH DE SAINT NAZAIRE;440000057;1;1;0;0;1
URGENCES;2023;440000271;CHU DE NANTES SITE HOTEL DIEU HME;440000289;1;1;0;1;1
URGENCES;2023;440000396;CH ERDRE ET LOIRE;440053643;1;1;0;0;1
URGENCES;2023;440000503;CH CNP SITE CHATEAUBRIANT;440000313;1;1;0;0;
URGENCES;2023;440041580;HOPITAL PRIVE DU CONFLUENT;440041572;1;1;0;0;0
URGENCES;2023;450000047;CH DEZARNAULDS - GIEN;450000096;1;1;0;0;1
URGENCES;2023;450000062;CH AGGLOMERATION MONTARGOISE;450000104;1;1;0;0;
URGENCES;2023;450000070;CH PITHIVIERS;450000112;1;1;0;0;0
URGENCES;2023;450000294;ORELIANCE - REINE BLANCHE;450000591;1;1;0;0;0
URGENCES;2023;450002613;CHR ORLÉANS - HÔPITAL DE LA SOURCE;450000088;1;1;0;1;
URGENCES;2023;460000045;CH FIGEAC SITE MARTIN MALVY;460780083;1;1;0;0;1
URGENCES;2023;460000052;CH ST JACQUES ST CERE;460780091;1;1;0;0;
URGENCES;2023;460000102;CH JEAN COULON GOURDON;460780208;1;1;0;0;1
URGENCES;2023;460000110;CH JEAN ROUGIER CAHORS;460780216;1;1;0;0;1
URGENCES;2023;470000027;CLINIQUE ESQUIROL-SAINT-HILAIRE;470014069;1;1;0;0;0
URGENCES;2023;470000423;CH AGEN NERAC - HOPITAL SAINT-ESPRIT;470016171;1;1;0;0;1
URGENCES;2023;470000431;CH VILLENEUVE -POLE SANTE VILLENEUVOIS;470000324;1;1;0;0;1
URGENCES;2023;470000480;CENTRE HOSPITALIER DE MARMANDE - CHIC;470001660;1;1;0;0;1
URGENCES;2023;480000017;HOPITAL LOZERE SITE VALLEE DU LOT;480780097;1;1;0;0;0
URGENCES;2023;490000049;CHR ANGERS SITE LARREY;490000031;1;1;0;1;1
URGENCES;2023;490000635;CH DE CHOLET;490000676;1;1;0;0;1
URGENCES;2023;490001765;CH DE SAUMUR;490528452;1;1;0;0;1
URGENCES;2023;490014909;CLINIQUE DE L'ANJOU;490008109;1;1;0;0;0
URGENCES;2023;500000021;CHAG - SITE AVRANCHES;500000054;1;1;0;0;1
URGENCES;2023;500000187;CHPC - SITE CHERBOURG;500000013;1;1;0;0;1
URGENCES;2023;500000260;CHAG - SITE GRANVILLE;500000054;1;1;0;0;0
URGENCES;2023;500000427;CH DE SAINT HILAIRE DU HARCOUET;500000096;1;1;0;0;
URGENCES;2023;500000450;CH MEMORIAL - SAINT-LO;500000112;1;1;0;0;0
URGENCES;2023;500000591;CENTRE HOSPITALIER DE COUTANCES;500000393;1;1;0;0;
URGENCES;2023;510000169;CENTRE HOSPITALIER LEON BOURGEOIS;510000037;1;1;0;0;0
URGENCES;2023;510000235;CENTRE HOSPITALIER D'EPERNAY;510000060;1;1;0;0;1
URGENCES;2023;510000250;CENTRE HOSPITALIER VITRY LE FRANCOIS;510000078;1;1;0;0;1
URGENCES;2023;510002470;AMERICAN MEMORIAL HOSPITAL CHU REIMS;510000029;1;0;0;1;0
URGENCES;2023;510004302;HOPITAL MAISON BLANCHE CHU REIMS;510000029;1;1;0;0;0
URGENCES;2023;510024979;POLYCLINIQUE REIMS - BEZANNES;510000532;1;1;0;0;
URGENCES;2023;520000027;CENTRE HOSPITALIER DE CHAUMONT;520780032;1;1;0;0;1
URGENCES;2023;520000043;CENTRE HOSPITALIER DE LANGRES;520780057;1;1;0;0;1
URGENCES;2023;520000068;CH GENEVIEVE DE GAULLE ANTHONIOZ;520780073;1;1;0;0;1
URGENCES;2023;530000017;CH HAUT ANJOU SITE CHATEAU GONTIER;530000025;1;1;0;0;1
URGENCES;2023;530000173;CH DU NORD MAYENNE;530000074;1;1;0;0;1
URGENCES;2023;530000264;CENTRE HOSPITALIER DE LAVAL;530000371;1;1;0;0;
URGENCES;2023;540000015;CHRU NANCY - MATERNITE;540023264;1;0;0;1;0
URGENCES;2023;540000023;CENTRE HOSPITALIER SAINT CHARLES TOUL;540000049;1;1;0;0;
URGENCES;2023;540000155;CENTRE HOSPITALIER DE LUNEVILLE;540000080;1;1;0;0;0
URGENCES;2023;540000296;CENTRE HOSPITALIER DE PONT A MOUSSON;540000106;1;1;0;0;0
URGENCES;2023;540001070;CH DE BRIEY - HOPITAL MAILLOT;540000767;1;1;0;0;1
URGENCES;2023;540001096;CH DE MT ST MARTIN (GROUPE SOS SANTE);570010181;1;1;0;0;0
URGENCES;2023;540001138;CHRU NANCY - HOPITAL CENTRAL;540023264;1;1;0;0;1
URGENCES;2023;540002698;CHRU NANCY - HOPITAUX DE BRABOIS;540023264;1;0;0;1;0
