BOR;AN;FI;RS;FI_EJ;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtHAD;dtHAD80;dtHAD18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM;GDE
URGENCES2;2023;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;GEN;258;420;1;IAO;39713;3915;14734;7640;2432;1430;120;95;;19;11;;1386;608;88;;8;2920;3143;1444;1722;1;1;
URGENCES2;2023;130001225;HOPITAL DU PAYS SALONAIS;130782634;GEN;504;568;1;IAO;40995;4976;10604;10641;3127;1427;;;;;;;;;;;6;2190;5579;1347;4399;1;1;
URGENCES2;2023;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;GEN;252;448;1;IAO;25154;3504;3406;4349;1568;103;;;;;;;953;175;97;;4;1460;2939;1803;1144;1;1;
URGENCES2;2023;130002827;CH JOSEPH IMBERT D'ARLES;130789274;GEN;308;672;1;IAO;37480;4181;6692;6434;;;236;;;;;;508;;;;4;;4802;2704;2200;1;;
URGENCES2;2023;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;GEN;588;1008;1;IAO;50440;4902;13106;1298;17;975;688;274;3;;;;1283;405;62;;8;2920;9354;4269;5467;1;1;
URGENCES2;2023;130043664;HOPITAL EUROPEEN;130002157;GEN;504;1272;1;IAO;38939;2911;564;6259;1288;31;;;;;;;783;183;10;;6;2190;3033;2194;850;1;1;
URGENCES2;2023;130780521;APHM HOPITAL NORD;130786049;GEN;789;2385;;IAO;101554;6211;38038;10163;2296;1859;;;;;;;;;;;15;5454;12541;7756;5522;1;1;
URGENCES2;2023;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;GEN;252;504;1;IAO;14492;3420;898;2394;1015;24;;;;;;;44;9;0;;4;1460;129;81;48;1;1;
URGENCES2;2023;130782071;CLINIQUE DE L'ETANG DE L'OLIVIER;130002454;GEN;143;255;0;;10443;1000;1274;210;18;;2;;;;;;;;;;6;2190;270;141;135;1;1;
URGENCES2;2023;130782147;CLINIQUE GENERALE DE MARIGNANE;130000979;GEN;336;630;1;IAO;23895;2023;2980;1452;366;30;;;;;;;;;;;6;2190;1707;838;930;1;1;
URGENCES2;2023;130783293;APHM HOPITAL LA TIMONE;130786049;GEN;1010;2604;1;IAOMAO;88497;9755;2611;9625;2864;81;;;;;;;;;;;19;6897;14525;7234;9207;1;1;
URGENCES2;2023;130784713;HP MARSEILLE BEAUREGARD VERT COTEAU;130038847;GEN;168;504;;;12933;1852;465;2185;652;34;;;;;;;720;;10;;4;;;;;;;
URGENCES2;2023;130785652;HOPITAL SAINT JOSEPH;130014228;GEN;1092;1596;1;IAO;64570;7330;28706;9297;293;329;;;;;;;;;;;17;6205;5713;2911;3079;1;1;
URGENCES2;2023;130786361;POLYCLIN PARC RAMBOT HOP PRIV PROVENCE;130002447;GEN;336;672;1;IAO;23524;2526;2354;4372;1212;61;;;;;;;137;18;4;;6;;822;268;588;0;1;
URGENCES2;2023;130786742;HIA LAVERAN;750821092;GEN;285;708;1;IAO;25133;4190;723;3701;1468;27;35;0;0;;;;349;149;1;;10;3650;2787;869;2080;1;1;
URGENCES2;2023;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;PED;206;1104;1;IAO;40773;;;;;;;;;;;;;;;4842;8;2920;1873;526;1416;;;
URGENCES2;2023;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;GEN;504;574;1;IAO;35793;1539;16455;6439;745;1512;5;5;0;0;0;0;;;;;9;3285;5316;3094;2506;1;1;
URGENCES2;2023;140000209;CHU COTE DE NACRE - CAEN;140000100;GEN;646;1428;1;IAO;50549;7402;823;11370;3882;181;381;8;10;0;0;0;713;112;4;;13;4745;12626;5126;9302;1;1;
URGENCES2;2023;140000209;CHU COTE DE NACRE - CAEN;140000100;PED;288;588;1;IAO;25126;;;;;;;;;;;;;;;3699;3;1095;1899;1153;752;;;
URGENCES2;2023;140000233;CENTRE HOSPITALIER DE FALAISE;140000118;GEN;168;246;1;IAO;16646;1861;5660;4681;1169;1170;6;3;;1;;;439;66;42;;2;730;2885;1590;1437;1;1;
URGENCES2;2023;140000373;CENTRE HOSPITALIER DE VIRE;140000159;GEN;168;252;1;IAO;11691;2166;1423;786;509;0;109;77;0;21;9;0;452;112;8;;2;730;2352;718;1855;1;1;
URGENCES2;2023;140016759;POLYCLINIQUE DU PARC - CAEN;140003146;GEN;168;672;1;IAO;21324;1320;2986;1420;320;17;;;;;;;58;1;8;;6;2190;717;500;237;1;1;
URGENCES2;2023;140017237;HOPITAL PRIVE ST MARTIN-CAEN;140003278;GEN;252;466;1;IAO;27544;2977;3448;3106;517;38;;;;;;;192;52;12;;3;1095;230;36;226;1;1;
URGENCES2;2023;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;GEN;182;420;1;IAO;20561;2806;4607;4240;1438;458;70;11;0;0;0;0;172;33;11;;4;1460;2480;1130;1581;1;0;
URGENCES2;2023;140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;140026279;GEN;420;566;1;IAO;18658;2606;1810;;;;;;;;;;;;;;5;1825;2919;1072;2430;0;1;
URGENCES2;2023;150000032;CH DE SAINT-FLOUR;150780088;GEN;155;168;1;IAO;12075;1602;2157;1953;722;38;120;11;1;0;0;0;300;70;55;;0;0;;;;1;1;
URGENCES2;2023;150000040;CH HENRI MONDOR;150780096;GEN;282;532;1;IAO;28746;3488;6553;6335;1964;968;534;40;22;0;0;0;146;27;28;;6;2190;1597;234;1607;1;1;
URGENCES2;2023;150000164;CH DE MAURIAC;150780468;GEN;48;35;;;8616;1232;1887;;;;;;;;;;;;;;6;;1468;451;1059;;;
URGENCES2;2023;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;GEN;602;1596;1;IAOMAO;56279;6553;18334;7916;1467;1272;;;;;;;568;92;58;;16;5840;4200;2992;1368;1;1;
URGENCES2;2023;160000303;CH HOPITAUX SUD-CHARENTE;160006037;GEN;168;336;1;IAO;9901;1611;1599;2044;;17;;;;;;;;;;;2;730;224;211;13;1;1;
URGENCES2;2023;160000311;CENTRE HOSPITALIER CONFOLENS;160000485;GEN;168;207;1;IAO;10770;1668;2093;2686;922;55;33;30;;;;;460;108;62;;2;730;972;971;1;1;0;
URGENCES2;2023;160000337;CENTRE HOSPITALIER DE RUFFEC;160000493;GEN;168;168;0;;10698;1652;1756;2189;30;419;12;8;1;;;;106;12;20;;2;730;1379;872;1471;1;0;
URGENCES2;2023;160015368;HOPITAUX DU GRAND COGNAC;160014411;GEN;84;140;1;IAO;16144;2231;2152;4468;1340;104;1;;;;;;;;;;7;2555;4060;1848;2680;1;1;
URGENCES2;2023;170000038;CENTRE HOSPITALIER JONZAC;170780050;GEN;218;168;1;IAO;13354;2351;1683;1884;952;27;36;0;2;;;;208;38;23;;4;1460;1620;273;1568;1;1;
URGENCES2;2023;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;GEN;624;1311;1;IAO;50110;6542;12007;12959;4041;401;377;724;47;;;;199;17;16;;15;4851;4179;696;4150;1;1;
URGENCES2;2023;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;GEN;168;147;;;9934;2463;1186;2013;389;6;25;16;0;0;0;0;448;89;15;;3;1095;1549;251;2197;1;1;
URGENCES2;2023;170000103;CH DE SAINTONGE - SAINTES;170780175;GEN;804;840;1;IAO;35120;6185;7851;8967;1855;1393;215;5;0;6;0;2;170;35;34;;11;3685;3424;441;4003;1;1;
URGENCES2;2023;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;GEN;403;504;1;IAO;34960;4695;9884;6298;2075;1166;5;2;;;;;418;35;33;;9;3285;3810;814;3822;0;1;
URGENCES2;2023;170022065;GCS URGENCES PAYS ROYANNAIS - ROYAN;170022057;GEN;336;420;1;IAO;18500;4035;1396;;;;;;;;;;3553;1369;15;;;;;;;0;0;
URGENCES2;2023;170022818;GCS URGENCES PAYS ROYANNAIS -STGEORGES;170022057;GEN;84;98;1;IAO;6159;622;1116;;;;;;;;;;186;52;10;;;;;;;1;0;
URGENCES2;2023;170022826;GCS URGENCES PAYS ROYANNAIS - PASTEUR;170022057;GEN;84;200;1;IAO;9878;1322;1336;;;;;;;;;;1898;361;61;;;;;;;0;0;
URGENCES2;2023;180000010;CH BOURGES - JACQUES COEUR;180000028;GEN;616;1106;1;IAOMAO;52237;6805;9031;11726;404;202;;;;;;;;;;;12;4380;6943;3175;4136;1;1;
URGENCES2;2023;180000200;CH DE VIERZON;180000051;GEN;238;270;1;IAOMAO;22531;2581;5243;22531;;;;;;;;;;;;;4;1460;2607;710;2268;0;0;
URGENCES2;2023;180000283;CH SAINT AMAND-MONTROND;180000069;GEN;168;224;1;IAO;14382;2427;2392;2017;1069;4;6;5;;;;;1034;372;8;;5;1825;2341;891;1621;1;1;
URGENCES2;2023;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;GEN;288;742;1;IAO;41078;6002;8214;10695;3764;977;324;0;0;0;0;0;0;0;0;;9;3282;2518;230;2832;1;1;
URGENCES2;2023;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;GEN;487;640;1;IAO;22649;3494;5689;5894;;;357;;;;;;;;;;6;2190;1602;179;1528;1;1;
URGENCES2;2023;190000091;CENTRE HOSPITALIER D'USSEL;190000075;GEN;168;168;1;IAO;13422;2059;2203;2398;957;32;156;120;;9;1;;476;137;1;;1;365;579;181;403;1;1;
URGENCES2;2023;210012670;HOPITAL PRIVE DIJON BOURGOGNE;210011367;GEN;252;672;1;IAO;32686;3722;6799;;;;;;;;;;;;;;6;2190;2624;1123;2050;1;1;
URGENCES2;2023;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;GEN;420;1330;1;IAOMAO;42423;7905;31;14869;3484;10;0;0;0;0;0;0;1135;153;0;;8;2920;4151;1771;2444;1;1;
URGENCES2;2023;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;PED;189;1040;1;IAO;21892;;;;;;;;;;;;;;;3853;10;3660;3553;2250;1331;;;
URGENCES2;2023;210987657;HOSPICES CIVILS DE BEAUNE;210012175;GEN;211;756;1;IAOMAO;20976;3114;4033;3799;1857;683;3;;;;;;40;46;35;;6;2190;2278;1126;1215;1;1;
URGENCES2;2023;210987665;CH HCO SITE DE CHATILLON SUR SEINE;210012142;GEN;336;420;1;IAO;11972;;;;;;;;;;;;;;;;3;1095;1536;1252;289;0;0;
URGENCES2;2023;210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;210780706;GEN;406;609;1;IAO;23958;2849;5603;3576;1116;337;241;8;0;0;0;0;337;101;77;;6;2190;2516;1285;1248;1;1;
URGENCES2;2023;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;GEN;818;1323;1;IAO;74491;7990;22029;16685;4608;3136;32;0;0;0;0;0;1433;0;0;;12;4380;4416;1226;4168;1;1;
URGENCES2;2023;220000095;CTRE HOSPITALIER DINAN;220000046;GEN;406;568;1;IAO;27490;4378;5595;10213;3239;684;;;;;;;116;24;12;;8;2920;7591;4040;4306;1;1;
URGENCES2;2023;220000343;CENTRE HOSPITALIER GUINGAMP;220000079;GEN;420;644;1;IAO;21276;3298;4288;5922;2250;125;13;13;;;;;119;;133;;7;2555;3392;1372;2217;0;0;
URGENCES2;2023;220000368;CENTRE HOSPITALIER LANNION;220000103;GEN;252;642;1;IAO;22531;3560;3933;5620;2034;509;1;1;;2;;;564;74;50;;6;2190;4903;1970;3298;1;0;
URGENCES2;2023;220000541;CENTRE HOSPITALIER PAIMPOL;220000152;GEN;336;252;1;IAO;15163;2477;2523;2734;1332;0;19;11;0;;;;986;193;97;;4;1460;1633;920;735;1;;
URGENCES2;2023;230000820;CENTRE HOSPITALIER GUERET;230780041;GEN;168;672;1;IAO;20141;3293;3448;5887;1957;396;9;8;0;;;;;;;;6;2190;2004;488;1707;1;1;
URGENCES2;2023;230004657;SITE CROIX BLANCHE;230780058;GEN;168;168;1;IAO;7131;1062;1024;;;;;;;;;;;;;;2;730;1088;422;727;1;0;
URGENCES2;2023;240000190;POLYCLINIQUE FRANCHEVILLE;240000596;GEN;168;285;1;IAO;12307;1965;1173;1739;535;25;;;;;;;77;;;;4;1460;513;350;163;1;1;
URGENCES2;2023;240000372;C.H DE BERGERAC;240000059;GEN;336;574;1;IAO;27409;4143;4158;3195;1145;293;;;;;;;945;137;52;;8;2920;5716;2856;3461;1;1;
URGENCES2;2023;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;GEN;420;878;1;IAO;43234;5486;11950;8804;3919;1752;233;;;19;;;;;;;16;5840;9295;3656;6525;0;1;
URGENCES2;2023;240000687;CENTRE HOSPITALIER SARLAT;240000448;GEN;168;420;1;IAO;11081;1860;1964;2317;979;29;186;59;3;0;0;0;532;93;31;;6;2190;1242;394;920;;;
URGENCES2;2023;250000700;CHI HC SITE RIVES DU DOUBS PONTARLIER;250000452;GEN;259;486;1;IAO;29634;2379;7833;;;;;;;;;;;;;;6;2190;1809;544;1491;1;1;
URGENCES2;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;GEN;1127;2372;1;IAO;68130;9143;1241;;;;;;;;;;;;;;7;2555;3818;1910;2049;1;1;
URGENCES2;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;PED;300;536;1;IAO;20423;;;;;;;;;;;;;;;3437;4;1460;1098;286;924;;;
URGENCES2;2023;260000013;CH DE VALENCE;260000021;GEN;567;1487;1;IAO;47124;5867;14898;15193;3468;2643;;;;;;;;;;;8;2920;7315;3782;4092;0;1;
URGENCES2;2023;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;260016910;GEN;420;553;1;IAO;35462;4724;7859;7181;2271;1065;;;;;;;;;;;10;3650;1117;69;1541;1;1;
URGENCES2;2023;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;GEN;393;1273;1;IAO;54000;5226;15143;7126;1802;1658;0;0;0;3;1;0;786;139;23;;13;4745;5906;1381;5166;1;1;
URGENCES2;2023;260000146;CH DE CREST;260000054;GEN;168;174;0;;11550;919;2492;854;;;;;;;;;135;;;;2;730;293;101;205;1;0;
URGENCES2;2023;260000203;HOPITAUX DROME NORD - SAINT-VALLIER;260016910;GEN;81;81;0;;8019;515;2091;200;93;3;;;;;;;;;;;;;0;0;0;;;
URGENCES2;2023;260000286;CH DE DIE;260000104;GEN;168;168;1;IAO;6449;518;1434;923;312;5;0;;;0;;;141;47;0;;2;730;827;549;326;0;0;
URGENCES2;2023;270000045;CH BERNAY;270000060;GEN;168;336;1;IAO;17590;;;444;;;;;;;;;171;;;;4;1460;1391;319;1308;0;0;
URGENCES2;2023;270000326;HOPITAL PRIVE PASTEUR EVREUX;270000680;GEN;252;432;1;IAO;23764;3129;3352;1074;186;112;;;;;;;;;;;4;;58;36;22;1;1;
URGENCES2;2023;270000359;CH EVREUX CH EURE-SEINE;270023724;GEN;981;1310;1;IAO;61868;4090;25260;8405;1804;1942;0;0;0;;;;;;;;5;2095;1764;486;1931;1;1;
URGENCES2;2023;270000367;CH GISORS;270000086;GEN;168;168;1;IAO;15407;1947;2913;;;;;;;;;;;;;;3;1095;1028;275;873;1;1;
URGENCES2;2023;270000391;CH LOUVIERS CHI ELBEUF;760024042;GEN;168;308;1;IAO;16508;867;4242;419;247;2;;;;;;;464;84;28;;1;365;226;208;18;1;1;
URGENCES2;2023;270000425;CH PONT-AUDEMER;270000102;GEN;168;168;1;;17875;;;;;;;;;;;;;;;;5;;2008;892;1256;;;
URGENCES2;2023;270000441;CH VERNEUIL-SUR-AVRE;270000110;GEN;168;168;1;IAO;13787;1609;2943;516;;;31;;;;;;301;;;;4;1460;980;194;1023;0;0;
URGENCES2;2023;270000458;CH VERNON CH EURE-SEINE;270023724;GEN;242;529;1;IAO;24276;2557;3586;3183;995;50;7;3;0;;;;;;;;4;1460;1276;214;1337;1;0;
URGENCES2;2023;280000084;CH DREUX;280000183;GEN;831;1261;;;63720;5308;23033;8663;2877;1293;158;10;2;;;;;;;;11;4015;3430;752;3057;0;0;
URGENCES2;2023;280000662;CH CHATEAUDUN;280500075;GEN;366;716;1;IAO;16527;1904;2671;;;;;;;;;;;;;;4;1460;1980;548;1630;0;0;
