BOR;AN;FI;RS;FI_EJ;AUTOR;LACTA;LIT_KANG;LIT_OBS;LIT_NEO_HSI;LIT_SIN;LIT_REA;SALTRAV;SEJ_OBS;SEJ0_Obs;SEJ_NEO_HSI;SEJ0_NEO_HSI;SEJ_SIN;SEJ0_SIN;SEJ_REA;SEJ0_REA;SEJ_BAM;SEJ0_BAM;JOU_OBS;JOU_NEO_HSI;JOU_SIN;JOU_REA;JOU_BAM;SEJACC;JOUACC;SEJCES;JOUCES;FSUIV;ACCUN;ACCMU;ENFTR;TRANSDES;ENFANTS;CONSGYN;CONSSAG;CONSENTR;SORPREC;MUTHAD;PRIS;IVG;IVGN_1;IVGME;IVG1214;IVG1516;CONV;IMG;AMP;PAT_AMP
PERINAT;2023;020001061;CH CHÂTEAU-THIERRY;020004404;TYPE2;;0;15;6;;;3;995;309;139;8;0;0;0;0;439;2;2722;576;0;0;1511;522;2260;126;651;0;517;5;4;;530;4606;2819;301;9;0;1;297;248;161;12;1;1;2;0;0
PERINAT;2023;020001087;CH HIRSON;020004495;CPPR;;;;;;;;;;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;146;1016;77;;;0;0;0;0;0;0;;0;0;0
PERINAT;2023;030000061;CH DE MOULINS;030780092;TYPE2;;0;20;6;0;0;4;1276;195;156;9;0;0;0;0;792;0;4602;1100;0;0;2980;912;4263;215;1214;0;908;4;4;;918;8064;6403;299;27;0;1;220;212;168;7;1;1;5;0;0
PERINAT;2023;030000079;CH DE MONTLUCON;030780100;TYPE2;;1;24;6;2;0;3;1288;231;134;7;32;5;0;0;795;0;4378;1170;160;0;2643;890;3878;168;906;3;878;12;5;;913;78;1755;;15;0;1;292;245;220;20;8;;8;0;0
PERINAT;2023;030000087;CH JACQUES LACARIN VICHY;030780118;TYPE2;;0;18;6;0;0;3;1161;80;105;9;0;0;0;0;854;1;4192;1014;0;0;3048;920;3836;172;916;0;911;9;4;;933;14229;3303;318;21;0;1;87;152;40;11;1;4;3;0;0
PERINAT;2023;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;;;;0;;;;;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;1;2;0;0;0;0;1;0;0
PERINAT;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;TYPE1;;;19;;;;2;794;75;0;0;0;0;0;0;554;3;2693;0;0;0;1997;546;2314;126;704;1;541;5;3;;555;13090;4814;;56;0;1;155;135;133;2;0;;2;0;0
PERINAT;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;TYPE1;;0;11;;;;2;594;156;0;0;0;0;0;0;309;3;1749;0;0;0;1213;310;1431;65;429;0;306;4;3;;318;1891;1703;51;17;0;1;102;138;65;1;1;;4;0;0
PERINAT;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;TYPE1;;;9;;;;2;397;47;0;0;0;0;0;0;309;4;1449;0;0;0;1163;311;1377;89;478;0;309;2;3;;315;;;;15;0;1;97;107;68;7;2;;1;0;0
PERINAT;2023;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;306;508;;0;0;1;0;;0;0;0;;0;0;0
PERINAT;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;TYPE2;;;16;4;;;4;1255;124;194;20;0;0;0;0;724;5;4337;1026;0;0;2332;839;3628;218;1225;2;825;14;9;;866;8427;3462;;49;0;1;113;119;13;16;5;;12;0;0
PERINAT;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;TYPE2;;0;32;9;3;;6;2167;143;181;11;119;6;0;0;1654;3;8949;1248;816;0;6100;1784;8028;297;1838;26;1753;31;1;;1819;13195;5471;589;125;0;1;297;322;234;19;0;24;29;0;0
PERINAT;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;TYPE2;;;16;6;0;0;3;1433;230;279;21;0;0;0;0;781;5;4815;1373;0;0;2398;940;4131;178;1064;0;928;12;2;0;952;15110;6568;499;92;0;1;381;383;286;30;3;4;9;0;0
PERINAT;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;TYPE2;;0;24;6;;;4;1635;149;129;13;0;0;0;0;1110;1;5934;1094;0;0;3912;1220;5236;226;1163;0;1211;9;3;0;1233;7670;2322;165;68;0;1;298;303;188;38;14;13;22;0;0
PERINAT;2023;060002102;CH LA PALMOSA DE MENTON;060791761;CPPR;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2296;693;2;0;0;1;124;109;108;;;0;7;0;0
PERINAT;2023;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;11;4;0;0;0;0;1;0;0
PERINAT;2023;060780517;POLYCLINIQUE SAINT JEAN;060000239;TYPE1;;;21;;;;5;875;110;0;0;0;0;0;0;684;9;2818;0;0;0;2320;686;2676;179;851;0;686;0;8;;686;;;;51;0;1;83;54;45;0;0;;1;0;0
PERINAT;2023;060780590;CLINIQUE DU PALAIS;060000270;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;33;33;0;0;0;0;0;0;0
PERINAT;2023;060780715;CLINIQUE SAINT GEORGE;060000361;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;0;1;2;;;;;1;1;710
PERINAT;2023;060780756;POLYCLINIQUE SANTA MARIA;060000403;TYPE2;;;57;6;;;8;3377;306;335;13;0;0;0;0;2471;8;12960;1564;0;0;8232;2773;11953;894;4609;0;2738;35;15;;2810;;;;164;0;1;62;70;0;5;1;;6;0;0
PERINAT;2023;060781200;CLINIQUE SAINT ANTOINE KANTYS CENTRE;060000635;;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;5;55;;5;;;0;0;0
PERINAT;2023;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;TYPE3;;0;59;18;9;10;11;4477;386;347;2;227;4;322;22;3044;21;18885;5270;2491;2614;10243;3378;15628;754;5262;20;3285;93;10;9;3496;3437;20606;2004;303;0;1;785;872;278;155;67;70;98;1;327
PERINAT;2023;070000013;CH DE PRIVAS ARDECHE;070002878;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;722;3782;78;0;0;1;55;55;53;0;0;;1;0;0
PERINAT;2023;070000096;HOPITAL PRIVE DE SAINT AGREVE;070780184;CPPR;;;;;;;;;;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;0;2376;64;;;0;0;0;0;0;0;;0;0;0
PERINAT;2023;070000179;CH ARDECHE NORD;070780358;TYPE2;;0;17;6;;;3;870;85;398;77;0;0;0;0;539;3;3195;1485;0;0;1883;616;2858;118;637;1;608;8;13;;628;5615;5049;;16;0;1;177;169;161;1;0;;4;0;0
PERINAT;2023;070000195;CH DE TOURNON SUR RHONE;070780374;CPPR;;;0;;;;0;485;2;0;0;0;0;0;0;350;1;1846;0;0;0;1367;0;0;0;0;0;0;0;0;2;0;330;4192;52;0;0;0;0;0;0;0;0;0;0;0;0
PERINAT;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;TYPE2;;1;16;6;;;3;833;115;71;14;0;0;0;0;548;8;2604;461;0;0;1776;598;2376;117;647;0;592;6;4;;606;;;;47;0;1;288;266;208;16;2;;6;0;0
PERINAT;2023;070780424;CLINIQUE PASTEUR;070000245;;;;0;;;;0;37;31;0;0;0;0;0;0;4;0;12;0;0;0;10;4;10;3;7;0;4;0;0;;4;;;;0;0;0;0;0;0;0;0;;0;1;323
PERINAT;2023;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;;;;0;0;;;0;224;75;39;0;0;0;0;0;84;0;545;240;0;0;284;108;463;29;143;0;107;1;0;;113;1678;1318;90;4;0;1;30;115;27;1;0;;0;0;0
PERINAT;2023;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;CPPR;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1089;3098;147;0;0;1;70;63;62;3;0;0;0;0;0
PERINAT;2023;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;CPPR;;;0;;;;0;;;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;388;309;13;;;0;0;0;0;0;0;;0;0;0
PERINAT;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;TYPE2;;1;26;6;6;;8;2401;436;233;32;139;19;0;0;1353;1;8211;1161;1279;0;4566;1557;7085;309;1870;3;1529;28;11;;1596;16755;2022;338;44;0;1;251;183;179;36;9;;14;1;108
PERINAT;2023;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;TYPE2;;1;23;4;;;2;1171;99;202;59;0;0;0;0;758;1;4692;996;0;0;2701;882;4195;220;1363;4;869;13;12;;907;3233;2405;299;26;0;1;369;389;266;6;17;;3;0;0
PERINAT;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;TYPE1;;;4;;;;2;190;52;0;0;0;0;0;0;122;7;496;0;0;0;400;118;448;15;74;0;118;0;5;;121;3783;774;117;11;0;1;96;95;82;1;0;;1;0;0
PERINAT;2023;090001629;CHIVA SITE LAVELANET;090781774;CPPR;;;;;;;;;;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;270;451;27;;;0;0;;0;0;0;;0;0;0
PERINAT;2023;100000090;CENTRE HOSPITALIER DE TROYES;100000017;TYPE3;;1;44;6;6;6;6;3190;465;974;4;192;1;120;4;1467;0;11146;4126;2433;1093;4251;2255;9507;518;3145;15;2205;50;1;;2318;5458;8817;;235;0;1;726;714;503;58;30;;15;0;0
PERINAT;2023;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;TYPE1;;;15;;;;2;520;68;0;0;0;0;0;0;351;9;1737;0;0;0;1146;343;1442;68;345;0;337;6;9;;349;;;;8;0;1;121;147;79;6;0;;0;0;0
PERINAT;2023;100010818;GCS HOPITAL PRIVE DE L'AUBE SITE CLQ;100010792;;;;0;;;;0;26;25;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;6;10;3;0;0;;0;0;0
PERINAT;2023;110000023;CH CARCASSONNE;110780061;TYPE2;;0;30;6;;;5;2140;317;320;20;0;0;0;0;1236;15;7798;2298;0;0;4188;1490;6895;263;1521;1;1472;18;13;0;1521;12167;6305;196;48;0;1;460;416;320;40;10;13;9;0;0
PERINAT;2023;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;441;638;22;0;0;1;32;31;32;;;;0;0;0
PERINAT;2023;110000056;CH NARBONNE;110780137;TYPE1;;1;24;4;0;0;4;1407;324;138;16;0;0;0;0;818;7;4148;519;0;0;2646;887;3733;160;902;0;883;4;11;;898;4650;3399;210;104;0;1;418;459;315;30;6;0;7;0;0
PERINAT;2023;110780483;POLYCL MONTREAL CARCASSONNE;110000155;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;1;29;51;22;17;12;;1;0;0
PERINAT;2023;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;TYPE2;;;29;10;2;0;3;2104;672;239;16;83;11;0;0;1009;0;6026;1843;509;0;3416;1173;5328;264;1477;14;1156;17;7;;1195;1467;5468;295;15;0;1;320;318;237;16;1;;4;0;0
PERINAT;2023;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;TYPE1;;;12;;;;3;552;123;0;0;0;0;0;0;360;10;1780;0;0;0;1312;359;1564;73;372;1;359;0;9;;362;4353;3039;76;7;0;1;119;121;88;3;0;;0;0;0
PERINAT;2023;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;427;2349;55;0;0;0;0;0;0;0;0;;0;0;0
PERINAT;2023;120004569;CH MILLAU;120004528;TYPE1;;;12;;;;2;431;67;0;0;0;0;0;0;13;0;1326;0;0;0;48;284;1168;67;340;0;283;1;4;;286;3088;2340;0;8;0;1;74;104;64;2;0;;1;0;0
PERINAT;2023;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;TYPE1;;0;6;;;;2;227;45;0;0;0;0;0;0;149;2;726;0;0;0;546;147;641;27;152;0;146;1;2;;148;1729;1938;160;6;0;1;28;28;25;0;1;;0;0;0
PERINAT;2023;130000409;CHI SITE D'AIX EN PROVENCE;130041916;TYPE2;;0;26;6;6;;6;2362;462;456;22;207;14;0;0;1174;3;8720;2700;2160;0;4031;1485;7146;371;2433;20;1451;34;11;0;1524;11678;5197;;55;0;1;779;807;455;64;9;7;16;1;185
PERINAT;2023;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;TYPE1;;0;19;;;;3;1605;226;0;0;0;0;0;0;1095;6;5679;0;0;0;4014;1135;5085;234;1263;0;1123;12;12;;1166;8133;2342;;43;0;1;334;342;244;13;1;17;7;0;0
PERINAT;2023;130001225;HOPITAL DU PAYS SALONAIS;130782634;TYPE2;;;22;6;;;3;1731;282;256;22;0;0;0;0;936;0;6662;1352;0;0;3420;1141;5746;228;1494;6;1124;17;15;;1162;;;;53;0;1;322;323;212;18;3;;1;0;0
PERINAT;2023;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;TYPE1;;0;20;;;;3;1124;82;0;0;0;0;0;0;969;10;3943;0;0;0;3278;956;3749;179;878;0;947;9;10;;971;6067;1143;;141;0;1;348;354;272;13;7;;5;0;0
PERINAT;2023;130002827;CH JOSEPH IMBERT D'ARLES;130789274;TYPE1;;;20;;;;3;847;72;0;0;0;0;0;0;661;18;3348;0;0;0;2635;653;3047;109;623;4;652;1;17;;662;;;;10;0;1;142;217;101;3;0;;1;0;0
PERINAT;2023;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;TYPE2;;1;32;7;3;0;5;2492;390;200;12;188;11;0;0;1475;4;8205;768;1603;0;4855;1646;6973;396;2327;10;1622;24;4;0;1675;9963;4930;256;146;0;1;710;602;497;32;10;5;7;0;0
PERINAT;2023;130008253;CLINIQUE DE VITROLLES;130001084;TYPE1;;0;30;;;;5;1055;88;0;0;0;0;0;0;798;9;3709;0;0;0;2859;790;3263;171;937;4;785;5;8;;797;;;;25;0;1;40;85;6;1;0;;0;0;0
PERINAT;2023;130780521;APHM HOPITAL NORD;130786049;TYPE3;;;48;5;16;12;5;3706;506;202;5;351;15;420;35;1965;13;16243;1572;5305;3609;6584;2348;12191;617;4790;2;2255;93;11;;2467;6588;12480;132;216;0;1;761;640;505;61;26;;71;0;0
PERINAT;2023;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;8;4;0;1;0;;0;0;0
PERINAT;2023;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;TYPE3;;;51;24;15;15;5;3777;176;581;30;364;11;505;121;1933;10;19093;5144;4564;6295;7144;2618;14447;740;5522;1;2555;63;21;;2705;9247;10627;404;124;0;1;2282;2462;1285;176;101;;93;0;0
PERINAT;2023;130783327;CLINIQUE BOUCHARD;130001415;TYPE2;;;38;6;;;5;2016;288;647;11;0;0;0;0;928;0;7467;2031;0;0;3214;1560;7021;418;2198;12;1551;9;11;;1572;;;;52;0;1;74;51;52;2;0;;2;1;498
PERINAT;2023;130783665;CLINIQUE DE BONNEVEINE;130043722;;;0;0;;;;0;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;0;0;1;102;102;99;;;;1;0;0
PERINAT;2023;130784713;HP MARSEILLE BEAUREGARD VERT COTEAU;130038847;TYPE2;;;55;12;;;8;3408;1086;949;24;0;0;0;0;1154;0;9527;3153;0;0;3649;2037;8892;493;2737;14;2016;21;19;;2058;;;;52;0;1;109;96;88;2;0;;13;0;0
PERINAT;2023;130785652;HOPITAL SAINT JOSEPH;130014228;TYPE2;;1;72;12;6;;10;5321;216;1409;56;599;20;0;0;3132;9;19527;4751;4796;0;9501;4443;17530;858;4346;11;4370;73;8;;4521;6683;18862;;436;0;1;0;3;0;0;0;;67;1;226
PERINAT;2023;130786445;MATERNITE CATHOLIQUE PROVENCE L'ETOILE;130002488;TYPE2;;1;62;6;;;7;3399;507;466;33;0;0;0;0;2145;1;12568;2172;0;0;7634;2535;11491;554;3147;6;2497;38;18;19;2582;;4153;783;49;0;0;0;0;0;0;0;0;0;0;0
PERINAT;2023;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;TYPE2;;1;25;9;3;0;4;1762;292;360;13;108;24;0;0;1080;1;6369;2082;386;0;3754;1262;5825;280;1681;3;1253;9;6;;1277;;;;45;0;1;214;;120;32;2;;13;0;0
PERINAT;2023;140000076;CENTRE HOSPITALIER AUNAY-BAYEUX;140000092;CPPR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;661;1234;39;;;0;0;;0;0;0;0;;0;
PERINAT;2023;140000209;CHU COTE DE NACRE - CAEN;140000100;TYPE3;INT;1;72;15;10;14;7;4222;371;609;30;254;39;364;38;2731;0;19760;4034;1155;5448;10283;3168;16982;705;5425;6;3104;64;1;;3274;7515;10103;356;97;0;1;1058;955;665;65;31;;48;1;575
PERINAT;2023;140000233;CENTRE HOSPITALIER DE FALAISE;140000118;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;1911;4046;92;0;0;1;20;25;19;0;0;15;0;0;0
PERINAT;2023;140000290;CLINIQUE NOTRE DAME - VIRE;140000449;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;4;;0;1;0;;0;0;0
PERINAT;2023;140000373;CENTRE HOSPITALIER DE VIRE;140000159;CPPR;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;1208;53;0;0;1;42;28;42;0;0;;0;0;0
PERINAT;2023;140016759;POLYCLINIQUE DU PARC - CAEN;140003146;TYPE2;;1;24;6;;;5;1898;348;222;8;0;0;0;0;1242;0;6589;1215;0;0;4447;1449;6370;344;1839;2;1440;9;6;;1458;;;;15;0;1;4;19;0;0;0;;15;0;0
PERINAT;2023;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;TYPE1;;;16;;;;3;556;83;0;0;0;0;0;0;397;4;1879;0;0;0;1515;396;1718;91;472;0;396;0;4;;400;2270;5067;230;15;0;1;61;85;53;0;0;;0;0;0
PERINAT;2023;140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;140026279;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;1538;3685;166;0;0;1;77;70;76;0;0;;0;0;0
PERINAT;2023;140026709;POLYCLINIQUE DE DEAUVILLE-CRICQUEBOEUF;140000415;;;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;0;1;4;2;0;0;0;;0;0;0
PERINAT;2023;150000032;CH DE SAINT-FLOUR;150780088;TYPE1;;0;15;;;;2;304;47;0;0;0;0;0;0;216;2;1046;0;0;0;828;217;968;42;228;0;217;0;2;0;217;982;732;16;1;0;1;57;68;57;0;0;0;0;0;0
PERINAT;2023;150000040;CH HENRI MONDOR;150780096;TYPE2;;1;18;6;;;2;918;88;197;48;0;0;0;0;558;2;3707;1012;0;0;2046;686;3369;110;737;1;676;10;6;;699;10119;7291;;12;0;1;215;212;158;10;6;1;5;0;0
PERINAT;2023;150000164;CH DE MAURIAC;150780468;CPPR;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;13;1;13;0;0;;0;0;0
PERINAT;2023;150780732;CENTRE MEDICO CHIRURGICAL TRONQUIERES;150000271;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;3;3;2;;;;0;0;0
PERINAT;2023;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;TYPE2;;1;25;7;6;0;5;1892;192;351;33;144;13;0;0;1152;0;7002;1807;1110;0;4014;1335;6019;281;1636;8;1309;26;6;0;1376;6258;10955;28;40;0;1;494;467;296;46;16;5;9;0;0
PERINAT;2023;160000303;CH HOPITAUX SUD-CHARENTE;160006037;CPPR;;0;;;;;;;;0;0;0;0;0;0;0;0;;0;0;0;0;;;;;;;;;;;79;2019;37;;;0;0;;0;0;0;;0;0;0
PERINAT;2023;160013207;CENTRE CLINICAL SA;160001632;TYPE1;;0;20;;;;6;1343;318;0;0;0;0;0;0;890;12;3754;0;0;0;3000;878;3414;174;735;0;869;9;12;;894;;;;33;0;1;43;64;1;6;1;;7;0;0
PERINAT;2023;160015368;HOPITAUX DU GRAND COGNAC;160014411;TYPE1;;0;15;;;;3;796;116;0;0;0;0;0;0;610;7;2826;0;0;0;2329;608;2702;93;518;0;608;0;6;0;612;9239;4684;68;20;0;1;90;123;82;0;0;2;0;0;0
PERINAT;2023;170000038;CENTRE HOSPITALIER JONZAC;170780050;CPPR;;0;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;3614;1623;81;0;0;1;79;91;69;1;0;;0;0;0
PERINAT;2023;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;TYPE2;;1;30;8;4;;5;2724;476;286;14;135;18;0;0;1757;1;9443;2085;925;0;6319;1936;8773;446;2398;3;1900;36;10;;1979;13854;7817;59;62;1;1;732;642;460;66;22;5;28;0;0
PERINAT;2023;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;1;;1;0;0;;0;0;0
PERINAT;2023;170000103;CH DE SAINTONGE - SAINTES;170780175;TYPE2;;1;24;11;3;;4;1585;126;312;10;106;18;0;0;1039;1;6301;2562;335;0;3488;1287;5873;289;1665;3;1265;22;5;;1325;12975;14191;697;101;0;1;521;481;367;34;13;;10;0;0
PERINAT;2023;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;TYPE2;;0;18;6;;;3;1315;109;380;18;0;0;0;0;757;2;4945;1256;0;0;2651;1048;4670;187;1139;0;1039;9;8;0;1061;2171;5495;161;44;0;1;295;284;195;7;1;;4;0;0
PERINAT;2023;170780621;POLYCLINIQUE SAINT GEORGES;170000285;;;;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;23;41;0;2;0;;0;0;0
PERINAT;2023;170780662;CLINIQUE DE L'ATLANTIQUE;170024053;;;;;;;;;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;;;0;0;1;2;4;0;0;0;;0;1;407
PERINAT;2023;180000010;CH BOURGES - JACQUES COEUR;180000028;TYPE2;;0;26;9;3;0;4;1338;126;206;7;76;12;0;0;830;2;4985;1586;376;0;2937;975;4276;181;1065;8;957;18;5;0;1016;5506;3006;3;26;0;1;494;445;357;38;5;;19;0;0
PERINAT;2023;180000200;CH DE VIERZON;180000051;TYPE1;;;15;;;;3;491;36;0;0;0;0;0;0;379;4;1852;0;0;0;1430;377;1656;100;520;0;374;3;4;;382;;;;4;0;1;230;175;161;19;5;;2;0;0
