BOR;AN;FI;RS;FI_EJ;SPED;UPED;LIT_CHI_PED;LIT_MED_PED;PLA_CHI_PED;PLA_MED_PED;SEJHP_MED_PED;SEJHP_CHI_PED;SEJHC_MED_PED;SEJHC_CHI_PED;JOU_CHI_PED;JOU_MED_PED;EFFLIB_PM;EFFLIB_PED;EFFLIB_CHIPED;ETPSAL_PM;ETPSAL_PED;ETPSAL_CHIPED;GAR_PM;GAR_PED;GAR_CHIPED;AST_CHIPED;AST_PM;AST_PED;EFFLIB_INFNS;EFFLIB_PUE;EFFLIB_AUX;EFFLIB_KINE;EFFLIB_PSY;EFFLIB_APNM;ETPSAL_INFNS;ETPSAL_PUE;ETPSAL_AUX;ETPSAL_KINE;ETPSAL_PSY;ETPSAL_APNM
MCOPED;2023;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1;0;0;13;0;0;0;0;589;0;0;2555;;;;7.99;7.99;;0;0;;;1;1;;;;;;;6.94;8.68;9.5;;0.7;11.35
MCOPED;2023;070000179;CH ARDECHE NORD;070780358;1;0;0;15;;;0;0;1283;0;0;2064;;;;4;4;;0;0;;;1;1;;;;;;;13.18;1.27;12.91;3.31;0.1;7.38
MCOPED;2023;070000195;CH DE TOURNON SUR RHONE;070780374;1;0;0;8;0;0;0;0;140;0;0;528;0;0;0;0.7;0.7;0;0;0;;;0;0;;;;;;;;;;;;
MCOPED;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;1;0;1;9;;;0;0;694;123;275;1275;;;;2.93;2.93;;;;;;;;;;;;;;4.37;9.29;1;0.14;0.04;13.52
MCOPED;2023;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;1;0;0;18;0;2;476;0;716;0;0;2928;;;;2.27;1.85;0;0;0;;;1;1;;;;;;;8.15;4.43;8.42;0.1;1;7.86
MCOPED;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;0;;22;;7;346;0;1670;0;0;2864;;;;3.54;2.73;0;1;1;;;0;0;;;;;;;7.39;2.95;6.59;0;0;8.33
MCOPED;2023;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;1;0;0;9;0;2;475;0;753;0;0;1710;;;;1.48;1.48;;0;0;;;1;1;;;;;;;4.93;4.47;;;;13.9
MCOPED;2023;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;0;;23;;4;958;0;1658;0;0;6324;;;;3.38;3.38;0;0;0;0;0;1;1;;;;;;;13.25;7.66;12.46;0;1.19;11.48
MCOPED;2023;110000023;CH CARCASSONNE;110780061;1;0;;13;;2;406;0;1221;0;0;2757;;;;4.81;4.81;;0;0;;;1;1;;;;;;;0.87;11.23;11.4;0.1;0.5;1.3
MCOPED;2023;110000056;CH NARBONNE;110780137;1;1;0;16;0;0;0;0;1417;0;0;3130;;;;5.25;4.85;;0;0;0;0;1;1;;;;;;;10.83;3.89;6.63;;0.5;2.18
MCOPED;2023;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;0;0;11;0;2;141;0;838;0;0;1935;;;;8.43;8.43;;1;1;;;0;0;;;;;;;0.1;8.41;9.4;;0.44;4.15
MCOPED;2023;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2023;130000409;CHI SITE D'AIX EN PROVENCE;130041916;1;1;;18;;4;944;0;2343;0;0;6271;;;;15.74;15.74;;1;;;;0;;;;;;;;8.6;7.79;8.23;0.18;0;10.29
MCOPED;2023;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;1;1;0;13;0;2;295;0;1483;0;0;2938;1;1;0;3.7;3.7;0;1;1;0;0;0;0;;;;;;;8.74;8.72;13.72;;;4
MCOPED;2023;130001225;HOPITAL DU PAYS SALONAIS;130782634;1;;;14;;;0;0;1492;0;0;3821;;;;6.21;6.21;;;;;;;;;;;;;;2.69;10.85;8.95;;0.25;7
MCOPED;2023;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;1;0;;20;;1;244;0;1013;0;0;2292;;;;7.95;7.95;;;;;;;;;;;;;;13.29;14;6.31;;;10.32
MCOPED;2023;130780521;APHM HOPITAL NORD;130786049;1;;;25;10;;0;2084;2961;0;0;5338;;;;6.35;3.07;0.58;1;0;0;1;1;1;;;;;;;12.82;10.58;17.14;;1;13.75
MCOPED;2023;130784234;APHM HOPITAUX SUD SAINTE MARGUERITE;130786049;1;;;;;2;168;0;0;0;0;0;;;;0.5;;;0;;;;0;;;;;;;;;;;;;
MCOPED;2023;130785652;HOPITAL SAINT JOSEPH;130014228;1;1;2;43;;;0;0;3769;490;923;5035;;;;6.34;;;0;0;0;1;1;1;;;;;;;7.42;10.22;8.59;;;13.65
MCOPED;2023;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;1;1;85;125;13;45;11894;2337;7434;4361;15221;34032;;;;43.59;22.37;3.53;1;1;0;1;1;1;;;;;;;87.46;49.27;89.79;;7.45;63.04
MCOPED;2023;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;1;1;;25;;3;201;0;1068;0;0;4009;;;;9.48;9.48;0;1;1;;;0;0;;;;;;;18.92;6.34;7.53;0;1.5;17.39
MCOPED;2023;140000209;CHU COTE DE NACRE - CAEN;140000100;1;1;22;48;7;12;2797;798;4481;1546;5191;13486;;;;25.91;17.75;7;1;1;0;0;0;0;;;;;;;12.31;23.61;23.14;;1.8;59.72
MCOPED;2023;140000233;CENTRE HOSPITALIER DE FALAISE;140000118;1;1;1;14;1;1;152;55;1034;39;81;2549;;;;3;3;;;;;;;1;;;;;;;6.25;0.8;0.8;;0.4;10.59
MCOPED;2023;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;1;0;;11;;;0;38;593;46;111;1850;;;;2.21;1.81;;0;0;;;1;1;;;;;;;3.52;2.29;3.04;;;6.8
MCOPED;2023;150000040;CH HENRI MONDOR;150780096;1;0;;16;;;121;0;990;0;0;1769;0;0;;3.28;3.28;;0;0;0;0;1;1;;;;;;;4.41;4.84;7.22;0;0;7.83
MCOPED;2023;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;1;1;;12;;6;490;0;1618;0;0;3320;;;;3.32;2.9;;1;1;0;0;0;0;;;;;;;10.7;2.18;3.4;;;13.41
MCOPED;2023;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;1;1;;27;;5;686;433;1657;413;835;4348;;;;10.2;9.2;;;1;;;;0;;;;;;;11.59;9.58;16.28;;0.4;4.01
MCOPED;2023;170000103;CH DE SAINTONGE - SAINTES;170780175;1;1;0;16;0;0;0;0;1905;0;0;3628;;;;6.98;;;1;1;0;0;0;0;;;;;;;9.91;8.72;10.53;0.58;0.5;5.4
MCOPED;2023;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;1;0;0;16;0;2;731;0;1114;0;0;3450;;;;7.9;7.1;;1;1;;;0;0;;;;;;;6.45;12.24;13;0;0.56;6.37
MCOPED;2023;180000010;CH BOURGES - JACQUES COEUR;180000028;1;0;;20;;3;188;0;1589;0;0;2871;;;;4.56;4.56;;0;0;0;1;1;1;;;;;;;10.66;6;5.55;;;8.18
MCOPED;2023;180000200;CH DE VIERZON;180000051;1;;0;6;0;1;63;0;487;0;0;856;;;;1.1;1.1;;;;;;;;;;;;;;5.8;;2.7;;;2.46
MCOPED;2023;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;1;0;0;20;0;4;530;0;1396;0;0;4116;;;;6.9;6.9;;1;1;;;0;0;;;;;;;10.88;6.35;14.55;0;0.9;7.72
MCOPED;2023;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;1;0;0;6;0;2;184;0;577;0;0;1756;;;;4.32;4.32;;0;0;;;1;1;;;;;;;2.34;5.81;;;0.82;8.52
MCOPED;2023;210012670;HOPITAL PRIVE DIJON BOURGOGNE;210011367;1;1;;10;;;0;0;485;0;0;1043;4;3;1;;;;1;1;0;1;0;;;;;;;;;;;;;
MCOPED;2023;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;1;1;16;45;7;0;0;6058;4308;1385;5320;13730;;;;15.05;11.24;3.81;1;1;1;0;0;0;;;;;;;42.57;38.94;38.85;2.6;1.64;39.08
MCOPED;2023;210987657;HOSPICES CIVILS DE BEAUNE;210012175;1;0;;8;;;0;0;1186;0;0;2038;;;;4.51;2.36;;0;0;;;1;1;;;;;;;3.89;7.52;;;0.5;13.49
MCOPED;2023;210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;210780706;1;0;;3;;;0;0;296;0;0;477;;;;1.26;1.26;0;0;0;0;1;1;1;;;;;;;1.02;0;0;0;0;0.39
MCOPED;2023;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;1;1;9;25;4;4;1428;767;2071;1081;2174;5949;;;;18.4;12.72;5.67;1;1;0;1;1;0;;;;;;;13.5;18.24;21.39;;0.84;4.28
MCOPED;2023;220000095;CTRE HOSPITALIER DINAN;220000046;1;0;0;7;0;0;51;0;502;0;0;1865;;;;2;2;;0;0;;;1;1;;;;;;;6.91;1.04;4.44;;;1.75
MCOPED;2023;220000368;CENTRE HOSPITALIER LANNION;220000103;1;0;;8;;;0;0;598;0;0;1810;;;;2.8;1.8;;0;;;;1;;;;;;;;6.08;1.14;3.81;;;6.16
MCOPED;2023;230000820;CENTRE HOSPITALIER GUERET;230780041;1;0;0;10;0;0;0;0;569;0;0;1376;;;;2.4;2;;0;0;;;1;1;;;;;;;6.56;5.76;3.2;;;8.99
MCOPED;2023;240000190;POLYCLINIQUE FRANCHEVILLE;240000596;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2023;240000372;C.H DE BERGERAC;240000059;1;0;0;12;0;0;0;0;580;0;0;1642;;;;2.77;2.77;0;0;0;0;0;1;1;;;;;;;8.82;0.95;0;0;0;8.75
MCOPED;2023;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;1;0;0;21;0;4;357;0;1748;0;0;4851;0;0;0;4.05;4.05;0;1;1;0;0;0;0;0;0;0;0;0;0;11.74;5.57;10.09;0.2;0.79;13.69
MCOPED;2023;250000700;CHI HC SITE RIVES DU DOUBS PONTARLIER;250000452;1;0;;14;;;0;0;1101;0;0;2931;;;;2.06;2.06;;0;0;0;1;1;1;;;;;;;3.94;2.2;6.59;;0.01;4.61
MCOPED;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;1;1;26;35;8;14;4277;1666;2894;1743;4661;9333;1;0;1;11.04;7.98;2.56;1;1;0;1;1;1;0;0;0;0;0;0;11.23;9.84;9.46;0.99;0.31;27.53
MCOPED;2023;260000013;CH DE VALENCE;260000021;1;1;7;22;4;2;460;6;2710;895;1910;5651;;;;17.98;12.97;5.01;1;1;1;0;0;0;;;;;;;12.4;31.85;31.3;;1.1;7.44
MCOPED;2023;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;260016910;1;1;1;13;1;1;202;236;940;169;325;2596;0;0;0;4.2;4.2;0;0;;;;1;;0;0;0;0;0;0;5.81;2.8;7.09;0.1;0.94;5.49
MCOPED;2023;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;1;0;0;23;0;0;0;0;1784;0;0;3222;0;0;;4.53;4.53;;0;0;0;0;1;1;0;0;0;0;0;0;8.49;7.73;18.51;0;0.5;2.86
MCOPED;2023;270000359;CH EVREUX CH EURE-SEINE;270023724;1;1;;16;;2;369;0;1420;0;0;4007;;;;9.8;8.9;;1;1;;;0;0;;;;;;;6.24;3;5.07;;1;11.04
MCOPED;2023;280000084;CH DREUX;280000183;1;1;;21;;;0;0;1362;0;0;3333;;;;10.14;9.14;0;1;;;;1;;;;;;;;12.99;3.71;6.33;0;0;12.73
MCOPED;2023;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;1;1;;17;;3;504;0;1837;0;0;4628;;;;8.02;8.02;0;1;1;0;0;0;0;;;;;;;17.71;2.5;15.78;0;0;8.79
MCOPED;2023;290000025;CHIC QUIMPER;290020700;1;;;33;;3;844;0;3207;0;0;6683;;;;10.35;10.35;;1;1;0;0;1;1;;;;;;;10.01;6.24;10;0;0.15;5.25
MCOPED;2023;290000033;C.H. DES PAYS DE MORLAIX;290021542;1;0;0;16;;;404;0;967;0;0;2372;;;;4.78;4.76;0.02;0;0;0;0;1;1;;;;;;;3.41;12;4.52;;;9.62
MCOPED;2023;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;1;1;10;60;0;9;3237;1020;5123;805;2168;15898;;;;16;11.15;4.85;1;1;1;1;1;1;;;;;;;9.99;2.44;6.08;0.03;0.2;5.95
MCOPED;2023;2A0004842;CH ND LA MISERICORDE;2A0000014;1;0;;13;;;0;0;1181;0;0;1989;;;;3.83;3.77;;0;0;0;0;1;1;;;;;;;6.38;5.28;10.39;;0.5;7.55
MCOPED;2023;2B0000012;CENTRE HOSPITALIER DE BASTIA;2B0000020;1;0;0;14;0;0;0;0;1318;0;0;2527;;;;8.07;5.51;1.98;1;1;0;1;1;0;;;;;;;4.2;5.58;6.77;0;2.69;10.48
MCOPED;2023;300000023;CH ALES CEVENNES;300780046;1;0;0;14;0;0;0;0;1416;0;0;2939;0;0;;4.46;4.46;;0;;;;1;;0;0;0;0;0;0;8.06;6.7;2.95;0.2;1.36;16.56
MCOPED;2023;300000031;CH LOUIS PASTEUR BAGNOLS SUR CEZE;300780053;1;0;0;13;0;1;25;0;680;0;0;2032;0;0;;3.55;3.55;;0;0;0;0;1;1;;;;;;;4.88;7.57;6.88;0;0.16;8.75
MCOPED;2023;300002508;CL DU GRAND AVIGNON LES ANGLES;300000213;1;0;;;15;;0;71;0;0;0;0;4;;1;;;;0;0;0;0;1;0;0;0;0;0;0;0;8.64;0;0;0;0;13.67
MCOPED;2023;300782117;CHU NIMES CAREMEAU;300780038;1;1;1;39;0;5;968;0;3576;22;49;8135;;;;8.32;7.58;;1;1;;;0;0;;;;;;;16.42;17.67;22.41;;0.8;18.09
MCOPED;2023;310000310;CH COMMINGES PYRENEES SITE ST PLANCARD;310780671;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2023;310016977;HOPITAUX MERE & ENFANTS CHU TOULOUSE;310781406;1;1;36;139;12;28;5985;2206;13421;2420;9337;34406;;;;46.82;29.76;5.51;;;;;;;;;;;;;75.61;135.46;150.92;9.81;2.75;30.45
MCOPED;2023;310026083;CL RIVE GAUCHE TOULOUSE;310026075;1;0;2;1;5;;0;6575;21;406;556;11;26;13;5;;;;0;0;0;1;1;1;;;;3;1;2;2;8.5;1;;;
MCOPED;2023;310780150;CL MEDIPOLE GARONNE TOULOUSE;310788799;1;0;105;6;4;1;18;1469;226;625;814;350;12;4;3;;;;0;0;0;1;1;1;;;;;;;7;3;0;0;0;2
MCOPED;2023;310783048;HOPITAL PURPAN CHU TOULOUSE;310781406;1;;16;4;5;12;3147;1176;413;1691;4669;539;;;;2.95;2.95;;1;1;;;1;1;;;;;;;14.55;15.79;19.23;9.81;1.2;
MCOPED;2023;320000086;CH AUCH EN GASCOGNE;320780117;1;1;0;11;0;0;0;0;860;0;0;1744;0;0;0;2.8;2.8;0;0;0;0;1;1;1;0;0;0;0;0;0;7.19;6.37;9.93;0;0;7.19
MCOPED;2023;330000555;CENTRE HOSPITALIER D'ARCACHON;330781204;1;1;;6;;;36;0;565;0;0;1111;;;;5.38;5.38;;0;0;;;1;1;;;;;;;2.13;4.77;0.86;;;1.3
MCOPED;2023;330000605;CTRE HOSPIT.R.BOULIN-LIBOURNE;330781253;1;1;0;17;0;4;496;0;1874;0;0;3724;0;0;0;2.5;2.5;0;1;1;;;0;0;;;;;;;9.91;10.2;6.38;0;1;14.36
MCOPED;2023;330780479;POLYCLIN BORDEAUX-NORD AQUITAINE;330000274;1;0;5;;;2;0;0;4;251;459;0;;;;;;;;;;;;;;;;;;;1;;;;;
MCOPED;2023;330781360;GROUPE HOSPITALIER PELLEGRIN - CHU;330781196;1;1;38;185;5;24;8900;1326;9818;1533;5386;32503;;;;108.61;76.43;6;1;1;1;1;1;1;;;;;;;176.94;256.5;189.08;2.35;15.03;246.41
MCOPED;2023;330783648;HOPITAL HAUT-LEVEQUE - CHU;330781196;1;0;;20;;5;1189;0;1185;0;0;5444;;;;9.66;1.1;;0;0;0;1;1;1;;;;;;;3.85;;;;;2.5
MCOPED;2023;330802752;CENTRE JEAN ABADIE - CHU;330781196;1;0;;22;;6;2488;0;363;0;0;5860;;;;6.59;;;;;;;;;;;;;;;23.84;0.59;2.67;0;4.91;21.13
MCOPED;2023;340000025;INSTITUT ST PIERRE PALAVAS LES FLOTS;340022722;1;0;;;;12;3436;0;0;0;0;0;;;;3.24;;;;;;;;;;;;;;;1.5;;;1;1;6.5
MCOPED;2023;340000033;CH BEZIERS;340780055;1;;1;17;;1;57;0;1830;222;486;3422;;;;4.58;3.95;;0;0;;;;;;;;;;;7.67;7.52;8.36;;0.16;8.18
MCOPED;2023;340000223;HOPITAL ST CLAIR HBT SETE;340011295;1;0;;10;;;0;0;731;0;0;1240;0;0;;3.74;3.74;;;;;0;1;1;0;0;0;0;0;0;3.44;2.68;3;0;0;6
MCOPED;2023;340022979;POLYCL ST ROCH MONTPELLIER;340000306;1;1;8;0;5;0;0;945;79;70;85;121;18;8;4;;;;0;1;0;1;1;0;;;;;;;2.03;4.59;4.8;;;
MCOPED;2023;340024314;CL ST JEAN SUD DE FRANCE;340000272;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2023;340782085;HOPITAL GUI DE CHAULIAC CHU MTP;340780477;1;0;6;10;;4;1562;0;909;644;1081;2214;;;;4.02;3.5;;0;0;;;1;1;;;;;;;2.25;9.06;6.26;;1.25;7.39
MCOPED;2023;340785161;HOPITAL LAPEYRONIE CHU MONTPELLIER;340780477;1;1;22;13;6;;0;930;1976;1698;6119;3066;;;;10.04;;2.62;1;;0;1;1;;;;;;;;9.18;31.3;33.6;;;7.9
MCOPED;2023;340796663;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;340780477;1;;;50;;23;5143;0;4337;0;0;13179;;;;15.25;14.8;;1;1;;;1;1;;;;;;;;;;;;
MCOPED;2023;350000147;CENTRE HOSPITALIER SAINT-MALO;350000022;1;0;0;12;0;4;287;0;1124;0;0;2398;;;;5.95;5.95;;1;1;;;0;0;;;;;;;5.31;9.94;17.36;;;8.14
MCOPED;2023;350000154;C.H FOUGERES;350000030;1;0;0;5;0;1;2;0;562;0;0;1360;;;;1.75;1.75;0;0;0;0;0;1;1;;;;;;;1.45;1.82;1.78;0;0;4.6
MCOPED;2023;350000162;CHIRC SITE REDON;350000048;1;0;;5;;;0;0;396;0;0;973;1;1;;2.48;2.48;;0;0;0;0;1;1;;;;;;;5.81;0.96;4.01;;;4.44
MCOPED;2023;350000188;CENTRE HOSPITALIER VITRE;350000055;1;1;0;5;0;0;0;0;368;0;0;1050;;;;2.27;;;;;;;;;;;;;;;4.37;7.31;1.12;0;0;4.9
MCOPED;2023;350007084;CHRU RENNES SITE HOPITAL SUD;350005179;1;1;16;66;;20;2890;1;5809;1444;4183;20090;;;;19.1;10.99;2.61;1;1;;;1;1;;;;;;;42.24;39.67;48.86;0.12;5.27;32.86
MCOPED;2023;360000137;CH CHATEAUROUX;360000053;1;1;0;106;0;0;0;0;1122;0;0;3184;;;;4.14;4.14;;;;;;;;;;;;;;10.8;3;5.21;0;0;5.88
MCOPED;2023;370000499;CHRU CLOCHEVILLE - TOURS;370000481;1;1;35;64;12;7;2622;2152;5902;1806;6801;15540;;;;71.76;33.51;3.49;;;;;;;;;;;;;115.56;44.88;78.1;0;1.85;99.78
MCOPED;2023;380000034;CH PIERRE OUDOT BOURGOIN JALLIEU;380780049;1;1;;20;;;0;0;1460;0;0;3483;;;;6.02;6.02;;1;1;;;0;0;;;;;;;3.03;12.71;8.73;;0.49;1.79
MCOPED;2023;380000067;HOPITAL NORD - CHU38;380780080;1;1;25;111;7;8;1275;1532;6122;1568;4706;19074;1;;;60.1;40.73;8.1;1;1;1;1;1;1;;;;;;;48.75;89.48;79.29;4.79;5.98;46.95
MCOPED;2023;380000174;CH LUCIEN HUSSEL DE VIENNE;380781435;1;1;1;12;1;1;34;201;1330;107;173;3018;;;;7.06;6.46;0.6;1;1;0;0;0;0;;;;;;;3.72;3.36;9.69;0;0;4.77
MCOPED;2023;380000406;HOPITAL DE VOIRON - CHU38;380780080;1;0;0;21;0;0;272;92;1018;103;211;1978;1;;;7.5;7.5;;1;1;;;0;0;;;;;;;2.9;3.76;6.57;0;0.5;0.19
MCOPED;2023;390000040;CH LONS;390780146;1;0;0;14;0;0;0;0;1053;0;0;2704;;;;5;5;;0;0;;;1;1;;;;;;;;;;;;
MCOPED;2023;390000222;CH LOUIS PASTEUR DOLE;390780609;1;0;0;10;0;1;31;0;857;0;0;2579;;;;2.65;2.65;;;;;0;1;1;;;;;;;5.07;5.34;5.13;;1;1.91
MCOPED;2023;400000105;CENTRE HOSPITALIER DAX;400780193;1;0;2;10;;1;58;0;1462;113;180;2226;;;;2.96;2.91;;0;0;;;1;1;;;;;;;0.28;14.51;12.78;0.21;0.5;8.4
MCOPED;2023;400000139;CHI MONT DE MARSAN ET PAYS DES SOURCES;400011177;1;1;0;12;0;3;533;0;929;0;0;2087;0;0;0;7.4;7.4;0;1;;;;0;;;;;;;;9.5;5.03;9.12;0;0.48;5.62
MCOPED;2023;410000020;CH BLOIS SIMONE VEIL;410000087;1;;0;12;0;4;317;0;1524;0;0;4774;0;0;0;3.29;3.29;0;1;1;;;0;0;0;0;0;0;0;0;13.54;5.32;7.96;0;0.46;2.84
MCOPED;2023;410000046;CH ROMORANTIN-LANTHENAY;410000103;1;0;0;10;0;0;0;0;724;0;0;2151;0;0;0;2.16;2.16;0;0;0;0;0;1;1;0;0;0;0;0;0;7.42;2.76;5.71;0;0;5.78
MCOPED;2023;420000010;CH DE ROANNE;420780033;1;1;;22;;;0;0;1933;0;0;4159;0;0;0;5.06;4.66;0;1;1;0;0;0;0;;;;;;;8.81;8.28;14.52;0.07;;5.45
MCOPED;2023;420000226;CH DU FOREZ SITE DE MONTBRISON;420013831;1;0;0;8;0;0;0;0;832;0;0;1419;0;0;0;2.77;2.66;0;0;0;0;0;1;1;0;0;0;0;0;0;5.82;2.48;4.18;0;0;4.66
MCOPED;2023;420000234;CH DE FIRMINY;420780652;1;;;1;;6;226;0;235;0;0;51;;;;3.43;2.01;;;;;;1;1;;;;;;;0.6;0.21;;;;1.3
MCOPED;2023;420782559;HOPITAL DE BELLEVUE - CHU42;420784878;1;0;;;;3;280;0;0;0;0;0;;;;0.15;;;0;;;;0;;;;;;;;;;;;;
