BOR;AN;FI;RS;FI_EJ;DIS;PART;NB_SECT;NB_DIF;INT;CAP_HTP;CAP_PFT;CAP_AAT;CAP_ACP;CAP_CCU;CAP_HAD;JLI_HTP;CAP_HDJ;CAP_HDN;NB_AT;SEJ_HTP;JOU_HTP;JOU_PFT;JOU_AAT;JOU_ACP;JOU_CCU;JOU_HAD;VEN_HDJ;VEN_HDN;VEN_AT;NB_CMP_SEUL;NB_CONSULT_SEUL;NB_CATTP;ACT_CMP_SEUL;ACT_CONSULT_SEUL;ACT_CATTP;ACT_AD;ACT_EMS;ACT_UHS;ACT_EME;FIL_TOT;FIL_AMB;EFFLIB_PKT;ETPSAL_PKT;EFFLIB_MED;ETPSAL_MED;GAR_SEN;AST_SEN;EFFLIB_PNM;ETPSAL_PNM;ETP_INF;ETP_AID;ETP_PSY;ETP_REE;ETP_EDU
PSY;2023;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;PEN;;;;;0;;;;;;0;0;;0;;;;;;;;;;0;;;;;;;6468;;;;912;830;0;2.6;0;0;;;0;44.9;34.9;3;5;0;0
PSY;2023;020000543;ETS PUB SANTÉ MENTALE DE L'AISNE;020000295;TOT;1;;5;1;312;79;0;0;0;0;112620;170;0;0;2782;85114;27595;0;0;0;0;13224;0;0;16;43;3;73495;4681;7806;21424;2096;3118;174;12675;10592;0;40.8;0;0;;;0;763.12;445.25;88.9;53;10.6;45.5
PSY;2023;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;GEN;;;;;60;;;;;;21900;12;;;625;17185;;;;;;3348;;;;;;;;;;;;;429;;5;;;0.22;;;9;85.32;31.77;21.07;1.36;;
PSY;2023;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;INF;;;;;;;;;;;;8;;;;;;;;;;0;;;;;;;;;;;;;;;;0.37;;;;;;;2.29;0.83;0.74;;
PSY;2023;020004156;CLINIQUE TEMPS DE VIE SAINT-QUENTIN;590805065;TOT;0;;;0;60;;;;;;21900;20;;;625;17185;;;;;;3348;;;;;;;;;;;;;429;;5;0.37;;0.22;;;9;85.32;34.06;21.9;2.1;;
PSY;2023;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;GEN;;2;;;71;1;0;0;2;0;19383;36;4;;710;13334;322;0;0;28;0;8941;219;0;3;1;4;9065;17176;1648;1545;206;3746;0;3013;2606;0;4.8;0;1;1;0;;109.06;92.72;0.18;4.14;;1.22
PSY;2023;020006664;CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN;020000063;TOT;1;;0;0;71;1;0;0;2;0;19383;36;4;;710;13334;322;0;0;28;0;8941;219;0;3;1;4;9065;17176;1648;1545;206;3746;0;3013;2606;0;4.8;0;1;;;;109.06;92.72;0.18;4.14;;1.22
PSY;2023;030000061;CH DE MOULINS;030780092;GEN;;2;;;116;15;0;15;;;42340;30;;3;881;34242;3538;;3429;;;6393;;1032;7;4;1;13394;1456;438;6900;1329;506;102;3893;3162;;4.79;;5.75;0;1;;183.3;132.96;36.49;5.48;3.5;4.87
PSY;2023;030000061;CH DE MOULINS;030780092;INF;;1;;;11;26;;;;;3476;30;;;87;2244;1643;;;;;4281;;;3;2;2;6808;263;837;839;47;318;151;895;768;;1.53;;2.54;0;0;;64.13;39.45;9.17;2.98;2.6;9.83
PSY;2023;030000061;CH DE MOULINS;030780092;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;0.5;;0;;;;;;;;;
PSY;2023;030000061;CH DE MOULINS;030780092;TOT;1;;1;1;127;41;0;15;;;45816;60;;3;968;36486;5181;;3429;;;10674;;1032;10;6;3;20202;1719;1275;7739;1376;824;253;4730;3903;;6.82;;8.29;;;;247.43;172.41;45.66;8.46;6.1;14.7
PSY;2023;030000087;CH JACQUES LACARIN VICHY;030780118;GEN;;2;;;85;4;;16;;;33773;33;;;828;20966;334;;3732;;;2077;;0;4;0;2;37604;0;2169;15319;14108;974;2;2750;2080;0;9.13;0;0;0;1;0;155.45;99.04;19.83;8.37;0;3.8
PSY;2023;030000087;CH JACQUES LACARIN VICHY;030780118;INF;;1;;;;4;;;;;0;10;;;;;118;;;;;1475;;;4;0;1;30127;0;116;212;7;200;31;793;744;0;2.55;0;0;0;0;0;33.94;7.57;0;6.57;2.78;9.7
PSY;2023;030000087;CH JACQUES LACARIN VICHY;030780118;TOT;1;;1;0;85;8;;16;;;33773;43;;;828;20966;452;;3732;;;3552;;0;8;0;3;67731;0;2285;15531;14115;1174;33;3680;2964;0;11.68;0;0;;;0;189.39;106.61;19.83;14.94;2.78;13.5
PSY;2023;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;GEN;;1;;;49;285;0;0;0;0;17885;0;0;0;303;12884;88571;0;0;0;0;0;0;0;6;1;1;6335;13871;295;629;727;0;0;887;528;0;4;0;4.1;0;1;0;235.06;47.4;20.42;1.48;1.44;6.82
PSY;2023;030000160;CENTRE HOSPITALIER SPECIALISE D'AINAY;030780282;TOT;1;;0;0;49;285;0;0;0;0;17885;0;0;0;303;12884;88571;0;0;0;0;0;0;0;6;1;1;6335;13871;295;629;727;0;0;887;528;0;4;0;4.1;;;0;235.06;47.4;20.42;1.48;1.44;6.82
PSY;2023;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;GEN;;2;;;46;;;;;;16790;28;;;566;10652;;;;;;5542;;0;3;1;2;7000;0;4236;1201;;1199;;1492;1219;;6.17;;;0;1;;95.29;57.02;10.1;2.6;0.8;2.5
PSY;2023;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;INF;;1;;;;4;;;;;;12;;;5;;975;;;;;2101;;;3;1;1;3714;2216;500;;;;;964;922;;1.35;;;0;1;;23.18;6.62;;4.63;3.41;5.25
PSY;2023;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;215;;;;83;83;;;;;;;;;;;;;
PSY;2023;030781637;SERVICE DE PSYCHIATRIE CHATELARD;030780100;TOT;1;;;1;46;4;;;;;16790;40;;;571;10652;975;;;;;7643;;0;6;2;3;10714;2216;4736;1416;;1199;;2405;2204;;7.52;;;;;;118.47;63.64;10.1;7.23;4.21;7.75
PSY;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;GEN;;2;;;93;10;;;;;36493;84;;;1090;30613;1703;0;0;0;0;13766;0;0;10;1;;28911;1764;0;2147;212;1236;1;5493;4648;;13.93;;1.49;1;0;;217.17;123.49;50.03;11.99;;12.45
PSY;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;INF;;1;;;;;;;;;0;47;;;0;0;;;;0;0;3468;0;0;4;0;;13838;0;0;4;1;438;9;1418;1281;;2.97;;;0;0;;76.75;32.06;;1973;10.31;14.65
PSY;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;PEN;;;;;;;;;;;;;;;0;0;;;;;;0;;0;;;;;;;215;;;;;;;0.05;;0.03;;;;1.4;0.9;;0.5;;
PSY;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;TOT;1;;3;1;93;10;;;;;36493;131;;;1090;30613;1703;0;0;0;0;17234;0;0;14;1;;42749;1764;0;2366;213;1674;10;6866;5897;;16.95;;1.52;;;;295.32;156.45;50.03;1985.49;10.31;27.1
PSY;2023;050000132;CH BUECH DURANCE;050007145;GEN;;1;;;68;12;18;;;;24820;20;1;1;752;15449;948;4064;;;;2611;0;498;5;0;2;22132;;13200;2557;19;575;;3309;3079;;5.87;;6.06;1;0;;187.76;94.42;23.76;8.22;3.34;14.91
PSY;2023;050000132;CH BUECH DURANCE;050007145;INF;;1;;;8;4;;;;;2920;23;;;380;1247;0;;;;;5232;;;4;0;6;12657;;10329;74;;384;77;1345;1218;;2.99;;1;0;0;;72.75;37.67;3.45;8.63;5.73;8.54
PSY;2023;050000132;CH BUECH DURANCE;050007145;TOT;1;;;1;76;16;18;;;;27740;43;1;1;1132;16696;948;4064;;;;7843;0;498;9;0;8;34789;;23529;2631;19;959;77;4654;4297;;8.86;;7.06;;;;260.51;132.09;27.21;16.85;9.07;23.45
PSY;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;GEN;;1;;;12;;4;;;;4380;0;2;;275;2918;;1176;;;;;100;;;1;;0;986;0;1384;47;847;1;1255;1021;;1.74;;0.03;;;;30.6;21.21;0.24;2.45;1;1.8
PSY;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
PSY;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;TOT;0;;;0;12;;4;;;;4380;0;2;;275;2918;;1176;;;;;100;;;1;;0;986;0;1385;47;847;1;1255;1021;;1.74;;0.03;;;;30.6;21.21;0.24;2.45;1;1.8
PSY;2023;050000454;LE FUTUR ANTERIEUR;050000645;INF;;;;;30;;;;;;10950;;;;116;9060;;;;;;;;;;;;;;;;;;;83;;;0.76;;0.4;0;0;;27.98;9.49;6.79;1.78;0.5;5.4
PSY;2023;050000454;LE FUTUR ANTERIEUR;050000645;TOT;0;;;0;30;;;;;;10950;;;;116;9060;;;;;;;;;;;;;;;;;;;83;;;0.76;;0.4;;;;27.98;9.49;6.79;1.78;0.5;5.4
PSY;2023;050000991;CENTRE MEDICAL CHANTOURS;050000546;GEN;;;;;40;;;;;;14600;;;;343;12931;;;;;;;;;;;;;;;;;;;343;;;2.68;;;0;0;;33.64;15.19;3.64;1.63;2.84;0.17
PSY;2023;050000991;CENTRE MEDICAL CHANTOURS;050000546;TOT;0;;;0;40;;;;;;14600;;;;343;12931;;;;;;;;;;;;;;;;;;;343;;;2.68;;;;;;33.64;15.19;3.64;1.63;2.84;0.17
PSY;2023;050008630;HJ L'ESCALE BRIANCON;050000116;GEN;;;;;;;;;;;;12;;;;;;;;;;2175;;;1;;1;10531;;2268;;;;;;;;1.3;;0.46;;;;20.15;15.55;;;1;2.2
PSY;2023;050008630;HJ L'ESCALE BRIANCON;050000116;TOT;0;;;0;;;;;;;;12;;;;;;;;;;2175;;;1;;1;10531;;2268;;;;;;;;1.3;;0.46;;;;20.15;15.55;;;1;2.2
PSY;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;GEN;;1;;;33;;;;;;11074;10;2;;366;11561;;;;;;2319;0;;1;6;1;12019;1732;2867;2555;641;1425;0;1699;1423;0;8.41;0;0;;;0;64.66;42.42;6.28;5.75;1.89;2.24
PSY;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0.4;0;0;;;0;0;0;0;0;0;0
PSY;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;TOT;1;;0;1;33;;;;;;11074;10;2;;366;11561;;;;;;2319;0;;1;6;1;12019;1732;2867;2555;641;1425;0;1699;1423;0;8.81;0;0;;;0;64.66;42.42;6.28;5.75;1.89;2.24
PSY;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;GEN;;2;;;67;;;;;;24455;25;2;;643;21678;;;;;;3462;0;;4;2;0;14022;6677;0;1910;257;2209;0;3618;3511;;15;;;1;0;;181.75;77.74;20.48;25.15;4.62;15.52
PSY;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;INF;;1;;;;;;;;;;10;;;;;;;;;;826;;;8;1;1;13449;1426;3179;148;181;2477;168;1817;1816;;8.23;;;0;0;;41.62;7.36;;14.65;;11.25
PSY;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;TOT;1;;7;0;67;;;;;;24455;35;2;;643;21678;;;;;;4288;0;;12;3;1;27471;8103;3179;2058;438;4686;168;5376;5267;;23.23;;;;;;223.37;85.1;20.48;39.8;4.62;26.77
PSY;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;GEN;;2;;;58;;;;8;;20386;25;;1;623;15889;;;;0;;1683;0;318;2;1;0;14028;1634;0;1182;74;3529;0;2944;2440;;7.95;;0.18;1;0;;106.85;55.39;22.3;7.3;0.2;4.41
PSY;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;INF;;1;;;;;;;;;;10;;;;;;;;;;1487;;;3;1;3;11514;12;4299;225;104;2295;59;1671;1631;;6.43;;;0;0;;59.8;13.61;;11.4;12;14.15
PSY;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;0;0;;;;;;;;;;;;;
PSY;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;TOT;1;;2;1;58;;;;8;;20386;35;;1;623;15889;;;;0;;3170;0;318;5;2;3;25542;1646;4299;1409;178;5824;59;4532;4001;;14.38;;0.18;;;;166.65;69;22.3;18.7;12.2;18.56
PSY;2023;060030079;VAL DES MIMOSAS;060030061;GEN;;;;;;;;;;;;30;;;;;;;;;;1548;;;;;;;;;;;;;79;;;0.7;1;;;;;1.56;0.35;0.5;0.2;0.29;0.14
PSY;2023;060030079;VAL DES MIMOSAS;060030061;TOT;0;;;0;;;;;;;;30;;;;;;;;;;1548;;;;;;;;;;;;;79;;;0.7;1;;;;;1.56;0.35;0.5;0.2;0.29;0.14
PSY;2023;060780442;CLINIQUE SAINT FRANCOIS;060000213;GEN;;;;;61;;;;;;22340;20;;;672;21862;;;;;;4885;;;;;;;;;;;;;591;;4;;1;0.2;0;1;;33.6;16;15;1.6;;1
PSY;2023;060780442;CLINIQUE SAINT FRANCOIS;060000213;TOT;0;;;0;61;;;;;;22340;20;;;672;21862;;;;;;4885;;;;;;;;;;;;;591;;4;;1;0.2;;;;33.6;16;15;1.6;;1
PSY;2023;060780525;CLINIQUE LE VAL D'ESTREILLES;060000247;GEN;;;;;64;;;;;;21549;;;;659;21549;;;;;;;;;;;;;;;;;;;659;;3;;;0.4;0;0;;20.39;13.23;5;1;;1.16
PSY;2023;060780525;CLINIQUE LE VAL D'ESTREILLES;060000247;TOT;0;;;0;64;;;;;;21549;;;;659;21549;;;;;;;;;;;;;;;;;;;659;;3;;;0.4;;;;20.39;13.23;5;1;;1.16
PSY;2023;060780541;CLINIQUE LA GRANGEA;060000262;GEN;;;;;67;;;;;;24455;;;;871;23347;;;;;;;;;;;;;;;;;;;712;;4;;2;1.14;0;0;1;44.55;15.9;12.63;0.71;;2.2
PSY;2023;060780541;CLINIQUE LA GRANGEA;060000262;TOT;0;;;0;67;;;;;;24455;;;;871;23347;;;;;;;;;;;;;;;;;;;712;;4;;2;1.14;;;1;44.55;15.9;12.63;0.71;;2.2
PSY;2023;060780749;CLINIQUE SAINT LUC;060000395;GEN;;;;;47;;;;;;17155;15;;;432;15775;;;;;;6848;;;;;;;;;;;;;354;;8;;2;;;;1;17.24;10.3;4.66;4.33;0.18;0.37
PSY;2023;060780749;CLINIQUE SAINT LUC;060000395;TOT;0;;;0;47;;;;;;17155;15;;;432;15775;;;;;;6848;;;;;;;;;;;;;354;;8;;2;;;;1;17.24;10.3;4.66;4.33;0.18;0.37
PSY;2023;060780996;CHS SAINTE MARIE NICE;630786754;GEN;;7;;;277;13;17;;;;101105;154;;;1959;90063;2974;4872;;;526;21588;;;10;7;9;60649;3960;16776;3275;230;9;;8548;5810;;33.47;;13;0;1;;486.88;255.34;163.03;27.29;2.96;38.26
PSY;2023;060780996;CHS SAINTE MARIE NICE;630786754;PEN;;;;;;;;;;;;12;;;;;;;;;;1895;;;;;;;;;11961;;;;1480;1060;;1.88;;;;;;14.5;9.49;;2;;3.01
PSY;2023;060780996;CHS SAINTE MARIE NICE;630786754;TOT;1;;4;1;277;13;17;;;;101105;166;;;1959;90063;2974;4872;;;526;23483;;;10;7;9;60649;3960;16776;15236;230;9;;9920;6808;;35.35;;13;;;;501.38;264.83;163.03;29.29;2.96;41.27
PSY;2023;060781929;CLINIQUE DE LA COSTIERE;060000858;GEN;;;;;75;;;;;;27375;15;;;768;28109;;;;;;7305;;;;;;;;;;;;;578;;12;;;;;;1;32.37;18.15;11.17;0.83;0.68;0.5
PSY;2023;060781929;CLINIQUE DE LA COSTIERE;060000858;TOT;0;;;0;75;;;;;;27375;15;;;768;28109;;;;;;7305;;;;;;;;;;;;;578;;12;;;;;;1;32.37;18.15;11.17;0.83;0.68;0.5
PSY;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;GEN;;1;;;67;0;0;0;0;0;23201;25;0;0;544;20904;;;;;;2613;;;1;1;;8118;3264;;758;56;2936;;3100;2612;;8.24;;0.1;0;1;;155.26;59.68;60.59;5.69;0.4;
PSY;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;TOT;1;;0;0;67;0;0;0;0;0;23201;25;0;0;544;20904;;;;;;2613;;;1;1;;8118;3264;;758;56;2936;;3100;2612;;8.24;;0.1;;;;155.26;59.68;60.59;5.69;0.4;
PSY;2023;060800174;FONDATION LENVAL;060800174;INF;;3;;;18;;;;;;6570;82;;;466;5489;;;;;;13447;;;10;8;0;52722;681;0;;5064;1677;;5601;5436;0;5.49;0;17.17;1;1;0;231.57;70.95;23.43;42.88;20.34;31.51
PSY;2023;060800174;FONDATION LENVAL;060800174;TOT;1;;;0;18;;;;;;6570;82;;;466;5489;;;;;;13447;;;10;8;0;52722;681;0;;5064;1677;;5601;5436;0;5.49;0;17.17;;;0;231.57;70.95;23.43;42.88;20.34;31.51
PSY;2023;070005046;HDJ ADULTE GUILHERAND;260003264;GEN;;2;;;;;;;;;;0;;;;;;;;;;536;;;4;1;1;14302;126;928;183;16;5;1;2001;1800;;1;;;;;;14.59;12.21;;1.58;0.26;0
PSY;2023;070005046;HDJ ADULTE GUILHERAND;260003264;INF;;1;;;;;;;;;;;;;;;;;;;;;;;2;;1;4406;0;740;1;1;0;7;452;445;;1.06;;;;;;10.88;3.57;;3.42;1.98;1.8
PSY;2023;070005046;HDJ ADULTE GUILHERAND;260003264;TOT;1;;0;0;;;;;;;;0;;;;;;;;;;536;;;6;1;2;18708;126;1668;184;17;5;8;2420;2209;;2.06;;;;;;25.47;15.78;;5;2.24;1.8
PSY;2023;070780317;CHS SAINTE-MARIE PRIVAS;630786754;GEN;;5;;;222;15;;;;;80960;87;5;;2589;72585;2758;;;;;13389;96;;7;14;4;42959;3596;5764;1890;2819;1420;;9092;7335;;12.28;;6.45;0;1;;412.97;226.46;98.36;18.67;1.99;16.06
PSY;2023;070780317;CHS SAINTE-MARIE PRIVAS;630786754;INF;;3;;;;;;;;;;38;;;;;;;;;;5353;;;7;;4;20804;;4908;33;183;555;7;2436;2298;;5.44;;1;0;0;;66.75;36.41;;19.03;4.32;6.99
PSY;2023;070780317;CHS SAINTE-MARIE PRIVAS;630786754;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;972;;;;249;249;;0.43;;;;;;4.25;1.9;;2.35;;
PSY;2023;070780317;CHS SAINTE-MARIE PRIVAS;630786754;TOT;1;;4;0;222;15;;;;;80960;125;5;;2589;72585;2758;;;;;18742;96;;14;14;8;63763;3596;10672;2895;3002;1975;7;11777;9882;;18.15;;7.45;;;;483.97;264.77;98.36;40.05;6.31;23.05
PSY;2023;080000318;CH BELAIR;080000086;GEN;;4;;;177;4;18;;;;67890;71;6;2;2187;53790;1095;3079;;;;11166;0;2174;10;3;6;48073;3624;5568;9174;5859;653;;6395;4001;;10.79;;6.03;0;1;;380.69;231.6;77.28;11.96;;3.71
PSY;2023;080000318;CH BELAIR;080000086;INF;;1;;;8;;;;;;2920;45;;;164;1732;;;;;;6866;;;4;1;5;14536;123;2711;107;559;2061;87;1547;1087;;2.9;;0.35;0;1;;87.91;54.76;4.04;6.36;1.9;15.36
PSY;2023;080000318;CH BELAIR;080000086;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.35;;;0.35;;
PSY;2023;080000318;CH BELAIR;080000086;TOT;1;;5;1;185;4;18;;;;70810;116;6;2;2351;55522;1095;3079;;;;18032;0;2174;14;4;11;62609;3747;8279;9281;6418;2714;87;7811;5040;;13.69;;6.38;;;;468.95;286.36;81.32;18.67;1.9;19.07
PSY;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;GEN;;2;;;75;12;;;;;27375;30;5;;979;24627;506;;;;;3737;0;;4;1;2;37561;852;2734;1082;38;5124;;5331;4742;;7.33;;1.5;1;1;;171.57;106.01;24.96;10.38;4.75;4.17
PSY;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;INF;;1;;;7;7;;;;;2555;20;;;96;2104;1965;;;;;1936;;;3;1;1;8248;160;69;11;3;203;11;990;873;;4.01;;;1;1;;57.73;28.48;3;8.97;4.67;5.78
PSY;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2736;;;;285;285;;0.1;;;;;;1.67;1.5;;0.17;;
PSY;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;TOT;1;;1;1;82;19;;;;;29930;50;5;;1075;26731;2471;;;;;5673;0;;7;2;3;45809;1012;2803;3829;41;5327;11;6216;5512;;11.44;;1.5;;;;230.97;135.99;27.96;19.52;9.42;9.95
PSY;2023;100000108;EPSMA;100000033;GEN;;4;;;112;2;;0;;;40880;66;;;1223;41567;648;;2208;;;9005;;;6;0;6;15531;37;16209;3295;987;2297;;5993;5033;;14.89;;1.66;1;;;309.29;159.71;87.29;12;2;6.9
PSY;2023;100000108;EPSMA;100000033;INF;;2;;;6;;;;;;2190;36;;;242;2666;;;;;;6316;;;7;0;8;15721;35;14587;761;37;118;22;2937;2739;;7.22;;;0;0;;116.58;57.75;3.11;19.7;8.6;21.74
PSY;2023;100000108;EPSMA;100000033;PEN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3083;;;;692;692;;0.27;;;;;;5.4;1.19;;4.21;;
PSY;2023;100000108;EPSMA;100000033;TOT;1;;;1;118;2;;0;;;43070;102;;;1465;44233;648;;2208;;;15321;;;13;0;14;31252;72;30796;7139;1024;2415;22;8794;7646;;22.38;;1.66;;;;431.27;218.65;90.4;35.91;10.6;28.64
PSY;2023;110002953;HJ PSY GEN PSYCHOTIQUE CH NARBONNE;110780137;GEN;;1;;;49;1;5;0;0;0;20075;20;0;0;381;10632;333;1221;0;0;0;4022;0;0;2;;;14263;;;566;1;2211;0;2346;2018;;5.36;;0.19;0;1;;55.08;41.63;5.86;4.73;2.86;
PSY;2023;110002953;HJ PSY GEN PSYCHOTIQUE CH NARBONNE;110780137;INF;;1;;;0;0;;;0;0;0;18;0;0;0;;;;;;;2395;0;0;2;;;9334;;;59;43;6660;57;1120;1014;;4.6;;;;;;34.69;15.39;;8.32;4.8;6.18
PSY;2023;110002953;HJ PSY GEN PSYCHOTIQUE CH NARBONNE;110780137;TOT;1;;2;0;49;1;5;0;0;0;20075;38;0;0;381;10632;333;1221;0;0;0;6417;0;0;4;;;23597;;;625;44;8871;57;3439;3013;;9.96;;0.19;;;;89.77;57.02;5.86;13.05;7.66;6.18
PSY;2023;110780152;CLINIQUE DE MIREMONT BADENS;110000064;GEN;;;;;74;;;;;;27010;;;;452;26510;;;;;;;;;;;;;;;;;;;379;;3;;1;;0;1;1;39.92;12.07;7.59;1.17;;0.66
PSY;2023;110780152;CLINIQUE DE MIREMONT BADENS;110000064;TOT;0;;;0;74;;;;;;27010;;;;452;26510;;;;;;;;;;;;;;;;;;;379;;3;;1;;;;1;39.92;12.07;7.59;1.17;;0.66
