BOR;AN;FI;RS;FI_EJ;LIT;JOU;ENT;DECES;URG_EJ;URG_EXT;MCO_EJ;MCO_EXT;GER_EJ;GER_EXT;SSR_EJ;SSR_EXT;PSY_EJ;PSY_EXT;HAD_EJ;HAD_EXT;DOMIC1;PEGER;EMGER;GERPSY;EMPAL;ALZ;EHPAD;VILHOS;RETR
USLD;2023;120000153;CH MAURICE FENAILLE SEVERAC LE CHATEAU;120780291;40;13963;38;16;0;0;0;3;0;5;11;9;0;1;0;0;9;0;0;0;0;0;22;0;0
USLD;2023;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;40;13658;21;19;;;1;;1;;13;3;;;;;3;;;;;;;1;
USLD;2023;120782263;USLD CH VILLEFRANCHE SITE RULHE;120780069;60;18751;93;90;;;32;2;18;;17;2;;2;;;19;;;;;;6;4;
USLD;2023;120783097;USLD CH MILLAU;120004528;50;17537;28;21;;;5;2;;;15;1;;;;;5;23;;;;;2;3;
USLD;2023;120786959;USLD OLEMPS CH RODEZ;120780044;30;6474;15;18;;;6;2;;;5;1;;;;;1;;;;;;5;;
USLD;2023;130000516;CH LOUIS BRUNET D'ALLAUCH;130781339;56;18458;68;38;;;;;;;64;;;;;;;;;110;;;;;
USLD;2023;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;30;10073;7;11;;;1;;;;4;1;;;;;1;;;7;2;;1;;
USLD;2023;130001225;HOPITAL DU PAYS SALONAIS;130782634;33;11511;26;28;;;7;;2;;12;;;;5;;;;;3;12;;4;1;
USLD;2023;130001258;HOPITAUX PORTES DE CAMARGUE TARASCON;130028228;20;6701;22;23;;0;;0;;3;11;;;0;;0;8;0;0;0;5;0;3;2;5
USLD;2023;130032758;CLINIQUE DE LA POINTE ROUGE USLD;130001514;80;25360;54;46;5;;;;;;2;;;;;;47;;;;;;;;
USLD;2023;130782097;CENTRE DE SIBOURG;130000938;19;6423;13;9;;;;1;;;8;;;;;;4;;;;;;1;;
USLD;2023;130789159;CENTRE CARDIO VASCULAIRE VALMANTE;920030269;30;2323;9;7;;;2;1;;;3;;;;;;3;;;;;;2;5;0
USLD;2023;130790157;CH DE MARTIGUES HOPITAL DU VALLON;130789316;30;10950;14;17;;;1;2;;;5;;1;;;;5;;;;;;;;
USLD;2023;130798358;USLD DUQUESNE SITE AIX;130041916;70;22431;51;33;;;7;5;;;24;6;;;;;9;;;;;;;9;3
USLD;2023;130808843;USLD MARCEL PAGNOL;920030152;30;7895;16;11;;;2;;;;4;;;;;;10;;2;;11;;;;
USLD;2023;130809015;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;150;49760;67;54;;23;7;;16;1;;;;;;;20;;;;;;5;;
USLD;2023;130811102;LA MAISON;130007487;5;850;38;7;;;;;;;;;;;;;;;;;;;;;
USLD;2023;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;40;11235;42;29;0;0;7;3;16;3;3;5;;;;;1;;;;;;2;;
USLD;2023;140000241;CH COTE FLEURIE - SITE D'EQUEMAUVILLE;140026279;30;9305;26;21;;;;;;;;;;;;;;;;;;;;;
USLD;2023;140000373;CENTRE HOSPITALIER DE VIRE;140000159;30;10583;30;29;0;0;7;8;5;;3;4;0;0;0;0;3;;;0;;0;3;3;
USLD;2023;140012196;UNITE SOINS LONGUE DUREE - CHU CAEN;140000100;100;31746;41;44;;;20;5;1;2;7;3;2;0;0;2;21;;1;;11;;4;;
USLD;2023;140013830;UNITE SOINS LONGUE DUREE - CH FALAISE;140000118;60;20068;37;29;;;7;1;9;0;8;1;;;;;11;88;;;14;;5;;
USLD;2023;140017401;UNITE SOINS LONGUE DUREE - CH BAYEUX;140000092;30;9841;20;10;;;5;;;;6;;;;;;9;0;0;0;7;0;0;3;0
USLD;2023;150000032;CH DE SAINT-FLOUR;150780088;37;11211;18;11;;;4;;1;;;5;2;;;;6;0;0;0;0;0;0;0;0
USLD;2023;150000040;CH HENRI MONDOR;150780096;44;16814;39;31;;;13;;15;;1;;;;;;10;;34;5;22;;4;;
USLD;2023;150000164;CH DE MAURIAC;150780468;27;8209;29;25;;;;;;;;;;;;;;;;;;;;;
USLD;2023;150000180;CH DE MURAT;150780500;30;9725;24;12;;;3;;;;7;;;;;;5;;;;;;;;
USLD;2023;160000188;CH DE LA ROCHEFOUCAULD;160000121;53;17776;37;28;;;;;;;;;;;;;;;;;;;;;
USLD;2023;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;30;10345;22;21;;;5;1;11;;;1;;;;;4;;;;9;;2;;
USLD;2023;160000261;CHI DU PAYS DE COGNAC - SSR;160014411;37;11153;30;28;;;1;2;;;7;5;;;;;13;1;0;2;2;0;;;
USLD;2023;160000303;CH HOPITAUX SUD-CHARENTE;160006037;80;28703;23;20;;;3;;;;12;2;;;;;6;;;;;;2;;
USLD;2023;160000311;CENTRE HOSPITALIER CONFOLENS;160000485;30;9747;29;30;;;8;7;;;7;1;;;;;6;;;;;;;;
USLD;2023;160000360;CH DE CHATEAUNEUF;160014411;51;15586;38;34;;;2;6;6;7;;;;;;;9;;;;;;;;1
USLD;2023;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;50;13202;27;10;;;7;3;;;14;;;1;;;2;;;;;;;2;
USLD;2023;170784110;SSR CH LA ROCHELLE;170024194;92;32087;50;47;;;10;;;;28;4;1;;;;7;;79;;;;;1;
USLD;2023;170792220;CH SAINTONGE - SSR;170780175;45;15075;25;18;;;;;;;;;;;;;;;;;;;;;
USLD;2023;170802789;USLD - CH ROYAN;170780191;50;18104;17;19;;;1;;;;8;;;;;;8;;;;;;;;
USLD;2023;180000176;CH GEORGE SAND BOURGES;180001158;40;14176;14;9;;;;;;;;6;4;;;;4;;;30;2;;2;1;
USLD;2023;180000200;CH DE VIERZON;180000051;46;16591;12;11;;;;;;;;;;;;;;;;;;;;;
USLD;2023;180000333;CH SANCERRE;180000093;30;3848;12;2;;;;;;;2;;;;;;;;;;;;8;2;
USLD;2023;180003287;CH DE BOURGES SITE TAILLEGRAIN;180000028;60;21900;58;23;;;31;;;;33;;;;;;7;;;;;;11;;10
USLD;2023;180003386;CH ST AMAND-MONTROND SITE CROIX DUCHET;180000069;41;12520;47;34;;;13;7;19;;;1;;;;;7;;;;;;11;6;
USLD;2023;180007825;USLD DU CH GEORGE SAND SITE DE DUN SUR;180001158;60;19762;18;19;;;;3;;;;4;9;;;;2;;;35;6;;;;
USLD;2023;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;22;7788;26;5;;;9;;6;;10;;;;;;;;12;;2;;3;;
USLD;2023;190000034;HOPITAL LOCAL DE BORT LES ORGUES;190000067;30;9762;10;11;;;1;1;;;3;3;;;;;1;;;;;;1;;
USLD;2023;190000091;CENTRE HOSPITALIER D'USSEL;190000075;30;10778;11;7;;;1;;;;8;;;;;;2;;;;;;;;
USLD;2023;190002493;CONVALESCENCE CURE READAPT. DU CHANDOU;190000059;53;18243;22;26;;;;;;;;;;;;;;;;;;;;;
USLD;2023;190005140;USLD UZERCHE;190002485;30;10936;47;32;;0;;24;;7;;3;;1;;;12;;;;;;11;1;
USLD;2023;190005165;USLD CORNIL;190002519;71;22190;43;26;;;;18;;;5;;;;;;6;;;;;;7;;
USLD;2023;210986089;CTRE HOSPITALIER REG UNIVERSITAIRE DIJ;210780581;38;13510;11;8;;;1;;;;3;1;;;;;5;;;;;;0;;
USLD;2023;210987574;CH ARNAY LE DUC;210012175;30;8511;14;13;1;;6;2;;;1;1;;;;;3;;;;;;2;;
USLD;2023;210987673;CH HCO SITE DE MONTBARD;210012142;30;10332;7;6;;;1;1;0;0;1;2;;1;;;1;;;;;;2;;
USLD;2023;210987939;USLD CH LA CHARTREUSE DIJON;210780607;42;15263;4;4;;;;;;;;;;;;;;;;;;;;;
USLD;2023;220000095;CTRE HOSPITALIER DINAN;220000046;60;15725;15;23;;;3;;2;;7;;;;;;;;;;;;;;
USLD;2023;220000343;CENTRE HOSPITALIER GUINGAMP;220000079;30;8449;37;30;;;13;;9;;6;;;;;;9;;;;5;;4;;
USLD;2023;220000368;CENTRE HOSPITALIER LANNION;220000103;30;10029;23;20;;;9;;1;;7;;;;;;6;;;;;;0;0;0
USLD;2023;220000566;CHPP SITE LAMBALLE;220021968;30;10617;33;21;;;16;9;;;2;1;;;5;;;;;3;;;7;;
USLD;2023;220001259;CENTRE HOSPITALIER TREGUIER;220005045;60;17085;56;45;;;;;15;13;3;;;1;;;24;;;;;;2;;
USLD;2023;220014138;CENTRE LONG SEJOUR ROSTRENEN;220017974;30;9428;17;15;;;;6;;;2;3;;;6;;;;;;;;4;;
USLD;2023;230000259;USLD - CH GUERET;230780041;50;17544;42;31;0;0;9;0;8;0;13;0;0;0;0;0;12;0;0;6;0;0;2;4;0
USLD;2023;230000838;CENTRE HOSPITALIER D'AUBUSSON;230780058;30;9969;25;10;;;7;5;8;2;;;;;;;3;;;;;;;;
USLD;2023;230000846;C H BERNARD DESPLAS BOURGANEUF;230780066;30;7943;21;16;;;4;3;;;6;;;1;;;7;;;;;;;;
USLD;2023;230000952;CTRE HOSPITALIER MOYEN SEJOUR EVAUX;230780512;30;8251;12;7;;;;;;4;7;;;;;;1;;;;;;1;1;
USLD;2023;230000960;CTRE HOSPITAL MOYEN SEJOUR SOUTERRAINE;230780520;30;10383;22;20;;;;;;;19;3;;;;;;;;;;;;;
USLD;2023;240000372;C.H DE BERGERAC;240000059;49;15639;33;26;2;;26;;19;;1;;;;;;5;0;3;0;25;0;;11;
USLD;2023;240000471;CENTRE HOSPITALIER DE NONTRON;240000109;30;10388;28;16;;;7;4;;1;4;2;;1;;;8;;;;;;2;1;
USLD;2023;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;60;16084;52;42;;;22;2;;;2;3;1;1;1;;19;;0;;3;;11;;
USLD;2023;240000505;CENTRE HOSPITALIER DE RIBERAC;240016055;60;13440;22;14;;;6;1;;;4;5;;;;;6;;;;;;;;
USLD;2023;240000687;CENTRE HOSPITALIER SARLAT;240000448;40;12713;20;18;;;5;;1;;8;;;;;;6;;;;;;;1;1
USLD;2023;250000627;CH PAUL NAPPEZ MORTEAU;250000221;30;10423;21;18;0;0;5;2;0;0;4;0;0;0;0;0;10;;;;;;2;;
USLD;2023;250000635;CH SAINTE CROIX BAUME LES DAMES;250000239;20;7014;20;12;0;0;4;0;0;0;5;8;0;0;0;0;3;0;0;0;0;0;5;4;0
USLD;2023;250000882;ETABLISSEMENT DE SANTE DE QUINGEY;250002839;30;9393;26;17;;;;;1;17;2;;;;;;6;;;;;;2;;1
USLD;2023;250001237;USLD BELLEVAUX;250007598;60;21076;43;38;;;;4;9;;;14;;;;;16;;;;;;;;
USLD;2023;250001252;USLD JACQUES WEINMAN AVANNE;250007788;91;32567;32;32;;;;;;;;;;;;;;0;0;3;2;0;0;0;0
USLD;2023;250004009;LE MITTAN ANNEXE DU HNFC;900000365;30;10753;19;17;0;;5;;0;;13;;0;;0;;1;;;3;2;;0;0;0
USLD;2023;250007234;USLD PONTARLIER;250000452;30;10671;18;14;;;2;;;10;;;;;;;6;;;;;;3;;
USLD;2023;260000013;CH DE VALENCE;260000021;72;25341;66;66;;;46;3;;;11;;;;;;5;;;;;;;2;4
USLD;2023;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;40;13917;27;24;;;2;3;;;9;;;;;;13;;;8;7;;3;;
USLD;2023;260000195;CLINIQUE PNEUMOLOGIE LES RIEUX;010783009;57;18537;38;33;;1;2;11;;;7;2;;;;;15;0;0;0;2;0;0;5;1
USLD;2023;260000823;CH DROME-VIVARAIS - SITE DE MONTELEGER;260003264;33;11542;5;1;;;;;;;;;4;;;;1;;;;;;3;;
USLD;2023;270000367;CH GISORS;270000086;55;18587;31;27;;;;;;;10;9;;;;;48;;;;;31;15;;
USLD;2023;270000425;CH PONT-AUDEMER;270000102;37;13011;19;14;;;2;;;;4;;;;;;1;;;;1;;;;
USLD;2023;270000441;CH VERNEUIL-SUR-AVRE;270000110;50;15335;47;22;;;8;4;;;10;6;;2;;;17;;;;;;12;;
USLD;2023;270000516;HL LE NEUBOURG;270000177;30;11373;16;14;;;;;;4;1;9;;;;;2;;;6;1;;;;
USLD;2023;270026107;USLD CH EURE SEINE;270023724;30;10324;26;6;;;1;1;;;;2;;;;;8;;;;;;3;;
USLD;2023;280000050;CH BONNEVAL;280000142;50;18193;7;7;0;0;0;0;0;0;0;1;5;0;0;0;1;;;;;;;;
USLD;2023;280000084;CH DREUX;280000183;92;29926;48;35;;;3;;;;13;;;;;;7;;;;;;2;;
USLD;2023;280000100;CH DE LA LOUPE;280000225;31;6280;29;16;0;0;2;8;0;0;0;0;0;0;0;0;19;;;;;;12;6;
USLD;2023;280000662;CH CHATEAUDUN;280500075;40;13921;24;19;;1;;1;;3;;35;;0;;0;21;;;;;;4;1;0
USLD;2023;290000033;C.H. DES PAYS DE MORLAIX;290021542;10;2100;3;5;;;1;;;;;;;;;;2;11;;;1;;1;;
USLD;2023;290000066;CHIC SITE DE CONCARNEAU;290020700;34;12236;14;14;;;3;;;;;7;;;;;4;;;2;;;;;
USLD;2023;290000256;CHRU BREST SITE HOPITAL DE CARHAIX;290000017;34;6871;51;28;0;0;16;1;8;1;9;2;0;0;0;0;4;0;0;0;0;0;4;3;0
USLD;2023;290000553;CENTRE MEDICAL  LE GUERVENAN;290021542;90;31326;41;23;;;;;16;;11;;;;;;10;132;;58;5;;7;5;
USLD;2023;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;48;16747;17;21;0;;2;;;;9;2;1;;;;4;0;1;0;3;0;0;0;0
USLD;2023;290008853;CTRE DE LONG SEJOUR - CH DOUARNENEZ;290000074;30;9757;11;14;;;;;;1;8;;;;;;3;;;;;;;1;
USLD;2023;290014687;GHBS USLD BOIS JOLY;560005746;30;10421;19;17;;;;;;;;;;;;;;;;;;;;;
USLD;2023;290017946;CTRE LONG SEJOUR BOHARS - CHRU BREST;290000017;118;40183;95;74;0;0;23;3;2;0;13;12;3;0;0;0;12;;;28;10;0;1;0;0
USLD;2023;290024462;RESIDENCE KERFILY EPSM FINISTERE SUD;290000298;56;19577;19;9;;;;;;;;;19;;;;;;;72;1;;8;;
USLD;2023;290025113;LONG SEJOUR TY CREAC'H - CHIC QUIMPER;290020700;30;9777;39;21;14;;;;4;;;11;;1;;;9;;;1;3;;6;;1
USLD;2023;290025147;LONG SEJOUR TY GLAZIK - CHIC QUIMPER;290020700;30;9233;16;13;;;7;1;3;;;1;;2;;;2;;;7;7;;;1;
USLD;2023;2A0000212;HOPITAL LOCAL DE BONIFACIO;2A0000170;30;9455;36;19;;;;11;;;9;;;;;;16;;;;;;6;;
USLD;2023;2A0002614;CENTRE HOSPITALIER DE SARTENE;2A0002606;30;9256;30;10;;;;;;;;;;;;;;;;;;;;;
USLD;2023;2A0023271;USLD D' AJACCIO;2A0000014;70;20432;37;9;;;11;;;;23;2;;;;;1;;;;;;;;
USLD;2023;2B0000038;CH CORTE;2B0004246;10;1484;5;6;;;2;;3;;;;;;;;;;;;;;1;;
USLD;2023;2B0004089;USLD CENTRE HOSPITALIER BASTIA;2B0000020;30;7916;5;10;;;;;;;;;;;;;;;;;;;;;
USLD;2023;2B0005359;CH CALVI;2B0005342;20;7016;12;11;;;5;;;;;;;;;;7;;;;;;;;
USLD;2023;300000031;CH LOUIS PASTEUR BAGNOLS SUR CEZE;300780053;30;10101;18;16;0;0;5;0;3;0;0;1;0;0;0;0;9;0;0;1;1;0;1;1;0
USLD;2023;300000064;CH UZES;300780087;30;9839;14;11;;;7;1;;;2;;;;;;4;;;;;;;;
USLD;2023;300000072;CH LE VIGAN;300780095;30;10338;30;12;;;8;6;;;4;5;;;;;7;;;;;;;;
USLD;2023;300012481;USLD LES CIGALES CH ALES;300780046;27;9814;8;1;;;;;;;;;;;;;;;;;;;;;
USLD;2023;300012499;USLD LA ROSE DES VENTS CH ALES;300780046;63;22682;47;31;;;;;;;;;;;;;;;;;;;;;
USLD;2023;300782125;CTRE SOINS PA SERRE CAVALIER CHU NIMES;300780038;190;45496;123;;;;;;;;;;;;;;;;;;;;;;
USLD;2023;310000310;CH COMMINGES PYRENEES SITE ST PLANCARD;310780671;30;10402;32;26;;;;;;;;;;;;;;;;;;;;;
USLD;2023;310000336;CH REVEL;310780713;61;18418;32;30;;;;;;;23;;;;;;;;;;;;4;;
USLD;2023;310013628;CH MURET;310786256;53;17267;28;14;;;3;;;;23;;;;;;2;;;;;;2;2;
USLD;2023;310021571;CL DES MINIMES TOULOUSE;310021563;58;20661;28;22;;;;;2;;12;2;;;;;6;3;;4;;;0;0;0
USLD;2023;310022298;HOPITAL GARONNE CHU TOULOUSE;310781406;60;21007;40;36;2;;1;1;7;;20;5;0;;0;;4;0;0;15;8;0;2;0;0
USLD;2023;310786702;SSR DOMAINE DE LA CADENE TOULOUSE;750043713;76;23176;25;31;;;;;;2;11;;;;;;;;;;;;2;;
USLD;2023;310794094;USLD LES JARDINS DES SILOS CH MARCHANT;310780754;80;25644;26;12;;;;11;;;;;12;2;;;1;;;;;;;;
USLD;2023;320000086;CH AUCH EN GASCOGNE;320780117;54;21205;29;49;0;0;8;0;15;0;1;3;0;1;0;0;4;0;0;0;0;0;8;3;0
USLD;2023;320000102;CH CONDOM;320780133;34;10225;27;17;;;;;;;;;;;;;;;;;;;;;
USLD;2023;320000128;CH GIMONT;320780158;30;9782;20;15;0;0;2;0;0;0;18;1;0;0;0;0;0;0;0;0;0;0;2;0;0
USLD;2023;320000144;CHI LOMBEZ SAMATAN;320780174;30;10378;20;15;0;0;4;0;0;0;14;0;0;0;0;0;2;0;0;2;0;0;1;1;0
USLD;2023;320000177;CH NOGARO;320780208;30;10082;19;12;;;8;2;;;6;;;;;;3;;;;14;;1;;
USLD;2023;330000571;CH DE LA HAUTE GIRONDE;330781220;20;6959;16;14;0;;7;;0;;5;;1;;3;;;;;;;;;;
USLD;2023;330000613;CENTRE HOSPITALIER STE FOY LA GRANDE;330781261;60;20784;19;13;0;0;1;1;0;0;4;5;0;2;0;0;6;;;;;;2;0;0
USLD;2023;330005182;USLD DU CENTRE DE SOINS PODENSAC;330792862;50;23079;52;32;;1;;7;;4;;3;;1;;;5;;;2;5;;7;;
USLD;2023;330781337;HOPITAL XAVIER ARNOZAN - CHU;330781196;120;24397;18;14;;;;7;4;;2;1;;;;;4;;;;;;3;;
USLD;2023;330791641;EHPAD - USLD LES ARBOUSIERS;330056540;80;26433;28;19;;3;;9;;;;3;;;;;13;;;2;4;;3;1;
USLD;2023;340000033;CH BEZIERS;340780055;142;43330;51;38;0;;19;;5;;20;;0;;1;;11;;;;;;;;
USLD;2023;340000215;CH LODEVE;340780519;28;8524;18;16;;;6;3;;;3;;;;10;;;;;;;;1;5;0
USLD;2023;340000231;CH POLE DE SANTE DE LUNEL;340780535;49;12217;27;30;;;6;5;;;;10;;;6;;;;;;;;1;;
USLD;2023;340008275;CENTRE ANTONIN BALMES CHU MONTPELLIER;340780477;28;9756;28;17;;;3;;5;;11;3;;;;;6;;;5;11;;4;;
USLD;2023;340024512;SSR JARDINS DE SOPHIA CASTELNAU LE LEZ;340001825;80;27520;29;17;;;;6;;;;;;;;;23;;;;;;7;7;2
USLD;2023;340780436;HOPITAL ST LOUP AGDE HBT;340011295;16;5543;20;18;;;17;;;;1;;;;2;;;;;;;;0;0;0
USLD;2023;340780444;CH BEDARIEUX;340009893;30;10781;10;8;0;0;;;0;0;0;0;0;0;0;0;;0;0;0;0;0;;0;
USLD;2023;340782481;CENTRE BELLEVUE CHU MONTPELLIER;340780477;112;25424;63;36;;;6;2;3;;20;8;1;;;;23;;;15;4;;10;;
USLD;2023;340796051;USLD LES PERGOLINES SETE HBT;340011295;55;18258;63;37;;;45;;;;1;;;;;;;;;;;;4;13;
USLD;2023;350000154;C.H FOUGERES;350000030;49;16196;49;46;0;;27;2;7;;7;;0;;0;;10;0;0;0;;0;2;0;0
USLD;2023;350000162;CHIRC SITE REDON;350000048;30;10700;9;5;;;;;1;;4;;;;;;;0;0;0;11;0;3;;
USLD;2023;350000436;CH DE BROCELIANDE SITE DE MONFORT;350055166;30;8879;22;15;0;0;2;9;0;0;4;2;0;0;0;0;5;0;0;0;0;0;1;0;0
USLD;2023;350002911;MRC ST THOMAS VILLENEUVE BAGUER;220020739;30;10858;25;13;0;0;0;10;0;0;2;3;1;0;0;0;9;0;0;0;0;0;10;0;0
USLD;2023;350005021;POLE GERIATRIQUE RENNAIS;440042844;60;20595;49;38;0;0;12;16;0;0;13;6;0;0;0;0;2;;;;;;2;2;
