BOR;AN;FI;RS;FI_EJ;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APR15;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;NRML;NBLIB;NBSAL;CAR;SAMUSDIS
SMURSAMU;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;1;0;0;0;;0;0;336;336;336;0;2;0;0;1214;90;0;0;0;0;1304;625;121;0;370;134;589;44;231;312;277;;;;;;;;;;;;;;;;
SMURSAMU;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;1;1;0;0;0;;0;0;168;168;168;;2;;;1148;95;;;;;1243;330;144;8;121;66;872;73;388;706;166;;;;;;;;;;;;;;;;
SMURSAMU;2023;060002102;CH LA PALMOSA DE MENTON;060791761;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;536;70;;0;0;0;606;291;77;2;47;154;437;;;214;223;;;;;;;;;;;;;;;;
SMURSAMU;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;1;1;0;0;;0;1;574;574;574;5;5;1;0;3052;2097;0;212;110;0;5471;0;;;;;;;;;;553513;67782;445394;337876;370551;265816;0;714;378;378;1344;0;34;0;7182;0
SMURSAMU;2023;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1;0;0;1;0;;0;1;168;168;0;0;0;1;0;0;340;205;0;67;0;612;0;0;0;0;0;0;0;0;0;0;300;;;;;;;;;;;0;;;0;
SMURSAMU;2023;070000013;CH DE PRIVAS ARDECHE;070002878;1;1;0;0;0;;0;1;168;168;168;;1;;;616;35;;;;;651;170;77;5;19;145;539;23;0;395;144;198021;27649;149014;140245;136663;119016;52803;360;168;192;468;0;66;0;2071;1
SMURSAMU;2023;070000179;CH ARDECHE NORD;070780358;1;1;0;0;0;;0;0;168;168;168;;2;;;718;2;;;;;720;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;1;1;1;0;0;;0;0;168;168;186;1;2;0;0;967;29;201;;;;1197;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2023;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;1;1;0;0;0;;0;0;168;50;168;1;1;;;690;9;;;;;699;150;100;6;26;0;570;59;165;428;142;;;;;;;;;;;;;;;;
SMURSAMU;2023;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;1;1;0;0;0;;0;0;336;336;336;1;1;;;416;83;;;;;499;144;62;;63;17;296;35;96;242;54;;;;;;;;;;;;;;;;
SMURSAMU;2023;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;1;1;0;0;0;;0;0;168;168;168;1;1;0;0;334;89;44;;;;467;72;37;0;35;76;468;21;103;379;89;;;;;;;;;;;;;;;;
SMURSAMU;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;1;0;0;0;;0;1;336;336;336;1;2;;;1702;716;;;0;;2418;584;177;6;178;223;1232;;;1145;87;199662;31798;162886;141840;106756;66633;0;168;168;;336;0;0;0;677;0
SMURSAMU;2023;080009814;ANTENNE DE SMUR - CH CHARLEVILLE;080011174;1;0;0;0;1;080011174;0;0;168;168;50;;1;;;565;3;;;;;568;358;46;1;98;213;188;;;94;94;;;;;;;;;;;;;;;;
SMURSAMU;2023;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;1;1;0;0;0;;0;1;168;168;224;2;3;1;0;1070;410;;86;;;1566;194;154;2;38;;752;45;73;599;153;;;;;60000;57018;38377;249;168;81;360;1;0;0;474;1
SMURSAMU;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;1;1;0;0;0;;0;0;168;168;168;1;1;;;252;83;51;;;;386;140;52;0;8;70;112;9;16;82;30;;;;;;;;;;;;;;;;
SMURSAMU;2023;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;1;0;0;0;100000017;0;1;336;336;372;2;3;;;2287;375;74;0;0;0;2736;1653;353;27;308;965;1555;203;175;1177;378;187932;0;187932;;131434;28202;10131;216;168;48;504;0;12;0;338;0
SMURSAMU;2023;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;1;1;0;0;0;;0;0;168;168;84;0;1;0;0;535;52;;;;;587;408;84;0;140;184;267;23;35;166;101;;;;;;;;;;;;;;;;
SMURSAMU;2023;100010206;ANTENNE SMUR DE BAR SUR AUBE;100000017;1;0;0;0;1;100000017;0;0;168;168;168;0;1;0;0;417;8;0;0;0;0;425;339;58;10;68;199;142;15;21;116;26;;;;;;;;;;;;;;;;
SMURSAMU;2023;110000023;CH CARCASSONNE;110780061;1;1;0;0;0;;0;1;336;336;336;2;3;1;;1319;197;108;135;50;0;1809;920;164;15;153;461;1101;64;221;1019;82;153064;2975;149287;138189;114244;97387;44484;278;168;110;672;0;0;0;3591;1
SMURSAMU;2023;110000056;CH NARBONNE;110780137;1;1;0;0;0;;0;0;336;336;336;2;5;1;0;1227;464;101;175;43;0;2010;484;6;2;3;473;1028;72;348;704;324;;;;;;;;;;;;;;;;
SMURSAMU;2023;110007580;CH CARCASSONNE SMUR ANTENNE CASTELNAUD;110780061;1;0;0;0;1;110780061;0;0;77;77;77;;1;;;314;49;;;;;363;193;40;;19;132;132;7;27;52;80;;;;;;;;;;;;;;;;
SMURSAMU;2023;110007598;CH CARCASSONNE SMUR ANTENNE QUILLAN;110780061;1;0;0;0;1;110780061;0;0;168;168;0;;1;;;390;0;;;;;390;327;37;2;56;223;71;5;11;60;11;;;;;;;;;;;;;;;;
SMURSAMU;2023;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;1;0;0;0;;0;1;168;336;189;2;3;1;0;984;182;189;335;262;;1952;566;158;0;79;329;1079;73;186;985;94;133141;5978;120792;76483;73269;67773;28899;236;168;68;338;1;;0;3131;0
SMURSAMU;2023;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;1;1;0;0;0;;0;0;168;168;0;;;;;257;7;;;;;264;70;56;1;13;;187;10;26;160;27;;;;;;;;;;;;;;;;
SMURSAMU;2023;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;1;1;0;0;0;;0;0;208;336;0;;;;;338;;;;;;338;124;50;;12;62;214;11;43;120;94;;;;;;;;;;;;;;;;
SMURSAMU;2023;120004569;CH MILLAU;120004528;1;1;0;0;0;;0;0;168;168;0;;1;;;253;82;;;;;335;127;49;0;12;66;229;16;23;107;122;;;;;;;;;;;;;;;;
SMURSAMU;2023;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;1;1;0;0;0;;0;0;168;168;0;2;1;0;;183;19;8;;;;210;46;31;0;7;8;145;12;25;123;22;;;;;;;;;;;;;;;;
SMURSAMU;2023;130000409;CHI SITE D'AIX EN PROVENCE;130041916;1;1;0;0;0;;0;0;168;252;252;1;1;;;2003;143;;;;;2146;1171;238;13;142;867;695;51;152;461;234;;;;;;;;;;;;;;;;
SMURSAMU;2023;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;1;1;0;0;0;;0;0;198;228;228;1;2;;;1592;197;;;;;1789;873;143;12;85;633;1339;;;346;993;;;;;;;;;;;;;;;;
SMURSAMU;2023;130001225;HOPITAL DU PAYS SALONAIS;130782634;1;1;0;0;0;;0;0;168;168;0;;1;;;1215;78;;;;;1293;676;116;11;50;434;1057;;;495;562;;;;;;;;;;;;;;;;
SMURSAMU;2023;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;1;1;0;0;0;130785512;0;0;168;168;168;;1;;;1100;67;;;;;1167;731;69;8;46;604;830;66;238;512;318;;;;;;;;;;;;;;;;
SMURSAMU;2023;130002827;CH JOSEPH IMBERT D'ARLES;130789274;1;1;0;0;0;;0;0;168;168;0;;;;;1181;67;;;;;1248;;115;120;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2023;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;1;1;0;0;0;;0;0;168;168;168;;2;;;1177;84;51;;;;1312;;124;66;0;482;1029;;;584;445;;;;;;;;;;;;;;;;
SMURSAMU;2023;130044977;APHM ANTENNE SMUR DE MARIGNANE;130786049;1;0;0;0;1;130786049;0;0;168;168;168;1;1;;;1400;300;0;;;;1700;697;135;17;85;451;410;76;35;217;193;;;;;;;;;;;;;;;;
SMURSAMU;2023;130044985;APHM ANTENNE SMUR DE LOUVAIN;130786049;1;0;0;0;1;130786049;0;0;168;168;168;1;;;1;1903;239;0;;;;2142;905;253;14;139;569;334;112;43;325;9;;;;;;;;;;;;;;;;
SMURSAMU;2023;130044993;APHM ANTENNE SMUR DE PLOMBIERES;130786049;1;0;0;0;1;130786049;0;0;168;168;168;1;;;;2451;125;0;;;;2576;1170;291;20;221;644;417;74;78;381;36;;;;;;;;;;;;;;;;
SMURSAMU;2023;130045008;APHM ANTENNE SMUR D'ENDOUME;130786049;1;0;0;0;1;130786049;0;0;168;168;168;1;;;;1221;97;0;;;0;1318;596;158;9;100;337;203;54;34;199;4;;;;;;;;;;;;;;;;
SMURSAMU;2023;130045016;APHM ANTENNE SMUR DE MARIGNANE;130786049;1;0;0;0;1;130786049;0;0;84;84;0;;;1;;0;;0;258;90;;348;59;9;0;12;153;158;79;45;139;19;;;;;;;;;;;;;;;;
SMURSAMU;2023;130045040;APHM ANTENNE SMUR DE LAVERAN;130786049;1;0;0;0;1;130786049;0;0;140;140;140;2;;;;1463;201;0;;;;1664;623;191;15;85;466;327;109;36;247;80;;;;;;;;;;;;;;;;
SMURSAMU;2023;130780521;APHM HOPITAL NORD;130786049;1;0;0;0;1;130786049;0;0;168;168;168;2;;;;1404;420;0;;;;1824;621;147;11;64;494;595;79;45;520;75;;;;;;;;;;;;;;;;
SMURSAMU;2023;130783293;APHM HOPITAL LA TIMONE;130786049;1;1;0;0;0;;0;1;336;336;336;8;4;1;0;2628;1136;364;135;405;0;4668;1032;330;21;146;1092;1852;158;177;1703;149;799928;0;750359;676076;747397;433959;221161;504;504;336;2184;0;7;0;15464;0
SMURSAMU;2023;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;1;0;0;1;0;;0;0;168;168;168;2;;1;;246;857;0;13;161;;1277;73;7;;41;119;748;113;;671;77;;;;;;;;;;;;;;;;
SMURSAMU;2023;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;1;1;0;0;0;;0;0;168;168;168;1;1;0;0;481;22;;;;;503;60;36;2;18;4;503;0;0;307;196;;;;;;;;;;;;;;;;
SMURSAMU;2023;140000209;CHU COTE DE NACRE - CAEN;140000100;1;1;0;1;0;;0;1;386;336;504;3;3;;;2465;1532;1123;11;18;0;5149;489;326;15;46;1572;1897;139;253;1193;704;331617;5173;326444;278343;188797;182858;71950;866;554;312;612;0;0;0;4523;0
SMURSAMU;2023;140000233;CENTRE HOSPITALIER DE FALAISE;140000118;1;1;0;0;0;;0;0;168;175;175;2;1;;;331;15;;;;;346;101;60;4;26;60;267;11;81;150;117;;;;;;;;;;;;;;;;
SMURSAMU;2023;140000373;CENTRE HOSPITALIER DE VIRE;140000159;1;1;0;0;0;;0;0;168;168;168;0;1;0;0;367;338;0;0;0;0;705;72;63;9;;;295;18;48;160;135;;;;;;;;;;;;;;;;
SMURSAMU;2023;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;1;1;0;0;0;;0;0;168;168;168;;1;;;498;7;;;;;505;93;75;0;18;0;405;30;67;302;103;;;;;;;;;;;;;;;;
SMURSAMU;2023;140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;140026279;1;1;0;0;0;;0;0;168;168;168;;1;;;458;43;;;;;501;107;76;;29;;351;15;65;224;127;;;;;;;;;;;;;;;;
SMURSAMU;2023;150000032;CH DE SAINT-FLOUR;150780088;1;1;0;0;0;;0;0;168;168;0;0;2;0;0;376;73;0;1;0;0;450;204;47;0;45;113;313;56;67;223;90;;;;;;;;;;;;;;;;
SMURSAMU;2023;150000040;CH HENRI MONDOR;150780096;1;1;0;0;0;;0;1;253;253;253;2;2;1;0;925;392;66;196;154;0;1733;442;107;7;71;259;639;38;103;543;96;92770;8215;82734;78837;65848;44243;9089;188;168;20;252;1;20;0;716;0
SMURSAMU;2023;150000164;CH DE MAURIAC;150780468;1;1;0;0;0;;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2023;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;1;1;0;0;0;160000451;0;1;336;336;336;3;3;0;0;1870;404;0;50;35;0;2359;641;255;56;78;252;1229;56;219;1172;57;197949;13601;181616;165674;104698;84922;54045;334;168;166;360;0;1;0;548;0
SMURSAMU;2023;160000303;CH HOPITAUX SUD-CHARENTE;160006037;1;1;0;0;0;;0;0;168;168;168;1;1;;;447;5;;;;;452;100;40;32;27;;299;;;156;143;;;;;;;;;;;;;;;;
SMURSAMU;2023;160000311;CENTRE HOSPITALIER CONFOLENS;160000485;1;1;0;0;0;;0;0;168;160;8;1;1;;;393;80;;;;;473;163;40;;48;68;230;10;35;130;100;;;;;;;;;;;;;;;;
SMURSAMU;2023;160000337;CENTRE HOSPITALIER DE RUFFEC;160000493;1;1;0;0;0;;0;0;168;184;168;1;;;;473;4;;1;;;478;105;68;16;21;;367;28;170;216;151;;;;;;;;;;;;;;;;
SMURSAMU;2023;160015368;HOPITAUX DU GRAND COGNAC;160014411;1;1;0;0;0;;0;0;168;168;168;1;1;;;605;4;;4;2;;615;156;75;3;57;19;470;60;111;333;137;;;;;;;;;;;;;;;;
SMURSAMU;2023;170000038;CENTRE HOSPITALIER JONZAC;170780050;1;1;0;0;0;;0;0;168;168;168;;2;;;543;9;;;;;552;234;67;3;40;124;302;33;35;152;150;;;;;;;;;;;;;;;;
SMURSAMU;2023;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;1;1;1;0;0;;0;1;348;348;348;3;3;;;1431;560;64;134;114;10;2313;822;213;8;144;484;809;66;74;752;57;353392;20402;317129;256141;210935;179610;107786;604;277;327;871;0;0;1;1354;0
SMURSAMU;2023;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;1;1;0;0;0;;0;0;168;168;168;;;;;327;9;33;;;;369;106;53;3;19;31;223;16;38;144;79;;;;;;;;;;;;;;;;
SMURSAMU;2023;170000103;CH DE SAINTONGE - SAINTES;170780175;1;1;0;0;0;;0;0;336;336;336;3;1;;;743;691;87;13;10;;1544;401;115;0;50;236;341;93;32;313;28;;;;;;;;;;;;;;;;
SMURSAMU;2023;170000129;CENTRE HOSPITALIER ROYAN-ATLANTIQUE;170780191;1;1;0;0;0;;0;0;168;168;168;;2;;;676;20;;;;;696;383;113;11;46;213;524;66;136;337;187;;;;;;;;;;;;;;;;
SMURSAMU;2023;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;1;1;0;0;0;;0;0;168;168;168;;2;;;827;;;;;;827;472;134;2;170;300;653;56;76;453;200;;;;;;;;;;;;;;;;
SMURSAMU;2023;170024590;CH ROCHEFORT - SITE ST PIERRE OLERON;170780225;1;0;0;0;1;170780225;1;0;26;26;26;0;0;0;0;199;;;;;;199;175;7;1;42;125;156;33;11;142;14;;;;;;;;;;;;;;;;
SMURSAMU;2023;180000010;CH BOURGES - JACQUES COEUR;180000028;1;1;0;0;0;;0;1;336;350;336;3;1;;;1629;419;334;;;;2382;735;186;21;119;396;827;;;807;20;;;194942;101604;123441;102846;8567;202;168;34;420;0;1;;2749;1
SMURSAMU;2023;180000200;CH DE VIERZON;180000051;1;1;0;0;0;;0;0;168;168;1;;2;;;619;44;;;;;663;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2023;180000283;CH SAINT AMAND-MONTROND;180000069;1;1;0;0;0;;0;0;168;163;;;;;;584;37;;;;;621;289;95;7;45;163;249;14;42;144;105;;;;;;;;;;;;;;;;
SMURSAMU;2023;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;1;1;0;0;0;;0;0;336;168;336;2;3;0;0;803;271;;;20;;1094;160;90;60;;7;299;39;260;299;;;;;;;;;;;;;;;;;
SMURSAMU;2023;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;1;1;0;0;0;;0;1;168;168;168;1;2;;;508;257;470;;;;1235;132;88;24;16;4;454;23;55;284;92;149207;0;141945;;88369;68867;40797;350;168;182;504;0;18;0;1784;1
SMURSAMU;2023;190010892;CH TULLE - ANTENNE SMUR USSEL;190000059;1;0;0;0;1;190000059;0;0;168;168;168;1;2;;;258;143;131;;;;532;95;46;4;45;0;321;22;66;257;64;;;;;;;;;;;;;;;;
SMURSAMU;2023;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;1;1;0;1;0;210987558;0;1;517;630;504;5;5;1;0;2960;792;541;136;570;0;4999;446;88;4;116;238;791;99;98;507;284;450089;29754;411686;370786;220459;204805;72837;634;281;353;1205;0;0;;8057;0
SMURSAMU;2023;210987657;HOSPICES CIVILS DE BEAUNE;210012175;1;1;0;0;0;;0;0;168;168;168;1;2;;;687;32;;;;;719;166;109;;57;;585;61;142;444;141;;;;;;;;;;;;;;;;
SMURSAMU;2023;210987665;CH HCO SITE DE CHATILLON SUR SEINE;210012142;1;1;0;0;0;;0;0;168;168;168;;1;;;253;7;;;;;260;176;45;3;77;51;190;7;41;129;61;;;;;;;;;;;;;;;;
SMURSAMU;2023;210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;210780706;1;1;0;0;0;;0;0;168;175;168;1;1;;;409;20;;;;;429;96;44;4;25;8;364;32;87;320;44;;;;;;;;;;;;;;;;
SMURSAMU;2023;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;1;1;0;0;0;;0;1;336;220;381;3;4;1;0;1932;680;323;357;214;0;3506;922;242;9;84;632;1349;15;22;1214;135;312997;;287124;260989;156602;145357;85327;430;168;262;772;0;1;0;5148;0
SMURSAMU;2023;220000095;CTRE HOSPITALIER DINAN;220000046;1;1;0;0;0;;0;0;168;168;168;1;1;0;0;726;31;232;6;;;995;133;69;;18;46;600;37;113;397;203;;;;;;;;;;;;;;;;
SMURSAMU;2023;220000343;CENTRE HOSPITALIER GUINGAMP;220000079;1;1;0;0;0;220000079;0;0;168;168;168;;1;;;541;9;;;;;550;67;59;0;3;5;510;16;;352;158;;;;;;;;;;;;;;;;
SMURSAMU;2023;220000368;CENTRE HOSPITALIER LANNION;220000103;1;1;0;0;0;;0;0;168;168;86;;2;;;751;6;;;;;757;361;406;78;;;389;3;13;309;80;;;;;;;;;;;;;;;;
SMURSAMU;2023;220000541;CENTRE HOSPITALIER PAIMPOL;220000152;1;1;0;0;0;;0;0;168;168;168;;1;;;396;10;;;;;406;68;57;1;10;;328;26;73;207;121;;;;;;;;;;;;;;;;
SMURSAMU;2023;230000820;CENTRE HOSPITALIER GUERET;230780041;1;1;0;0;0;;0;1;168;168;120;1;3;0;0;557;346;138;0;0;0;1041;82;67;10;10;11;536;42;264;320;216;47818;3538;42164;38864;47818;40982;6853;212;168;44;252;1;1;0;867;0
SMURSAMU;2023;240000372;C.H DE BERGERAC;240000059;1;1;0;0;0;;0;0;168;168;168;0;2;0;0;567;143;0;0;0;0;710;307;118;26;;242;509;71;160;77;432;;;;;;;;;;;;;;;;
SMURSAMU;2023;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;1;1;0;0;0;;0;1;504;336;336;2;3;1;0;1167;426;210;182;285;0;2270;595;287;35;24;342;651;54;70;588;63;251146;21737;224192;223275;160186;158914;77701;236;168;87;612;0;14;2;1093;
SMURSAMU;2023;240000687;CENTRE HOSPITALIER SARLAT;240000448;1;1;0;0;0;;0;0;168;168;168;;;;;343;34;;;;;377;149;95;1;53;0;177;7;25;120;57;;;;;;;;;;;;;;;;
SMURSAMU;2023;250000700;CHI HC SITE RIVES DU DOUBS PONTARLIER;250000452;1;1;0;0;0;;0;0;168;168;168;;2;;;956;107;;;;;1063;458;108;4;48;298;738;134;135;588;150;;;;;;;;;;;;;;;;
SMURSAMU;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;1;1;0;0;0;;0;1;504;504;504;2;4;1;0;2617;308;;663;632;0;4220;1596;305;49;264;978;3176;345;383;2666;510;658902;0;602715;512308;417309;291054;129685;763;455;308;1679;1;12;9;7405;0
SMURSAMU;2023;260000013;CH DE VALENCE;260000021;1;1;0;0;0;260000021;0;1;336;336;336;2;2;1;0;1551;668;328;291;342;0;3180;404;311;13;54;26;1467;127;160;839;628;436044;;279610;253229;177804;142471;86034;448;168;280;636;0;29;0;1320;0
SMURSAMU;2023;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;260016910;1;1;0;0;0;;0;0;168;168;168;;2;;;1019;61;;70;;;1150;;175;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2023;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;1;1;0;0;0;;0;0;168;168;168;2;2;0;0;864;69;;;;;933;373;146;4;33;210;495;35;64;417;78;;;;;;;;;;;;;;;;
SMURSAMU;2023;270000045;CH BERNAY;270000060;1;1;0;0;0;;0;0;168;169;105;2;;;;438;53;0;0;0;0;491;71;54;3;14;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2023;270000359;CH EVREUX CH EURE-SEINE;270023724;1;1;0;0;0;;0;1;336;336;336;1;4;0;0;1429;875;100;3;9;;2416;537;172;85;;585;1255;114;35;951;304;307366;45157;262209;190354;175028;166694;54081;506;345;161;670;1;0;0;7196;0
SMURSAMU;2023;270000367;CH GISORS;270000086;1;1;0;0;0;;0;0;168;168;168;;1;;;558;29;;;;;587;314;75;4;20;217;242;29;37;102;140;;;;;;;;;;;;;;;;
SMURSAMU;2023;270000425;CH PONT-AUDEMER;270000102;1;1;0;0;0;;0;0;168;168;168;;2;;;584;;;;;;584;139;80;1;54;4;447;;;190;257;;;;;;;;;;;;;;;;
SMURSAMU;2023;270000441;CH VERNEUIL-SUR-AVRE;270000110;1;1;0;0;0;;0;0;168;168;168;;;;;410;31;;;;;441;209;49;2;19;158;206;21;33;51;155;;;;;;;;;;;;;;;;
