BOR;AN;FI;RS;FI_EJ;PERSO;ETPSAL;EFFLIB;MOD;COMSMUR
URGENCES_P;2023;020000394;CH LAON;020000253;N2120;0.7;;3;1
URGENCES_P;2023;020000394;CH LAON;020000253;N2500;12.78;;;
URGENCES_P;2023;020000394;CH LAON;020000253;N3120;0.08;;;
URGENCES_P;2023;020000394;CH LAON;020000253;N9999;51.21;;;
URGENCES_P;2023;020000394;CH LAON;020000253;NINF;28.45;;;0
URGENCES_P;2023;020000519;CH SOISSONS;020000261;M9999;13.59;;3;1
URGENCES_P;2023;020000519;CH SOISSONS;020000261;N1220;4;;;1
URGENCES_P;2023;020000519;CH SOISSONS;020000261;N2120;0.15;;;1
URGENCES_P;2023;020000519;CH SOISSONS;020000261;N2500;18.29;;;
URGENCES_P;2023;020000519;CH SOISSONS;020000261;N9999;63.97;;;
URGENCES_P;2023;020000519;CH SOISSONS;020000261;NINF;36.84;;3;1
URGENCES_P;2023;020000535;CH CHAUNY;020000287;M9999;10.84;;3;1
URGENCES_P;2023;020000535;CH CHAUNY;020000287;N2120;1.2;;;
URGENCES_P;2023;020000535;CH CHAUNY;020000287;N2500;12.06;;;
URGENCES_P;2023;020000535;CH CHAUNY;020000287;N9999;27.27;;;
URGENCES_P;2023;020000535;CH CHAUNY;020000287;NINF;14.01;;;
URGENCES_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;M9999;10.84;;2;1
URGENCES_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;N1220;1;;3;1
URGENCES_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;N2120;1.6;;2;1
URGENCES_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;N2500;13.99;;;
URGENCES_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;N2620;3;;;
URGENCES_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;N3120;0.5;;;
URGENCES_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;N9999;40.19;;;
URGENCES_P;2023;020001061;CH CHÂTEAU-THIERRY;020004404;NINF;20.1;;;
URGENCES_P;2023;020001087;CH HIRSON;020004495;M9999;10.91;;;
URGENCES_P;2023;020001087;CH HIRSON;020004495;N1220;3;;;
URGENCES_P;2023;020001087;CH HIRSON;020004495;N2120;0.5;;;
URGENCES_P;2023;020001087;CH HIRSON;020004495;N2500;7.31;;;
URGENCES_P;2023;020001087;CH HIRSON;020004495;N9999;26.02;;;
URGENCES_P;2023;020001087;CH HIRSON;020004495;NINF;7;;;
URGENCES_P;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;M9999;;5;;
URGENCES_P;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N1220;2.32;;;
URGENCES_P;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2120;0.67;;;
URGENCES_P;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N2500;5;;;
URGENCES_P;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;N9999;18.99;;;
URGENCES_P;2023;020010047;HOPITAL PRIVE SAINT CLAUDE;020001632;NINF;11;;;
URGENCES_P;2023;030000061;CH DE MOULINS;030780092;M9999;14.45;;1;1
URGENCES_P;2023;030000061;CH DE MOULINS;030780092;N1220;2;;;0
URGENCES_P;2023;030000061;CH DE MOULINS;030780092;N2120;1.92;;;0
URGENCES_P;2023;030000061;CH DE MOULINS;030780092;N2500;14.68;;;
URGENCES_P;2023;030000061;CH DE MOULINS;030780092;N9999;54.7;;;
URGENCES_P;2023;030000061;CH DE MOULINS;030780092;NINF;31.78;;1;1
URGENCES_P;2023;030000079;CH DE MONTLUCON;030780100;M9999;7.79;;3;1
URGENCES_P;2023;030000079;CH DE MONTLUCON;030780100;N1220;2;;3;
URGENCES_P;2023;030000079;CH DE MONTLUCON;030780100;N2120;1.33;;3;1
URGENCES_P;2023;030000079;CH DE MONTLUCON;030780100;N2500;18.98;;;
URGENCES_P;2023;030000079;CH DE MONTLUCON;030780100;N2620;;;3;
URGENCES_P;2023;030000079;CH DE MONTLUCON;030780100;N3120;0.5;;;
URGENCES_P;2023;030000079;CH DE MONTLUCON;030780100;N9999;50.58;;;
URGENCES_P;2023;030000079;CH DE MONTLUCON;030780100;NINF;23.77;;3;1
URGENCES_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;M9999;17.33;0;3;1
URGENCES_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;N1220;5.17;0;;0
URGENCES_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;N2120;1;0;3;1
URGENCES_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;N2500;21.37;0;;
URGENCES_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;N3120;0.83;0;;
URGENCES_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;N9999;92.72;0;;
URGENCES_P;2023;030000087;CH JACQUES LACARIN VICHY;030780118;NINF;24.64;0;;0
URGENCES_P;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;M9999;7;0;;
URGENCES_P;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N1220;1.13;0;;
URGENCES_P;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2120;0.99;0;;
URGENCES_P;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2500;11.54;0;;
URGENCES_P;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N2620;15.62;0;;
URGENCES_P;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;N9999;70.35;0;;
URGENCES_P;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;NINF;31.39;0;;
URGENCES_P;2023;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;M9999;5.32;;;
URGENCES_P;2023;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N2120;0.75;;;
URGENCES_P;2023;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N2500;7.74;;;
URGENCES_P;2023;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;N9999;23.23;;;
URGENCES_P;2023;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;NINF;13.4;;;
URGENCES_P;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M1140;;;2;1
URGENCES_P;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;M9999;9.38;;2;1
URGENCES_P;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N1220;1.31;;2;1
URGENCES_P;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2120;1.63;;2;1
URGENCES_P;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2500;9.42;;;
URGENCES_P;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N2620;1.91;;2;0
URGENCES_P;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N3120;0.11;;;
URGENCES_P;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;N9999;37.41;;;
URGENCES_P;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;NINF;21.4;;2;1
URGENCES_P;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;M9999;8.69;;;
URGENCES_P;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N1220;3.26;;;
URGENCES_P;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2120;0.3;;;
URGENCES_P;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N2500;7.81;;;
URGENCES_P;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;N9999;30.24;;;
URGENCES_P;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;NINF;11.5;;;
URGENCES_P;2023;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;M9999;3.3;;;
URGENCES_P;2023;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N2120;0.35;;;
URGENCES_P;2023;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N2500;1.36;;;
URGENCES_P;2023;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;N9999;10.52;;;
URGENCES_P;2023;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;NINF;8.63;;;
URGENCES_P;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;M9999;19.84;;;
URGENCES_P;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N1220;0.52;;;
URGENCES_P;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2120;1.08;;;
URGENCES_P;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N2500;18.48;;;
URGENCES_P;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;N9999;53.62;;;
URGENCES_P;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;NINF;25.23;;;
URGENCES_P;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M1140;0.55;0;;
URGENCES_P;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;M9999;16.97;0;;1
URGENCES_P;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N1220;2;0;;
URGENCES_P;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2120;4.21;0;;
URGENCES_P;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N2500;19.94;0;;
URGENCES_P;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N3120;0.27;0;;
URGENCES_P;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;N9999;63.76;0;;
URGENCES_P;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;NINF;30.53;0;;
URGENCES_P;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M3020;1;;;
URGENCES_P;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;M9999;14.75;;1;1
URGENCES_P;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N1220;2;;;
URGENCES_P;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2120;1.49;;;
URGENCES_P;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N2500;22.16;;;
URGENCES_P;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N3120;0.52;;;
URGENCES_P;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;N9999;70.89;;;
URGENCES_P;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;NINF;32.83;;;
URGENCES_P;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;M1140;1.29;;;0
URGENCES_P;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;M3020;0.07;;;
URGENCES_P;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;M9999;17.19;;3;1
URGENCES_P;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;N1220;8.81;;;
URGENCES_P;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;N2120;0.83;;;
URGENCES_P;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;N2500;28.42;;;
URGENCES_P;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;N3120;0.31;;;
URGENCES_P;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;N9999;90.48;;;
URGENCES_P;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;NINF;36.77;;;
URGENCES_P;2023;060002102;CH LA PALMOSA DE MENTON;060791761;M9999;9.42;;;0
URGENCES_P;2023;060002102;CH LA PALMOSA DE MENTON;060791761;N1220;1.96;;;0
URGENCES_P;2023;060002102;CH LA PALMOSA DE MENTON;060791761;N2120;0.03;;;0
URGENCES_P;2023;060002102;CH LA PALMOSA DE MENTON;060791761;N2500;7.8;;;
URGENCES_P;2023;060002102;CH LA PALMOSA DE MENTON;060791761;N2620;1;;;0
URGENCES_P;2023;060002102;CH LA PALMOSA DE MENTON;060791761;N9999;21.67;;;
URGENCES_P;2023;060002102;CH LA PALMOSA DE MENTON;060791761;NINF;10.41;;;0
URGENCES_P;2023;060780491;INSTITUT ARNAULT TZANCK;060790797;M9999;0.46;4;;
URGENCES_P;2023;060780491;INSTITUT ARNAULT TZANCK;060790797;N1220;3.66;;;
URGENCES_P;2023;060780491;INSTITUT ARNAULT TZANCK;060790797;N2120;0.3;;;
URGENCES_P;2023;060780491;INSTITUT ARNAULT TZANCK;060790797;N2500;4.97;;;
URGENCES_P;2023;060780491;INSTITUT ARNAULT TZANCK;060790797;N3120;0.1;;;
URGENCES_P;2023;060780491;INSTITUT ARNAULT TZANCK;060790797;N9999;17.33;;;
URGENCES_P;2023;060780491;INSTITUT ARNAULT TZANCK;060790797;NINF;8.3;;;
URGENCES_P;2023;060780517;POLYCLINIQUE SAINT JEAN;060000239;M9999;;9;;
URGENCES_P;2023;060780517;POLYCLINIQUE SAINT JEAN;060000239;N1220;4.33;;;
URGENCES_P;2023;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2120;2.13;;;
URGENCES_P;2023;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2500;0.37;;;
URGENCES_P;2023;060780517;POLYCLINIQUE SAINT JEAN;060000239;N2620;6.44;;;
URGENCES_P;2023;060780517;POLYCLINIQUE SAINT JEAN;060000239;N3120;0.87;;;
URGENCES_P;2023;060780517;POLYCLINIQUE SAINT JEAN;060000239;N9999;26.82;;;
URGENCES_P;2023;060780517;POLYCLINIQUE SAINT JEAN;060000239;NINF;12.68;;;
URGENCES_P;2023;060780715;CLINIQUE SAINT GEORGE;060000361;M9999;;13;;0
URGENCES_P;2023;060780715;CLINIQUE SAINT GEORGE;060000361;N1220;6;;;0
URGENCES_P;2023;060780715;CLINIQUE SAINT GEORGE;060000361;N2120;1;;;0
URGENCES_P;2023;060780715;CLINIQUE SAINT GEORGE;060000361;N2500;3.93;;;
URGENCES_P;2023;060780715;CLINIQUE SAINT GEORGE;060000361;N2620;2;;;0
URGENCES_P;2023;060780715;CLINIQUE SAINT GEORGE;060000361;N9999;27.13;;;
URGENCES_P;2023;060780715;CLINIQUE SAINT GEORGE;060000361;NINF;11.98;;;0
URGENCES_P;2023;060780723;CLINIQUE DU PARC IMPERIAL;060004959;M9999;2.75;5;;
URGENCES_P;2023;060780723;CLINIQUE DU PARC IMPERIAL;060004959;N1220;5.85;;;
URGENCES_P;2023;060780723;CLINIQUE DU PARC IMPERIAL;060004959;N2120;0.5;;;
URGENCES_P;2023;060780723;CLINIQUE DU PARC IMPERIAL;060004959;N2500;1.25;;;
URGENCES_P;2023;060780723;CLINIQUE DU PARC IMPERIAL;060004959;N2620;1.5;;;
URGENCES_P;2023;060780723;CLINIQUE DU PARC IMPERIAL;060004959;N9999;16.68;;;
URGENCES_P;2023;060780723;CLINIQUE DU PARC IMPERIAL;060004959;NINF;7.58;;;
URGENCES_P;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;M1140;13.59;;;
URGENCES_P;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;M3020;0.27;;;
URGENCES_P;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;M9999;20.44;;;
URGENCES_P;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N1220;3;;;
URGENCES_P;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N2120;2.51;;;
URGENCES_P;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N2500;25.94;;;
URGENCES_P;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N2620;0.5;;;
URGENCES_P;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N3120;0.5;;;
URGENCES_P;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;N9999;79.04;;;
URGENCES_P;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;NINF;45.4;;;
URGENCES_P;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M3020;3.02;;;
URGENCES_P;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;M9999;29.33;;3;1
URGENCES_P;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N1220;23.51;;;
URGENCES_P;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2120;6.57;;;
URGENCES_P;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2500;47.15;;;
URGENCES_P;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N2620;19.8;;;
URGENCES_P;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;N9999;174.1;;;
URGENCES_P;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;NINF;72.24;;;
URGENCES_P;2023;070000013;CH DE PRIVAS ARDECHE;070002878;M9999;5.76;;3;1
URGENCES_P;2023;070000013;CH DE PRIVAS ARDECHE;070002878;N1220;0.82;;3;1
URGENCES_P;2023;070000013;CH DE PRIVAS ARDECHE;070002878;N2120;0.5;;3;1
URGENCES_P;2023;070000013;CH DE PRIVAS ARDECHE;070002878;N2500;7.72;;;
URGENCES_P;2023;070000013;CH DE PRIVAS ARDECHE;070002878;N2620;;;3;1
URGENCES_P;2023;070000013;CH DE PRIVAS ARDECHE;070002878;N3120;0.52;;;
URGENCES_P;2023;070000013;CH DE PRIVAS ARDECHE;070002878;N9999;26.64;;;
URGENCES_P;2023;070000013;CH DE PRIVAS ARDECHE;070002878;NINF;16.11;;3;1
URGENCES_P;2023;070000179;CH ARDECHE NORD;070780358;M9999;8.66;0;3;1
URGENCES_P;2023;070000179;CH ARDECHE NORD;070780358;N1220;1.67;0;3;1
URGENCES_P;2023;070000179;CH ARDECHE NORD;070780358;N2120;0.9;0;3;1
URGENCES_P;2023;070000179;CH ARDECHE NORD;070780358;N2500;22.33;0;;
URGENCES_P;2023;070000179;CH ARDECHE NORD;070780358;N9999;62.45;0;;
URGENCES_P;2023;070000179;CH ARDECHE NORD;070780358;NINF;28.34;0;3;1
URGENCES_P;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;M9999;9.23;;2;1
URGENCES_P;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N1220;7.93;;2;1
URGENCES_P;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N2120;0.5;;2;1
URGENCES_P;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N2500;14.1;;;
URGENCES_P;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N2620;;;2;1
URGENCES_P;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N3120;0.08;;;
URGENCES_P;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;N9999;58.94;;;
URGENCES_P;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;NINF;28.53;;2;1
URGENCES_P;2023;070780424;CLINIQUE PASTEUR;070000245;M9999;1.32;2;;
URGENCES_P;2023;070780424;CLINIQUE PASTEUR;070000245;N2120;1;;;
URGENCES_P;2023;070780424;CLINIQUE PASTEUR;070000245;N2500;6.18;;;
URGENCES_P;2023;070780424;CLINIQUE PASTEUR;070000245;N2620;2.06;;;
URGENCES_P;2023;070780424;CLINIQUE PASTEUR;070000245;N9999;15.16;;;
URGENCES_P;2023;070780424;CLINIQUE PASTEUR;070000245;NINF;5.92;;;
URGENCES_P;2023;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;M9999;5.31;;2;1
URGENCES_P;2023;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2120;0.5;;3;1
URGENCES_P;2023;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N2500;10.39;;;
URGENCES_P;2023;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;N9999;29.45;;;
URGENCES_P;2023;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;NINF;12.88;;3;1
URGENCES_P;2023;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;M9999;9.98;;;1
URGENCES_P;2023;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N1220;;;;1
URGENCES_P;2023;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N2120;0.03;;;1
URGENCES_P;2023;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N2500;5.56;;;
URGENCES_P;2023;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N2620;;;;1
URGENCES_P;2023;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N3120;0.5;;;
URGENCES_P;2023;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;N9999;13.11;;;
URGENCES_P;2023;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;NINF;7.02;;;1
URGENCES_P;2023;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;M9999;2.98;;;1
URGENCES_P;2023;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N1220;0.2;;;1
URGENCES_P;2023;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N2120;0.03;;;1
URGENCES_P;2023;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;N9999;3.89;;;
URGENCES_P;2023;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;NINF;3.66;;;1
URGENCES_P;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M1140;0.2;;;0
URGENCES_P;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;M9999;17.19;;3;1
URGENCES_P;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N1220;2.76;;1;
URGENCES_P;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2120;0.93;;;0
URGENCES_P;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2500;26.95;;;
URGENCES_P;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N2620;2;;1;0
URGENCES_P;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N3120;1;;;
URGENCES_P;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;N9999;93.99;;;
URGENCES_P;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;NINF;49.48;;1;1
URGENCES_P;2023;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;M9999;18.04;;3;1
URGENCES_P;2023;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2120;0.83;;2;1
URGENCES_P;2023;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N2500;27.75;;;
URGENCES_P;2023;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N3120;0.6;;;
URGENCES_P;2023;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;N9999;61.73;;;
URGENCES_P;2023;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;NINF;32.54;;3;1
URGENCES_P;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;M9999;4.03;;;1
URGENCES_P;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N1220;0.77;;;
URGENCES_P;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N2120;0.06;;;
URGENCES_P;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N2500;2.91;;;
URGENCES_P;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;N9999;18.14;;;
URGENCES_P;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;NINF;9.46;;;
