BOR;AN;FI;RS;FI_EJ;INTMED;DOCJU_MED;INTPHA;DOCJU_PHA;INTODO;DOCJU_ODO;INTGEN;INTURG;DOCJU_URG;INT;DOCJU;FFI;dtSTAG
Q22;2023;040000135;CHI DES ALPES DU SUD SITE DE SISTERON;050002948;;;;;;;;;;;;2;
Q22;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;;;;;;;3;;;3;;6;
Q22;2023;050000041;CENTRE MEDICAL RHONE AZUR BRIANCON;130037815;1;;;;;;;;;1;;;
Q22;2023;050000132;CH BUECH DURANCE;050007145;0;0;1;0;0;0;;0;0;1;0;1;1
Q22;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;;;;;;;8;;;8;;3;
Q22;2023;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;;;;;;;1;;;1;;;
Q22;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;3;;2;;;;26;;;31;;12;
Q22;2023;060000304;CENTRE HOSPITALIER DE BREIL SUR ROYA;060780657;;;;;;;1;;;1;;;
Q22;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;0;4;0;1;0;0;27;0;1;27;6;3;0
Q22;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;14;2;1;;;;19;;;34;2;11;10
Q22;2023;060000528;CENTRE ANTOINE LACASSAGNE;060780962;28;;;;;;;;;28;;;
Q22;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;19;6;0;2;1;1;21;3;2;44;11;10;5
Q22;2023;060002102;CH LA PALMOSA DE MENTON;060791761;3;;;;;;;5;;8;;7;
Q22;2023;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;4;5;;;;;;;;4;5;1;
Q22;2023;060780145;CLINIQUE SAINT DOMINIQUE;060000049;;;;;;;1;;;1;;;
Q22;2023;060780756;POLYCLINIQUE SANTA MARIA;060000403;;1;;;;;;;;;1;;
Q22;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;;;;;;;;;;;;3;3
Q22;2023;060780996;CHS SAINTE MARIE NICE;630786754;6;5;;;;;;;;6;5;;
Q22;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;114;33;1;1;;;14;12;6;141;40;28;6
Q22;2023;060788957;CHU DE NICE HOPITAL DE CIMIEZ;060785011;9;;;;;;2;1;;12;;4;2
Q22;2023;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;69;24;1;;;;14;1;;85;24;18;6
Q22;2023;060789674;CENTRE HELIO MARIN;130037815;6;1;;;;;;;;6;1;;
Q22;2023;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;;;;;;;7;1;;8;;;
Q22;2023;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;5;;;;;;;;;5;;;
Q22;2023;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;;;1;1;;;;;;1;1;;
Q22;2023;070000013;CH DE PRIVAS ARDECHE;070002878;;;;;;;7;2;;9;;;
Q22;2023;070000021;CH DE JOYEUSE;070007927;;;;;;;;;;;;3;
Q22;2023;070000062;CH DE BOURG SAINT ANDEOL;070005558;;;;;;;;;;;;1;
Q22;2023;070000179;CH ARDECHE NORD;070780358;15;3;2;;;;4;8;;29;3;7;0
Q22;2023;070000195;CH DE TOURNON SUR RHONE;070780374;;;;;;;1;;;1;;;
Q22;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;;;;1;;;1;;1;1;2;6;3
Q22;2023;070006804;SSR L.ROUVEYROL CH ARDECHE MERIDIONALE;070005566;;;;;;;;;;;;1;1
Q22;2023;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;;;;;;;6;;;6;;4;4
Q22;2023;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;;;1;;;;6;;;7;;1;
Q22;2023;080000250;CRF POUR ADULTES;540019726;;;;;;;2;;;2;;;
Q22;2023;080000318;CH BELAIR;080000086;1;;;;;;;;;1;;5;5
Q22;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;31;13;1;;;;27;10;1;69;14;27;24
Q22;2023;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;7;1;1;;;;5;11;;24;1;8;7
Q22;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;;;;;;;;2;;2;;;
Q22;2023;100000090;CENTRE HOSPITALIER DE TROYES;100000017;36;9;1;0;0;0;13;3;4;53;13;47;26
Q22;2023;100000108;EPSMA;100000033;1;;;;;;1;;;2;;;
Q22;2023;100006493;SECTION MOYEN SEJOUR - CH DE TROYES;100000017;0;0;0;0;0;0;2;0;0;2;0;0;0
Q22;2023;100009364;MCO COMTE HENRI - CH DE TROYES;100000017;0;0;0;0;0;0;1;0;0;1;0;0;0
Q22;2023;100010362;GCS PATCS CRRF COS PASTEUR 1;100010347;1;;;;;;;;;1;;;
Q22;2023;100011477;GCS PATCS CRRF COS PASTEUR 2;100010347;2;;;;;;;;;2;;;
Q22;2023;110000023;CH CARCASSONNE;110780061;10;1;1;0;;0;15;2;1;28;2;18;
Q22;2023;110000056;CH NARBONNE;110780137;4;2;3;;;;26;;;33;2;8;4
Q22;2023;110002953;HJ PSY GEN PSYCHOTIQUE CH NARBONNE;110780137;;;;;;;;;;;;4;
Q22;2023;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;2;;;;;;;;;2;;;
Q22;2023;110780236;CH LIMOUX QUILLAN SITE DE QUILLAN;110780707;;1;;;;;;;;;1;;
Q22;2023;110781283;USLD PECH D'ALCY CH NARBONNE LA COUPE;110780137;;;;;;;;;;;;2;
Q22;2023;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;14;1;0;0;0;0;8;1;0;23;1;21;11
Q22;2023;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;;;;;;;4;;;4;;;
Q22;2023;120004569;CH MILLAU;120004528;2;;3;2;;;;;;5;2;1;
Q22;2023;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;;;;;;;;;;;;3;
Q22;2023;120007554;SSR SITE STE ANNE CH MILLAU;120004528;;;;;;;;;;;;1;
Q22;2023;120780283;CHS STE MARIE RODEZ;630786754;1;;;;;;;;;1;;;
Q22;2023;130000235;CHS EDOUARD TOULOUSE;130780554;3;3;0;0;0;0;7;0;0;10;3;5;0
Q22;2023;130000409;CHI SITE D'AIX EN PROVENCE;130041916;31;16;1;;;;19;;;51;16;18;5
Q22;2023;130000433;CHS MONTPERRIN;130781131;6;1;1;;;;1;;;8;1;1;
Q22;2023;130000516;CH LOUIS BRUNET D'ALLAUCH;130781339;;;;;;;4;;;4;;0;
Q22;2023;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;16;8;3;6;0;0;3;5;;27;14;8;4
Q22;2023;130001225;HOPITAL DU PAYS SALONAIS;130782634;;;1;;;;26;;;27;;12;11
Q22;2023;130001647;INSTITUT PAOLI CALMETTES;130784127;56;;1;;;;;;;57;;;
Q22;2023;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;2;;;;;;2;10;;14;;2;2
Q22;2023;130002496;CHS VALVERT MARSEILLE;130786494;13;3;;;;;;;;13;3;;
Q22;2023;130002827;CH JOSEPH IMBERT D'ARLES;130789274;;;;1;;;17;;;17;1;13;11
Q22;2023;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;21;2;;;;;;6;;27;2;33;24
Q22;2023;130008048;CLINIQUE SAINT MARTIN SUD MARSEILLE;130043169;1;;;;;;;;;1;;;
Q22;2023;130008238;CLINIQUE LA PHOCEANNE SUD;130044118;;;;;;;1;;;1;;;
Q22;2023;130042526;CLINIQUE LES TROIS TOURS;310021399;;;;;;;1;;;1;;;
Q22;2023;130043664;HOPITAL EUROPEEN;130002157;8;;2;;;;;;;10;;;
Q22;2023;130048341;HJ ST MARTIN SPORT MARSEILLE;130001852;1;;;;;;;;;1;;;
Q22;2023;130780083;CLINIQUE MADELEINE REMUZAT;920039534;;;;;;;1;;;1;;;
Q22;2023;130780521;APHM HOPITAL NORD;130786049;145;39;17;2;;;32;0;0;194;41;29;
Q22;2023;130781438;CLINIQUE DE PROVENCE BOURBONNE;130000557;2;1;;;;;;;;2;1;;
Q22;2023;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;1;;;;;;1;;;2;;;
Q22;2023;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;80;26;17;1;2;0;20;0;0;119;27;31;
Q22;2023;130783293;APHM HOPITAL LA TIMONE;130786049;220;52;71;2;25;0;43;0;0;359;54;64;0
Q22;2023;130784051;HOPITAL PRIVE CLAIRVAL;130037823;1;1;1;;;;1;;;3;1;;
Q22;2023;130784234;APHM HOPITAUX SUD SAINTE MARGUERITE;130786049;66;9;5;0;0;0;14;0;0;85;9;4;
Q22;2023;130784580;CLINIQUE LA PROVENCALE;920030269;;;;;;;2;;;2;;;
Q22;2023;130784598;CLINIQUE SAINT MARTIN MARSEILLE;130001852;1;;;;;;;;;1;;;
Q22;2023;130784697;CLINIQUE DES QUATRE SAISONS;130001902;;1;;;;;;;;;1;;
Q22;2023;130784812;CLINIQUE SAINT BARNABE;130001985;;;;;;;1;;;1;;;
Q22;2023;130785389;CLINIQUE CHANTECLER;130002173;1;;;;;;;;;1;;;
Q22;2023;130785652;HOPITAL SAINT JOSEPH;130014228;19;;2;;;;11;;;32;;;1
Q22;2023;130786742;HIA LAVERAN;750821092;18;7;1;0;0;0;18;1;1;38;8;1;
Q22;2023;130786890;HJ LE RELAIS SERENA;130001688;1;0;0;0;0;0;0;0;0;1;0;0;0
Q22;2023;130786924;INST UNIV DE READAP VALMANTE SUD;130037815;2;1;;;;;;;;2;1;;
Q22;2023;130786932;CENTRE DE REEDUCATION PAUL CEZANNE;130002660;;;;;;;1;;;1;;;
Q22;2023;130789159;CENTRE CARDIO VASCULAIRE VALMANTE;920030269;;;;;;;2;;;2;;;
Q22;2023;130790157;CH DE MARTIGUES HOPITAL DU VALLON;130789316;1;;;;;;;;;1;;6;5
Q22;2023;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;60;11;1;0;0;0;12;0;0;73;11;27;
Q22;2023;130809015;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;4;1;1;;;;4;;;9;1;1;1
Q22;2023;130811102;LA MAISON;130007487;;;;;;;2;;;2;;;
Q22;2023;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;22;3;2;;;;16;7;2;47;5;4;4
Q22;2023;140000076;CENTRE HOSPITALIER AUNAY-BAYEUX;140000092;4;1;;;;;;;;4;1;;
Q22;2023;140000209;CHU COTE DE NACRE - CAEN;140000100;215;98;27;6;;;175;10;3;427;107;26;15
Q22;2023;140000233;CENTRE HOSPITALIER DE FALAISE;140000118;;2;;;;;5;;;5;2;7;
Q22;2023;140000340;CENTRE SSR BETHARRAM HEROUVILLE;140025800;;;;;;;2;;;2;;;
Q22;2023;140000373;CENTRE HOSPITALIER DE VIRE;140000159;;;1;;;;;;;1;;0;0
Q22;2023;140000456;ETS PUBLIC DE SANTE MENTALE;140000316;12;0;2;;;;1;;;15;0;1;
Q22;2023;140000555;CRLCC FRANCOIS BACLESSE - CAEN;140000639;26;13;3;1;0;0;1;;;30;14;5;3
Q22;2023;140002452;CLINIQUE DE LA MISERICORDE - CAEN;140025800;;1;;;;;5;;;5;1;;
Q22;2023;140004136;UNITE PSYCHIATRIQUE - CH BAYEUX;140000092;4;;;;;;;;;4;;;
Q22;2023;140004383;CHR GEORGES CLEMENCEAU - CAEN;140000100;4;2;;;;;14;;;18;2;;
Q22;2023;140017237;HOPITAL PRIVE ST MARTIN-CAEN;140003278;1;;;;;;;;;1;;;
Q22;2023;140017278;INSTITUT MEDECINE PHYSIQUE ET READAPTA;610787285;1;1;;;;;;;;1;1;;
Q22;2023;140024886;CENTRE HOSPITALIER - AUNAY-BAYEUX;140000092;8;1;1;;;;7;3;;19;1;;
Q22;2023;140025123;CRF DE CAEN;310021126;1;;;;;;;;;1;;;
Q22;2023;140026410;CH COTE FLEURIE - SITE DE CRICQUEBOEUF;140026279;2;2;;;;;1;;;3;2;;
Q22;2023;150000032;CH DE SAINT-FLOUR;150780088;;;;;;;4;;;4;;4;3
Q22;2023;150000040;CH HENRI MONDOR;150780096;22;3;0;;0;;16;0;3;38;6;26;23
Q22;2023;150000164;CH DE MAURIAC;150780468;3;;;;;;;;;3;;;1
Q22;2023;150000180;CH DE MURAT;150780500;1;;;;;;;;;1;;1;1
Q22;2023;160000188;CH DE LA ROCHEFOUCAULD;160000121;;;;;;;;;;;;2;1
Q22;2023;160000253;CENTRE HOSPITALIER D'ANGOULEME;160000451;66;4;;;;;;;;66;4;17;
Q22;2023;160000337;CENTRE HOSPITALIER DE RUFFEC;160000493;;;;;;;;;;;;6;6
Q22;2023;160000345;CH CAMILLE CLAUDEL;160000501;6;;;;;;;;;6;;1;
Q22;2023;160009080;C.S.S.R. LES GLAMOTS - ROULLET ST E.;160001574;1;;;;;;;;;1;;0;0
Q22;2023;160015368;HOPITAUX DU GRAND COGNAC;160014411;;;1;;;;6;;;7;;4;0
Q22;2023;170000038;CENTRE HOSPITALIER JONZAC;170780050;;;;;;;4;;;4;;;
Q22;2023;170000061;CSS DU CHATEAU MARLONGES - CHAMBON;170024194;;;;;;;1;;;1;;;
Q22;2023;170000087;HOPITAL SAINT-LOUIS - LA ROCHELLE;170024194;42;17;3;1;;;26;8;2;79;20;4;
Q22;2023;170000095;CENTRE HOSPITALIER ST-JEAN D'ANGELY;170780167;;;;;;;3;;;3;;1;
Q22;2023;170000103;CH DE SAINTONGE - SAINTES;170780175;19;4;1;;;;22;3;1;45;5;1;
Q22;2023;170000129;CENTRE HOSPITALIER ROYAN-ATLANTIQUE;170780191;2;;;;;;7;;;9;;;
Q22;2023;170000152;CENTRE HOSPITALIER ROCHEFORT;170780225;5;2;1;;;;21;;;27;2;;
Q22;2023;170020994;CATTP - HOPITAL JOUR PSY ADULT - S5;170780175;2;;;;;;;;;2;;;
Q22;2023;170782981;HOPITAL MARIUS LACROIX;170024194;5;1;;;;;1;;;6;1;;
Q22;2023;180000010;CH BOURGES - JACQUES COEUR;180000028;17;2;2;;;;14;;;33;2;29;13
Q22;2023;180000176;CH GEORGE SAND BOURGES;180001158;;;;;;;;;;;;5;2
Q22;2023;180000200;CH DE VIERZON;180000051;;;;;;;7;;;7;;9;
Q22;2023;180000283;CH SAINT AMAND-MONTROND;180000069;;;;;;;4;;;4;;;
Q22;2023;180000333;CH SANCERRE;180000093;;;;;;;;;;;;;2
Q22;2023;180003287;CH DE BOURGES SITE TAILLEGRAIN;180000028;;;;;;;;;;;;1;
Q22;2023;180003345;CH DE VIERZON SITE LA NOUE;180000051;;;;;;;1;;;1;;4;
Q22;2023;180003386;CH ST AMAND-MONTROND SITE CROIX DUCHET;180000069;;;;;;;;;;;;1;1
Q22;2023;180008278;HAD DE VIERZON;750056335;1;;;;;;;;;1;;;
Q22;2023;190000018;CENTRE HOSPITALIER DUBOIS BRIVE;190000042;31;6;1;1;;;15;2;1;49;8;9;9
Q22;2023;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;2;;2;;;;13;;3;17;3;15;14
Q22;2023;190000091;CENTRE HOSPITALIER D'USSEL;190000075;1;;;;;;;3;;4;;;2
Q22;2023;190005165;USLD CORNIL;190002519;;;;;;;;;;;;1;1
Q22;2023;190011197;CTRE MEDECINE PHYSIQUE ET READAPTATION;190000059;1;;;;;;;;;1;;1;1
Q22;2023;190011601;SITE SPECIALISE HENRI LABORIT;190000042;;;;;;;;;;;;1;1
Q22;2023;190012476;CH JEAN-MARIE DAUZIER - SSR - CORNIL;190002519;;;;;;;;;;;;1;1
Q22;2023;210012670;HOPITAL PRIVE DIJON BOURGOGNE;210011367;;;;;;;10;;;10;;;
Q22;2023;210013157;POLE PSYCHIATRIE SANTE MENTALE;210780706;2;1;;;;;;;;2;1;;
Q22;2023;210780144;CRF DIVIO DIJON;750721235;;1;;;;;;;;;1;;
Q22;2023;210780276;SERVICE SOINS DE SUITE ET READAPTATION;210003208;;;;;;;2;;;2;;;
Q22;2023;210780292;CLINIQUE SSR LES ROSIERS;210000105;;1;;;;;;;;;1;;
Q22;2023;210780425;HÔPITAL DE JOUR LES CIGOGNES PEP21;210781282;1;;;;;;;;;1;;;
Q22;2023;210780789;CLINIQUE MUTUALISTE BENIGNE JOLY;210003208;3;;;;;;;;;3;;;
Q22;2023;210986089;CTRE HOSPITALIER REG UNIVERSITAIRE DIJ;210780581;7;2;;;;;6;;;13;2;0;0
Q22;2023;210987046;CTRE CONVALESCENCE GERIATRIQUE;210987038;2;;;;;;;;;2;;;
Q22;2023;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;427;120;28;7;2;1;153;13;6;623;134;24;14
Q22;2023;210987632;CH LA CHARTREUSE DIJON;210780607;4;3;;1;;;3;;;7;4;1;
Q22;2023;210987640;CENTRE HOSPITALIER D'AUXONNE;210780672;;;;;;;;;;;;1;1
Q22;2023;210987657;HOSPICES CIVILS DE BEAUNE;210012175;6;6;;;;;18;2;;26;6;1;
Q22;2023;210987665;CH HCO SITE DE CHATILLON SUR SEINE;210012142;1;;;;;;;1;;2;;;
Q22;2023;210987673;CH HCO SITE DE MONTBARD;210012142;1;;;;;;;;;1;;;
Q22;2023;210987681;CH HCO SITE DE SAULIEU;210012142;3;;;;;;;;;3;;;
Q22;2023;210987699;CENTRE HOSPITALIER ROBERT MORLEVAT;210780706;3;3;0;0;0;0;9;0;0;12;3;2;2
Q22;2023;210987731;CLCC GEORGES-FRANCOIS LECLERC;210780417;34;10;4;0;0;0;3;0;0;41;10;0;2
Q22;2023;220000012;CENTRE HOSPITALIER YVES LE FOLL;220000020;52;12;3;;;;21;4;3;80;15;19;14
Q22;2023;220000095;CTRE HOSPITALIER DINAN;220000046;;;;;;;16;;;16;;2;
Q22;2023;220000236;CENTRE HOSPITALIER DE PLOUGUERNEVEL;220017974;;;;;;;;;;;;1;
Q22;2023;220000343;CENTRE HOSPITALIER GUINGAMP;220000079;;;1;;;;6;;;7;;1;1
Q22;2023;220000368;CENTRE HOSPITALIER LANNION;220000103;;1;;1;;;11;;;11;2;11;9
Q22;2023;220000541;CENTRE HOSPITALIER PAIMPOL;220000152;;;;;;;5;;;5;;5;4
Q22;2023;220000566;CHPP SITE LAMBALLE;220021968;;;;;;;1;;;1;;;
Q22;2023;220001259;CENTRE HOSPITALIER TREGUIER;220005045;1;;;;;;;;;1;;;
Q22;2023;220012884;CENTRE REEDUC TRESTEL;220000103;;;;;;;;;;;;1;1
Q22;2023;220022800;HOPITAL PRIVÉ DES COTES D'ARMOR;220000673;2;1;0;0;0;0;0;0;0;2;1;0;0
Q22;2023;230000820;CENTRE HOSPITALIER GUERET;230780041;9;0;0;0;0;0;0;6;0;15;0;10;0
Q22;2023;230000838;CENTRE HOSPITALIER D'AUBUSSON;230780058;;;;;;;2;;;2;;2;2
Q22;2023;230000846;C H BERNARD DESPLAS BOURGANEUF;230780066;;;;;;;;1;;1;;3;1
Q22;2023;230000853;CENTRE HOSPITALIER SAINT VAURY;230780074;;;;;;;;;;;;1;1
Q22;2023;230000952;CTRE HOSPITALIER MOYEN SEJOUR EVAUX;230780512;;;;;;;;;;;;1;1
Q22;2023;230004657;SITE CROIX BLANCHE;230780058;;;;;;;;;;;;2;2
Q22;2023;230780082;CENTRE MEDICAL NATIONAL SAINTE FEYRE;750005068;;;;;;;1;;;1;;;
Q22;2023;240000372;C.H DE BERGERAC;240000059;;;;;;;15;;;15;;2;
Q22;2023;240000463;CENTRE HOSPITALIER VAUCLAIRE;240000083;2;0;0;0;0;0;0;0;0;2;0;2;2
Q22;2023;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;24;4;1;0;0;0;22;3;2;50;6;34;21
Q22;2023;240000687;CENTRE HOSPITALIER SARLAT;240000448;0;0;0;0;0;0;2;0;0;2;0;2;0
Q22;2023;250000023;CHU BESANCON SITE SAINT-JACQUES;250000015;4;;;2;0;0;1;;;5;2;;
Q22;2023;250000270;CLINIQUE SAINT VINCENT BESANCON;250000643;;;1;;;;4;;;5;;;
Q22;2023;250000544;CRRF LES SALINS DE BREGILLE;250002284;;;;;;;2;;;2;;;
Q22;2023;250000635;CH SAINTE CROIX BAUME LES DAMES;250000239;;;;;;;;;;;;1;
Q22;2023;250000700;CHI HC SITE RIVES DU DOUBS PONTARLIER;250000452;;;;;;;31;;;31;;;
Q22;2023;250000718;CHS NOVILLARS;250000460;4;3;1;0;0;0;0;0;0;5;3;0;0
Q22;2023;250000759;CENTRE DE SOINS TILLEROYES;250000569;;;;;;;8;;;8;;;
Q22;2023;250000882;ETABLISSEMENT DE SANTE DE QUINGEY;250002839;;;;;;;2;;;2;;;
Q22;2023;250004009;LE MITTAN ANNEXE DU HNFC;900000365;0;0;0;0;0;0;0;0;0;0;0;5;3
Q22;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;317;90;31;9;0;0;37;24;6;409;105;17;1
Q22;2023;250014008;CHS ST REMY ET NFC CTRE JEAN MESSAGIER;700004096;3;;;;;;;;;3;;;
Q22;2023;260000013;CH DE VALENCE;260000021;68;;2;;0;;24;6;;100;;;
Q22;2023;260000120;HOPITAUX DROME NORD - ROMANS-SUR-ISERE;260016910;2;1;;;;;15;;;17;1;9;9
Q22;2023;260000138;CH PORTES PROVENCE MONTELIMAR;260000047;9;1;1;0;0;0;18;0;0;28;1;20;16
Q22;2023;260000146;CH DE CREST;260000054;;;;;;;1;;;1;;;
Q22;2023;260000203;HOPITAUX DROME NORD - SAINT-VALLIER;260016910;;;;;;;1;;;1;;3;3
Q22;2023;260000286;CH DE DIE;260000104;1;;;;;;;;;1;;;
Q22;2023;260003157;CENTRE MARIE CURIE;070001649;1;;;;;;;;;1;;;
Q22;2023;270000045;CH BERNAY;270000060;;;;;;;2;;;2;;;
Q22;2023;270000359;CH EVREUX CH EURE-SEINE;270023724;23;2;;;;;22;6;4;51;6;30;26
Q22;2023;270000367;CH GISORS;270000086;0;0;0;0;0;0;4;0;0;4;0;0;0
Q22;2023;270000391;CH LOUVIERS CHI ELBEUF;760024042;4;;;;;;;;;4;;;
Q22;2023;270000425;CH PONT-AUDEMER;270000102;4;;;;;;;;;4;;3;
Q22;2023;270000458;CH VERNON CH EURE-SEINE;270023724;;;;;;;4;;;4;;4;4
Q22;2023;270000573;NOUVEL HOPITAL DE NAVARRE;270000219;3;;;;;;;;;3;;15;14
Q22;2023;270000912;HOPITAL LA MUSSE ST SEBASTIEN/MORSENT;750814030;;;;;;;2;;;2;;;
Q22;2023;280000043;CH CHARTRES - HÔTEL DIEU;280000134;;;;;;;;;;;;1;
Q22;2023;280000084;CH DREUX;280000183;14;2;0;0;0;0;2;4;0;20;2;65;35
Q22;2023;280000662;CH CHATEAUDUN;280500075;5;;;;;;;;;5;;15;7
Q22;2023;280000696;CH CHARTRES - VAL DE L'EURE;280000134;;;;;;;;;;;;1;
Q22;2023;280502998;CH NOGENT LE ROTROU - NOUVEL HÔPITAL;280000589;2;;;;;;;2;;4;;1;
Q22;2023;280504267;CH CHARTRES LOUIS PASTEUR-LE COUDRAY;280000134;20;3;2;;;;17;;;39;3;47;24
Q22;2023;280506015;LE C.A.L.M.E. ILLIERS COMBRAY;280001264;;;;;;;1;;;1;;;
Q22;2023;290000025;CHIC QUIMPER;290020700;42;13;3;1;;;43;3;;91;14;1;
Q22;2023;290000033;C.H. DES PAYS DE MORLAIX;290021542;14;3;;;;;27;;;41;3;2;6
Q22;2023;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;78;24;2;1;6;1;20;7;;113;26;2;2
Q22;2023;290000066;CHIC SITE DE CONCARNEAU;290020700;;;;;;;;1;1;1;1;;
Q22;2023;290000173;CH FERDINAND GRALL LANDERNEAU;290000041;4;;;;;;12;;;16;;;
Q22;2023;290000181;CENTRE HOSPITALIER DOUARNENEZ;290000074;;;;;;;11;;;11;;;
Q22;2023;290000256;CHRU BREST SITE HOPITAL DE CARHAIX;290000017;;;;;;;2;;;2;;;3
Q22;2023;290000322;CENTRE HOSPITALIER LESNEVEN;290000108;;;;;;;3;;;3;;;
Q22;2023;290000728;HOPITAL INSTRUCTION DES ARMEES;750821092;11;4;1;;0;1;18;0;;30;5;0;0
Q22;2023;290000785;ETABLISSEMENT DE SOINS HOTEL DIEU;220020739;;;;;;;11;;;11;;;
Q22;2023;290000827;FONDATION ILDYS SITE DE TY-YANN;290000546;3;;;;;;;;;3;;;
Q22;2023;290000918;EPSM FINISTERE SUD SITE QUIMPER;290000298;5;;;;;;2;;;7;;;
Q22;2023;290000934;GHBS - HOPITAL LA VILLENEUVE;560005746;;;;;;;6;;;6;;;
Q22;2023;290000975;FONDATION ILDYS SITE DE PERHARIDY;290000546;4;;;;;;;;;4;;;
Q22;2023;290004324;CHRU BREST SITE HOPITAL CAVALE BLANCHE;290000017;164;37;15;2;;;20;12;3;211;42;9;2
Q22;2023;290004340;CHRU BREST SITE HOPITAL BOHARS;290000017;20;7;;;;;3;;;23;7;;
Q22;2023;290036466;POLE READAPT DE CORNOUAILLE CONCARNEAU;440042844;;;;;;;1;;;1;;;
