BOR;AN;FI;RS;FI_EJ;CANCERO_A1;CANCERO_A2;CANCERO_A3;CANCERO_A4;CANCERO_B4;CANCERO_A5;CANCERO_A6;CANCERO_B6;CANCERO_A7;CANCERO_A8;CANCERO_B8;CANCERO_C8;CANCERO_A9;CANCERO_B9;CANCERO_C9;CANCERO_A10;CANCERO_A12;CANCERO_B12;CANCERO_A13;CANCERO_A14;CANCERO_A15;CANCERO_B15;CANCERO_A16;CANCERO_B16;CANCERO_D19;CANCERO_D20;CANCERO_D21;CANCERO_D22;CANCERO_D23;CANCERO_E19;CANCERO_E20;CANCERO_E21;CANCERO_E22;CANCERO_E23;CANCERO_A24;CANCERO_A25;CANCERO_A26;CANCERO_A27;CANCERO_B24;CANCERO_B25;CANCERO_B26;CANCERO_B27;CANCERO_C24;CANCERO_C25;CANCERO_C26;CANCERO_C27;CANCERO_D24;CANCERO_D26;CANCERO_D28;CANCERO_D29;CANCERO_D30;CANCERO_D31;CANCERO_D32;CANCERO_D33;CANCERO_D34;CANCERO_E24;CANCERO_E26;CANCERO_E28;CANCERO_E29;CANCERO_E30;CANCERO_E31;CANCERO_E32;CANCERO_E33;CANCERO_E34
CANCERO;2023;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;1;0;0;761;0;527;479;0;0;130001647;;;263;0;0;263;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1;0;0;244;0;200;143;0;0;050000348;;;164;0;0;162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;1;1;6926;88;6301;4396;704;1;;;;6359;88;35;6181;;;;0;0;7;0;0;;1.94;6.83;;3.81;;;;;;;20;;;1;7571;0;0;0;1;0;0;1;0;;3.14;7.02;4.13;;;1.44;0;0;;;;;;;
CANCERO;2023;050007533;INSTITUT PAOLI CALMETTES RADIOTH GAP;130784127;0;1;0;10598;0;10141;0;0;;;;;;;;;1;0;0;457;10141;0;0;0;2.11;0.1;6.92;0.2;6.41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;0;1;4425;0;4029;3012;0;1;;;;3985;0;6;3918;;;;;;;;;;;;;;;;;;;;20;;;0;4338;0;0;0;3;0;0;0;0;1.4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
CANCERO;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;0;0;3741;0;3298;4648;0;1;;;;3472;0;121;3240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;060000528;CENTRE ANTOINE LACASSAGNE;060780962;1;1;1;50999;0;46313;30682;0;1;;;;21500;0;1332;21473;4;0;3;1645;20505;1001;209;375;3.07;5.58;19.37;4.62;6.37;;;;;;78;53;26;17;3570;21706;2084;1332;17;9;2;0;22898;4369;8.9;11.31;86.96;71.38;0.9;2.33;24.42;43;9;;;;;;;
CANCERO;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;1;0;1;4731;4;4337;3061;62;1;;;;3923;4;91;3766;;;;;;;;;;;;;;;;;;;;10;;;0;3541;0;0;0;0;0;0;0;0;2.85;0.03;3.38;0.8;0.87;;3.39;0;0;;;;;;;
CANCERO;2023;060019627;CTRE AZUREEN CANCEROLOGIE SITE TZANCK;060019551;0;1;0;64332;;60975;0;;;;;;;;;;5;1;0;3357;60975;;0;;;4.2;25.4;6;8.4;7;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;060021342;CTRE COBALTH TRAIT HTE ENERG SITE CLIN;060003621;0;1;0;19409;0;17837;0;0;;;;;;;;;3;0;0;1572;17837;0;0;0;0;5;16.64;1;16.67;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;0;0;0;430;0;308;625;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;060024551;CENTRE ANTOINE LACASSAGNE CYCLOTRON 2;060780962;0;1;0;9862;;8751;;;;;;;;;;;3;0;0;1111;8751;0;;;4.12;6.24;12.64;2.47;8.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;060780442;CLINIQUE SAINT FRANCOIS;060000213;0;0;0;474;0;386;105;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;060780491;INSTITUT ARNAULT TZANCK;060790797;0;0;0;997;0;314;3292;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;060780517;POLYCLINIQUE SAINT JEAN;060000239;1;0;1;11576;0;10876;5135;0;1;;;;10289;0;137;10029;;;;;;;;;;;;;;;;;;;;9;;;0;10029;0;0;0;0;0;0;0;0;0.2;;4.71;0;2.03;0.87;;0;0;;;;;;;
CANCERO;2023;060780590;CLINIQUE DU PALAIS;060000270;0;0;0;264;0;143;559;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;060780715;CLINIQUE SAINT GEORGE;060000361;1;0;1;10289;0;9115;7751;0;1;;;;4556;0;37;8202;;;;;;;;;;;;;;;;;;;29;49;;;1196;2358;0;0;0;0;0;0;4117;0;;;3.96;;1.43;1.19;2.91;0;0;3;;;;;;
CANCERO;2023;060780723;CLINIQUE DU PARC IMPERIAL;060004959;1;0;1;3749;0;3455;2017;0;1;;;;3150;0;1;3126;;;;;;;;;;;;;;;;;;;;18;;;0;3126;0;0;0;0;0;0;0;0;;;3.5;;0.74;0.5;1.6;0;0;3;;;;;;
CANCERO;2023;060780756;POLYCLINIQUE SANTA MARIA;060000403;0;0;0;826;0;579;476;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;0;0;0;35;0;6;181;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;060781200;CLINIQUE SAINT ANTOINE KANTYS CENTRE;060000635;0;0;0;212;0;159;157;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;0;0;2459;0;972;8292;0;0;060789195;;;894;0;10;867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1;0;1;14711;0;13057;18292;0;1;;;;13487;0;664;12193;;;;;;;;;;;;;;;;;;;16;;;;477;0;0;0;0;0;0;0;6087;0;;1.52;;;;;;0;0;;;;;;;
CANCERO;2023;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;1;0;1;11997;0;10941;6532;0;1;;;;10068;0;5;10040;;;;;;;;;;;;;;;;;;;20;20;;;13;10014;0;0;0;0;0;0;31;0;;;12.73;5.5;0.95;0.8;7;0;0;9;;;;;;
CANCERO;2023;070000013;CH DE PRIVAS ARDECHE;070002878;1;0;1;1393;0;1122;1714;0;0;260000138;;;1233;0;98;1097;;;;;;;;;;;;;;;;;;;4;8;;;178;1097;0;0;0;0;0;0;847;0;1;;1.83;1.59;0.27;;0.08;0;0;;;;;;;
CANCERO;2023;070000062;CH DE BOURG SAINT ANDEOL;070005558;1;0;0;31;0;2;452;0;0;260000138;;;29;0;0;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;070000070;CH DU CHEYLARD;070780150;1;0;1;97;0;97;97;0;0;260000021;;;97;0;0;97;;;;;;;;;;;;;;;;;;;0;2;0;0;0;97;0;0;0;0;0;0;0;0;0;0;0.8;0;0.1;0;0;0;0;0;0;0;0;0;0;0
CANCERO;2023;070000179;CH ARDECHE NORD;070780358;1;0;0;455;0;395;801;0;0;690783220;;;375;0;9;356;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;1;0;1;3145;38;2905;1994;407;1;;;;2870;38;81;2733;;;;;;;;;;;;;;;;;;;16;10;;;537;4041;0;0;0;0;0;0;5437;0;1.03;3;16.06;14.85;0.63;0.03;4.06;0;0;;;;;;;
CANCERO;2023;070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070000088;0;0;0;209;0;169;192;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;070780424;CLINIQUE PASTEUR;070000245;0;0;0;1119;0;520;2901;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;0;1;7018;0;6326;5228;0;1;;;;6397;0;196;6120;;;;;;;;;;;;;;;;;;;9;14;;;216;6365;0;0;0;0;0;0;338;0;1.6;1.11;6.46;1.41;;;1.73;0;0;;;;;;;
CANCERO;2023;080009392;CENTRE DE RADIOTHERAPIE;510007081;0;1;0;10818;;10328;0;;;;;;;;;;1;0;0;490;10328;;0;;0;2;4.8;1;2.8;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;1;0;0;4748;154;4265;3959;629;1;;;;4542;154;217;4212;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;1;0;0;490;0;472;139;0;0;090000175;;;344;0;0;344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;1;1;19683;0;18632;11956;0;1;;;;10800;0;296;10103;2;1;;325;7710;42;0;0;2;1.96;8.38;0;7.07;;;;;;12;27;;;343;11959;0;0;0;2;0;0;3930;0;0;4.11;21.05;8.51;0;0.32;8.15;0;0;;;;;;;
CANCERO;2023;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;0;0;0;488;0;85;1926;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;100010818;GCS HOPITAL PRIVE DE L'AUBE SITE CLQ;100010792;1;0;1;2465;0;2270;1382;0;1;;;;2191;0;79;2061;;;;;;;;;;;;;;;;;;;;8;;;287;2102;0;0;0;0;0;0;2171;0;;;5;1;;;1;0;0;;2;;;1;1;
CANCERO;2023;110000023;CH CARCASSONNE;110780061;1;1;1;21273;0;20806;3816;0;1;;;;5975;0;44;5713;2;0;0;945;13928;86;0;20;2.2;2.92;9.98;0.8;3.06;;;;;;10;16;;;548;6534;0;0;0;0;0;0;3354;0;2.21;;15.28;12.15;0.5;0.33;3.63;0;0;;;;;;;
CANCERO;2023;110000056;CH NARBONNE;110780137;1;0;0;646;0;518;1570;0;1;;;;511;0;0;505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;110005048;HAD HOPITAL PRIVE DU GRAND NARBONNE;110000114;1;0;0;0;23;0;0;995;0;110780228;;;0;23;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;1;0;1;9175;0;8366;5777;0;1;;;;7916;0;178;8048;;;;;;;;;;;;;;;;;;;;18;;;0;7576;0;0;0;0;0;0;0;0;0;;4.56;1;;0.2;;0;0;2;2;;;;;
CANCERO;2023;110780483;POLYCL MONTREAL CARCASSONNE;110000155;1;0;1;2127;0;1726;2059;0;1;;;;1363;0;0;1353;;;;;;;;;;;;;;;;;;;;5;;;0;1358;0;0;0;0;0;0;0;0;0.63;;3.11;;0.2;0.05;0.8;0;0;;;;;;;2
CANCERO;2023;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;1;1;1;24247;0;23652;3900;0;1;;;;7989;0;143;7802;2;0;;1211;14627;98;0;0;3.97;4.6;11.58;;2.25;;;;;;12;21;;;747;8233;0;0;1;2;0;0;4150;0;4.8;0.03;20.31;8.63;0.78;0.4;3.09;2;0;;;;;;;
CANCERO;2023;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;1;0;1;1915;0;1771;1387;0;1;;;;1718;0;2;1686;;;;;;;;;;;;;;;;;;;;10;;;0;1690;0;0;0;0;0;0;0;0;;;0.1;1.5;0.5;;;0;0;;;;;;;
CANCERO;2023;120004569;CH MILLAU;120004528;1;0;0;1316;0;1218;449;0;0;340780493;;;1170;0;1;1163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130000409;CHI SITE D'AIX EN PROVENCE;130041916;1;0;0;10054;8;9201;7729;348;1;;;;9184;8;71;8980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;1;0;0;683;10;592;574;38;0;130786049;;;588;10;16;558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130001225;HOPITAL DU PAYS SALONAIS;130782634;1;0;0;2707;0;2586;1800;0;1;;;;2608;0;4;2511;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130001647;INSTITUT PAOLI CALMETTES;130784127;1;1;1;81848;753;73654;55688;2383;1;;;;43241;753;3545;37944;4;0;2;2119;30494;558;281;410;8.56;7.24;27.47;4.5;10.5;;;;;;200;64;77;20;8491;43531;5230;8290;0;3;0;1;42945;17019;107.22;;305.82;128.92;5.59;7.5;78.24;0;0;;;;;;;
CANCERO;2023;130002827;CH JOSEPH IMBERT D'ARLES;130789274;1;0;0;2411;0;2166;2133;0;1;;;;2214;0;95;2069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;1;0;0;4370;0;3800;3404;0;1;;;;3889;0;212;3580;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130008253;CLINIQUE DE VITROLLES;130001084;0;0;1;220;0;212;8;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;0;78;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;2;0;0;1;1;1
CANCERO;2023;130009079;CTRE RADIOTHERAPIE BEAUREGARD SITE HP;130008980;0;1;0;24589;;23535;;;;;;;;;;;2;1;0;1054;23535;0;0;0;;3.6;9.6;2;3.34;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130021819;HAD CLARA SCHUMANN;130021769;1;0;0;0;21;0;0;805;1;;;;0;21;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130034580;CTRE RADIOTHERAPIE PAYS D'AIX LOCARAD;130034572;0;1;0;36227;;34708;0;;;;;;;;;;3;0;0;1519;34708;;0;;;4;16.8;3;5.56;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130043664;HOPITAL EUROPEEN;130002157;1;0;0;12092;0;10417;12718;0;1;;;;10533;0;192;10047;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130044753;CLINIQUE MONTICELLI VELODROME;130810336;0;0;0;76;0;74;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130048176;IRIDIS MARSEILLE SITE HP CLAIRVAL;130037856;0;1;0;31853;;29233;0;;;;;;;;;;4;1;0;2620;29233;0;0;0;;7;23;4;14.51;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130050917;GCS CLINIQUE JEANNE D'ARC;130050891;1;0;0;373;0;267;318;0;0;840000350;;;41;0;1;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130780521;APHM HOPITAL NORD;130786049;1;1;1;27033;0;23767;19173;0;1;;;;10945;0;1427;9244;3;;;1087;13133;178;0;0;0.18;2.36;3.26;;3.5;;;;;;67;11;5;1;4016;7903;338;11;12;0;3;0;16108;1437;3.5;3.5;29.9;12.35;2;;35.14;97;5;;;;;;;
CANCERO;2023;130781479;HOPITAL PRIVE LA CASAMANCE;130000599;1;0;1;4296;0;3907;3057;0;1;;;;4461;0;0;4461;;;;;;;;;;;;;;;;;;;;14;;;0;4461;0;0;0;0;0;0;0;0;;0.5;5;;;0.5;;0;0;5;3;;;1;;1
CANCERO;2023;130782147;CLINIQUE GENERALE DE MARIGNANE;130000979;0;0;0;395;0;160;1736;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130782162;CLINIQUE CHIRURGICALE DE MARTIGUES;130000987;1;0;0;448;0;383;190;0;0;130002835;;;329;0;0;329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130782675;CLINIQUE VIGNOLI;130001233;1;0;0;367;0;230;504;0;0;130001225;;;40;0;0;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;1;1;0;8269;124;6419;12920;874;1;;;;6681;124;197;6210;0;;;0;0;21;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130783293;APHM HOPITAL LA TIMONE;130786049;1;1;1;35568;0;32188;20657;0;1;;;;15387;0;1143;11893;3;;9;959;17177;1122;16;837;5.03;4.69;17.79;;11.96;;;;;;48;28;;;2611;12082;0;0;0;0;0;0;12711;0;11.96;11.96;11.96;11.96;11.96;;;0;0;;;;;;;
CANCERO;2023;130783327;CLINIQUE BOUCHARD;130001415;0;0;0;272;0;99;768;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130783665;CLINIQUE DE BONNEVEINE;130043722;1;0;1;492;0;474;79;0;0;130043664;130784713;;358;0;0;355;;;;;;;;;;;;;;;;;;;0;5;0;0;0;355;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;;;;;;;
CANCERO;2023;130783723;CLINIQUE JUGE;130001456;0;0;0;378;0;357;29;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CANCERO;2023;130784051;HOPITAL PRIVE CLAIRVAL;130037823;1;0;1;6909;0;6091;7474;0;1;;;;6062;0;87;5922;;;;;;;;;;;;;;;;;;;30;22;;;563;5998;0;0;0;0;0;0;5626;0;;;10.08;7.38;;;7.19;0;0;7;2;;;;;
