BOR;AN;FI;RS;FI_EJ;PSY_A22;PSY_A23;PSY_A24;PSY_A25;PSY_A26;PSY_A27;PSY_A28;PSY_B23;PSY_B24;PSY_B25;PSY_B26;PSY_B27;PSY_B28;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A38;PSY_B38;PSY_A39;PSY_B39;PSY_A40;PSY_B40;PSY_A41;PSY_B41;PSY_A42;PSY_B42;PSY_A43;PSY_A44
PSY2;2023;070005046;HDJ ADULTE GUILHERAND;260003264;2499;7;0;0;3;13;8;7;0;0;3;13;8;0;0;0;0;0;0;0;2319;55;0;0;0;164;85;20386;99;0;0;6;99;126;1;1.97;1;35.91;1;26.18;0;;0;;0;0
PSY2;2023;070780317;CHS SAINTE-MARIE PRIVAS;630786754;10436;74;5;;9;368;310;74;5;;11;370;339;44318;3407;202;;67;19776;7573;17719;428;6;;;574;111;83859;652;26;;;959;405;1;0.08;1;38.54;1;11.45;0;;0;;0;0
PSY2;2023;080000318;CH BELAIR;080000086;7296;39;6;0;11;212;284;39;6;0;14;227;309;40877;1175;352;0;76;7195;5849;14004;129;3;0;0;559;383;88433;1030;103;0;0;2613;1653;1;0.4;1;36.79;1;5.37;0;;0;;0;0
PSY2;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;6165;69;7;;5;171;73;33;2;;3;84;41;17281;2140;509;;47;7349;1924;5140;199;0;;0;317;14;60440;748;103;;3;669;130;1;1;0;;0;;0;;0;;0;0
PSY2;2023;100000108;EPSMA;100000033;8699;68;13;1;19;195;71;52;12;1;18;174;67;33608;4170;838;15;70;7046;1357;14445;339;155;;;24;358;78808;732;283;;82;1443;410;1;0.83;1;43.61;1;46.52;0;;0;;0;0
PSY2;2023;110002953;HJ PSY GEN PSYCHOTIQUE CH NARBONNE;110780137;343;19;1;;;63;14;24;1;0;0;87;15;8466;1273;49;;;4250;983;3047;;;;;148;0;32157;440;;;;493;98;1;;0;;1;;0;;0;;0;0
PSY2;2023;110780152;CLINIQUE DE MIREMONT BADENS;110000064;379;;;;;;;;;;;;;26510;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;110786324;USSAP;110786324;8320;57;;;2;238;77;60;;;1;227;82;38042;2370;;;89;9411;2667;12844;90;;;;65;25;96010;885;;;107;1999;494;1;2.25;1;6.53;1;27.96;0;;0;;0;0
PSY2;2023;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;1;;0;;0;;0;
PSY2;2023;120004569;CH MILLAU;120004528;1929;;;;;;;;;;;;;7316;;;;;;;5363;;;;;;;23582;;;;;;;1;1.8;0;;1;7;0;;0;;0;0
PSY2;2023;120780283;CHS STE MARIE RODEZ;630786754;9568;62;1;2;6;187;200;14;1;2;1;232;300;60482;2078;63;17;7;6629;6424;14790;49;;;;109;108;93448;1056;;;24;1803;492;0;;1;10.29;0;;0;;0;;0;0
PSY2;2023;130000235;CHS EDOUARD TOULOUSE;130780554;10749;153;32;1;28;367;206;164;33;1;33;389;222;35190;6676;2296;0;258;10926;5917;18513;457;294;0;0;375;4;195798;3000;979;3;13;2542;804;1;2.78;0;;0;;0;;0;;0;0
PSY2;2023;130000433;CHS MONTPERRIN;130781131;19791;128;4;2;31;486;220;198;6;3;41;731;321;49118;5569;17;60;318;19314;8632;21829;307;44;0;0;686;158;223601;1082;97;14;0;2908;789;1;5.39;1;36.1;1;0;0;;0;;0;0
PSY2;2023;130002496;CHS VALVERT MARSEILLE;130786494;9914;88;8;1;9;242;130;114;114;1;8;271;153;29490;3032;3032;0;64;5513;2892;23759;84;87;0;0;76;173;153248;917;917;2;16;1231;504;1;1.57;1;60.2;1;32.28;0;;0;;0;0
PSY2;2023;130002827;CH JOSEPH IMBERT D'ARLES;130789274;3508;18;1;0;4;57;7;11;0;;0;45;10;5647;1316;;;;2075;562;2240;0;;;;;;48413;46;3;;8;162;15;;;0;;1;14.4;0;;0;;0;0
PSY2;2023;130010648;CLINIQUE SAINT MICHEL;130010648;202;;;;;;;;;;;;;28280;;;;;;;9021;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;130780273;CLINIQUE SAINTE MARTHE SAINT JOSEPH;130000151;420;;;;;;;;;;;;;24149;;;;;;;1795;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;130780521;APHM HOPITAL NORD;130786049;156;;;;93;;;;;;103;;;5218;;;;4257;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;1;0
PSY2;2023;130781065;CLINIQUE PSYCHIATRIQUE LA JAUBERTE;130000417;617;;;;;;;;;;;;;26829;;;;;;;2524;;;;;;;0;;;;;;;0;;0;;;;0;;0;;0;0
PSY2;2023;130783236;APHM HOPITAL DE LA CONCEPTION;130786049;6418;75;13;0;7;231;66;77;13;0;8;262;74;14486;2904;715;0;50;6354;1977;7043;72;34;0;0;133;7;46102;32;2;0;0;155;23;0;;0;;0;;0;;0;;0;0
PSY2;2023;130783764;CLINIQUE MON REPOS;920030269;1264;;;;;;;;;;;;;96565;;;;;;;2862;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;130784085;CLINIQUE L'EMERAUDE;920030921;1271;;;;;;;;;;;;;74209;;;;;;;10850;;;;;;;;;;;;;;0;;0;;1;;0;;0;;0;0
PSY2;2023;130784234;APHM HOPITAUX SUD SAINTE MARGUERITE;130786049;12277;184;5;0;36;144;40;78;5;0;16;161;40;12692;3868;350;0;304;3745;1623;20070;2;0;0;75;4;0;106821;7;2;0;39;66;20;0;;0;;1;;0;;1;;0;1
PSY2;2023;130784291;CLINIQUE DES TROIS CYPRES;130001696;610;;;;;;;;;;;;;41007;;;;;;;5762;;;;;;;;;;;;;;0;;0;;1;36.42;0;;0;;0;0
PSY2;2023;130784606;CLINIQUE SAINT ROCH MONTFLEURI;130001860;1129;;;;;;;;;;;;;70539;;;;;;;2562;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;130784697;CLINIQUE DES QUATRE SAISONS;130001902;367;;;;;;;;;;;;;31386;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;130786015;CLINIQUE VALFLEUR;130002322;236;;;;;;;;;;;;;29055;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;130786742;HIA LAVERAN;750821092;1920;;;;;;;;;;;;;4589;;;;;;;396;;;;;;;5957;;;;;;;1;3.83;0;;0;;0;;0;;0;0
PSY2;2023;130786890;HJ LE RELAIS SERENA;130001688;56;;;1;;;;;;1;;;;1830;;;77;;;;2134;;;;;;;;;;;;;;0;;0;;1;33.7;0;;0;;0;0
PSY2;2023;130786973;CLINIQUE PSYCHIATRIQUE MEDIAZUR;130002702;229;;;;;;;;;;;;;27221;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;130790157;CH DE MARTIGUES HOPITAL DU VALLON;130789316;7209;45;13;0;1;252;39;41;7;;1;217;36;13358;1134;313;0;4;7554;679;13166;296;133;0;0;481;269;68122;726;306;0;0;2173;387;1;6.4;1;5.3;0;;0;;0;;0;0
PSY2;2023;130798002;CLINIQUE LA LAURANNE;130004807;825;;;;;;;;;;;;;76634;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;130804032;ASSOCIATION REGIONALE POUR INTEGRATION;130804032;53;;;;;;;;;;;;;;;;;;;;1677;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;130806011;CLINIQUE SAINT PAUL DE MAUSOLE;750720534;361;;;;;;;;;;;;;24138;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;140000209;CHU COTE DE NACRE - CAEN;140000100;4578;64;;;;;;439;;;;;;14182;2762;;;;;;801;257;;;;;;18125;1;;;;;;1;;0;;1;;1;;0;;0;0
PSY2;2023;140000456;ETS PUBLIC DE SANTE MENTALE;140000316;16739;147;7;0;62;169;210;151;7;0;101;178;237;56689;13500;1117;0;541;10420;8750;23024;1409;44;0;0;244;325;134859;1396;31;0;18;707;753;1;1.82;1;11.14;1;23.65;0;;1;23.27;0;0
PSY2;2023;140004136;UNITE PSYCHIATRIQUE - CH BAYEUX;140000092;4040;13;1;0;0;40;15;9;1;;;31;16;8843;517;81;0;0;542;450;7168;72;0;0;0;85;0;63520;106;0;0;0;88;28;1;0.19;0;;0;;0;;0;;0;0
PSY2;2023;140004383;CHR GEORGES CLEMENCEAU - CAEN;140000100;1765;;;;;;;;;;;;;3302;;;;;;;1559;;;;;;;10463;;;;;;;1;;0;;1;211;0;;0;;0;0
PSY2;2023;150000040;CH HENRI MONDOR;150780096;629;13;;;145;90;65;9;1;0;5;85;68;23586;378;;;298;2815;2282;5466;19;;;;24;;;;;;480;;;1;3.55;1;1;0;;0;;0;;0;0
PSY2;2023;150780773;SERVICE DE PSYCHIATRIE - CH ST FLOUR;150780088;296;12;;;;34;7;8;;;;25;7;2409;188;;;;440;249;1073;119;;;;810;110;4791;123;;;;435;6;1;0.06;0;;0;;0;;0;;0;0
PSY2;2023;150780823;CH ANNEXE CUEILHES;150780096;3702;16;;;;10;5;0;0;0;0;0;0;1348;;;;;;;3385;;;;;;;43318;529;;;;261;142;;;;;;;0;;0;;0;0
PSY2;2023;150782944;CENTRE DE READAPTATION DE MAURS;150002566;41;0;0;0;0;0;0;0;0;0;0;0;0;7743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;;0;;0;0
PSY2;2023;160000345;CH CAMILLE CLAUDEL;160000501;13958;149;1;2;14;331;236;106;1;2;14;270;201;28719;3735;365;0;0;8659;5852;7222;113;0;0;0;419;57;120106;1535;0;28;82;3025;1512;0;;1;6.92;1;43.15;0;;0;;0;0
PSY2;2023;160008231;CLINIQUE VILLA BLEUE;160001038;456;;;;;;;;;;;;;13423;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;170020994;CATTP - HOPITAL JOUR PSY ADULT - S5;170780175;4185;22;0;0;0;80;6;22;0;0;0;86;7;5065;943;0;0;0;4133;78;8807;61;0;0;0;343;3;42687;179;0;0;0;833;0;1;2.05;0;33.1;1;;0;;0;;0;0
PSY2;2023;170780282;MAISON MEDICALE HIPPOCRATE - SAUJON;170000186;403;;;;;;;;;;;;;18324;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;170780290;VILLA DU PARC - SAUJON;170000194;734;;;;;;;;;;;;;27124;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;170782981;HOPITAL MARIUS LACROIX;170024194;12927;45;0;0;3;316;74;37;;;9;334;89;60126;2295;0;0;205;12635;1757;17051;;;;;;;94699;1373;;;;1151;12;1;;1;11.54;1;38.9;0;;0;;0;0
PSY2;2023;170783146;CENTRE HOSPITALIER JONZAC (CHS);170780050;6498;18;;;3;66;35;5;;16;4;70;34;6285;397;;;22;874;759;2278;;;;;;18;86376;128;;;;1533;1147;1;4.67;1;5.93;1;6.17;0;;0;;0;0
PSY2;2023;170784086;ETABLISSEMENT THERAPEUTIQUE ADO;330785072;52;;;;;;;;;;;;;3689;;;;;;;498;;;;;;;;;;;;;;0;;0;;1;;0;;;;0;0
PSY2;2023;180000176;CH GEORGE SAND BOURGES;180001158;13898;24;5;0;6;152;88;32;1;2;8;127;91;116926;616;875;0;42;4489;1693;12746;0;0;0;0;160;86;130309;170;54;0;65;792;438;1;0.2;1;30.46;1;41.31;0;;0;;0;0
PSY2;2023;180000382;CLINIQUE LA GAILLARDIERE;180008518;316;;;;;;;;;;;;;11624;;;;;;;2930;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;180004533;CHS CTRE READAP.SOCIO-PROFESSIONNEL;580780971;29;;;;;1;2;;;;;1;2;;;;;;;;3468;;;;;30;187;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;190000026;CENTRE HOSPITALIER COEUR DE CORREZE;190000059;2972;16;;;;46;3;16;;;;46;3;10425;104;;;;723;39;;;;;;;;18884;12;;;;6;0;0;;1;2.69;0;;0;;0;;0;0
PSY2;2023;190000117;ASSO DE GESTION DU CH PAYS EYGURANDE;190000117;3074;77;1;;25;126;54;48;4;;27;79;34;24364;10786;1800;;812;4991;792;6635;25;;;;10;38;31647;11;;;;86;49;1;0.5;1;28.49;0;;1;64.75;0;;0;0
PSY2;2023;190011601;SITE SPECIALISE HENRI LABORIT;190000042;5032;50;0;0;0;14;32;69;0;0;0;318;47;9954;272;0;0;0;1899;1561;2642;113;0;0;0;87;58;34036;5;0;0;0;6;1;1;0.1;1;2.5;0;;0;;0;;0;0
PSY2;2023;210013157;POLE PSYCHIATRIE SANTE MENTALE;210780706;1298;24;1;;;53;4;28;1;;;55;4;7667;1123;24;;;1047;136;1761;159;;;;21;;6993;89;;;;33;;;0.1;;;1;6.55;0;;0;;0;0
PSY2;2023;210780425;HÔPITAL DE JOUR LES CIGOGNES PEP21;210781282;129;;;;;;;;;;;;;;;;;;;;2727;;;;;;;1248;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;210987558;HOPITAL LE BOCAGE CHRU DIJON;210780581;4294;4;;;;88;38;4;;;;91;39;9541;239;;;;3084;943;;;;;;;;;;;;;;;1;1;1;0.3;1;;0;;0;;0;0
PSY2;2023;210987632;CH LA CHARTREUSE DIJON;210780607;12464;31;12;1;32;383;285;32;14;1;40;419;341;64822;1284;1751;24;300;9372;5422;14053;18;22;;2;18;21;132093;203;95;;9;942;422;1;1;1;28.84;1;15.93;0;;1;12.1;0;0
PSY2;2023;220000210;FONDATION BON SAUVEUR;220000210;12131;47;;;;179;115;62;;;;240;174;39721;1769;;;;4492;1851;15283;326;;;;357;35;110981;770;;;;746;352;1;1.01;1;20.99;1;18.07;0;;0;;0;0
PSY2;2023;220000236;CENTRE HOSPITALIER DE PLOUGUERNEVEL;220017974;2166;84;17;;11;116;53;85;18;;11;123;55;22853;10854;2091;;1364;5813;753;0;;;;;;;5266;59;;;;37;9;0;;1;10.57;0;;1;88.09;0;;0;0
PSY2;2023;220000319;CLINIQUE LA CERISAIE;220000681;403;;;;;;;;;;;;;20113;;;;;;;4156;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;220000327;CLINIQUE DU VAL JOSSELIN;220024384;1031;;;;;;;;;;;;;32268;;;;;;;10339;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;220012751;HOP DE JOUR ENFANTS ROSTRENEN;220017974;3524;13;;;;8;2;13;;;;8;2;;;;;;;;4366;13;;;;12;18;29505;121;;;;46;14;0;;0;;0;;0;;0;;0;0
PSY2;2023;230000853;CENTRE HOSPITALIER SAINT VAURY;230780074;5099;66;1;0;0;204;124;46;1;0;0;78;78;17034;1373;13;0;0;2704;1927;9659;236;0;0;0;757;411;41630;602;0;0;0;1704;829;0;;1;39.71;1;9.32;0;;0;;0;0
PSY2;2023;230780181;CLINIQUE CHATELGUYON VIERSAT;230000879;298;;;;;;;;;;;;;13982;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;240000463;CENTRE HOSPITALIER VAUCLAIRE;240000083;8993;79;3;1;8;215;197;110;2;3;8;257;233;31024;4041;207;;75;9456;5729;18471;466;;117;;748;364;94103;928;38;2;;1213;750;1;0.2;1;48.53;1;19.17;1;25;0;;0;0
PSY2;2023;240000489;CENTRE HOSPITALIER DE PERIGUEUX;240000117;5429;29;3;1;2;109;27;33;2;1;7;122;36;16632;1161;149;13;36;2715;865;3061;;;;;;;52500;78;;;;74;;1;1.24;0;0;1;32.56;0;;0;;0;0
PSY2;2023;240000646;FONDATION JOHN BOST;240000265;441;;;;;;;;;;;;;69627;;;;;;;1335;;;;;;;231;;;;;;;0;;0;;0;;0;;;;0;0
PSY2;2023;240000687;CENTRE HOSPITALIER SARLAT;240000448;133;15;;;2;44;8;20;;;2;46;11;4343;838;;;11;2244;285;1264;130;;;0;83;8;8765;434;;;0;384;9;1;2.5;0;;0;;0;;0;;0;0
PSY2;2023;240017046;CH VAUCLAIRE - SITE CH PERIGUEUX;240000083;1776;1;;;;4;1;1;;;;4;1;2043;;;;;;;;;;;;;;11094;3;;;;12;12;0;;0;;0;;0;;0;;0;0
PSY2;2023;250000023;CHU BESANCON SITE SAINT-JACQUES;250000015;272;;;;;;;;;;;;;9137;;;;;;;110;;;;;;;1305;;;;;;;0;;0;;1;2;0;;0;;0;0
PSY2;2023;250000619;UNITE PSY ADULTE LE GRANDVALLIER CHIHC;250000452;1757;23;;;;79;6;33;;;;89;9;10017;1856;;;;2469;128;4018;34;;;;155;;15409;232;;;;1492;174;1;;0;;0;;0;;0;;0;0
PSY2;2023;250000718;CHS NOVILLARS;250000460;9061;61;17;1;19;249;73;62;17;1;21;283;79;50718;2635;1880;13;220;10887;3326;8223;9;7;0;0;167;7;81739;442;110;;;598;39;0;;1;79.94;1;42.03;0;;0;;0;0
PSY2;2023;250005196;HOPITAL DE JOUR VELOTTE;250001013;18;;;;;;;;;;;;;;;;;;;;2940;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;250006954;CHU JEAN MINJOZ BESANCON;250000015;1876;;;;;;;;;;;;;;;;;;;;;;;;;;;7119;;;;;;;1;0.8;1;1.5;1;0;0;;0;;0;0
PSY2;2023;250014008;CHS ST REMY ET NFC CTRE JEAN MESSAGIER;700004096;2171;38;5;6;1;144;80;44;5;8;1;171;89;11980;1461;478;168;5;5220;2379;2099;;;;;;;18192;144;5;;;82;62;1;0.49;0;;1;31.93;0;;0;;0;0
PSY2;2023;260000302;ETABLISSEMENT MEDICAL LA TEPPE;260000161;493;;;;;;;;;;;;;11635;;;;;;;;;;;;;;523;;;;;;;;;;;;;0;;0;;0;0
PSY2;2023;260000823;CH DROME-VIVARAIS - SITE DE MONTELEGER;260003264;12647;94;16;10;22;434;445;117;16;10;23;476;514;44387;3578;1024;379;124;11755;9530;12548;287;124;20;0;224;178;120076;1455;513;23;101;1833;1118;1;1.97;1;35.91;1;26.18;0;;0;;0;0
PSY2;2023;260005277;HOPITAL DE JOUR ADULTES MONTELIMAR;630786754;4195;15;2;;;32;10;15;2;;;30;10;;;;;;;;3461;46;93;;;147;118;28108;178;10;;;321;63;1;0.4;1;0.89;0;;0;;0;;0;0
PSY2;2023;270000573;NOUVEL HOPITAL DE NAVARRE;270000219;17160;51;12;1;47;367;298;20;3;1;58;337;309;68870;4119;1733;41;417;14409;8865;8428;;40;;;94;;155919;784;102;;;767;298;1;4.63;1;5.08;1;59.52;0;;0;;0;0
PSY2;2023;270025984;CLINIQUE LA MARE Ô DANS;270029275;976;;;;;;;;;;;;;33674;;;;;;;9278;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2023;270027279;CLINIQUE DES PORTES DE L'EURE;270027881;854;;;;;;;;;;;;;30222;;;;;;;4719;;;;;;;;;;;;;;0;;1;24;0;;0;;0;;0;0
PSY2;2023;280000050;CH BONNEVAL;280000142;1341;39;8;0;27;162;134;24;3;0;33;135;122;36051;3141;487;0;158;8393;4153;12922;0;112;0;0;381;406;58091;426;114;0;68;1322;834;1;4.56;1;34.75;1;1.9;0;;0;;0;0
PSY2;2023;280000084;CH DREUX;280000183;4461;15;;;;99;1;15;;;;44;1;3763;260;;;;657;;3081;1;;;;42;;13973;53;;;;132;5;1;;0;;1;14.5;0;;0;;0;0
PSY2;2023;280000696;CH CHARTRES - VAL DE L'EURE;280000134;1110;1;;;;1;;1;;;;1;;2419;12;;;;7;;6376;;;;;;;9101;;;;;;;0;;0;;1;6.04;0;;0;;0;0
PSY2;2023;290000033;C.H. DES PAYS DE MORLAIX;290021542;7594;44;10;;;230;75;43;9;;;245;81;49121;1284;1713;;;5366;1200;18920;180;;;;310;121;67235;478;64;;;720;285;0;;1;22.06;0;;0;;0;;0;0
PSY2;2023;290000058;CHRU BREST SITE HOPITAL MORVAN;290000017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;1;;0;;0;;0;0
PSY2;2023;290000173;CH FERDINAND GRALL LANDERNEAU;290000041;2145;8;;;;46;4;8;;;;44;4;9744;1784;;;;2225;580;5087;;;;;;;28226;;;;;;;1;;0;;1;4.9;0;;0;;0;0
