BOR;AN;FI;RS;DIALYSE_AA100;DIALYSE_AA101;FI_EJ;DIALY;UDM;NBUDM;PATUM;CAPA;NBPAT;SEAN;SEA_HOS;PREPLI;SEM;NVPAT;NVPERIT
DIALYSE;2023;020000162;CH SAINT-QUENTIN;;;020000063;1130X;;;;52;202;30527;;;;;
DIALYSE;2023;020000162;CH SAINT-QUENTIN;;;020000063;1150A;;;;6;6;1042;;;;;
DIALYSE;2023;020000162;CH SAINT-QUENTIN;;;020000063;122BX;;;;1;0;;;;0;;
DIALYSE;2023;020000162;CH SAINT-QUENTIN;1;1;020000063;TOT;1;4;202;;;;1546;4;;78;0
DIALYSE;2023;020000394;CH LAON;;;020000253;112AX;;;;1;;13;;;;;
DIALYSE;2023;020000394;CH LAON;;;020000253;112BA;;;;15;51;6965;;;;;
DIALYSE;2023;020000394;CH LAON;;;020000253;1150A;;;;2;2;;;;;;
DIALYSE;2023;020000394;CH LAON;1;0;020000253;TOT;0;;;;;;462;1;;35;
DIALYSE;2023;020000519;CH SOISSONS;;;020000261;112BA;;;;15;71;10283;;;;;
DIALYSE;2023;020000519;CH SOISSONS;1;0;020000261;TOT;0;;;;;;358;;;26;0
DIALYSE;2023;020001772;UNITE DE DIALYSE DE CHAUNY;;;590799995;1130X;;;;12;45;7224;;;;;
DIALYSE;2023;020001913;UNITE DE DIALYSE DE LAON;;;590799995;1130X;;;;12;44;7406;;;;;
DIALYSE;2023;020006441;UNITE DIALYSE DE COURMELLES;;;590799995;1130X;;;;8;25;2995;;;;;
DIALYSE;2023;020006441;UNITE DIALYSE DE COURMELLES;;;590799995;1140X;;;;6;2;447;;;;;
DIALYSE;2023;020012860;UNITE DE DIALYSE DE SAINT-QUENTIN;;;590799995;112AX;;;;1;;86;;;;;
DIALYSE;2023;020012860;UNITE DE DIALYSE DE SAINT-QUENTIN;;;590799995;1130X;;;;24;104;16297;;;;;
DIALYSE;2023;020016242;UNITE DE DIALYSE DE GUISE;;;590799995;1130X;;;;8;28;4837;;;;;
DIALYSE;2023;020017075;UNITE DE DIALYSE DE CHATEAU-THIERRY;;;590799995;1130X;;;;6;26;3985;;;;;
DIALYSE;2023;020017075;UNITE DE DIALYSE DE CHATEAU-THIERRY;;;590799995;1140X;;;;2;3;481;;;;;
DIALYSE;2023;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;;;590799995;1150A;;;;6;6;1015;;;;;
DIALYSE;2023;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;;;590799995;1210;;;;;2;;;;141;;
DIALYSE;2023;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;;;590799995;121AX;;;;;1;;;;58;;
DIALYSE;2023;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;;;590799995;121CX;;;;1;1;;;;83;;
DIALYSE;2023;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;;;590799995;122AX;;;;1;;;;;12;;
DIALYSE;2023;020017448;SANTELYS DIALYSE À DOM CH ST QUENTIN;0;1;590799995;TOT;0;;;;;;;;;;
DIALYSE;2023;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;;;590799995;1150A;;;;2;2;606;;;;;
DIALYSE;2023;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;;;590799995;1210;;;;;1;;;;86;;
DIALYSE;2023;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;;;590799995;121AX;;;;;1;;;;82;;
DIALYSE;2023;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;;;590799995;121CX;;;;1;0;;;;4;;
DIALYSE;2023;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;;;590799995;122AX;;;;1;0;;;;11;;
DIALYSE;2023;020017455;SANTELYS DIALYSE À DOMICILE CH LAON;0;1;590799995;TOT;0;;;;;;;;;;
DIALYSE;2023;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;;;590799995;1150A;;;;1;1;17;;;;;
DIALYSE;2023;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;;;590799995;1210;;;;;3;;;;181;;
DIALYSE;2023;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;;;590799995;121AX;;;;;2;;;;146;;
DIALYSE;2023;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;;;590799995;121CX;;;;1;1;;;;35;;
DIALYSE;2023;020018453;SANTELYS DIALYSE À DOMICILE CH SOISSON;0;1;590799995;TOT;0;;;;;;;;;;
DIALYSE;2023;020018545;UNITÉ D'AUTODIALYSE DE VERVINS;;;590799995;1130X;;;;6;6;309;;;;;
DIALYSE;2023;030000061;CH DE MOULINS;;;030780092;112BA;;;;11;52;7150;;;;;
DIALYSE;2023;030000061;CH DE MOULINS;;;030780092;112BE;;;;1;;23;;;;;
DIALYSE;2023;030000061;CH DE MOULINS;1;0;030780092;TOT;0;;;;;;711;1;;17;0
DIALYSE;2023;030000079;CH DE MONTLUCON;;;030780100;112BA;;;;16;61;8413;;;;;
DIALYSE;2023;030000079;CH DE MONTLUCON;;;030780100;122BX;;;;2;2;;;;21;;
DIALYSE;2023;030000079;CH DE MONTLUCON;1;1;030780100;TOT;0;;;;;;844;;;35;
DIALYSE;2023;030000087;CH JACQUES LACARIN VICHY;;;030780118;112AX;;;;3;0;228;;;;;
DIALYSE;2023;030000087;CH JACQUES LACARIN VICHY;;;030780118;112BA;;;;8;39;6301;;;;;
DIALYSE;2023;030000087;CH JACQUES LACARIN VICHY;;;030780118;1130X;;;;4;32;5335;;;;;
DIALYSE;2023;030000087;CH JACQUES LACARIN VICHY;;;030780118;1140X;;;;6;8;1390;;;;;
DIALYSE;2023;030000087;CH JACQUES LACARIN VICHY;;;030780118;1150A;;;;10;1;2853;;;;;
DIALYSE;2023;030000087;CH JACQUES LACARIN VICHY;;;030780118;1210;;;;;8;;;;2808;;
DIALYSE;2023;030000087;CH JACQUES LACARIN VICHY;;;030780118;121AX;;;;;7;;;;2392;;
DIALYSE;2023;030000087;CH JACQUES LACARIN VICHY;;;030780118;121CX;;;;8;1;;;;416;;
DIALYSE;2023;030000087;CH JACQUES LACARIN VICHY;;;030780118;122AX;;;;10;6;;;;808;;
DIALYSE;2023;030000087;CH JACQUES LACARIN VICHY;;;030780118;122BX;;;;4;0;;;;11;;
DIALYSE;2023;030000087;CH JACQUES LACARIN VICHY;1;1;030780118;TOT;0;;;;;;1233;3;;46;22
DIALYSE;2023;030003669;AURA SANTE MONTLUCON;;;630000990;112AX;;;;1;1;261;;;;;
DIALYSE;2023;030003669;AURA SANTE MONTLUCON;;;630000990;1130X;;;;8;49;6591;;;;;
DIALYSE;2023;030003669;AURA SANTE MONTLUCON;;;630000990;1140X;;;;4;0;250;;;;;
DIALYSE;2023;030003669;AURA SANTE MONTLUCON;;;630000990;1150A;;;;1;2;893;;;;;
DIALYSE;2023;030003669;AURA SANTE MONTLUCON;;;630000990;1210;;;;;11;;;;695;;
DIALYSE;2023;030003669;AURA SANTE MONTLUCON;;;630000990;121AX;;;;;8;;;;452;;
DIALYSE;2023;030003669;AURA SANTE MONTLUCON;;;630000990;121CX;;;;2;3;;;;243;;
DIALYSE;2023;030003669;AURA SANTE MONTLUCON;;;630000990;122AX;;;;1;1;;;;79;;
DIALYSE;2023;030003669;AURA SANTE MONTLUCON;0;1;630000990;TOT;0;;;;;;;;;14;3
DIALYSE;2023;030003719;AURA SANTE MOULINS;;;630000990;112AX;;;;1;1;119;;;;;
DIALYSE;2023;030003719;AURA SANTE MOULINS;;;630000990;1130X;;;;6;31;4364;;;;;
DIALYSE;2023;030003719;AURA SANTE MOULINS;;;630000990;1140X;;;;1;;141;;;;;
DIALYSE;2023;030003719;AURA SANTE MOULINS;;;630000990;1210;;;;;9;;;;556;;
DIALYSE;2023;030003719;AURA SANTE MOULINS;;;630000990;121AX;;;;;8;;;;507;;
DIALYSE;2023;030003719;AURA SANTE MOULINS;;;630000990;121CX;;;;4;1;;;;49;;
DIALYSE;2023;030003719;AURA SANTE MOULINS;;;630000990;122AX;;;;1;4;;;;239;;
DIALYSE;2023;030003719;AURA SANTE MOULINS;0;1;630000990;TOT;0;;;;;;;;;22;8
DIALYSE;2023;030003768;AURA SANTE VICHY;;;630000990;112AX;;;;1;1;166;;;;;
DIALYSE;2023;030003768;AURA SANTE VICHY;;;630000990;1130X;;;;6;31;5185;;;;;
DIALYSE;2023;030003768;AURA SANTE VICHY;;;630000990;1140X;;;;3;8;1368;;;;;
DIALYSE;2023;030003768;AURA SANTE VICHY;;;630000990;1150A;;;;5;6;2263;;;;;
DIALYSE;2023;030003768;AURA SANTE VICHY;;;630000990;1210;;;;;50;;;;2409;;
DIALYSE;2023;030003768;AURA SANTE VICHY;;;630000990;121AX;;;;;43;;;;1977;;
DIALYSE;2023;030003768;AURA SANTE VICHY;;;630000990;121CX;;;;8;7;;;;432;;
DIALYSE;2023;030003768;AURA SANTE VICHY;0;1;630000990;TOT;1;1;35;;;;;;;33;18
DIALYSE;2023;040003113;HEMOD DES ALPES AUTODIALYSE SISTERON;;;920033503;1130X;;;;7;12;1992;;;;;
DIALYSE;2023;040784860;CENTRE D'HEMODIALYSE DES ALPES;;;920033503;112AX;;;;1;0;26;;;;;
DIALYSE;2023;040784860;CENTRE D'HEMODIALYSE DES ALPES;;;920033503;112BA;;;;25;94;13826;;;;;
DIALYSE;2023;040784860;CENTRE D'HEMODIALYSE DES ALPES;;;920033503;1130X;;;;8;33;4651;;;;;
DIALYSE;2023;040784860;CENTRE D'HEMODIALYSE DES ALPES;;;920033503;1150A;;;;2;2;333;;;;;
DIALYSE;2023;040784860;CENTRE D'HEMODIALYSE DES ALPES;1;0;920033503;TOT;1;2;19;;;;1037;1;;34;0
DIALYSE;2023;040784860;CENTRE D'HEMODIALYSE DES ALPES;;;920033503;VACAN;;;;0;;298;;;;;
DIALYSE;2023;040787541;HEMOD DES ALPES AUTODIALYSE DE DIGNE;;;920033503;1130X;;;;4;8;664;;;;;
DIALYSE;2023;040787541;HEMOD DES ALPES AUTODIALYSE DE DIGNE;;;920033503;1140X;;;;6;4;643;;;;;
DIALYSE;2023;050000231;CH DES ESCARTONS DE BRIANCON;;;050000116;112BA;;;;12;;4560;;;;;
DIALYSE;2023;050000231;CH DES ESCARTONS DE BRIANCON;1;0;050000116;TOT;0;;;;;;115;;;;
DIALYSE;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;;;050002948;112AX;;;;1;;0;;;;;
DIALYSE;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;;;050002948;112BA;;;;12;;7015;;;;;
DIALYSE;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;1;0;050002948;TOT;0;;;;;;362;;;;
DIALYSE;2023;050006022;AGDUC UNITE D'AUTODIALYSE GAP;;;380793802;1130X;;;;6;24;3618;;;;;
DIALYSE;2023;050006022;AGDUC UNITE D'AUTODIALYSE GAP;;;380793802;1140X;;;;2;4;763;;;;;
DIALYSE;2023;050006022;AGDUC UNITE D'AUTODIALYSE GAP;;;380793802;1210;;;;;0;;;;54;;
DIALYSE;2023;050006022;AGDUC UNITE D'AUTODIALYSE GAP;;;380793802;121AX;;;;;0;;;;38;;
DIALYSE;2023;050006022;AGDUC UNITE D'AUTODIALYSE GAP;;;380793802;121CX;;;;1;0;;;;16;;
DIALYSE;2023;050006022;AGDUC UNITE D'AUTODIALYSE GAP;;;380793802;122BX;;;;1;;;;;1;;
DIALYSE;2023;050006022;AGDUC UNITE D'AUTODIALYSE GAP;0;1;380793802;TOT;0;;;;;;;;;;
DIALYSE;2023;060000478;CENTRE HOSPITALIER DE GRASSE;0;0;060780897;TOT;0;;;;;;10;;;;
DIALYSE;2023;060000544;CH DE CANNES SIMONE VEIL;;;060780988;112AX;;;;1;;0;;;;;
DIALYSE;2023;060000544;CH DE CANNES SIMONE VEIL;;;060780988;112BA;;;;13;26;8276;;;;;
DIALYSE;2023;060000544;CH DE CANNES SIMONE VEIL;;;060780988;1210;;;;;10;;;;486;;
DIALYSE;2023;060000544;CH DE CANNES SIMONE VEIL;;;060780988;121AX;;;;;4;;;;157;;
DIALYSE;2023;060000544;CH DE CANNES SIMONE VEIL;;;060780988;121CX;;;;1;6;;;;329;;
DIALYSE;2023;060000544;CH DE CANNES SIMONE VEIL;;;060780988;122AX;;;;;1;;;;64;;
DIALYSE;2023;060000544;CH DE CANNES SIMONE VEIL;;;060780988;122BX;;;;1;1;;;;63;;
DIALYSE;2023;060000544;CH DE CANNES SIMONE VEIL;1;1;060780988;TOT;0;;;;;;694;1;;30;4
DIALYSE;2023;060010949;AGAHTIR UDM ANTIBES;;;060790540;1130X;;;;12;56;9629;;;;;
DIALYSE;2023;060010949;AGAHTIR UDM ANTIBES;0;0;060790540;TOT;0;;;;;;0;0;;76;0
DIALYSE;2023;060019676;AGAHTIR AUTODIALYSE UDM GRASSE;;;060790540;1130X;;;;8;8;1185;;;;;
DIALYSE;2023;060019676;AGAHTIR AUTODIALYSE UDM GRASSE;;;060790540;1140X;;;;10;27;4100;;;;;
DIALYSE;2023;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;;;060790540;112BA;;;;15;65;9365;;;;;
DIALYSE;2023;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;;;060790540;1130X;;;;16;85;12309;;;;;
DIALYSE;2023;060021276;AGAHTIR CENTRE HEMODIALYSE ET UDM NICE;1;0;060790540;TOT;0;;;;;;0;1;;;
DIALYSE;2023;060025285;UAD VALLEE DE LA VESUBIE;;;750060402;1140X;;;;8;3;537;;;;;
DIALYSE;2023;060025681;CTRE NEPHRO CAGNES POLE SANTE ST JEAN;;;920033636;1130X;;;;10;16;1725;;;;;
DIALYSE;2023;060025681;CTRE NEPHRO CAGNES POLE SANTE ST JEAN;0;0;920033636;TOT;0;;;;;;0;2;;76;
DIALYSE;2023;060785003;CHU DE NICE HOPITAL PASTEUR;;;060785011;112BA;;;;20;109;15197;;;;;
DIALYSE;2023;060785003;CHU DE NICE HOPITAL PASTEUR;;;060785011;112BE;;;;1;;109;;;;;
DIALYSE;2023;060785003;CHU DE NICE HOPITAL PASTEUR;;;060785011;1130X;;;;1;;63;;;;;
DIALYSE;2023;060785003;CHU DE NICE HOPITAL PASTEUR;;;060785011;1150A;;;;1;0;;;;;;
DIALYSE;2023;060785003;CHU DE NICE HOPITAL PASTEUR;;;060785011;121CX;;;;1;;;;;0;;
DIALYSE;2023;060785003;CHU DE NICE HOPITAL PASTEUR;;;060785011;122AX;;;;1;4;;;;85;;
DIALYSE;2023;060785003;CHU DE NICE HOPITAL PASTEUR;;;060785011;122BX;;;;1;1;;;;234;;
DIALYSE;2023;060785003;CHU DE NICE HOPITAL PASTEUR;1;1;060785011;TOT;0;;;;;;905;;;31;11
DIALYSE;2023;060789195;CHU DE NICE HOPITAL DE L'ARCHET;;;060785011;112BA;;;;0;0;154;;;;;
DIALYSE;2023;060789195;CHU DE NICE HOPITAL DE L'ARCHET;;;060785011;112BE;;;;2;5;761;;;;;
DIALYSE;2023;060789195;CHU DE NICE HOPITAL DE L'ARCHET;;;060785011;1210;;;;;2;;;;;;
DIALYSE;2023;060789195;CHU DE NICE HOPITAL DE L'ARCHET;;;060785011;121CX;;;;;2;;;;;;
DIALYSE;2023;060789195;CHU DE NICE HOPITAL DE L'ARCHET;1;1;060785011;TOT;0;;;;;;25;;;5;0
DIALYSE;2023;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;;;060790797;112AX;;;;2;0;0;;;;;
DIALYSE;2023;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;;;060790797;112BA;;;;28;165;25182;;;;;
DIALYSE;2023;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;;;060790797;1130X;;;;16;65;10319;;;;;
DIALYSE;2023;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;;;060790797;1150A;;;;1;0;0;;;;;
DIALYSE;2023;060791860;CTRE D'HEMODIALYSE INST ARNAULT TZANCK;1;0;060790797;TOT;0;;;;;;0;1;;55;0
DIALYSE;2023;060792090;AGAHTIR DIALYSE A DOMICILE NICE;;;060790540;1150A;;;;6;6;1121;;;;;
DIALYSE;2023;060792090;AGAHTIR DIALYSE A DOMICILE NICE;;;060790540;1210;;;;;26;;;;1475;;
DIALYSE;2023;060792090;AGAHTIR DIALYSE A DOMICILE NICE;;;060790540;121AX;;;;;17;;;;954;;
DIALYSE;2023;060792090;AGAHTIR DIALYSE A DOMICILE NICE;;;060790540;121CX;;;;7;9;;;;521;;
DIALYSE;2023;060792090;AGAHTIR DIALYSE A DOMICILE NICE;0;1;060790540;TOT;0;;;;;;;;;93;21
DIALYSE;2023;060792736;AGAHTIR AUTODIALYSE NICE;;;060790540;1140X;;;;10;28;4840;;;;;
DIALYSE;2023;060792736;AGAHTIR AUTODIALYSE NICE;;;060790540;VACAN;;;;;;150;;;;;
DIALYSE;2023;060792900;AUTODIAL INST ARNAULT TZANCK MOUGINS;;;060790797;1140X;;;;12;23;3107;;;;;
DIALYSE;2023;060792900;AUTODIAL INST ARNAULT TZANCK MOUGINS;0;0;060790797;TOT;0;;;;;;;0;;4;0
DIALYSE;2023;060792926;CENTRE D'HEMDIALYSE DE LA RIVIERA;;;920033636;112BA;;;;19;95;13399;;;;;
DIALYSE;2023;060792926;CENTRE D'HEMDIALYSE DE LA RIVIERA;1;0;920033636;TOT;0;;;;;;0;1;;76;0
DIALYSE;2023;060792926;CENTRE D'HEMDIALYSE DE LA RIVIERA;;;920033636;VACAN;;;;0;0;123;;;;;
DIALYSE;2023;060801016;AGAHTIR AUTODIALYSE MANDELIEU;;;060790540;1140X;;;;5;17;2687;;;;;
DIALYSE;2023;070000179;CH ARDECHE NORD;;;070780358;112BA;;;;12;68;8559;;;;;
DIALYSE;2023;070000179;CH ARDECHE NORD;;;070780358;1130X;;;;8;27;3772;;;;;
DIALYSE;2023;070000179;CH ARDECHE NORD;;;070780358;122AX;;;;1;0;;;;64;;
DIALYSE;2023;070000179;CH ARDECHE NORD;;;070780358;122BX;;;;1;0;;;;6;;
DIALYSE;2023;070000179;CH ARDECHE NORD;1;1;070780358;TOT;0;;;;;;802;2;;38;5
DIALYSE;2023;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;;;380793802;112BA;;;;11;36;4929;;;;;
DIALYSE;2023;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;;;380793802;1130X;;;;6;11;1644;;;;;
DIALYSE;2023;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;;;380793802;1210;;;;;4;;;;183;;
DIALYSE;2023;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;;;380793802;121AX;;;;;2;;;;117;;
DIALYSE;2023;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;;;380793802;121CX;;;;2;2;;;;66;;
DIALYSE;2023;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;;;380793802;122AX;;;;1;0;;;;33;;
DIALYSE;2023;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;;;380793802;122BX;;;;1;0;;;;2;;
DIALYSE;2023;070004726;AGDUC CENTRE DE DIALYSE AUBENAS;1;1;380793802;TOT;0;;;;;;;1;;4;1
DIALYSE;2023;070786231;AURAL UNITE DIALYSE CH AUBENAS;;;690796552;1140X;;;;6;10;1723;;;;;
DIALYSE;2023;070786249;AURAL UNITE DIALYSE CH ANNONAY;;;690796552;112AX;;;;2;3;293;;;;;
DIALYSE;2023;070786249;AURAL UNITE DIALYSE CH ANNONAY;;;690796552;1130X;;;;4;6;984;;;;;
DIALYSE;2023;070786249;AURAL UNITE DIALYSE CH ANNONAY;;;690796552;1140X;;;;6;2;1441;;;;;
DIALYSE;2023;070786249;AURAL UNITE DIALYSE CH ANNONAY;;;690796552;1150A;;;;4;4;725;;;;;
DIALYSE;2023;070786249;AURAL UNITE DIALYSE CH ANNONAY;;;690796552;1210;;;;;9;;;;328;;
DIALYSE;2023;070786249;AURAL UNITE DIALYSE CH ANNONAY;;;690796552;121AX;;;;;7;;;;253;;
DIALYSE;2023;070786249;AURAL UNITE DIALYSE CH ANNONAY;;;690796552;121CX;;;;2;2;;;;75;;
DIALYSE;2023;070786249;AURAL UNITE DIALYSE CH ANNONAY;0;1;690796552;TOT;0;;;;;;;;;;
DIALYSE;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;;;080011174;112AX;;;;0;;2;;;;;
DIALYSE;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;;;080011174;112BA;;;;24;93;12996;;;;;
DIALYSE;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;;;080011174;112BE;;;;0;;3;;;;;
DIALYSE;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;;;080011174;1150A;;;;2;;;;;;;
DIALYSE;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;;;080011174;1210;;;;;6;;;;1083;;
DIALYSE;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;;;080011174;121AX;;;;;0;;;;775;;
DIALYSE;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;;;080011174;121CX;;;;1;6;;;;308;;
DIALYSE;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;;;080011174;122AX;;;;1;;;;;11;;
DIALYSE;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;1;1;080011174;TOT;0;;;;;;911;3;;54;10
DIALYSE;2023;080005846;UNITE D AUTODIALYSE DE BAZEILLES;;;510000953;112AX;;;;1;;38;;;;;
DIALYSE;2023;080005846;UNITE D AUTODIALYSE DE BAZEILLES;;;510000953;1140X;;;;14;13;2441;;;;;
DIALYSE;2023;080005846;UNITE D AUTODIALYSE DE BAZEILLES;0;0;510000953;TOT;0;;;;;;;1;;;
DIALYSE;2023;080011182;UAD ET UDM ARPDD;;;510000953;112AX;;;;3;;153;;;;;
DIALYSE;2023;080011182;UAD ET UDM ARPDD;;;510000953;1130X;;;;12;54;8284;;;;;
DIALYSE;2023;080011182;UAD ET UDM ARPDD;;;510000953;1140X;;;;11;15;2538;;;;;
DIALYSE;2023;080011182;UAD ET UDM ARPDD;;;510000953;1150A;;;;2;2;506;;;;;
DIALYSE;2023;080011182;UAD ET UDM ARPDD;;;510000953;1210;;;;;23;;;;3164;;
DIALYSE;2023;080011182;UAD ET UDM ARPDD;;;510000953;121AX;;;;;17;;;;2702;;
DIALYSE;2023;080011182;UAD ET UDM ARPDD;;;510000953;121CX;;;;6;6;;;;462;;
DIALYSE;2023;080011182;UAD ET UDM ARPDD;0;1;510000953;TOT;1;1;24;;;;;1;;15;1
DIALYSE;2023;090000175;CHIVA SITE ST JEAN DE VERGES;;;090781774;112AX;;;;1;;11;;;;;
DIALYSE;2023;090000175;CHIVA SITE ST JEAN DE VERGES;;;090781774;112BA;;;;12;53;7166;;;;;
DIALYSE;2023;090000175;CHIVA SITE ST JEAN DE VERGES;;;090781774;122AX;;;;1;0;;;;4;;
DIALYSE;2023;090000175;CHIVA SITE ST JEAN DE VERGES;;;090781774;122BX;;;;1;0;;;;21;;
DIALYSE;2023;090000175;CHIVA SITE ST JEAN DE VERGES;1;1;090781774;TOT;0;;;;;;1059;2;;53;
DIALYSE;2023;090002833;AAIR UAD UDM DD PAMIERS;;;310000633;1130X;;;;9;38;5262;;;;;
DIALYSE;2023;090002833;AAIR UAD UDM DD PAMIERS;;;310000633;1140X;;;;3;13;1760;;;;;
DIALYSE;2023;090002833;AAIR UAD UDM DD PAMIERS;0;0;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2023;090784125;AAIR UAD LAVELANET;;;310000633;1140X;;;;6;20;2510;;;;;
DIALYSE;2023;090784125;AAIR UAD LAVELANET;0;0;310000633;TOT;0;;;;;;;2;;;
DIALYSE;2023;090784679;AAIR UAD UDM ST LIZIER;;;310000633;1130X;;;;6;7;988;;;;;
DIALYSE;2023;090784679;AAIR UAD UDM ST LIZIER;;;310000633;1140X;;;;6;8;933;;;;;
DIALYSE;2023;100000090;CENTRE HOSPITALIER DE TROYES;;;100000017;112AX;;;;1;;11;;;;;
DIALYSE;2023;100000090;CENTRE HOSPITALIER DE TROYES;;;100000017;112BA;;;;20;89;13027;;;;;
DIALYSE;2023;100000090;CENTRE HOSPITALIER DE TROYES;;;100000017;1210;;;;;0;;;;1;;
DIALYSE;2023;100000090;CENTRE HOSPITALIER DE TROYES;;;100000017;121AX;;;;;0;;;;1;;
DIALYSE;2023;100000090;CENTRE HOSPITALIER DE TROYES;;;100000017;122AX;;;;1;;;;;42;;
DIALYSE;2023;100000090;CENTRE HOSPITALIER DE TROYES;;;100000017;122BX;;;;1;5;;;;782;;
