BOR;AN;FI;RS;FI_EJ;EX_NEUCHI;LIT_NEUCHI;EX_REA;EX_POST;EX_NEURAD;LIT_NEURAD;EX_NAV;TELEEXP;TELEEXP_NB;TELECONS;TELECONS_NB;SEJ_ADU;SEJ0_ADU;JOU_ADU;SEJ_PED;SEJ0_PED;JOU_PED;SEJ_REA;JOU_REA;SEJ_POS;JOU_POS;SEJ_END;SEJ0_END;JOU_END
NEUROCHIR;2023;630000404;HOPITAL GABRIEL MONTPIED - CHU63;630780989;1;60;1;1;1;2;1;0;;0;;2453;42;15678;22;0;92;270;2146;146;1584;393;25;2274
NEUROCHIR;2023;630781268;HOPITAL ESTAING - CHU63;630780989;0;;0;0;0;;1;0;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2023;640000162;CH COTE BASQUE;640780417;1;21;0;0;0;;0;0;;0;;1647;71;7755;16;1;40;25;377;114;276;0;0;0
NEUROCHIR;2023;640780946;POLYCLINIQUE PAU PYRENEES SITE NAVARRE;640000469;1;32;0;1;0;;1;0;;0;;93;1;646;2;2;0;0;0;5;27;0;0;0
NEUROCHIR;2023;660000084;CH PERPIGNAN;660780180;1;23;1;1;1;2;0;1;360;1;360;1020;87;7438;4;0;21;68;459;111;305;0;0;0
NEUROCHIR;2023;670783273;HOPITAL DE HAUTEPIERRE;670780055;1;36;0;1;1;6;1;1;;1;;1536;53;7407;3;0;21;87;702;45;452;323;51;1399
NEUROCHIR;2023;680000684;HOPITAL LOUIS PASTEUR;680000973;1;45;0;1;1;1;1;1;2800;1;400;2536;107;13695;4;1;9;130;1704;18;71;170;43;996
NEUROCHIR;2023;690007539;HOPITAL FEMME MERE ENFANT - HCL;690781810;1;10;0;0;0;;0;0;;0;;0;0;0;640;32;3029;75;232;193;276;0;0;0
NEUROCHIR;2023;690041124;MEDIPOLE HOPITAL PRIVE;690000724;1;15;0;0;0;;1;0;;0;;451;11;1932;0;0;0;13;138;202;362;0;0;0
NEUROCHIR;2023;690780648;CLINIQUE DE LA SAUVEGARDE;690036900;0;3;0;0;0;;0;0;;0;;146;3;392;0;0;0;0;0;0;0;0;0;0
NEUROCHIR;2023;690784178;HOPITAL PIERRE WERTHEIMER - HCL;690781810;1;114;1;1;1;5;1;;;0;;5046;1858;16490;73;64;37;148;1399;463;1265;828;68;3541
NEUROCHIR;2023;740000237;CH ANNECY-GENEVOIS SITE ANNECY;740781133;1;14;0;1;0;;1;1;1029;1;1008;923;14;4880;8;0;22;100;282;81;270;56;3;219
NEUROCHIR;2023;750000499;CH SAINTE ANNE;750062036;1;17;1;1;1;4;1;0;;0;;2061;658;6083;12;3;43;89;990;39;191;552;139;1814
NEUROCHIR;2023;750000549;HOPITAL FONDATION A DE ROTHSCHILD;750150229;1;32;0;0;1;8;1;1;520;1;662;1038;362;2343;3;1;4;1;3;2;8;881;77;3651
NEUROCHIR;2023;750100042;HU SAINT LOUIS SITE LARIBOISIERE APHP;750712184;1;41;0;0;1;;1;0;;1;549;1567;105;8379;14;0;72;173;1380;79;493;668;107;2163
NEUROCHIR;2023;750100125;HU PITIE SALPETRIERE APHP;750712184;1;61;1;1;1;4;1;1;;1;1176;4129;1483;12611;37;11;100;406;4852;1416;1143;422;77;2253
NEUROCHIR;2023;750100208;HU NECKER ENFANTS MALADES APHP;750712184;1;16;1;1;0;;1;1;0;1;1423;16;2;43;1401;129;4372;423;1061;439;1396;0;0;0
NEUROCHIR;2023;760000158;HOPITAL CHARLES NICOLLE CHU ROUEN;760780239;1;58;1;1;1;3;1;1;0;1;0;2166;66;14832;28;2;223;301;2237;586;1032;344;90;1101
NEUROCHIR;2023;780300323;HOPITAL PRIVE FRANCISCAINES;780003679;1;28;0;1;0;;1;0;;0;;898;17;2959;0;0;0;0;0;69;112;0;0;0
NEUROCHIR;2023;800006124;CHU AMIENS SUD;800000044;1;39;1;1;1;4;1;1;1200;0;;2308;202;10665;91;8;403;375;2374;114;204;299;46;1140
NEUROCHIR;2023;830100574;HIA SAINTE ANNE;750821092;1;20;1;1;1;4;1;1;1929;1;3;727;4;7164;4;0;16;66;405;107;442;189;49;736
NEUROCHIR;2023;860000223;CHU LA MILETRIE;860014208;1;29;1;0;0;0;1;1;0;1;26;1212;3;9026;11;1;41;217;2338;494;651;445;40;2356
NEUROCHIR;2023;870000064;C H U DUPUYTREN LIMOGES;870000015;1;51;0;0;0;;0;1;;1;;1535;37;7091;9;0;17;55;436;248;1762;351;2;1512
NEUROCHIR;2023;920000650;HOPITAL FOCH;920150059;1;28;0;1;1;7;1;0;;1;96;885;84;2639;4;1;6;18;402;388;1993;306;93;842
NEUROCHIR;2023;920100039;HU PARIS NORD SITE BEAUJON APHP;750712184;1;16;1;1;0;;1;1;;1;204;2104;1298;4942;10;3;12;121;1171;156;284;0;0;0
NEUROCHIR;2023;920120011;HIA PERCY;750821092;1;15;0;0;0;;1;0;;0;;751;13;3770;10;0;20;103;281;0;0;0;0;0
NEUROCHIR;2023;930300025;HOPITAL EUROPEEN LA ROSERAIE;930000393;1;26;0;1;0;;1;0;;0;;399;6;1664;0;0;0;28;97;47;121;0;0;0
NEUROCHIR;2023;940100027;HU HENRI MONDOR SITE HENRI MONDOR APHP;750712184;1;30;1;1;1;10;1;1;79;1;3;1492;245;8930;12;4;70;313;2283;81;585;497;152;1800
NEUROCHIR;2023;940100043;HU PARIS SUD SITE KREMLIN BICETRE APHP;750712184;1;34;1;1;1;4;1;1;24;1;48;1600;193;9535;23;2;103;240;1682;355;891;380;21;1806
NEUROCHIR;2023;970100442;C.H.U. DE POINTE-A-PITRE/ABYMES;970100228;0;11;0;1;1;8;1;;;;;718;18;3933;6;1;10;46;351;15;73;0;0;0
NEUROCHIR;2023;970211215;CHU DE MARTINIQUE SITE P.ZOBDA QUITMAN;970211207;1;9;0;0;0;;0;0;;0;;580;13;3450;5;0;26;27;437;0;0;128;4;1025
NEUROCHIR;2023;970400057;CHU SITE SUD (SAINT PIERRE);970408589;1;18;1;0;1;;1;1;;0;;918;5;6063;4;0;25;256;1812;21;56;224;20;1408
