BOR;AN;FI;RS;FI_EJ;PALIA_A1;PALIA_A2;PALIA_A3;PALIA_A4;PALIA_A5;PALIA_A6;PALIA_A7;PALIA_A8;PALIA_A9;PALIA_A21;PALIA_A22;PALIA_A23;PALIA_A10;PALIA_A11;PALIA_A12;PALIA_A13;PALIA_A14;PALIA_A15;PALIA_A16;PALIA_A17;PALIA_A18;PALIA_A24;PALIA_A19;PALIA_A20;USP_EFFLIB_PM;USP_EFFLIB_PMPAL;USP_EFFLIB_CADRES;USP_EFFLIB_IDE;USP_EFFLIB_IDEPAL;USP_EFFLIB_AIDES;USP_EFFLIB_PSY;USP_EFFLIB_PNMAUT;USP_ETPSAL_PM;USP_ETPSAL_PMPAL;USP_ETPSAL_CADRES;USP_ETPSAL_IDE;USP_ETPSAL_IDEPAL;USP_ETPSAL_AIDES;USP_ETPSAL_PSY;USP_ETPSAL_PNMAUT;EMSP_EFFLIB_PM;EMSP_EFFLIB_PMPAL;EMSP_EFFLIB_CADRES;EMSP_EFFLIB_IDE;EMSP_EFFLIB_IDEPAL;EMSP_EFFLIB_AIDES;EMSP_EFFLIB_PSY;EMSP_EFFLIB_PNMAUT;EMSP_ETPSAL_PM;EMSP_ETPSAL_PMPAL;EMSP_ETPSAL_CADRES;EMSP_ETPSAL_IDE;EMSP_ETPSAL_IDEPAL;EMSP_ETPSAL_AIDES;EMSP_ETPSAL_PSY;EMSP_ETPSAL_PNMAUT
PALIA;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;1;3;0;0;7;0;;;;;;;1;1782;13;2;3674;0;972;2667;385;2;22;32;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0.08;2.21;1;0;1;2.57
PALIA;2023;040780389;CLINIQUE JEAN GIONO;040000150;1;4;;;21;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;040782021;CTRE SOINS DE SUITE READAPT LE COUSSON;130037815;1;4;4;0;23;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;050000058;CENTRE MEDICAL SSR RIO VERT;050000033;1;4;4;0;23;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;1;4;;;45;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;050000256;CENTRE HOSPITALIER D'EMBRUN;050000124;1;2;;;24;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;1;4;4;;23;1;1;10;251;;;;1;3822;33;28;1149;2466;807;549;1083;;25;121;;;;;;;;;1.97;1.07;0.56;8.79;3.7;8.87;0.43;1.73;;;;;;;;;1.81;1.1;0.56;3.86;1.76;;1.8;1.8
PALIA;2023;050000991;CENTRE MEDICAL CHANTOURS;050000546;1;4;4;;70;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;050001064;CENTRE MEDICAL LA DURANCE;050000561;1;2;;;22;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;1;12;2;0;154;0;;;;;;;0;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PALIA;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;1;10;;;343;1;1;12;213;;;;1;1126;67;4;2140;2020;120;;426;;24;7;;;;;;;;;4.22;4;1.89;35.26;;26.29;1.5;17.01;;;;;;;;;1.41;1.41;1.49;29.28;;14.29;1;12.34
PALIA;2023;060000528;CENTRE ANTOINE LACASSAGNE;060780962;1;9;;;124;0;;;;;;;1;2032;;;0;;;;648;;43;8;;;;;;;;;;;;;;;;;;;;;;;;;1.89;1.89;0.1;0.9;0.9;;0.25;0.71
PALIA;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;1;4;;;166;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;060001625;CENTRE JEAN CHANTON ROQUEBILLIERE;060006889;1;2;2;;11;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;060002102;CH LA PALMOSA DE MENTON;060791761;1;4;0;0;74;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;060780145;CLINIQUE SAINT DOMINIQUE;060000049;1;14;14;0;163;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;060780186;LES LAURIERS ROSES CHAINES DE VIE 06;060006939;1;4;4;;48;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;060780277;CLINIQUE SAINTE BRIGITTE;920030269;1;7;7;;67;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;060780517;POLYCLINIQUE SAINT JEAN;060000239;1;4;0;0;93;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;060780715;CLINIQUE SAINT GEORGE;060000361;1;3;;;106;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;0;;;;;0;;;;;;;1;525;;9;259;227;8;24;58;;4;5;;;;;;;;;;;;;;;;;;;;;;;;;0.7;;0;1.5;;0;1;0.5
PALIA;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;1;3;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;1;3;1;2;94;1;1;12;487;0;0;18;1;1378;;;37;;;;722;18;;;;;;;;;;;3.43;;;;;;;;;;;;;;;;3.48;;;;;;;
PALIA;2023;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;1;6;2;;49;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;1;11;5;;327;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;070000013;CH DE PRIVAS ARDECHE;070002878;0;;;;;1;1;6;140;;;;1;1183;11;;228;;;;354;;;;;;;;;;;;1.52;;;6.5;;5.93;0.37;0.94;;;;;;;;;0.17;;;1.4;;;;
PALIA;2023;070000062;CH DE BOURG SAINT ANDEOL;070005558;1;5;0;0;96;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;070000179;CH ARDECHE NORD;070780358;1;4;4;;68;0;;;;;;;1;1307;13;7;201;25;176;0;422;5;74;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0.05;1.2;0.2;0;0.8;0.8
PALIA;2023;070000195;CH DE TOURNON SUR RHONE;070780374;1;3;0;0;63;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;1;6;;;46;0;;;;;;;1;1115;;;1119;523;243;353;401;0;43;39;;;;;;;;;;;;;;;;;;;;;;;;;1.39;;0.01;3.23;;;0.77;1.02
PALIA;2023;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;1;2;;;30;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;1;6;;;28;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;080000276;CENTRE HOSPITALIER DE VOUZIERS;080001969;1;4;;;26;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;1;8;0;0;170;0;;;;;;;1;4247;5;2;138;125;6;7;553;;72;0;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1.86;;;1;0.5
PALIA;2023;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;1;9;6;0;133;1;1;6;189;;;;1;1435;;;145;4;10;131;594;;152;106;;;;;;;;;0.9;;0.3;0.2;;;0.6;;;;;;;;;;0.9;;0.1;2;;;0.4;
PALIA;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;1;4;0;;63;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;090001629;CHIVA SITE LAVELANET;090781774;1;3;;;23;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;100000090;CENTRE HOSPITALIER DE TROYES;100000017;1;13;0;0;39;0;;;;;;;1;1080;23;10;696;84;153;459;723;0;119;14;;;;;;;;;;;;;;;;;;;;;;;;;1.06;1.06;0;1.83;1;0;0.87;0
PALIA;2023;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;0;;;;;0;;;;;;;1;2;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;0;;;;;1;1;5;143;;;;1;;;;;;;;;;;;;;;;;;;;0.4;0.4;;;;;;;;;;;;;;;0.1;0.1;;;;;;
PALIA;2023;100009364;MCO COMTE HENRI - CH DE TROYES;100000017;0;;;;;1;1;12;297;;;;0;;;;;;;;;;;;;;;;;;;;2.24;2.24;1;11.11;0;10.77;1.16;4.6;;;;;;;;;;;;;;;;
PALIA;2023;100010818;GCS HOPITAL PRIVE DE L'AUBE SITE CLQ;100010792;1;3;;;37;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;110000023;CH CARCASSONNE;110780061;1;6;;;99;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;110000049;CH JP CASSABEL CASTELNAUDARY;110780087;1;2;;;53;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;110000056;CH NARBONNE;110780137;1;8;;;221;0;;;;;;;1;2607;10;5;555;3;58;492;508;;45;21;;;;;;;;;;;;;;;0;;;;;;;;;;0.8;0.8;0.1;1.76;0.91;;0.8;0.9
PALIA;2023;110000247;CH LEZIGNAN CORBIERES;110780772;1;4;0;0;25;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;110780202;CL KORIAN LA VERNEDE;310021316;1;4;4;0;960;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;;;;;;
PALIA;2023;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;1;12;;;460;0;;;;;;;1;7666;13;3;161;130;6;25;808;12;160;127;;;;;;;;;;;;;;;;;;;;;;;1;;;1.5;0.2;2;;0.45;0.5;1.3
PALIA;2023;110780483;POLYCL MONTREAL CARCASSONNE;110000155;1;4;;;59;1;1;10;218;;;;1;101;40;7;3700;;;;1783;;35;70;;;;;;;;;;1;0.5;6.8;3;7;0.5;1;;;;;;;;3;;1;0.5;2;2;;0.5;1.3
PALIA;2023;110786746;SSR LIMOUX ARAGOU LES TILLEULS USSAP;110786324;1;3;3;0;10;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;0;;;;;1;1;10;262;;;;1;1017;2;3;113;81;19;13;414;11;42;13;;;;;;;;;1.4;;1.1;8.87;;9.1;;0.6;;;;;;;;;;;;1.37;;;0.5;0.65
PALIA;2023;120000070;CH PIERRE DELPECH DECAZEVILLE;120780085;1;5;0;0;63;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;120000088;CH ETIENNE RIVIE ST GENIEZ D'OLT;120780093;1;2;2;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;120000096;CHI ESPALION ST LAURENT D'OLT;120780101;1;2;2;;13;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;120000153;CH MAURICE FENAILLE SEVERAC LE CHATEAU;120780291;1;3;3;0;0;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;120000237;CHI VALLON SALLES LA SOURCE;120780481;1;5;5;;14;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;120004569;CH MILLAU;120004528;1;3;;;54;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;1;3;1;;135;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;120780135;CTRE SSR LA CLAUZE ST JEAN DELNOUS;120000104;1;12;12;0;159;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;120780143;CTRE SSR LES TILLEULS CEIGNAC;120000112;1;4;4;;12;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;130000409;CHI SITE D'AIX EN PROVENCE;130041916;1;4;4;;36;0;;;;;;;1;2152;2;1;;;;;505;0;30;0;;;;;;;;;;;;;;;;;;;;;;;;;0.47;0.47;0;2.34;1;0;0.6;1
PALIA;2023;130000516;CH LOUIS BRUNET D'ALLAUCH;130781339;1;4;2;;62;0;;;;;;;1;95;24;39;102;7;82;13;151;;68;8;;;;;;;;;;;;;;;;;;;;;;;;;0.4;;0.7;1.8;;0.42;0.9;
PALIA;2023;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;1;2;;;5;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;130001225;HOPITAL DU PAYS SALONAIS;130782634;1;6;4;0;299;1;1;12;332;;;8;1;2533;11;1;922;0;50;872;742;3;59;15;;;;;;;;;2.4;0.7;0.8;8.29;;6.74;0.89;2.41;;;;;;;;;0.16;0.16;0.1;0.86;;;0.53;0.4
PALIA;2023;130001258;HOPITAUX PORTES DE CAMARGUE TARASCON;130028228;1;2;2;0;13;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;130001647;INSTITUT PAOLI CALMETTES;130784127;1;16;;;468;0;;;;;;;1;1410;0;2;135;;;135;1545;;43;4;;;;;;;;;;;;;;;;;;;;;;;;;3;;0.1;2;;;1;2.92
PALIA;2023;130002827;CH JOSEPH IMBERT D'ARLES;130789274;1;4;;;170;0;;;;;;;1;789;10;0;127;;31;96;387;;151;;;;;;;;;;;;;;;;;;;;;;;;;;1.03;;;2;;;0.11;1.09
PALIA;2023;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;1;3;;;24;0;;;;;;;1;1256;19;1;0;0;0;0;168;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;0.7;;;1.75;;;0.64;0.5
PALIA;2023;130043664;HOPITAL EUROPEEN;130002157;1;16;;;421;0;;;;;;;1;8125;;;;;;;788;8;110;14;;;;;;;;;;;;;;;;;1;;;;;;;3;2.2;2.2;0.2;2.3;;;;0.5
PALIA;2023;130045263;VILLA IZOI;130007487;0;;;;;1;1;14;225;;;;1;;;;;;599;;;;;;;;;;;;;;2;2;2;9;;9;2;4;;;;;;;;;1;1;1;3;;;1;
PALIA;2023;130780521;APHM HOPITAL NORD;130786049;1;8;0;0;241;0;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.93;;0.54;3;;;0.7;0.92
PALIA;2023;130781255;HOSPITALITE SAINT THOMAS DE VILLENEUVE;220020739;0;;;;;1;1;20;316;;;;1;0;8;0;577;0;27;550;202;0;3;9;;;;;;;;;2.3;2.3;0.9;13.5;0;16.8;1;8;;;;;;;;;0.7;0.7;0.1;2.5;1;0;0.5;0.5
PALIA;2023;130782444;CLINIQUE DU CHATEAU DE FLORANS;130001100;1;4;4;0;58;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;130782451;LE MEDITERRANEE CLINIQUE CASTELLAS;130001118;1;2;2;;280;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;130783152;CLINIQUE SAINTE ELISABETH;130001365;1;11;11;0;385;1;1;26;631;0;0;20;1;0;4;0;255;0;4;251;171;0;14;19;0;0;0;0;0;0;0;0;4.72;4.72;1.35;20.98;0;21.15;1.42;15.63;0;0;0;0;0;0;0;0;0.8;0.8;0.08;2.6;0;0;0.5;0.5
PALIA;2023;130783293;APHM HOPITAL LA TIMONE;130786049;1;12;;;171;1;1;7;137;;;;1;;;;;;;;;;;;;;;;;;;;1.2;;1;7.61;;14.45;0.5;25.17;;;;;;;;;2;;;2.65;;;0.5;0.64
PALIA;2023;130783475;CLINIQUE L'ANGELUS;690793195;1;8;8;0;142;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;130784051;HOPITAL PRIVE CLAIRVAL;130037823;1;8;;;77;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;130784911;CLINIQUE DE LA SALETTE;920030855;1;2;2;;17;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;130785652;HOPITAL SAINT JOSEPH;130014228;1;4;;;4;1;1;12;281;;;;1;2159;;;670;;;;866;;14;;;;;;;;;;1.9;;1;9.36;;10.78;0.8;4.87;;;;;;;;;1.8;;0.6;5.8;;;1;1.8
PALIA;2023;130785975;CLINIQUE LES OLIVIERS;310021340;1;13;13;0;87;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;130785983;CLINIQUE SAINT CHRISTOPHE;130002306;1;14;14;;222;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;130786361;POLYCLIN PARC RAMBOT HOP PRIV PROVENCE;130002447;1;3;;;87;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;130804297;APHM HOPITAL LA TIMONE ENFANTS;130786049;1;3;;;31;0;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.9;;;1.9;;0.24;1;
PALIA;2023;130808843;USLD MARCEL PAGNOL;920030152;0;;;;;0;;;;;;;1;13;;;;;;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALIA;2023;130809015;CENTRE GERONTOLOGIQUE DEPARTEMENTAL;130001928;1;6;2;;58;0;;;;;;;1;38;73;2;1113;51;956;112;330;;15;14;;;;;;;;;;;;;;;;;;;;;;;;;1.53;;;1.83;1;0.15;0.85;1.68
PALIA;2023;130811102;LA MAISON;130007487;0;;;;;1;1;24;704;;;;0;;;;;;;;;;;;;;;;;;;;;3;3;18;;18;2;;;;;;;;;;;;;;;;;
PALIA;2023;140000027;CENTRE HOSPITALIER DE LISIEUX;140000035;1;8;0;0;488;0;;;;;;;1;1553;2;4;444;59;26;359;493;48;32;159;;;;;;;;;;;;;;;;;;;;;;;;;0.66;0.66;;1;;;1.24;0.63
PALIA;2023;140000076;CENTRE HOSPITALIER AUNAY-BAYEUX;140000092;1;3;3;0;28;0;;;;;;;1;654;1;;;;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.13;0.13;;0.33;0.33;;0.1;0.33
PALIA;2023;140000209;CHU COTE DE NACRE - CAEN;140000100;1;16;0;0;456;0;;;;;;;1;7795;1;0;64;58;1;0;1876;0;330;277;;;;;;;;;;;;;;;;;;;;;;;;;3.22;;;3.5;;;1.65;1.78
