FI;PERSO;ETP_PU;ETP_PH;ETP_AS;ETP_HU;ETP_PC;ETP_PC_EXT;ETP_PC_PA_EXT;ETP_PA;ETP_PA_EXT;ETP_AUTRES;BOR;AN;RS;FI_EJ;EFFSALPLH;EFFSALPLF;EFFSALPAH;EFFSALPAF;EFFLIBPLH;EFFLIBPLF;EFFLIBPAH;EFFLIBPAF;ETPSALH;ETPSALF;ETPSAL_TOT_PUBLIC;EFFSAL;ETPSAL;EFFLIB;cf_at;cf_au
010000024;M1130;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;2;3;0;0;;;;;2;3;;5;5;;;
010000024;M1140;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;1;3;2;2;;;;;3.48;3.04;;8;6.52;;;
010000024;M1150;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;3;0;1;0;;;;;3.35;0.54;;4;3.89;;;
010000024;M1160;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;0;1;0;1;;;;;0;1.4;;2;1.4;;;
010000024;M1170;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;1;2;0;0;;;;;1;2;;3;3;;;
010000024;M1180;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;0;1;0;0;;;;;0;1;;1;1;;;
010000024;M1190;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;0;1;0;3;;;;;0;2.67;;4;2.67;;;
010000024;M1200;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;0;1;0;0;;;;;0;0.5;;1;0.5;;;
010000024;M1320;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;2;6;1;2;;;;;2.4;6.2;;11;8.6;;;
010000024;M1340;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;4;9;3;6;;;;3;7.03;10.59;;22;17.62;3;;
010000024;M2020;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;1;1;0;0;;;;;1;1;;2;2;;;
010000024;M2030;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;4;1;1;0;;;;;4.2;1;;6;5.2;;;
010000024;M2040;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;0;0;1;0;;;;;0.3;0;;1;0.3;;;
010000024;M2050;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;1;10;1;0;;;;5;1.1;8.68;;12;9.78;5;;
010000024;M2070;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;0;0;1;0;;;;;0.2;0;;1;0.2;;;
010000024;M2080;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;1;2;1;1;;;;;1.4;2.34;;5;3.74;;;
010000024;M2100;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;4;0;0;0;;;;;4;0;;4;4;;;
010000024;M2120;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;4;0;0;0;;;;;4;0;;4;4;;;
010000024;M2130;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;2;1;0;0;;;;3;2;1;;3;3;3;;
010000024;M3012;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;2;1;0;3;;;;;2;3.28;;6;5.28;;;
010000024;M3030;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;1;0;0;1;;;;;1;0.6;;2;1.6;;;
010000024;M3040;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;1;0;0;1;;;;;0.8;0.1;;2;0.9;;;
010000024;M3050;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;3;7;0;3;;;;;3.3;8.44;;13;11.74;;;
010000024;M3060;;;;;;;;;;;Q20;2023;CH DE FLEYRIAT;010780054;0;0;1;0;;;;;0.5;0;;1;0.5;;;
010000024;M9999;0;123.62;6.18;0;25.33;0.37;4.6;9.14;6.96;-2.84217E-14;Q20;2023;CH DE FLEYRIAT;010780054;73;68;26;47;;;;11;87.64;88.56;176.2;214;176.2;11;;
010000032;M1010;;;;;;;;;;;Q20;2023;CH BUGEY SUD;010780062;4;;;5;;;;;4.12;4.18;;9;8.3;;;
010000032;M1030;;;;;;;;;;;Q20;2023;CH BUGEY SUD;010780062;;;1;;;;;;0.22;;;1;0.22;;;
010000032;M1090;;;;;;;;;;;Q20;2023;CH BUGEY SUD;010780062;1;;;;;;;;1;;;1;1;;;
010000032;M1120;;;;;;;;;;;Q20;2023;CH BUGEY SUD;010780062;;;1;;;;;;0.98;;;1;0.98;;;
010000032;M1140;;;;;;;;;;;Q20;2023;CH BUGEY SUD;010780062;;1;;1;;;;;;1.2;;2;1.2;;;
010000032;M1200;;;;;;;;;;;Q20;2023;CH BUGEY SUD;010780062;;;;1;;;;;;0.2;;1;0.2;;;
010000032;M1320;;;;;;;;;;;Q20;2023;CH BUGEY SUD;010780062;;;;2;;;;;0.1;1;;2;1.1;;;
010000032;M1340;;;;;;;;;;;Q20;2023;CH BUGEY SUD;010780062;2;;2;3;;;;;5.48;1.61;;7;7.09;;;
010000032;M2010;;;;;;;;;;;Q20;2023;CH BUGEY SUD;010780062;1;;;;;;;;1;;;1;1;;;
010000032;M2030;;;;;;;;;;;Q20;2023;CH BUGEY SUD;010780062;3;;;;;;;;3;;;3;3;;;
010000032;M2050;;;;;;;;;;;Q20;2023;CH BUGEY SUD;010780062;;;2;;;;;;1.04;;;2;1.04;;;
010000032;M2100;;;;;;;;;;;Q20;2023;CH BUGEY SUD;010780062;1;;;;;;;;1;;;1;1;;;
010000032;M2120;;;;;;;;;;;Q20;2023;CH BUGEY SUD;010780062;2;;;;;;;;2;;;2;2;;;
010000032;M3050;;;;;;;;;;;Q20;2023;CH BUGEY SUD;010780062;;1;;2;;;;;;2.61;;3;2.61;;;
010000032;M9999;;20.6;;;8.46;1;;0.68;;0;Q20;2023;CH BUGEY SUD;010780062;14;2;6;14;;;;;19.94;10.8;30.74;36;30.74;;;
010000065;M1010;;;;;;;;;;;Q20;2023;CH DE TREVOUX - MONTPENSIER;010780096;4;2;2;6;;;;;4.81;6.19;;14;11;;;
010000065;M1040;;;;;;;;;;;Q20;2023;CH DE TREVOUX - MONTPENSIER;010780096;;;1;3;;;;;0.1;0.26;;4;0.36;;;
010000065;M1160;;;;;;;;;;;Q20;2023;CH DE TREVOUX - MONTPENSIER;010780096;;;1;;;;;;0.6;;;1;0.6;;;
010000065;M1320;;;;;;;;;;;Q20;2023;CH DE TREVOUX - MONTPENSIER;010780096;1;1;1;3;;;;;1.9;2.85;;6;4.75;;;
010000065;M3050;;;;;;;;;;;Q20;2023;CH DE TREVOUX - MONTPENSIER;010780096;1;;;1;;;;;1;0.8;;2;1.8;;;
010000065;M9999;;16.54;;;1.21;;0.76;;;-3.55271E-15;Q20;2023;CH DE TREVOUX - MONTPENSIER;010780096;6;3;5;13;;;;;8.41;10.1;18.51;27;18.51;;;
010000081;M1010;;;;;;;;;;;Q20;2023;CH DU PAYS DE GEX;010780112;;1;1;;;;;;0.5;1;;2;1.5;;;
010000081;M3050;;;;;;;;;;;Q20;2023;CH DU PAYS DE GEX;010780112;;1;;;;;;;;0.17;;1;0.17;;;
010000081;M9999;;0.17;;;1.5;;;;;0;Q20;2023;CH DU PAYS DE GEX;010780112;;2;1;;;;;;0.5;1.17;1.67;3;1.67;;;
010000099;M1320;;;;;;;;;;;Q20;2023;CH DE MEXIMIEUX;010780120;0;1;1;0;;;;;0.07;1.05;;2;1.12;;;
010000099;M3050;;;;;;;;;;;Q20;2023;CH DE MEXIMIEUX;010780120;0;0;0;1;;;;;;0.8;;1;0.8;;;
010000099;M3060;;;;;;;;;;;Q20;2023;CH DE MEXIMIEUX;010780120;0;0;1;0;;;;;0.15;;;1;0.15;;;
010000099;M9999;;1.8;;;0.07;;;;0.2;0;Q20;2023;CH DE MEXIMIEUX;010780120;0;1;2;1;;;;;0.22;1.85;2.07;4;2.07;;;
010000107;M1320;;;;;;;;;;;Q20;2023;CH DE PONT DE VAUX;010780138;1;1;1;;;;;;1.6;1;;3;2.6;;;
010000107;M3050;;;;;;;;;;;Q20;2023;CH DE PONT DE VAUX;010780138;;1;;;;;;;;0.38;;1;0.38;;;
010000107;M9999;;1.98;;;;;;1;;0;Q20;2023;CH DE PONT DE VAUX;010780138;1;2;1;;;;;;1.6;1.38;2.98;4;2.98;;;
010000115;M1010;;;;;;;;;;;Q20;2023;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;;1;2;;;;;;0.65;1;;3;1.65;;;
010000115;M1320;;;;;;;;;;;Q20;2023;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;;1;;;;;;;;1;;1;1;;;
010000115;M3050;;;;;;;;;;;Q20;2023;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;;;1;;;;;;0.4;0.11;;1;0.51;;;
010000115;M9999;;1.5;;;0.66;;;;1;0;Q20;2023;CHI AIN VAL DE SAONE - PONT VEYLE;010009132;;2;3;;;;;;1.05;2.11;3.16;5;3.16;;;
010000131;M1010;;;;;;;;;;;Q20;2023;CHI AIN VAL DE SAONE - THOISSEY;010009132;;;;;;;;;0.25;;;;0.25;;;
010000131;M1320;;;;;;;;;;;Q20;2023;CHI AIN VAL DE SAONE - THOISSEY;010009132;;1;;1;;;;;;1.4;;2;1.4;;;
010000131;M3050;;;;;;;;;;;Q20;2023;CHI AIN VAL DE SAONE - THOISSEY;010009132;1;1;1;1;;;;;0.37;0.74;;4;1.11;;;
010000131;M9999;;1.88;;;0.88;;;;;0;Q20;2023;CHI AIN VAL DE SAONE - THOISSEY;010009132;1;2;1;2;;;;;0.62;2.14;2.76;6;2.76;;;
010000180;M1010;;;;;;;;;;;Q20;2023;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;;;1;1;;;;;0.8;0.8;;2;1.6;;;
010000180;M3050;;;;;;;;;;;Q20;2023;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;;1;;;;;;;;0.35;;1;0.35;;;
010000180;M9999;;;;;;0.2;;;1.75;0;Q20;2023;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;010007987;;1;1;1;;;;;0.8;1.15;1.95;3;1.95;;;
010000198;M1010;;;;;;;;;;;Q20;2023;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;1;;2;;;;;;3;;;3;3;;;
010000198;M1180;;;;;;;;;;;Q20;2023;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;;1;;;;;;;;1;;1;1;;;
010000198;M3050;;;;;;;;;;;Q20;2023;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;;;;1;;;;;;0.35;;1;0.35;;;
010000198;M9999;;2;2.16;;;0.2;;;;-0.01;Q20;2023;CH PUBLIC HAUTEVILLE - UNITE INTERDEPT;010007987;1;1;2;1;;;;;3;1.35;4.36;5;4.35;;;0.3103448276
010000214;M1010;;;;;;;;;;;Q20;2023;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;4;;1;2;;;;;3.5;1.3;;7;4.8;;;
010000214;M1070;;;;;;;;;;;Q20;2023;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;;;1;;;;;;0.2;;;1;0.2;;;
010000214;M1150;;;;;;;;;;;Q20;2023;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;1;;;;;;;;1;;;1;1;;;
010000214;M1320;;;;;;;;;;;Q20;2023;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;1;;;;;;;;1;;;1;1;;;
010000214;M3040;;;;;;;;;;;Q20;2023;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;;;;1;;;;;;0.1;;1;0.1;;;
010000214;M3050;;;;;;;;;;;Q20;2023;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;;2;;;;;;;;2;;2;2;;;
010000214;M3060;;;;;;;;;;;Q20;2023;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;;;;1;;;;;;0.3;;1;0.3;;;
010000214;M9999;;5.8;;;3.6;;;;;0;Q20;2023;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;010007987;6;2;2;4;;;;;5.7;3.7;9.4;14;9.4;;;
010000495;M1010;;;;;;;;;;;Q20;2023;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;2;1;2;1;;;;;3.14;2.08;;6;5.22;;;
010000495;M1320;;;;;;;;;;;Q20;2023;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;1;1;1;;;;;;1.4;1;;3;2.4;;;
010000495;M2070;;;;;;;;;;;Q20;2023;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;;;1;;;;;;0.02;;;1;0.02;;;
010000495;M3020;;;;;;;;;;;Q20;2023;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;9;15;5;8;;;;;10.95;18.81;;37;29.76;;;
010000495;M3030;;;;;;;;;;;Q20;2023;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;;;;;;;;;;0.04;;;0.04;;;
010000495;M3040;;;;;;;;;;;Q20;2023;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;1;;;;;;;;1;;;1;1;;;
010000495;M3050;;;;;;;;;;;Q20;2023;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;;3;;;;;;;;3.27;;3;3.27;;;
010000495;M3060;;;;;;;;;;;Q20;2023;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;;;;1;;;;;;0.48;;1;0.48;;;
010000495;M9999;;;;;;;;;;;Q20;2023;CENTRE PSYCHOTHERAPIQUE DE L'AIN;010783009;13;20;9;10;;;;;16.51;25.68;;52;42.19;;;
010002129;M1010;;;;;;;;;;;Q20;2023;SSR LES ARBELLES;310025010;;1;;;;;;;0.4;1.59;;1;1.99;;;
010002129;M1120;;;;;;;;;;;Q20;2023;SSR LES ARBELLES;310025010;;;;1;;;;;;0.06;;1;0.06;;;
010002129;M1180;;;;;;;;;;;Q20;2023;SSR LES ARBELLES;310025010;1;1;;;;;;;1.13;0.59;;2;1.72;;;
010002129;M1190;;;;;;;;;;;Q20;2023;SSR LES ARBELLES;310025010;;;;1;;;;;;0.8;;1;0.8;;;
010002129;M1320;;;;;;;;;;;Q20;2023;SSR LES ARBELLES;310025010;1;;;;;;;;0.76;0.06;;1;0.82;;;
010002129;M3040;;;;;;;;;;;Q20;2023;SSR LES ARBELLES;310025010;;;;1;;;;;;0.1;;1;0.1;;;
010002129;M3050;;;;;;;;;;;Q20;2023;SSR LES ARBELLES;310025010;1;;;;;;;;0.44;0.52;;1;0.96;;;
010002129;M9999;;;;;;;;;;;Q20;2023;SSR LES ARBELLES;310025010;3;2;;3;;;;;2.73;3.72;;8;6.45;;;
010005239;M1010;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;9;4;5;7;0;0;0;0;12.24;6.39;;25;18.63;0;;
010005239;M1030;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;2;0;8;1;0;0;0;0;5.63;0.22;;11;5.85;0;;
010005239;M1031;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;0;0;0;0;0;0;0;1;0;;1;1;0;;
010005239;M1040;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;1;0;0;0;0;0;0.6;0;;1;0.6;0;;
010005239;M1050;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;1;0;0;0;0;0;0;0;1;;1;1;0;;
010005239;M1070;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;0;1;0;0;0;0;0;0.5;;1;0.5;0;;
010005239;M1090;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;0;1;0;0;0;0;0;1.55;0;;2;1.55;0;;
010005239;M1120;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;1;0;0;0;0;0;0.1;0;;1;0.1;0;;
010005239;M1140;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;3;0;0;0;0;0;1.9;0;;3;1.9;0;;
010005239;M1160;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;2;0;1;0;0;0;0;0;2.5;0;;3;2.5;0;;
010005239;M1200;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;1;0;0;0;0;0;0.2;0;;1;0.2;0;;
010005239;M1340;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;0;0;0;0;0;0;0.01;0.01;;0;0.02;0;;
010005239;M2010;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;2;1;0;0;0;0;0;0;2;1.02;;3;3.02;0;;
010005239;M2020;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;1;4;0;0;0;0;0.25;1.45;;5;1.7;0;;
010005239;M2030;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;3;0;1;0;0;0;0;0;3.13;0;;4;3.13;0;;
010005239;M2050;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;2;1;1;0;0;0;0;0;2.53;1;;4;3.53;0;;
010005239;M2080;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;1;0;0;0;0;0;0;0;1;;1;1;0;;
010005239;M2120;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;0;0;0;0;0;0;0.03;0;;0;0.03;0;;
010005239;M2130;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;0;0;0;0;0;0;0;0.01;0;;0;0.01;0;;
010005239;M3011;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;1;0;0;1;0;0;0;0;0.67;0.2;;2;0.87;0;;
010005239;M3050;;;;;;;;;;;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;0;3;0;0;0;0;0;0;0;2.75;;3;2.75;0;;
010005239;M9999;0;20.84;0;0;20.32;0.07;6.64;2;0;0.02;Q20;2023;CH DU HAUT BUGEY - GEOVREISSET;010008407;23;11;24;14;0;0;0;0;34.35;15.54;49.97;72;49.89;0;0.0460764588;0.5408450704
010005379;M1010;;;;;;;;;;;Q20;2023;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;1;1;;;;;;;0.58;0.91;;2;1.49;;;
010005379;M3050;;;;;;;;;;;Q20;2023;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;;;;1;;;;;;0.5;;1;0.5;;;
010005379;M9999;;;;;;;;;;;Q20;2023;HAD DE L'HOPITAL PRIVE D'AMBERIEU;010010718;1;1;;1;;;;;0.58;1.41;;3;1.99;;;
010006526;M1110;;;;;;;;;;;Q20;2023;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;;;;1;;;;;;0.27;;1;0.27;;;
010006526;M9999;;;;;;;;;;;Q20;2023;AURAL UNITE DIALYSE CH HAUT BUGEY;690796552;;;;1;;;;;;0.27;;1;0.27;;;
010007300;M1030;;;;;;;;;;;Q20;2023;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;;;;;4;1;;;;;;5;;
010007300;M1090;;;;;;;;;;;Q20;2023;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;1;;;;;;0.25;;;1;0.25;;;
010007300;M2020;;;;;;;;;;;Q20;2023;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;;;;;1;;;;;;;1;;
010007300;M2030;;;;;;;;;;;Q20;2023;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;;;;;1;;;;;;;1;;
010007300;M2040;;;;;;;;;;;Q20;2023;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;;;;;;1;;;;;;1;;
010007300;M2070;;;;;;;;;;;Q20;2023;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;;;;;2;1;;;;;;3;;
010007300;M2100;;;;;;;;;;;Q20;2023;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;;;;;2;;;;;;;2;;
010007300;M9999;;;;;;;;;;;Q20;2023;CLINIQUE AMBULATOIRE CENDANEG;010007292;;;1;;;;10;3;0.25;;;1;0.25;13;;
010008852;M1010;;;;;;;;;;;Q20;2023;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;1;1;1;;;;;;2.41;1;;3;3.41;;;
010008852;M1180;;;;;;;;;;;Q20;2023;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;2;;;;;;;;2;;;2;2;;;
010008852;M3050;;;;;;;;;;;Q20;2023;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;;;;1;;;;;0.06;0.62;;1;0.68;;;
010008852;M9999;;;;;;;;;;;Q20;2023;CRF L'ORCET SITE DU CH DE FLEYRIAT;010783009;3;1;1;1;;;;;4.47;1.62;;6;6.09;;;
010009702;M1320;;;;;;;;;;;Q20;2023;USLD EMILE PELICAND;010780054;;2;1;1;;;;;0.2;1.15;;4;1.35;;;
010009702;M9999;;1.15;;;;;0.2;;;0;Q20;2023;USLD EMILE PELICAND;010780054;;2;1;1;;;;;0.2;1.15;1.35;4;1.35;;;
010010171;M1010;;;;;;;;;;;Q20;2023;CLINIQUE DE CHATILLON;010011559;0;0;0;1;;;;;0;0.6;;1;0.6;;;
010010171;M3020;;;;;;;;;;;Q20;2023;CLINIQUE DE CHATILLON;010011559;0;0;0;1;2;3;;;0;0.4;;1;0.4;5;;
010010171;M9999;;;;;;;;;;;Q20;2023;CLINIQUE DE CHATILLON;010011559;0;0;0;2;2;3;;;0;1;;2;1;5;;
010011641;M1150;;;;;;;;;;;Q20;2023;CLINIQUE DU SOUFFLE LE PONTET;010000222;3;1;;;;;;;2.92;1;;4;3.92;;;
010011641;M3050;;;;;;;;;;;Q20;2023;CLINIQUE DU SOUFFLE LE PONTET;010000222;;1;;;;;;;;1.17;;1;1.17;;;
010011641;M9999;;;;;;;;;;;Q20;2023;CLINIQUE DU SOUFFLE LE PONTET;010000222;3;2;;;;;;;2.92;2.17;;5;5.09;;;
010780195;M1010;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;2;0;1;1;0;0;0;0;2.14;0.62;;4;2.76;0;;
010780195;M1030;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;11;1;0;0;0;0;;0;0;12;;
010780195;M1040;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;10;3;0;0;0;0;;0;0;13;;
010780195;M1090;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;2;2;0;0;0;0;;0;0;4;;
010780195;M1130;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;0;0;1;0;0;0;;0;0;1;;
010780195;M1150;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;3;1;0;0;0;0;;0;0;4;;
010780195;M1160;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;0;0;14;2;0;0;;0;0;16;;
010780195;M1190;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;0;0;0;1;0;0;;0;0;1;;
010780195;M1210;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;0;0;7;0;0;0;;0;0;7;;
010780195;M1340;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;5;1;0;0;0;0;;0;0;6;;
010780195;M2020;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;0;0;2;1;0;0;;0;0;3;;
010780195;M2030;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;3;0;0;0;0;0;;0;0;3;;
010780195;M2040;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;0;0;2;1;0;0;;0;0;3;;
010780195;M2050;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;1;3;0;0;0;0;;0;0;4;;
010780195;M2060;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;0;0;2;1;0;0;;0;0;3;;
010780195;M2070;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;0;0;5;0;0;0;;0;0;5;;
010780195;M2080;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;1;1;1;1;0;0;;0;0;4;;
010780195;M2100;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;2;0;0;0;0;0;;0;0;2;;
010780195;M2120;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;3;0;0;0;0;0;;0;0;3;;
010780195;M2130;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;0;0;0;0;1;0;0;0;0;0;;0;0;1;;
010780195;M3050;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;2;0;0;0;0;0;0;0;2;0;;2;2;0;;
010780195;M9999;;;;;;;;;;;Q20;2023;CLINIQUE CONVERT;010000156;4;0;1;1;42;12;34;7;4.14;0.62;0;6;4.76;95;;
010780203;M1010;;;;;;;;;;;Q20;2023;HOPITAL PRIVE D'AMBERIEU;010010718;1;1;;;;;;;0.58;0.92;;2;1.5;;;
