BOR;AN;FI;RS;FI_EJ;UNI;LIT;LIT_PROXI;JLI;SEJ;PAS;PAS0;JOU;pctEXT;IGC2med;SEJ80;ETPSAL_MED;EFFLIB_MED;ETPSAL_INFSP;EFFLIB_INFSP;ETPSAL_INFNS;EFFLIB_INFNS;ETPSAL_AID;EFFLIB_AID;ETPSAL_KINE;EFFLIB_KINE;ETPSAL_APNM;EFFLIB_APNM
REA;2023;030000061;CH DE MOULINS;030780092;SURVADU;4;4;1182;161;;;771;;;;1.92;;;;5.91;;4.43;;;;0.91;
REA;2023;030000061;CH DE MOULINS;030780092;USIC;4;;1518;440;;;1103;;;;0.48;;0.5;;8.14;;8.31;;0;;0.5;
REA;2023;030000079;CH DE MONTLUCON;030780100;REAADU;8;;2920;347;354;17;2891;11;44;61;5.22;;;;24.93;;15.95;;;;2.13;
REA;2023;030000079;CH DE MONTLUCON;030780100;SITOT;12;;4380;1126;;;3571;;;;;;;;;;;;;;;
REA;2023;030000079;CH DE MONTLUCON;030780100;SIUNV;4;;1460;318;;;988;;;;0.6;;;;2.15;;2.56;;;;1.12;
REA;2023;030000079;CH DE MONTLUCON;030780100;SURVADU;4;;1460;12;;;30;;;;0.1;;;;0.3;;0.2;;;;;
REA;2023;030000079;CH DE MONTLUCON;030780100;SURVENF;2;;730;153;;;282;;;;0.16;;0.3;;1;;1.61;;;;0.42;
REA;2023;030000079;CH DE MONTLUCON;030780100;USIC;8;;2920;808;;;2583;;;;1.14;;;;5.48;;5.28;;;;1.58;
REA;2023;030000087;CH JACQUES LACARIN VICHY;030780118;REAADU;8;;2920;389;405;32;2338;3;44;52;4.89;0;0;0;19.04;0;13.58;0;0.52;0;1;0
REA;2023;030000087;CH JACQUES LACARIN VICHY;030780118;SITOT;8;;2920;867;;;1742;;;;;;;;;;;;;;;
REA;2023;030000087;CH JACQUES LACARIN VICHY;030780118;SIUNV;1;;365;92;;;262;;;;0.5;0;0;0;4;0;6.56;0;0;0;3.03;0
REA;2023;030000087;CH JACQUES LACARIN VICHY;030780118;SURVADU;2;;730;152;;;541;;;;0;0;0;0;4.9;0;3.46;0;0;0;0;0
REA;2023;030000087;CH JACQUES LACARIN VICHY;030780118;SURVENF;4;;1460;307;;;1073;;;;1.02;0;0;0;0;0;0;0;0;0;0;0
REA;2023;030000087;CH JACQUES LACARIN VICHY;030780118;USIC;7;;2555;775;;;1480;;;;3.93;0;0;0;9.02;0;7.04;0;0;0;1.81;0
REA;2023;030781116;HOPITAL PRIVE SAINT-FRANCOIS;030000426;SURVADU;10;0;3650;1244;;;6442;;;;;8;;;10.8;;10;;;;;
REA;2023;040000093;CHI DE MANOSQUE LOUIS RAFFALLI;040780215;SURVADU;8;0;2920;524;;;2171;;;;1.97;0;0;0;12.74;0;9.24;0;0;0;4.15;0
REA;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;REAADU;6;;2190;131;131;8;1491;4;61;29;4;;0.75;;14.04;;7.36;;0.77;;1.4;
REA;2023;040000911;CENTRE HOSPITALIER DE DIGNE LES BAINS;040788879;SURVADU;2;2;730;165;;;676;;;;1.33;;0.25;;4.68;;2.45;;0.26;;0.47;
REA;2023;050000090;POLYCLINIQUE DES ALPES DU SUD GAP;050006931;SURVADU;5;;1825;31;;;105;;;;;8;;;4;;4;;;;;
REA;2023;050000231;CH DES ESCARTONS DE BRIANCON;050000116;SURVADU;8;;2920;375;;;1461;;;;3.77;;0.27;;13.27;;6.51;;;;1.76;
REA;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;REAADU;8;;2920;262;263;22;1708;16;50;33;4.3;;0.52;;20.37;;15.67;;;;2.16;
REA;2023;050000348;CHI DES ALPES DU SUD SITE DE GAP;050002948;SURVADU;8;;2680;824;;;4265;;;;1.15;;0.52;;11.2;;7.02;;;;1;
REA;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;REAADU;8;;2920;347;357;18;2181;7;40;70;7.41;0;0;0;22.52;0;14.8;0;0.18;0;5.31;0
REA;2023;060000478;CENTRE HOSPITALIER DE GRASSE;060780897;SURVADU;4;4;1460;276;;;916;;;;1.8;0;0;0;0.66;0;1.67;0;0;0;0.33;0
REA;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;REAADU;10;;3650;366;381;20;2353;4;44;53;7.3;;0.75;;29.3;;16.71;;0.67;;;
REA;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;SITOT;6;6;2190;633;;;1990;;;;;;;;;;;;;;;
REA;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;SURVADU;9;5;3346;575;;;2628;;;;7.3;;;;6.12;;6.54;;;;;
REA;2023;060000510;CH D'ANTIBES JUAN LES PINS;060780954;USIC;6;6;2190;633;;;1990;;;;2;;;;;;;;;;;
REA;2023;060000528;CENTRE ANTOINE LACASSAGNE;060780962;AUTSI;6;;2764;190;;;2538;;;;1.27;;0.43;;10.62;;8.02;;;;0.44;
REA;2023;060000528;CENTRE ANTOINE LACASSAGNE;060780962;SITOT;6;;2764;190;;;2538;;;;;;;;;;;;;;;
REA;2023;060000528;CENTRE ANTOINE LACASSAGNE;060780962;SURVADU;7;;2244;272;;;2206;;;;1.04;;0.53;;13.99;;10.02;;;;0.06;
REA;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;REAADU;8;;2920;569;580;47;2349;5;44;119;5.39;;;;23.15;;12;;0.7;;3.16;
REA;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;SITOT;12;;4380;1232;;;3174;;;;;;;;;;;;;;;
REA;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;SIUNV;4;;1460;248;;;1020;;;;1.44;;;;6;;3;;0.1;;1.3;
REA;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;SURVADU;4;;1460;332;;;886;;;;0.53;;;;6;;3;;0.3;;0.95;
REA;2023;060000544;CH DE CANNES SIMONE VEIL;060780988;USIC;8;;2920;984;;;2154;;;;3.5;;;;9.76;;9.64;;0.25;;1.05;
REA;2023;060010899;INSTITUT UNIVERSITAIRE FACE ET COU;060785011;SURVADU;1;;365;20;;;25;;;;0.05;;;;;;;;;;;
REA;2023;060021417;HOPITAL PRIVE CANNES OXFORD;060000221;SURVADU;6;;2190;278;;;1461;;;;0.2;;1;;1;;1;;;;1;
REA;2023;060780491;INSTITUT ARNAULT TZANCK;060790797;REAADU;8;;2920;473;485;13;2499;8;37;90;;13;0.7;;15.59;;7.46;;;5;0.27;
REA;2023;060780491;INSTITUT ARNAULT TZANCK;060790797;SURVADU;32;;11680;2427;;;9932;;;;;;0.08;;10.16;;10.18;;;;7.35;
REA;2023;060780517;POLYCLINIQUE SAINT JEAN;060000239;SURVADU;45;0;16470;815;;;4859;;;;;10;1;;25.43;;13.52;;;;;
REA;2023;060780715;CLINIQUE SAINT GEORGE;060000361;SITOT;6;;2190;1357;;;2459;;;;;;;;;;;;;;;
REA;2023;060780715;CLINIQUE SAINT GEORGE;060000361;SURVADU;43;;15695;2043;;;10968;;;;;29;;17;;;6.5;;;;8;
REA;2023;060780715;CLINIQUE SAINT GEORGE;060000361;USIC;6;;2190;1357;;;2459;;;;;19;1;;4.8;;4.8;;;1;2;
REA;2023;060780723;CLINIQUE DU PARC IMPERIAL;060004959;SURVADU;8;;2920;468;;;1848;;;;14;;;;4.85;;2.8;;;;;
REA;2023;060780756;POLYCLINIQUE SANTA MARIA;060000403;SURVADU;3;;1095;60;;;99;;;;;;;;;;;;;;;
REA;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;REAENF;5;;1825;393;413;32;1503;16;;;3.23;;6.54;;8.59;;9.97;;;;4.26;
REA;2023;060780947;HOP PEDIATRIQUES DE NICE CHU LENVAL;060800174;SURVENF;6;;2190;535;;;2926;;;;1.51;;5.92;;5.46;;4.08;;;;2.63;
REA;2023;060781200;CLINIQUE SAINT ANTOINE KANTYS CENTRE;060000635;SURVADU;9;0;3285;199;;;1905;;;;;6;;;4.5;;4.5;;;4;2;
REA;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;AUTSI;6;;2190;246;;;1884;;;;0.8;;;;12.61;;9.23;;;;0.67;
REA;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;REAADU;18;;6856;1118;1526;493;7702;13;40;84;12.37;;;;64.47;;40.76;;;;13.11;
REA;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;SITOT;24;;8760;2056;;;7099;;;;;;;;;;;;;;;
REA;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;SIUNV;8;;2920;594;;;2367;;;;1;;;;10.38;;9.07;;;;2.55;
REA;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;SURVADU;21;;7379;1722;;;5410;;;;2.07;;;;31.67;;27.7;;;;7.88;
REA;2023;060785003;CHU DE NICE HOPITAL PASTEUR;060785011;USIC;10;;3650;1216;;;2848;;;;0.5;;;;10.76;;9.31;;;;3.2;
REA;2023;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;AUTSI;13;;4745;418;;;5398;;;;2.39;;3.06;10;30.11;42;25.1;31;;;11.14;26
REA;2023;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;REAADU;16;;5840;655;686;36;4630;49;49;63;8.81;;0.34;0;30.94;36;26.31;26;;;9.26;20
REA;2023;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;SITOT;13;;4745;418;;;5398;;;;;;;;;;;;;;;
REA;2023;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;SURVADU;12;;4380;681;;;2665;;;;2.74;;;;11.67;12;10.03;11;;;1.88;4
REA;2023;060789195;CHU DE NICE HOPITAL DE L'ARCHET;060785011;SURVENF;10;;3650;589;;;2555;;;;1.62;;6.2;10;5.94;10;7.38;11;;;6.41;9
REA;2023;060791811;HOPITAL PRIVE GERIATRIQUE LES SOURCES;060010808;SURVADU;12;0;4732;369;;;4333;;;;3.92;;;;12.29;;10.01;;2;;1.91;
REA;2023;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;REAADU;11;;4015;889;911;33;2914;13;26;215;;;1;;17.26;;10.08;;;;4.41;
REA;2023;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;SITOT;8;;2920;1082;;;3044;;;;;;;;;;;;;;;
REA;2023;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;SURVADU;28;;10220;2793;;;8989;;;;;;0.35;;7.54;;4.52;;;;4.36;
REA;2023;060794013;CTRE CARDIO MEDICO CHIRURGICAL TZANCK;060790797;USIC;8;;2920;1082;;;3044;;;;;;0.4;;8.06;;5.6;;;;0.26;
REA;2023;060800166;HP A. TZANCK MOUGINS SOPHIA ANTIPOLIS;060780608;SURVADU;21;;7665;1576;;;7537;;;;;17;6.31;;15.48;;18.41;;;7;3;
REA;2023;070000013;CH DE PRIVAS ARDECHE;070002878;SURVADU;4;;1356;347;;;1236;;;;1;;5.6;;;;2.75;;;;0.25;
REA;2023;070000179;CH ARDECHE NORD;070780358;REAADU;12;;4380;534;550;29;2973;5;37;120;2.98;0;1;0;20.58;0;14.64;0;0;0;3.2;
REA;2023;070000179;CH ARDECHE NORD;070780358;SURVADU;6;;2190;382;;;2037;;;;0.64;0;0.2;0;5.99;0;3.52;0;0;0;0.34;
REA;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;REAADU;4;;1460;167;167;4;1108;14;39;42;0.04;;;;5.78;;5.04;;0.13;;1.86;
REA;2023;070000609;CH ARDECHE MERIDIONALE - AUBENAS;070005566;SURVADU;4;;1460;237;;;820;;;;0.04;;;;5.78;;5.04;;0.13;;1.86;
REA;2023;070780168;CLINIQUE DU VIVARAIS SAINT DOMINIQUE;070000088;SURVADU;4;0;1460;88;;;478;;;;;3;;;1;;1;;;;;
REA;2023;070780424;CLINIQUE PASTEUR;070000245;SURVADU;8;;2920;527;;;2440;;;;;14;0;0;7.54;8;6.1;7;;4;;
REA;2023;080000110;CENTRE HOSPITALIER DE SEDAN;080011174;SURVADU;0;;360;43;;;252;;;;0;;;;1.76;;1.32;;0.3;;1.49;
REA;2023;080000219;CENTRE HOSPITALIER DE RETHEL;080001969;SURVADU;6;;2190;441;;;1364;;;;2.76;;0.03;;11.2;;3.77;;;;;
REA;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;AUTSI;1;;365;51;;;375;;;;0.08;;;;0.67;;0.74;;0;;0.2;
REA;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;REAADU;10;;5757;525;540;26;4204;24;45;56;4.68;;0;;35.04;;23.5;;1.5;;1.55;
REA;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;SITOT;13;;4745;790;;;4476;;;;;;;;;;;;;;;
REA;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;SURVADU;7;7;63;51;;;151;;;;0.8;;;;;;;;;;;
REA;2023;080000425;CH CHARLEVILLE - HOPITAL MANCHESTER;080011174;USIC;12;;4380;739;;;4101;;;;1.4;;0;;16.37;;14.43;;0;;0.5;
REA;2023;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;REAADU;8;;3504;544;564;27;3400;7;33;139;3.09;;0.33;;21.44;;16.42;;;;;
REA;2023;090000175;CHIVA SITE ST JEAN DE VERGES;090781774;SURVADU;4;4;876;7;;;23;;;;1.51;;0.08;;5.36;;3.65;;;;;
REA;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;AUTSI;6;;2190;121;;;1746;;;;0;;;;10.85;;8.63;;1.06;;5.33;
REA;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;SITOT;6;;2190;121;;;1746;;;;;;;;;;;;;;;
REA;2023;090000183;CH ARIEGE COUSERANS SITE ST LIZIER;090781816;SURVADU;2;;730;160;;;845;;;;1.4;;;;2.74;;2.16;;;;1.65;
REA;2023;100000090;CENTRE HOSPITALIER DE TROYES;100000017;AUTSI;4;;1460;93;;;1530;;;;1.55;;0;;5.6;;0;;0;;0;
REA;2023;100000090;CENTRE HOSPITALIER DE TROYES;100000017;REAADU;12;;4380;528;546;29;3588;10;41;66;4.48;;0;;29.74;;19.6;;0;;5;
REA;2023;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SITOT;22;;8030;1420;;;6932;;;;;;;;;;;;;;;
REA;2023;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SIUNV;4;;1460;271;;;1136;;;;1.03;;0;;5.41;;0.97;;0;;0.89;
REA;2023;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SURVADU;6;6;2190;382;;;1663;;;;1.68;;0;;5.14;;4.24;;0;;0.22;
REA;2023;100000090;CENTRE HOSPITALIER DE TROYES;100000017;SURVENF;4;0;1460;360;;;1098;;;;0.55;;6.4;;0;;0.7;;0;;0.3;
REA;2023;100000090;CENTRE HOSPITALIER DE TROYES;100000017;USIC;14;;5110;1056;;;4266;;;;0.84;;0;;16.59;;11.37;;0;;0.08;
REA;2023;100000124;POLYCLINIQUE MONTIER LA CELLE;100009075;SURVADU;12;;4380;584;;;2098;;;;1;;;;;;;;;;;
REA;2023;100000199;CENTRE HOSPITALIER DE ROMILLY/SEINE;100006279;SURVADU;6;;2190;324;;;1858;;;;2;;;;;;;;;;;
REA;2023;100010818;GCS HOPITAL PRIVE DE L'AUBE SITE CLQ;100010792;SURVADU;8;;2920;216;;;597;;;;;1;;;10;;11.69;;;;3;
REA;2023;110000023;CH CARCASSONNE;110780061;REAADU;8;;2920;432;440;30;2062;1;40;45;4.83;;0.17;;20.08;;12.89;;0.8;;1.47;
REA;2023;110000023;CH CARCASSONNE;110780061;SITOT;16;;5840;1508;;;5435;;;;;;;;;;;;;;;
REA;2023;110000023;CH CARCASSONNE;110780061;SIUNV;8;;2920;731;;;2797;;;;0.77;;0.3;;9.49;;8.94;;0.7;;;
REA;2023;110000023;CH CARCASSONNE;110780061;SURVADU;6;6;2025;337;;;1399;;;;2.05;;0.66;;9.8;;9.34;;0.2;;0.2;
REA;2023;110000023;CH CARCASSONNE;110780061;USIC;8;;2920;777;;;2638;;;;1.16;;;;12.44;;6.07;;;;;
REA;2023;110000056;CH NARBONNE;110780137;REAADU;8;;2920;266;271;11;2242;4;45;22;5.15;;;;17.72;;11.16;;;;1.45;
REA;2023;110000056;CH NARBONNE;110780137;SITOT;10;;3644;1144;;;2253;;;;;;;;;;;;;;;
REA;2023;110000056;CH NARBONNE;110780137;SIUNV;4;;1460;468;;;1008;;;;1;;;;5.71;;4.4;;;;0.19;
REA;2023;110000056;CH NARBONNE;110780137;SURVADU;4;4;1460;220;;;846;;;;2.43;;;;8.86;;5.58;;;;0.73;
REA;2023;110000056;CH NARBONNE;110780137;USIC;6;;2184;676;;;1245;;;;1.18;;;;8.57;;6.6;;;;0.28;
REA;2023;110780228;HOPITAL PRIVE DU GRAND NARBONNE;110000114;SURVADU;11;;4015;1248;;;3949;;;;;12;;;10.16;;5.73;;;;;
REA;2023;110780483;POLYCL MONTREAL CARCASSONNE;110000155;SURVADU;8;;2920;654;;;3391;;;;2;;;;7.1;;6.2;;;;2.33;
REA;2023;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;REAADU;8;;2920;579;601;55;2876;9;41;142;5.16;;1.06;;22.16;;14.13;;0.56;;1.29;
REA;2023;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;SITOT;16;16;5840;1263;;;4931;;;;;;;;;;;;;;;
REA;2023;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;SIUNV;8;8;2920;620;;;2262;;;;4.51;;0.6;;10.4;;8.77;;0.33;;0.5;
REA;2023;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;SURVADU;3;3;1095;179;;;418;;;;;;;;;;;;;;;
REA;2023;120000039;CH DE RODEZ HOPITAL JACQUES PUEL;120780044;USIC;8;8;2920;643;;;2669;;;;3;3;0.85;;13.48;;8.18;;0.16;;2.66;
REA;2023;120000054;CH VILLEFRANCHE SITE CHARTREUSE;120780069;SURVADU;7;;2920;366;;;2247;;;;1;;0.5;;11.03;;5.73;;;;;
REA;2023;120004569;CH MILLAU;120004528;SURVADU;5;;1825;331;;;1531;;;;2.32;;;;5;;5.8;;;;;
REA;2023;120004668;CH EMILE BOREL ST AFFRIQUE;120004619;SURVADU;4;0;1460;199;;;1280;;;;0.68;;;;6.08;;5.17;;;;0.85;
REA;2023;130000409;CHI SITE D'AIX EN PROVENCE;130041916;AUTSI;4;;1460;100;;;986;;;;0.25;;0.5;;3.75;;4.53;;0;;0.6;
REA;2023;130000409;CHI SITE D'AIX EN PROVENCE;130041916;REAADU;20;;7300;957;981;111;5088;8;38;147;13.34;;0.59;;43.6;;26.69;;1.86;;1.28;
REA;2023;130000409;CHI SITE D'AIX EN PROVENCE;130041916;SITOT;24;;8908;2865;;;7276;;;;;;;;;;;;;;;
REA;2023;130000409;CHI SITE D'AIX EN PROVENCE;130041916;SIUNV;4;;1664;687;;;1275;;;;0.23;;0.3;;11.06;;8.65;;1;;0.6;
REA;2023;130000409;CHI SITE D'AIX EN PROVENCE;130041916;SURVADU;5;5;1755;337;;;913;;;;1.66;;1;;10.48;;9.5;;0;;0.5;
REA;2023;130000409;CHI SITE D'AIX EN PROVENCE;130041916;SURVENF;4;;1468;525;;;1063;;;;0.72;;3.3;;2.6;;6.35;;0;;1.49;
REA;2023;130000409;CHI SITE D'AIX EN PROVENCE;130041916;USIC;16;;5784;2078;;;5015;;;;2.19;;0.69;;23.4;;17.85;;0;;2.2;
REA;2023;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;REAADU;8;;2920;346;359;15;2203;24;41;79;5;4;7.13;;19.76;;13.67;;;1;1.6;
REA;2023;130000565;CENTRE HOSPITALIER GENERAL D'AUBAGNE;130781446;SURVADU;4;4;1460;225;;;986;;;;4;2;4.76;;6.59;;6.83;;;;0.2;
REA;2023;130001225;HOPITAL DU PAYS SALONAIS;130782634;REAADU;8;;2920;227;235;4;3344;4;42;41;4.91;;;;26.9;;15.68;;1.32;;4.32;
REA;2023;130001225;HOPITAL DU PAYS SALONAIS;130782634;SURVADU;4;;1460;198;;;934;;;;;;;;;;;;;;;
REA;2023;130001647;INSTITUT PAOLI CALMETTES;130784127;AUTSI;60;;21406;1472;;;21889;;;;22.14;;5.95;;74.42;;24.42;;;;11.08;
REA;2023;130001647;INSTITUT PAOLI CALMETTES;130784127;REAADU;10;;3590;449;472;13;2747;21;40;39;15.28;;1.5;;24.9;;12.47;;1.75;;5.58;
REA;2023;130001647;INSTITUT PAOLI CALMETTES;130784127;SITOT;60;;21406;1472;;;21889;;;;;;;;;;;;;;;
REA;2023;130001647;INSTITUT PAOLI CALMETTES;130784127;SURVADU;10;;3650;612;;;2474;;;;10.19;;1.5;;12.27;;12.47;;1.75;;5.58;
REA;2023;130002215;CENTRE HOSPITALIER GENERAL LA CIOTAT;130785512;SURVADU;6;;2190;328;;;1694;;;;7.72;;;;6.43;;6;;;;2.91;
REA;2023;130002827;CH JOSEPH IMBERT D'ARLES;130789274;REAADU;9;;3285;321;324;9;2838;6;39;47;;;;;19.24;;11.68;;;;;
REA;2023;130002827;CH JOSEPH IMBERT D'ARLES;130789274;SITOT;6;6;2190;716;;;1629;;;;;;;;;;;;;;;
REA;2023;130002827;CH JOSEPH IMBERT D'ARLES;130789274;USIC;6;6;2190;716;;;1629;;;;;;;;6.6;;2.85;;;;;
REA;2023;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;REAADU;8;;2920;302;311;10;3213;7;45;47;4.39;;0.67;;15.7;;12.36;;0.35;;3.99;
REA;2023;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;SITOT;6;;2190;463;;;1614;;;;;;;;;;;;;;;
REA;2023;130002835;CH DE MARTIGUES HOPITAL DES RAYETTES;130789316;SURVADU;4;4;1460;45;;;138;;;;2.19;;0.33;;7.85;;6.18;;0.15;;2;
